2023-11-23 18:37:53:
productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
         ¶ÌÏË     OTHER   0.01            UP            UP            4.05%  15.40
         ÄòËØ      BACK   0.04          DOWN          DOWN            1.96%   0.40
        ¾Û±ûÏ©     OTHER   0.00          DOWN            UP            3.58% 138.14
        Ìú¿óÊ¯      BACK   0.03            UP            UP           10.93%   5.14
         ÂÝÎÆ     OTHER  -0.00            UP          DOWN            4.34%   5.93
        Òº»¯Æø      BACK   0.05            UP            UP            6.32%   2.19

productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
        Ìú¿óÊ¯      BACK   0.03            UP            UP           10.93%   5.14
         »¦Í­      BACK   0.00            UP            UP            0.73%   1.72
        Òº»¯Æø      BACK   0.05            UP            UP            6.32%   2.19
        µÍÈ¼ÓÍ      BACK   0.10            UP            UP          -11.39%  -1.45
         ¶ÌÏË     OTHER   0.01            UP            UP            4.05%  15.40
         ÈÈ¾í     OTHER  -0.00            UP            UP             0.0%  -0.00
        ÒÒ¶þ´¼     OTHER   0.03            UP            UP            3.54%  -1.92
         ½¹Ãº     OTHER  -0.03            UP            UP           13.29%  -3.88
         ¼¦µ°     OTHER  -0.02            UP            UP            1.93%   0.13
        ¹¤Òµ¹è      CONT  -0.00            UP          DOWN             8.45  -9.67
        ÒÒ¶þ´¼     OTHER   0.03            UP            UP             3.54  -1.92
         ×Øéµ      CONT  -0.01            UP            UP             1.68  -0.85
         ½¹Ãº     OTHER  -0.03            UP            UP            13.29  -3.88

productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
         Á¤Çà     OTHER   0.01          DOWN          DOWN            -3.1%  -7.64
         ËÜÁÏ      CONT  -0.00          DOWN            UP            4.35%  -5.64
         ¶ÌÏË     OTHER   0.01            UP            UP            4.05%  15.40
         »¦Ç¦     OTHER  -0.00            UP          DOWN           -0.15%  -0.56
        ¹¤Òµ¹è      CONT  -0.00            UP          DOWN            8.45%  -9.67
        PVC      CONT  -0.01          DOWN            UP           -0.43%   0.28
         ½¹Ì¿     OTHER  -0.01            UP          DOWN            -9.2% -16.85
         ÄòËØ      BACK   0.04          DOWN          DOWN            1.96%   0.40
         È¼ÓÍ      BACK   0.04            UP          DOWN            0.47%   0.11
        PTA      CONT  -0.00          DOWN            UP            1.37%  -5.00
         ÈÈ¾í     OTHER  -0.00            UP            UP             0.0%  -0.00
        ±½ÒÒÏ©     OTHER  -0.02          DOWN            UP            1.65%   3.46
         »¦Ð¿      BACK   0.00          DOWN            UP            0.85%   1.89
        ¾Û±ûÏ©     OTHER   0.00          DOWN            UP            3.58% 138.14
         »¦Òø      CONT  -0.00            UP            UP           -0.45%   2.17
         Ö½½¬      CONT  -0.04          DOWN          DOWN            7.29%  -1.67
        Ìú¿óÊ¯      BACK   0.03            UP            UP           10.93%   5.14
         ÃÌ¹è      BACK   0.00          DOWN          DOWN            0.27%   0.75
         »¦Í­      BACK   0.00            UP            UP            0.73%   1.72
        ÒÒ¶þ´¼     OTHER   0.03            UP            UP            3.54%  -1.92
         ÂÝÎÆ     OTHER  -0.00            UP          DOWN            4.34%   5.93
         ¼×´¼      CONT  -0.00          DOWN            UP            2.05% -12.25
         Ô­ÓÍ     OTHER  -0.01          DOWN          DOWN            2.56%  -3.87
         ¹èÌú     OTHER  -0.00          DOWN            UP            2.56%   8.18
         ×Øéµ      CONT  -0.01            UP            UP            1.68%  -0.85
        Ñõ»¯ÂÁ     OTHER  -0.01          DOWN            UP            4.57% -10.69
        Òº»¯Æø      BACK   0.05            UP            UP            6.32%   2.19
         ½¹Ãº     OTHER  -0.03            UP            UP           13.29%  -3.88
         ´¿¼î      BACK   0.12            UP          DOWN           -5.72%  -0.30
        ²»Ðâ¸Ö      CONT  -0.00          DOWN          DOWN             1.5%  -2.73
         ²£Á§      BACK   0.00          DOWN          DOWN           -0.63%  -0.37
         »¦ÂÁ      BACK   0.00          DOWN            UP            0.45%   0.85
       20ºÅ½º      CONT  -0.02          DOWN            UP            2.56%  -0.81
        µÍÈ¼ÓÍ      BACK   0.10            UP            UP          -11.39%  -1.45
         ¼¦µ°     OTHER  -0.02            UP            UP            1.93%   0.13
         »¦Îý     OTHER   0.00          DOWN            UP            2.64% -39.07
         »¦Äø      BACK   0.00          DOWN            UP            1.75%   2.41
