2023-11-22 14:06:21:
productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
         °×ÌÇ      BACK  -0.01          DOWN          DOWN             5.8%   6.79
        Ì¼Ëáï®      BACK  -0.04          DOWN          DOWN            7.48%   1.55
        Ñõ»¯ÂÁ     OTHER   0.01          DOWN          DOWN            3.29%   4.35
         ÄòËØ      BACK  -0.04          DOWN          DOWN            5.31%   3.91
         ÃÞ»¨     OTHER  -0.01          DOWN          DOWN           10.05%  11.68
         ¶¹ÆÉ      BACK  -0.00          DOWN          DOWN            1.49%   0.50
        ¾Û±ûÏ©     OTHER   0.00          DOWN          DOWN            3.16%  30.64
         ÓñÃ×     OTHER  -0.00            UP          DOWN            3.02%   8.89
         µí·Û     OTHER  -0.02          DOWN          DOWN            8.75%   5.96
        Ìú¿óÊ¯      BACK  -0.03            UP          DOWN           11.93%   6.47
         ²ËÆÉ      BACK  -0.00          DOWN          DOWN             7.1%  55.42
         ´¿¼î      BACK  -0.07            UP          DOWN           11.76%   1.24
         ÂÝÎÆ     OTHER   0.00            UP          DOWN            3.33%   6.23
         ¼¦µ°     OTHER   0.02            UP          DOWN            5.04%   0.39
         ½¹Ãº     OTHER   0.05            UP          DOWN           10.89%   6.90
         ¶¹ÓÍ      BACK  -0.01            UP          DOWN            4.06%   3.30

productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
        ±½ÒÒÏ©      BACK   0.04            UP            UP            2.04%  13.54
         »¦Í­      BACK   0.00            UP            UP            0.97%   3.72
        Òº»¯Æø      BACK   0.03            UP            UP            5.77%   0.97
         ´¿¼î      BACK   0.07            UP            UP           11.76%   1.24
         ¶¹ÓÍ      BACK   0.01            UP            UP            4.06%   3.30
         ÓñÃ×     OTHER   0.00            UP            UP            3.02%   8.89
         ½¹Ãº     OTHER  -0.05            UP            UP           10.89%   6.90
         ÈÈ¾í     OTHER  -0.00            UP            UP           -0.93%  -7.40
         Ïð½º     OTHER  -0.01            UP            UP           -7.35%   8.77
         ¼¦µ°     OTHER  -0.02            UP            UP            5.04%   0.39
        ÒÒ¶þ´¼     OTHER   0.02            UP            UP            1.77%  -1.16
         ¶ÌÏË     OTHER   0.01            UP            UP            4.23%  -4.74
        ¹¤Òµ¹è      CONT  -0.00            UP          DOWN             7.54 -11.65
        ÒÒ¶þ´¼     OTHER   0.02            UP            UP             1.77  -1.16
         ¶ÌÏË     OTHER   0.01            UP            UP             4.23  -4.74
         ×Øéµ      CONT  -0.01            UP            UP             0.43  -0.23

productName structure  slope cashPriceStru mon1BasisStru futureBasisRatio  ratio
         ¼×´¼     OTHER   0.00          DOWN            UP            0.08%  -0.08
         »¦Ð¿      BACK   0.00          DOWN            UP            1.44%   7.75
         °×ÌÇ      BACK   0.01          DOWN            UP             5.8%   6.79
         ÄòËØ      BACK   0.04          DOWN          DOWN            5.31%   3.91
        ±½ÒÒÏ©      BACK   0.04            UP            UP            2.04%  13.54
         Ö½½¬      CONT  -0.05          DOWN          DOWN            1.65%  -3.57
         ²ËÆÉ      BACK   0.00          DOWN          DOWN             7.1%  55.42
         »¦Äø     OTHER   0.00          DOWN            UP            1.29%   9.61
         ½¹Ì¿      BACK   0.00            UP          DOWN          -10.29%  -8.17
         ËÜÁÏ      CONT  -0.01          DOWN            UP            2.74% -10.67
         ¶¹Ò»     OTHER   0.01          DOWN          DOWN           -1.89%  -2.04
         ÓñÃ×     OTHER   0.00            UP            UP            3.02%   8.89
         »¦ÂÁ      BACK   0.00          DOWN            UP            0.61%   1.64
        PVC      CONT  -0.01          DOWN            UP           -1.98%   1.62
         »¦Í­      BACK   0.00            UP            UP            0.97%   3.72
        Ñõ»¯ÂÁ     OTHER  -0.01          DOWN          DOWN            3.29%   4.35
         ½¹Ãº     OTHER  -0.05            UP            UP           10.89%   6.90
         ¶¹ÆÉ      BACK   0.00          DOWN          DOWN            1.49%   0.50
        Ì¼Ëáï®      BACK   0.04          DOWN            UP            7.48%   1.55
        ¹¤Òµ¹è      CONT  -0.00            UP          DOWN            7.54% -11.65
      ¶¡¶þÏ©Ïð½º      BACK   0.00          DOWN            UP           -1.11%  -2.45
         ÂÝÎÆ     OTHER  -0.00            UP          DOWN            3.33%   6.23
         »¦Òø      CONT  -0.00            UP            UP           -0.27%   1.23
        Ìú¿óÊ¯      BACK   0.03            UP          DOWN           11.93%   6.47
         ÈÈ¾í     OTHER  -0.00            UP            UP           -0.93%  -7.40
         ²£Á§      BACK   0.01          DOWN          DOWN           -0.92%  -0.33
        ¾Û±ûÏ©     OTHER  -0.00          DOWN            UP            3.16%  30.64
        Òº»¯Æø      BACK   0.03            UP            UP            5.77%   0.97
         È¼ÓÍ      BACK   0.04          DOWN          DOWN           -0.83%  -1.08
         Á¤Çà     OTHER   0.00          DOWN          DOWN           -1.55%   1.29
         »¦Ç¦      BACK   0.00            UP          DOWN           -1.39%  -3.83
         Ïð½º     OTHER  -0.01            UP            UP           -7.35%   8.77
        ²»Ðâ¸Ö      CONT  -0.00          DOWN          DOWN            1.08%  -2.00
         ¼¦µ°     OTHER  -0.02            UP            UP            5.04%   0.39
         ÃÌ¹è      BACK   0.00          DOWN            UP            0.75%   1.67
         »¦Îý     OTHER   0.00          DOWN            UP            1.04% -31.14
         ´¿¼î      BACK   0.07            UP            UP           11.76%   1.24
         Ô­ÓÍ     OTHER  -0.00          DOWN          DOWN            0.81%  -4.36
         µí·Û     OTHER   0.02          DOWN          DOWN            8.75%   5.96
        ÒÒ¶þ´¼     OTHER   0.02            UP            UP            1.77%  -1.16
         ÃÞ»¨     OTHER   0.01          DOWN            UP           10.05%  11.68
         ¶ÌÏË     OTHER   0.01            UP            UP            4.23%  -4.74
        µÍÈ¼ÓÍ      BACK   0.02          DOWN          DOWN           -7.93%  -0.78
         ¶¹ÓÍ      BACK   0.01            UP            UP            4.06%   3.30
         ÉúÖí     OTHER  -0.12            UP          DOWN      -106725.82% -18.45
         ×Øéµ      CONT  -0.01            UP            UP            0.43%  -0.23
