,roll_yield,near_by,deferred,date
FU,-1.6417542638578022,FU1803,FU1804,2018-01-02
JD,-0.30162368766563236,jd1805,jd1809,2018-01-02
BB,-0.20469218670848993,bb1801,bb1804,2018-01-02
BU,-0.10884078194397301,BU1806,BU1812,2018-01-02
OI,-0.10815229464852205,OI805,OI809,2018-01-02
AL,-0.07933913198775382,AL1802,AL1803,2018-01-02
Y,-0.07584961592849884,y1805,y1809,2018-01-02
WH,-0.07364484361578408,WH801,WH805,2018-01-02
CF,-0.07193644058081272,CF805,CF809,2018-01-02
V,-0.06938019024005494,v1801,v1805,2018-01-02
RU,-0.06825527095024808,RU1805,RU1809,2018-01-02
AG,-0.06357162112459061,AG1801,AG1806,2018-01-02
CS,-0.05833517135767013,cs1805,cs1809,2018-01-02
SN,-0.05246375278905948,SN1801,SN1805,2018-01-02
A,-0.0523031499043586,a1805,a1809,2018-01-02
IH,-0.04873247961659445,IH1801,IH1803,2018-01-02
NI,-0.03193298942323563,NI1801,NI1805,2018-01-02
CU,-0.03036877976580437,CU1802,CU1803,2018-01-02
AU,-0.028076871585533722,AU1806,AU1812,2018-01-02
FG,-0.02248732845871906,FG805,FG809,2018-01-02
B,-0.02195793850518211,b1805,b1807,2018-01-02
P,-0.019090463072910173,p1805,p1809,2018-01-02
TA,-0.017241391174390844,TA803,TA805,2018-01-02
I,-0.016513803165987606,i1805,i1809,2018-01-02
TF,-0.013482343133172666,TF1803,TF1806,2018-01-02
T,-0.012071576310093458,T1803,T1806,2018-01-02
IF,-0.00905748753728664,IF1801,IF1803,2018-01-02
PB,-0.006307490289766474,PB1802,PB1803,2018-01-02
RM,-0.0026212321457903137,RM805,RM809,2018-01-02
ZN,-0.002320858724958809,ZN1802,ZN1803,2018-01-02
WR,-0.0,WR1801,WR1802,2018-01-02
M,0.005429865735718591,m1805,m1809,2018-01-02
PP,0.03592476564458453,pp1805,pp1809,2018-01-02
IC,0.03794479049680867,IC1801,IC1803,2018-01-02
C,0.047948113519829014,c1805,c1809,2018-01-02
L,0.059347611273475556,l1805,l1809,2018-01-02
SF,0.06851541343342574,SF805,SF809,2018-01-02
HC,0.11645476855167232,HC1805,HC1810,2018-01-02
JM,0.11891800767182731,jm1805,jm1809,2018-01-02
MA,0.12576064183937305,MA805,MA809,2018-01-02
FB,0.13052863671895865,fb1801,fb1808,2018-01-02
RB,0.1344121948515044,RB1805,RB1810,2018-01-02
SR,0.16479775734298405,SR801,SR805,2018-01-02
AP,0.2873128136689167,AP805,AP810,2018-01-02
J,0.3383368419161303,j1801,j1805,2018-01-02
SM,0.4392089791092975,SM801,SM805,2018-01-02
ZC,0.44520729956453875,ZC803,ZC805,2018-01-02
FU,-1.6417542638578022,FU1803,FU1804,2018-01-03
JD,-0.3248227430620685,jd1805,jd1809,2018-01-03
BB,-0.1556494267630804,bb1801,bb1804,2018-01-03
BU,-0.1138993870071371,BU1806,BU1812,2018-01-03
OI,-0.10249723324794638,OI805,OI809,2018-01-03
AL,-0.07939162269935912,AL1802,AL1803,2018-01-03
Y,-0.0758755413219897,y1805,y1809,2018-01-03
RU,-0.06846770203093493,RU1805,RU1809,2018-01-03
CF,-0.06839879955313363,CF805,CF809,2018-01-03
AG,-0.059862807238705226,AG1801,AG1806,2018-01-03
SN,-0.048371330777207816,SN1801,SN1805,2018-01-03
CS,-0.04815512703152347,cs1805,cs1809,2018-01-03
A,-0.047988009786547874,a1805,a1809,2018-01-03
IH,-0.03969053243286505,IH1801,IH1803,2018-01-03
CY,-0.03952114168666387,CY805,CY809,2018-01-03
B,-0.039228170310115475,b1805,b1809,2018-01-03
FG,-0.03283206503795163,FG805,FG809,2018-01-03
NI,-0.031804579224866895,NI1801,NI1805,2018-01-03
AU,-0.026926890346897683,AU1806,AU1812,2018-01-03
CU,-0.026224741815956853,CU1802,CU1803,2018-01-03
V,-0.02427376244051945,v1805,v1809,2018-01-03
RM,-0.02344779630885605,RM805,RM809,2018-01-03
I,-0.022304935462553972,i1805,i1809,2018-01-03
P,-0.0179910584171228,p1805,p1809,2018-01-03
TF,-0.013271137108902157,TF1803,TF1806,2018-01-03
IF,-0.012215816910591221,IF1801,IF1803,2018-01-03
T,-0.00862673542983333,T1803,T1806,2018-01-03
TA,-0.002161772676961285,TA803,TA805,2018-01-03
WR,-0.0,WR1801,WR1802,2018-01-03
PB,0.0031076006906806787,PB1802,PB1803,2018-01-03
M,0.00433056733444842,m1805,m1809,2018-01-03
ZN,0.004656577474032009,ZN1802,ZN1803,2018-01-03
PP,0.03337782775009299,pp1805,pp1809,2018-01-03
IC,0.041280027115263775,IC1801,IC1803,2018-01-03
L,0.059227436187603455,l1805,l1809,2018-01-03
C,0.06381478683083368,c1805,c1809,2018-01-03
SF,0.06754506710290464,SF805,SF809,2018-01-03
HC,0.1034396710710064,HC1805,HC1810,2018-01-03
RB,0.12280546299566794,RB1805,RB1810,2018-01-03
MA,0.12422827487663839,MA805,MA809,2018-01-03
JM,0.15247877782076769,jm1805,jm1809,2018-01-03
SR,0.17178569680750574,SR801,SR805,2018-01-03
AP,0.2899177663425035,AP805,AP810,2018-01-03
J,0.3175700114049067,j1801,j1805,2018-01-03
FB,0.34489756479092276,fb1802,fb1808,2018-01-03
ZC,0.4376546621267086,ZC803,ZC805,2018-01-03
SM,0.478061440316639,SM801,SM805,2018-01-03
FU,-1.6417542638578022,FU1803,FU1804,2018-01-04
JD,-0.3303483333625044,jd1805,jd1809,2018-01-04
BB,-0.1401994268674935,bb1801,bb1804,2018-01-04
BU,-0.10829061323520006,BU1806,BU1812,2018-01-04
WH,-0.10746382935545201,WH801,WH805,2018-01-04
OI,-0.10449039546702966,OI805,OI809,2018-01-04
Y,-0.07427884953037768,y1805,y1809,2018-01-04
AL,-0.07154708177301629,AL1802,AL1803,2018-01-04
RU,-0.07036905855896569,RU1805,RU1809,2018-01-04
AG,-0.0682985652872555,AG1801,AG1806,2018-01-04
CF,-0.06719648516350667,CF805,CF809,2018-01-04
CS,-0.056749096989272406,cs1805,cs1809,2018-01-04
A,-0.0446376421250269,a1805,a1809,2018-01-04
SN,-0.04388141041817789,SN1801,SN1805,2018-01-04
IH,-0.04204813943092412,IH1801,IH1803,2018-01-04
B,-0.036496800491065115,b1805,b1809,2018-01-04
CU,-0.03040725608900957,CU1802,CU1803,2018-01-04
NI,-0.029570087510262237,NI1805,NI1807,2018-01-04
AU,-0.026702666349728392,AU1806,AU1812,2018-01-04
FG,-0.02639610937766501,FG805,FG809,2018-01-04
RM,-0.02616675987266922,RM805,RM809,2018-01-04
V,-0.017531094446732766,v1805,v1809,2018-01-04
TA,-0.012793181819044267,TA803,TA805,2018-01-04
P,-0.012297390053240504,p1805,p1809,2018-01-04
TF,-0.012240990906433429,TF1803,TF1806,2018-01-04
I,-0.011019296135583853,i1805,i1809,2018-01-04
IF,-0.008987897015209387,IF1801,IF1803,2018-01-04
T,-0.007563277151380808,T1803,T1806,2018-01-04
PB,-0.006182380353132583,PB1802,PB1803,2018-01-04
ZN,-0.004618048931345529,ZN1802,ZN1803,2018-01-04
WR,-0.0,WR1801,WR1802,2018-01-04
M,-0.0,m1805,m1809,2018-01-04
PP,0.03389508629007045,pp1805,pp1809,2018-01-04
IC,0.047197698598567976,IC1801,IC1803,2018-01-04
L,0.053018294796113266,l1805,l1809,2018-01-04
C,0.05736312434033519,c1805,c1809,2018-01-04
SF,0.07435674754400377,SF805,SF809,2018-01-04
HC,0.10243915324576708,HC1805,HC1810,2018-01-04
RB,0.11653086755387682,RB1805,RB1810,2018-01-04
MA,0.13386675306196294,MA805,MA809,2018-01-04
J,0.14031202084018615,j1805,j1809,2018-01-04
SR,0.1483695336926253,SR801,SR805,2018-01-04
JM,0.16464108498931107,jm1805,jm1809,2018-01-04
AP,0.2869836869888789,AP805,AP810,2018-01-04
FB,0.3438722245209493,fb1802,fb1808,2018-01-04
ZC,0.3727906866420371,ZC803,ZC805,2018-01-04
SM,0.44491304746823845,SM801,SM805,2018-01-04
FU,-1.6417542638578022,FU1803,FU1804,2018-01-05
JD,-0.329672678052478,jd1805,jd1809,2018-01-05
BB,-0.2214127126706706,bb1801,bb1804,2018-01-05
BU,-0.11101948953297092,BU1806,BU1812,2018-01-05
OI,-0.10146324519348669,OI805,OI809,2018-01-05
AL,-0.08312749719079457,AL1802,AL1803,2018-01-05
RU,-0.07049245945072338,RU1805,RU1809,2018-01-05
Y,-0.06824263019011717,y1805,y1809,2018-01-05
CF,-0.06456069169428046,CF805,CF809,2018-01-05
AG,-0.05744290857662597,AG1801,AG1806,2018-01-05
CS,-0.05395580069808431,cs1805,cs1809,2018-01-05
SN,-0.05111989035640262,SN1801,SN1805,2018-01-05
IH,-0.047116407838607585,IH1801,IH1803,2018-01-05
A,-0.043796398263457895,a1805,a1809,2018-01-05
CU,-0.03276601653491444,CU1802,CU1803,2018-01-05
FG,-0.030664662214614023,FG805,FG809,2018-01-05
NI,-0.02853823120396974,NI1805,NI1807,2018-01-05
AU,-0.02732719295487371,AU1806,AU1812,2018-01-05
V,-0.019700909909809092,v1805,v1809,2018-01-05
RM,-0.018260925947547448,RM805,RM809,2018-01-05
I,-0.01666670953380589,i1805,i1809,2018-01-05
B,-0.012818561262052795,b1805,b1807,2018-01-05
TF,-0.011825428078155072,TF1803,TF1806,2018-01-05
ZN,-0.011497557648762138,ZN1802,ZN1803,2018-01-05
P,-0.010054003079776204,p1805,p1809,2018-01-05
T,-0.0088598399313532,T1803,T1806,2018-01-05
IF,-0.007227697407123928,IF1801,IF1803,2018-01-05
TA,-0.0021318173967384366,TA803,TA805,2018-01-05
WR,-0.0,WR1801,WR1802,2018-01-05
M,0.004327443952669368,m1805,m1809,2018-01-05
PB,0.009243805823639437,PB1802,PB1803,2018-01-05
PP,0.03299525646037338,pp1805,pp1809,2018-01-05
IC,0.053102691039056835,IC1801,IC1803,2018-01-05
L,0.059227436187603455,l1805,l1809,2018-01-05
C,0.06712421904730545,c1805,c1809,2018-01-05
SF,0.0721553769555664,SF805,SF809,2018-01-05
SR,0.0896641623690993,SR801,SR805,2018-01-05
HC,0.09298058536062528,HC1805,HC1810,2018-01-05
RB,0.11188877780029437,RB1805,RB1810,2018-01-05
J,0.12025360525494996,j1805,j1809,2018-01-05
MA,0.13428815254790474,MA805,MA809,2018-01-05
JM,0.14570904393324294,jm1805,jm1809,2018-01-05
AP,0.2720718193776912,AP805,AP810,2018-01-05
FB,0.3438722245209493,fb1802,fb1808,2018-01-05
ZC,0.38651475168279237,ZC803,ZC805,2018-01-05
SM,0.497835768960286,SM801,SM805,2018-01-05
FU,-1.6417542638578022,FU1803,FU1804,2018-01-08
JD,-0.35146527645198966,jd1805,jd1809,2018-01-08
BB,-0.19554235427809424,bb1801,bb1804,2018-01-08
BU,-0.1099336721223225,BU1806,BU1812,2018-01-08
OI,-0.10835381597768419,OI805,OI809,2018-01-08
AL,-0.08407040224344789,AL1802,AL1803,2018-01-08
WH,-0.07960474739964306,WH801,WH805,2018-01-08
Y,-0.07514546248687874,y1805,y1809,2018-01-08
CS,-0.07144862567450701,cs1805,cs1809,2018-01-08
