,roll_yield,near_by,deferred,date
BB,-1.3831807598795516,bb2106,bb2107,2021-06-01
CJ,-0.3729784027359583,CJ109,CJ201,2021-06-01
RU,-0.25005490415063947,RU2109,RU2201,2021-06-01
FB,-0.23994108338440634,fb2106,fb2109,2021-06-01
SA,-0.1928782513211802,SA109,SA201,2021-06-01
NR,-0.16613094133609266,NR2107,NR2108,2021-06-01
BU,-0.11772013475086224,BU2108,BU2109,2021-06-01
B,-0.11028709654935562,b2107,b2108,2021-06-01
SR,-0.107173014579041,SR109,SR201,2021-06-01
MA,-0.06359845035751428,MA109,MA201,2021-06-01
AP,-0.06298340862307343,AP110,AP201,2021-06-01
CF,-0.06103198410815264,CF109,CF201,2021-06-01
PF,-0.057741741986363504,PF107,PF109,2021-06-01
TA,-0.05038004941902112,TA109,TA201,2021-06-01
LU,-0.047322979576465196,LU2108,LU2109,2021-06-01
SM,-0.043310178491013124,SM108,SM109,2021-06-01
BC,-0.039945565710324635,BC2107,BC2108,2021-06-01
AG,-0.03803112452324394,AG2106,AG2112,2021-06-01
RR,-0.036881926694547304,rr2108,rr2110,2021-06-01
PB,-0.0348893800934547,PB2107,PB2108,2021-06-01
PK,-0.030248900372362185,PK110,PK201,2021-06-01
SF,-0.030089615300418045,SF107,SF109,2021-06-01
CU,-0.025862078975800944,CU2107,CU2108,2021-06-01
A,-0.022770425811309204,a2109,a2111,2021-06-01
SP,-0.01929882654500555,SP2107,SP2109,2021-06-01
AU,-0.014395784663693349,AU2108,AU2112,2021-06-01
FU,-0.004731862179746005,FU2109,FU2201,2021-06-01
AL,-0.0,AL2107,AL2108,2021-06-01
M,0.0016949152993210978,m2109,m2201,2021-06-01
PG,0.005416384655261062,pg2107,pg2108,2021-06-01
EG,0.007078254851580872,eg2109,eg2111,2021-06-01
L,0.007631160829512228,l2109,l2110,2021-06-01
TS,0.01035341543683284,TS2106,TS2109,2021-06-01
TF,0.01261546438808872,TF2109,TF2112,2021-06-01
ZN,0.01300813135510004,ZN2107,ZN2108,2021-06-01
T,0.01323257434999768,T2109,T2112,2021-06-01
NI,0.024929523730786905,NI2107,NI2108,2021-06-01
PP,0.032765497889739176,pp2109,pp2110,2021-06-01
SN,0.04084613717631883,SN2107,SN2108,2021-06-01
CS,0.05484671761049419,cs2107,cs2109,2021-06-01
IF,0.05950485419004281,IF2106,IF2109,2021-06-01
JM,0.07093043379100086,jm2109,jm2111,2021-06-01
IH,0.07211800487938648,IH2106,IH2109,2021-06-01
SC,0.07386322192118285,SC2107,SC2108,2021-06-01
C,0.0784911212304499,c2109,c2111,2021-06-01
RB,0.07877371556147175,RB2110,RB2201,2021-06-01
HC,0.08401015052367351,HC2110,HC2201,2021-06-01
IC,0.09827013710331897,IC2106,IC2109,2021-06-01
Y,0.10390955063342219,y2109,y2201,2021-06-01
WR,0.10684168045278605,WR2110,WR2205,2021-06-01
J,0.11243741091740064,j2109,j2111,2021-06-01
P,0.1259264766527114,p2109,p2201,2021-06-01
OI,0.13282083158537344,OI109,OI201,2021-06-01
V,0.13582923015222897,v2109,v2111,2021-06-01
FG,0.1380734264580038,FG109,FG201,2021-06-01
ZC,0.14126544025693497,ZC109,ZC201,2021-06-01
RM,0.19902584441016546,RM109,RM201,2021-06-01
SS,0.22857833964833368,SS2107,SS2108,2021-06-01
UR,0.2668268781610289,UR107,UR109,2021-06-01
LH,0.2751214317632363,lh2109,lh2201,2021-06-01
I,0.27845533741496736,i2109,i2203,2021-06-01
EB,0.3132625966580377,eb2107,eb2108,2021-06-01
PM,0.4593462539198402,PM107,PM109,2021-06-01
JD,0.5917917564143291,jd2108,jd2109,2021-06-01
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-01
BB,-1.3831807598795516,bb2106,bb2107,2021-06-02
CJ,-0.45711439149060235,CJ109,CJ201,2021-06-02
FB,-0.25489997314994,fb2106,fb2109,2021-06-02
RU,-0.24809323295276633,RU2109,RU2201,2021-06-02
SA,-0.2113460631867971,SA109,SA201,2021-06-02
NR,-0.18096478669283683,NR2107,NR2108,2021-06-02
B,-0.11666758563974301,b2107,b2108,2021-06-02
SR,-0.10706946332367624,SR109,SR201,2021-06-02
BU,-0.10313138984800974,BU2108,BU2109,2021-06-02
MA,-0.08264985530469195,MA109,MA201,2021-06-02
PF,-0.06878837168079235,PF107,PF109,2021-06-02
CF,-0.06353959657692745,CF109,CF201,2021-06-02
AP,-0.06323732287583313,AP110,AP201,2021-06-02
SM,-0.061951608945683315,SM108,SM109,2021-06-02
PB,-0.05848914909894423,PB2107,PB2108,2021-06-02
LU,-0.050740033314252767,LU2108,LU2109,2021-06-02
TA,-0.045916097970279,TA109,TA201,2021-06-02
RR,-0.04396862968262725,rr2108,rr2110,2021-06-02
AG,-0.03682699403099274,AG2106,AG2112,2021-06-02
CU,-0.030904795123140538,CU2107,CU2108,2021-06-02
BC,-0.027436945113206733,BC2107,BC2108,2021-06-02
SP,-0.02717571776156289,SP2107,SP2109,2021-06-02
PK,-0.024600811597667624,PK110,PK201,2021-06-02
A,-0.02354349177970321,a2109,a2111,2021-06-02
AU,-0.012179158020813076,AU2108,AU2112,2021-06-02
SF,-0.010013114733040826,SF107,SF109,2021-06-02
M,-0.00588153108144516,m2109,m2201,2021-06-02
FU,-0.004713276696123438,FU2109,FU2201,2021-06-02
AL,0.00322537295316355,AL2107,AL2108,2021-06-02
ZN,0.005186946266191829,ZN2107,ZN2108,2021-06-02
EG,0.00840252212946305,eg2109,eg2111,2021-06-02
TF,0.011828693180086619,TF2109,TF2112,2021-06-02
TS,0.011948629814904337,TS2106,TS2109,2021-06-02
T,0.012238663295821996,T2109,T2112,2021-06-02
NI,0.021577888484369253,NI2107,NI2108,2021-06-02
SN,0.023759515186759242,SN2107,SN2108,2021-06-02
PG,0.024654728453595197,pg2107,pg2108,2021-06-02
PP,0.03008058871454345,pp2109,pp2110,2021-06-02
L,0.0307495363644006,l2109,l2110,2021-06-02
CS,0.03584352744325783,cs2107,cs2109,2021-06-02
SC,0.05206081918317756,SC2107,SC2108,2021-06-02
IF,0.06506195136572857,IF2106,IF2109,2021-06-02
IH,0.07286338812409619,IH2106,IH2109,2021-06-02
HC,0.07765755903111994,HC2110,HC2201,2021-06-02
RB,0.08404349570180537,RB2110,RB2201,2021-06-02
C,0.09354309737470116,c2109,c2111,2021-06-02
WR,0.09568810183337842,WR2110,WR2205,2021-06-02
J,0.10202532545351035,j2109,j2111,2021-06-02
Y,0.10224337451569335,y2109,y2201,2021-06-02
IC,0.10255252373723442,IC2106,IC2109,2021-06-02
V,0.10742418051689367,v2109,v2111,2021-06-02
JM,0.1107523302291129,jm2109,jm2111,2021-06-02
P,0.12233791252401074,p2109,p2201,2021-06-02
OI,0.12399403381338589,OI109,OI201,2021-06-02
FG,0.13053069471596618,FG109,FG201,2021-06-02
ZC,0.16346455585220904,ZC109,ZC201,2021-06-02
RM,0.18588188207753142,RM109,RM201,2021-06-02
SS,0.2026314562983064,SS2107,SS2108,2021-06-02
LH,0.207725347507647,lh2109,lh2201,2021-06-02
UR,0.22926163104784936,UR107,UR109,2021-06-02
EB,0.2695824741191518,eb2107,eb2108,2021-06-02
I,0.2737982415123757,i2109,i2203,2021-06-02
JD,0.5837628954653854,jd2108,jd2109,2021-06-02
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-02
BB,-1.3831807598795516,bb2106,bb2107,2021-06-03
CJ,-0.47239104093656004,CJ109,CJ201,2021-06-03
FB,-0.3165657076869548,fb2106,fb2109,2021-06-03
RU,-0.24641914984373914,RU2109,RU2201,2021-06-03
SA,-0.2220400808963579,SA109,SA201,2021-06-03
NR,-0.14233743523591852,NR2108,NR2109,2021-06-03
BU,-0.12382507441650435,BU2108,BU2109,2021-06-03
SR,-0.10923600266279361,SR109,SR201,2021-06-03
B,-0.10053268354768097,b2107,b2108,2021-06-03
MA,-0.06883444109775651,MA109,MA201,2021-06-03
AP,-0.06646922329375099,AP110,AP201,2021-06-03
PF,-0.06284558517627227,PF107,PF109,2021-06-03
CF,-0.06260934289736214,CF109,CF201,2021-06-03
PB,-0.05866070016146481,PB2107,PB2108,2021-06-03
LU,-0.05326240435230822,LU2108,LU2109,2021-06-03
SM,-0.04954845749244245,SM108,SM109,2021-06-03
TA,-0.04710840598400145,TA109,TA201,2021-06-03
RR,-0.038867901024861866,rr2108,rr2110,2021-06-03
CU,-0.03773846003622966,CU2107,CU2108,2021-06-03
AG,-0.03551246234731602,AG2109,AG2112,2021-06-03
SP,-0.0336912528520898,SP2107,SP2109,2021-06-03
A,-0.021383136760494723,a2109,a2111,2021-06-03
BC,-0.020303011841642654,BC2107,BC2108,2021-06-03
PK,-0.012695904330222864,PK110,PK201,2021-06-03
AU,-0.011946334923655978,AU2108,AU2112,2021-06-03
M,-0.0008322929724627612,m2109,m2201,2021-06-03
FU,0.0011483253728722873,FU2109,FU2201,2021-06-03
