,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.AP,CZCE.AP,7752.0,2020-05-19 00:00:00+08:00,7868.0,2020-03-13 00:00:00+08:00,2020-01-02,-0.014853025938347546,67.0,-0.0798073035493301
CZCE.CF,CZCE.CF,14070.0,2020-05-19 00:00:00+08:00,14480.0,2020-09-14 00:00:00+08:00,2020-01-02,-0.028723515831272587,118.0,-0.08763106524795027
CZCE.CJ,CZCE.CJ,10925.0,2020-05-19 00:00:00+08:00,10935.0,2020-09-14 00:00:00+08:00,2020-01-02,-0.0009149131470773596,118.0,-0.0027912604487105885
CZCE.CY,CZCE.CY,22155.0,2020-05-19 00:00:00+08:00,19640.0,2020-01-15 00:00:00+08:00,2020-01-02,0.12049490172513308,125.0,0.3470253169683833
CZCE.FG,CZCE.FG,1485.0,2020-05-19 00:00:00+08:00,1466.0,2020-09-14 00:00:00+08:00,2020-01-02,0.012877168790203206,118.0,0.039286277665026736
CZCE.JR,CZCE.JR,2801.0,2020-01-15 00:00:00+08:00,2782.0,2020-03-13 00:00:00+08:00,2020-01-02,0.006806402776720302,58.0,0.04224663792447084
CZCE.LR,CZCE.LR,2720.0,2020-07-14 00:00:00+08:00,2586.0,2020-05-19 00:00:00+08:00,2020-01-02,0.05051959995824024,56.0,0.32476885687440155
CZCE.MA,CZCE.MA,2195.0,2020-05-19 00:00:00+08:00,2201.0,2020-09-14 00:00:00+08:00,2020-01-02,-0.002729756017189986,118.0,-0.008328069204986396
CZCE.OI,CZCE.OI,7702.0,2020-05-19 00:00:00+08:00,7581.0,2020-09-14 00:00:00+08:00,2020-01-02,0.015834918318550384,118.0,0.04830992029388253
CZCE.PM,CZCE.PM,2230.0,2020-07-14 00:00:00+08:00,2320.0,2020-01-15 00:00:00+08:00,2020-01-02,-0.03956560020619125,181.0,-0.0786940114598279
CZCE.RI,CZCE.RI,2626.0,2020-05-19 00:00:00+08:00,2643.0,2020-11-13 00:00:00+08:00,2020-01-02,-0.0064528597415477494,178.0,-0.013050727567175225
CZCE.RM,CZCE.RM,2328.0,2020-05-19 00:00:00+08:00,2370.0,2020-09-14 00:00:00+08:00,2020-01-02,-0.01788042527784841,118.0,-0.05455045000021548
CZCE.RS,CZCE.RS,4438.0,2020-07-14 00:00:00+08:00,4186.0,2020-08-14 00:00:00+08:00,2020-01-02,0.05845820048659415,31.0,0.6788694250056094
CZCE.SA,CZCE.SA,1631.0,2020-05-19 00:00:00+08:00,1686.0,2020-09-14 00:00:00+08:00,2020-01-02,-0.03316553594078685,118.0,-0.10118299100579038
CZCE.SF,CZCE.SF,5842.0,2020-05-19 00:00:00+08:00,5886.0,2020-01-15 00:00:00+08:00,2020-01-02,-0.007503445845731832,125.0,-0.021609924035707676
CZCE.SM,CZCE.SM,6392.0,2020-05-19 00:00:00+08:00,6314.0,2020-09-14 00:00:00+08:00,2020-01-02,0.012277818328173533,118.0,0.03745775083171586
