underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.AP,CZCE.AP,8226.0,2023-05-17 00:00:00+08:00,8486.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.031117876971900736,64,-0.17503805796694163
CZCE.CF,CZCE.CF,14225.0,2023-05-17 00:00:00+08:00,14185.0,2023-03-14 00:00:00+08:00,2023-01-03,0.002815911751579918,64,0.01583950360263704
CZCE.CJ,CZCE.CJ,10370.0,2023-05-17 00:00:00+08:00,10540.0,2023-09-14 00:00:00+08:00,2023-01-03,-0.01626052087178029,120,-0.04878156261534087
CZCE.CY,CZCE.CY,21635.0,2023-05-17 00:00:00+08:00,20925.0,2023-01-16 00:00:00+08:00,2023-01-03,0.033367757301309,121,0.09927597213612596
CZCE.FG,CZCE.FG,1663.0,2023-05-17 00:00:00+08:00,1609.0,2023-03-14 00:00:00+08:00,2023-01-03,0.03301033220054441,64,0.1856831186280623
CZCE.JR,CZCE.JR,2662.0,2023-05-17 00:00:00+08:00,2758.0,2023-01-16 00:00:00+08:00,2023-01-03,-0.03542805939819022,121,-0.10540579655659901
CZCE.LR,CZCE.LR,2360.0,2023-03-14 00:00:00+08:00,2525.0,2023-01-16 00:00:00+08:00,2023-01-03,-0.06757944368980438,57,-0.4268175390935014
CZCE.MA,CZCE.MA,2654.0,2023-05-17 00:00:00+08:00,2660.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.0022581868835919784,64,-0.012702301220204878
CZCE.OI,CZCE.OI,10691.0,2023-05-17 00:00:00+08:00,10983.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.02694635677484603,64,-0.15157325685850892
CZCE.PF,CZCE.PF,7158.0,2023-03-14 00:00:00+08:00,7150.0,2023-02-14 00:00:00+08:00,2023-01-03,0.0011182556379177994,28,0.014377572487514563
CZCE.PK,CZCE.PK,10082.0,2023-04-17 00:00:00+08:00,10174.0,2023-10-20 00:00:00+08:00,2023-01-03,-0.00908379074013422,186,-0.01758153046477591
CZCE.PM,CZCE.PM,3043.0,2023-01-16 00:00:00+08:00,3122.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.02562995117840629,57,-0.1618733758636187
CZCE.RI,CZCE.RI,2479.0,2023-09-14 00:00:00+08:00,2479.0,2023-07-14 00:00:00+08:00,2023-01-03,0.0,62,0.0
CZCE.RM,CZCE.RM,3231.0,2023-05-17 00:00:00+08:00,3205.0,2023-03-14 00:00:00+08:00,2023-01-03,0.00807959646972784,64,0.045447730142219096
CZCE.RS,CZCE.RS,5982.0,2023-11-14 00:00:00+08:00,5804.0,2023-07-14 00:00:00+08:00,2023-01-03,0.03020762518581496,123,0.08841256151945842
CZCE.SA,CZCE.SA,2728.0,2023-05-17 00:00:00+08:00,2897.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.06010697880599773,64,-0.33810175578373725
CZCE.SF,CZCE.SF,8402.0,2023-03-14 00:00:00+08:00,8306.0,2023-05-17 00:00:00+08:00,2023-01-03,0.011491627538628535,64,0.06464040490478551
CZCE.SM,CZCE.SM,7556.0,2023-05-17 00:00:00+08:00,7576.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.00264340624451399,64,-0.014869160125391193
CZCE.SR,CZCE.SR,5785.0,2023-03-14 00:00:00+08:00,5785.0,2023-05-17 00:00:00+08:00,2023-01-03,0.0,64,0.0
CZCE.TA,CZCE.TA,5480.0,2023-05-17 00:00:00+08:00,5478.0,2023-03-14 00:00:00+08:00,2023-01-03,0.00036503011903783506,64,0.002053294419587822
CZCE.UR,CZCE.UR,2551.0,2023-05-17 00:00:00+08:00,2641.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.03467219415532087,64,-0.1950310921236799
CZCE.WH,CZCE.WH,3284.0,2023-03-14 00:00:00+08:00,3493.0,2023-11-14 00:00:00+08:00,2023-01-03,-0.06169877423451313,245,-0.09065942336499888
CZCE.ZC,CZCE.ZC,801.4,2023-05-10 00:00:00+08:00,801.4,2023-06-07 00:00:00+08:00,2023-01-03,0.0,28,0.0
DCE.A,DCE.A,5222.0,2023-05-17 00:00:00+08:00,5274.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.009908617654157867,64,-0.055735974304637996
