,date,cashPrice,code
0,2018-11-13,3550,A
1,2018-11-14,3550,A
2,2018-11-16,3550,A
3,2018-11-20,3550,A
4,2018-11-23,3550,A
5,2018-11-26,3550,A
6,2018-11-27,3550,A
7,2018-11-29,3550,A
8,2018-11-30,3550,A
9,2018-12-03,3550,A
10,2018-12-04,3550,A
11,2018-12-07,3550,A
12,2018-12-10,3550,A
13,2018-12-13,3550,A
14,2018-12-17,3550,A
15,2018-12-19,3550,A
16,2018-12-25,3500,A
17,2018-12-26,3500,A
18,2018-12-27,3500,A
19,2018-12-28,3500,A
20,2019-01-03,3500,A
21,2019-01-04,3500,A
22,2019-01-08,3500,A
23,2019-01-09,3500,A
24,2019-01-10,3500,A
25,2019-01-11,3500,A
26,2019-01-14,3400,A
27,2019-01-15,3400,A
28,2019-01-16,3400,A
29,2019-01-17,3400,A
30,2019-01-18,3400,A
31,2019-01-21,3400,A
32,2019-01-28,3400,A
33,2019-01-29,3400,A
34,2019-01-30,3400,A
35,2019-01-31,3400,A
36,2019-02-01,3400,A
37,2019-02-11,3400,A
38,2019-02-12,3400,A
39,2019-02-13,3400,A
40,2019-02-14,3400,A
41,2019-02-15,3400,A
42,2019-02-19,3400,A
43,2019-02-20,3400,A
44,2019-02-21,3400,A
45,2019-02-22,3400,A
46,2019-02-25,3400,A
47,2019-02-26,3400,A
48,2019-02-27,3400,A
49,2019-02-28,3400,A
50,2019-03-01,3400,A
51,2019-03-04,3400,A
52,2019-03-05,3400,A
53,2019-03-06,3400,A
54,2019-03-07,3350,A
55,2019-03-08,3350,A
56,2019-03-11,3350,A
57,2019-03-12,3350,A
58,2019-03-13,3350,A
59,2019-03-14,3350,A
60,2019-03-15,3350,A
61,2019-03-19,3350,A
62,2019-03-20,3350,A
63,2019-03-21,3350,A
64,2019-03-22,3350,A
65,2019-03-27,3350,A
66,2019-03-28,3350,A
67,2019-03-29,3350,A
68,2019-04-01,3350,A
69,2019-04-03,3350,A
70,2019-04-09,3350,A
71,2019-04-10,3350,A
72,2019-04-15,3350,A
73,2019-04-16,3350,A
74,2019-04-17,3350,A
75,2019-04-18,3350,A
76,2019-04-19,3350,A
77,2019-04-23,3350,A
78,2019-04-24,3350,A
79,2019-04-25,3350,A
80,2019-04-26,3350,A
81,2019-04-29,3350,A
82,2019-04-30,3350,A
83,2019-05-06,3350,A
84,2019-05-07,3350,A
85,2019-05-09,3350,A
86,2019-05-13,3350,A
87,2019-05-14,3350,A
88,2019-05-15,3350,A
89,2019-05-16,3350,A
90,2019-05-17,3350,A
91,2019-05-20,3450,A
92,2019-05-21,3450,A
93,2019-05-22,3450,A
94,2019-05-23,3450,A
95,2019-05-24,3450,A
96,2019-05-28,3450,A
97,2019-05-29,3450,A
98,2019-05-31,3450,A
99,2019-06-03,3450,A
100,2019-06-04,3450,A
101,2019-06-10,3450,A
102,2019-06-11,3450,A
103,2019-06-12,3450,A
104,2019-06-13,3450,A
105,2019-06-14,3450,A
106,2019-06-17,3450,A
107,2019-06-18,3450,A
108,2019-06-19,3450,A
109,2019-06-20,3450,A
110,2019-06-21,3550,A
111,2019-06-24,3550,A
112,2019-06-25,3550,A
113,2019-06-26,3550,A
114,2019-06-27,3550,A
115,2019-06-28,3550,A
116,2019-07-01,3550,A
117,2019-07-02,3550,A
118,2019-07-03,3550,A
119,2019-07-04,3550,A
120,2019-07-05,3550,A
121,2019-07-08,3550,A
122,2019-07-09,3550,A
123,2019-07-10,3550,A
124,2019-07-11,3550,A
125,2019-07-12,3550,A
126,2019-07-15,3550,A
127,2019-07-16,3550,A
128,2019-07-17,3550,A
129,2019-07-18,3550,A
130,2019-07-19,3550,A
131,2019-07-22,3550,A
132,2019-07-23,3550,A
133,2019-07-24,3550,A
134,2019-07-25,3550,A
135,2019-07-26,3550,A
136,2019-07-29,3550,A
137,2019-07-30,3550,A
138,2019-07-31,3550,A
139,2019-08-01,3550,A
140,2019-08-02,3550,A
141,2019-08-05,3550,A
142,2019-08-06,3550,A
143,2019-08-07,3550,A
144,2019-08-08,3550,A
145,2019-08-09,3550,A
146,2019-08-12,3550,A
147,2019-08-13,3550,A
148,2019-08-14,3550,A
149,2019-08-15,3550,A
150,2019-08-16,3550,A
151,2019-08-19,3550,A
152,2019-08-20,3550,A
153,2019-08-21,3550,A
154,2019-08-22,3550,A
155,2019-08-23,3550,A
156,2019-08-26,3550,A
157,2019-08-27,3580,A
158,2019-08-28,3580,A
159,2019-08-29,3580,A
160,2019-08-30,3580,A
161,2019-09-02,3580,A
162,2019-09-03,3580,A
163,2019-09-04,3580,A
164,2019-09-05,3580,A
165,2019-09-06,3580,A
166,2019-09-09,3580,A
167,2019-09-10,3580,A
168,2019-09-11,3580,A
169,2019-09-12,3580,A
170,2019-09-16,3580,A
171,2019-09-17,3580,A
172,2019-09-18,3580,A
173,2019-09-19,3580,A
174,2019-09-20,3580,A
175,2019-09-23,3650,A
176,2019-09-24,3650,A
177,2019-09-25,3650,A
178,2019-09-26,3650,A
179,2019-09-27,3650,A
180,2019-09-30,3500,A
181,2019-10-10,3480,A
182,2019-10-11,3480,A
183,2019-10-14,3480,A
184,2019-10-17,3480,A
185,2019-10-18,3480,A
186,2019-10-21,3460,A
187,2019-10-24,3460,A
188,2019-10-25,3460,A
189,2019-10-28,3460,A
190,2019-10-31,3460,A
191,2019-11-01,3460,A
192,2019-11-04,3460,A
193,2019-11-05,3460,A
194,2019-11-06,3460,A
195,2019-11-07,3460,A
196,2019-11-08,3460,A
197,2019-11-11,3460,A
198,2019-11-12,3460,A
199,2019-11-13,3460,A
200,2019-11-14,3460,A
201,2019-11-15,3460,A
202,2019-11-18,3460,A
203,2019-11-19,3460,A
204,2019-11-20,3460,A
205,2019-11-21,3460,A
206,2019-11-22,3460,A
207,2019-11-25,3460,A
208,2019-11-26,3460,A
209,2019-11-27,3460,A
210,2019-11-28,3460,A
211,2019-11-29,3460,A
212,2019-12-02,3480,A
213,2019-12-03,3480,A
214,2019-12-04,3480,A
215,2019-12-05,3500,A
216,2019-12-06,3500,A
217,2019-12-09,3500,A
218,2019-12-10,3500,A
219,2019-12-11,3500,A
220,2019-12-12,3500,A
221,2019-12-13,3500,A
222,2019-12-16,3500,A
223,2019-12-17,3500,A
224,2019-12-18,3500,A
225,2019-12-19,3500,A
226,2019-12-20,3500,A
227,2019-12-23,3540,A
228,2019-12-24,3540,A
229,2019-12-25,3540,A
230,2019-12-26,3540,A
231,2019-12-27,3540,A
232,2019-12-31,3540,A
233,2020-01-02,3540,A
234,2020-01-03,3540,A
235,2020-01-06,3540,A
236,2020-01-07,3600,A
237,2020-01-08,3600,A
238,2020-01-09,3600,A
239,2020-01-10,3600,A
240,2020-01-20,3650,A
241,2020-01-21,3650,A
242,2020-01-22,3650,A
243,2020-01-23,3650,A
244,2020-02-03,3650,A
245,2020-02-04,3650,A
246,2020-02-05,3650,A
247,2020-02-06,3650,A
248,2020-02-07,3650,A
249,2020-02-10,3650,A
250,2020-02-11,3650,A
251,2020-02-12,3650,A
252,2020-02-13,3650,A
253,2020-02-14,3650,A
254,2020-02-17,3650,A
255,2020-02-18,3650,A
256,2020-02-19,3650,A
257,2020-02-20,3650,A
258,2020-02-21,3750,A
259,2020-02-24,3750,A
260,2020-02-25,3750,A
261,2020-02-26,3750,A
262,2020-02-27,3750,A
263,2020-02-28,3750,A
264,2020-03-02,3750,A
265,2020-03-03,3800,A
266,2020-03-04,3800,A
267,2020-03-06,3800,A
268,2020-03-09,3800,A
269,2020-03-11,3800,A
270,2020-03-12,3800,A
271,2020-03-13,3850,A
272,2020-03-16,3900,A
273,2020-03-17,3950,A
274,2020-03-18,3950,A
275,2020-03-19,4000,A
276,2020-03-20,4000,A
277,2020-03-23,4000,A
278,2020-03-24,4100,A
279,2020-03-25,4100,A
280,2020-03-26,4100,A
281,2020-03-27,4200,A
282,2020-03-30,4400,A
283,2020-03-31,4400,A
284,2020-04-01,4400,A
285,2020-04-02,4600,A
286,2020-04-03,4600,A
287,2020-04-07,4600,A
288,2020-04-08,4600,A
289,2020-04-09,4600,A
290,2020-04-10,4600,A
291,2020-04-13,4600,A
292,2020-04-14,4600,A
293,2020-04-15,4600,A
