,date,cashPrice,code
0,2018-11-13,3400,B
1,2018-11-14,3400,B
2,2018-11-16,3400,B
3,2018-11-20,3400,B
4,2018-11-23,3400,B
5,2018-11-26,3400,B
6,2018-11-27,3400,B
7,2018-11-29,3400,B
8,2018-11-30,3400,B
9,2018-12-03,3400,B
10,2018-12-04,3400,B
11,2018-12-07,3400,B
12,2018-12-10,3400,B
13,2018-12-11,3400,B
14,2018-12-13,3400,B
15,2018-12-17,3400,B
16,2018-12-19,3400,B
17,2018-12-25,3400,B
18,2018-12-26,3400,B
19,2018-12-27,3400,B
20,2018-12-28,3400,B
21,2019-01-03,3400,B
22,2019-01-04,3400,B
23,2019-01-08,3400,B
24,2019-01-09,3400,B
25,2019-01-10,3400,B
26,2019-01-11,3400,B
27,2019-01-16,3400,B
28,2019-01-21,3350,B
29,2019-01-28,3350,B
30,2019-01-29,3350,B
31,2019-01-31,3350,B
32,2019-02-12,3350,B
33,2019-02-13,3350,B
34,2019-02-14,3350,B
35,2019-02-15,3350,B
36,2019-02-19,3350,B
37,2019-02-20,3350,B
38,2019-02-21,3350,B
39,2019-02-22,3350,B
40,2019-02-25,3350,B
41,2019-02-26,3350,B
42,2019-02-27,3350,B
43,2019-02-28,3350,B
44,2019-03-01,3350,B
45,2019-03-04,3350,B
46,2019-03-05,3350,B
47,2019-03-06,3350,B
48,2019-03-07,3350,B
49,2019-03-08,3350,B
50,2019-03-11,3350,B
51,2019-03-13,3350,B
52,2019-03-14,3350,B
53,2019-03-15,3350,B
54,2019-03-19,3350,B
55,2019-03-20,3350,B
56,2019-03-21,3350,B
57,2019-03-22,3350,B
58,2019-03-27,3350,B
59,2019-03-28,3350,B
60,2019-03-29,3350,B
61,2019-04-01,3350,B
62,2019-04-03,3350,B
63,2019-04-09,3220,B
64,2019-04-10,3220,B
65,2019-04-15,3100,B
66,2019-04-16,3100,B
67,2019-04-17,3100,B
68,2019-04-18,3100,B
69,2019-04-19,3100,B
70,2019-04-23,3100,B
71,2019-04-24,3100,B
72,2019-04-25,3100,B
73,2019-04-26,3100,B
74,2019-04-29,3100,B
75,2019-04-30,3100,B
76,2019-05-06,3100,B
77,2019-05-07,3100,B
78,2019-05-09,3100,B
79,2019-05-13,3100,B
80,2019-05-14,3100,B
81,2019-05-15,3100,B
82,2019-05-16,3100,B
83,2019-05-17,3100,B
84,2019-05-20,3100,B
85,2019-05-21,3100,B
86,2019-05-22,3100,B
87,2019-05-23,3100,B
88,2019-05-24,3100,B
89,2019-05-28,3100,B
90,2019-05-29,3100,B
91,2019-05-31,3100,B
92,2019-06-03,3100,B
93,2019-06-04,3100,B
94,2019-06-10,3100,B
95,2019-06-11,3100,B
96,2019-06-12,3100,B
97,2019-06-13,3100,B
98,2019-06-14,3100,B
99,2019-06-17,3100,B
100,2019-06-18,3100,B
101,2019-06-19,3100,B
102,2019-06-20,3100,B
103,2019-06-21,3100,B
104,2019-06-24,3100,B
