,date,cashPrice,code
0,2018-11-13,2450,CS
1,2018-11-14,2450,CS
2,2018-11-16,2450,CS
3,2018-11-20,2450,CS
4,2018-11-23,2450,CS
5,2018-11-26,2450,CS
6,2018-11-27,2500,CS
7,2018-11-29,2500,CS
8,2018-11-30,2500,CS
9,2018-12-03,2500,CS
10,2018-12-04,2500,CS
11,2018-12-07,2500,CS
12,2018-12-10,2500,CS
13,2018-12-13,2500,CS
14,2018-12-17,2500,CS
15,2018-12-19,2500,CS
16,2018-12-25,2500,CS
17,2018-12-26,2500,CS
18,2018-12-27,2500,CS
19,2018-12-28,2500,CS
20,2019-01-03,2450,CS
21,2019-01-04,2450,CS
22,2019-01-08,2450,CS
23,2019-01-10,2450,CS
24,2019-01-14,2400,CS
25,2019-01-16,2400,CS
26,2019-01-17,2400,CS
27,2019-01-18,2400,CS
28,2019-01-21,2380,CS
29,2019-01-28,2380,CS
30,2019-01-29,2380,CS
31,2019-01-30,2380,CS
32,2019-02-11,2380,CS
33,2019-02-12,2380,CS
34,2019-02-13,2380,CS
35,2019-02-14,2350,CS
36,2019-02-15,2350,CS
37,2019-02-19,2350,CS
38,2019-02-20,2350,CS
39,2019-02-21,2350,CS
40,2019-02-22,2350,CS
41,2019-02-25,2350,CS
42,2019-02-26,2350,CS
43,2019-02-27,2350,CS
44,2019-02-28,2350,CS
45,2019-03-01,2350,CS
46,2019-03-04,2350,CS
47,2019-03-05,2350,CS
48,2019-03-06,2350,CS
49,2019-03-07,2350,CS
50,2019-03-08,2350,CS
51,2019-03-11,2350,CS
52,2019-03-12,2350,CS
53,2019-03-13,2350,CS
54,2019-03-14,2350,CS
55,2019-03-15,2350,CS
56,2019-03-19,2380,CS
57,2019-03-20,2380,CS
58,2019-03-21,2380,CS
59,2019-03-22,2380,CS
60,2019-03-27,2380,CS
61,2019-03-28,2380,CS
62,2019-03-29,2380,CS
63,2019-04-01,2380,CS
64,2019-04-03,2380,CS
65,2019-04-09,2380,CS
66,2019-04-10,2380,CS
67,2019-04-15,2380,CS
68,2019-04-16,2380,CS
69,2019-04-17,2380,CS
70,2019-04-18,2380,CS
71,2019-04-19,2380,CS
72,2019-04-23,2360,CS
73,2019-04-24,2360,CS
74,2019-04-25,2360,CS
75,2019-04-26,2360,CS
76,2019-04-29,2360,CS
77,2019-04-30,2360,CS
78,2019-05-06,2360,CS
79,2019-05-07,2360,CS
80,2019-05-09,2360,CS
81,2019-05-13,2360,CS
82,2019-05-14,2360,CS
83,2019-05-15,2360,CS
84,2019-05-16,2360,CS
85,2019-05-17,2360,CS
86,2019-05-20,2360,CS
87,2019-05-21,2360,CS
88,2019-05-22,2360,CS
89,2019-05-23,2360,CS
90,2019-05-24,2360,CS
91,2019-05-28,2360,CS
92,2019-05-29,2360,CS
93,2019-05-31,2360,CS
94,2019-06-03,2360,CS
95,2019-06-04,2360,CS
96,2019-06-10,2380,CS
97,2019-06-11,2380,CS
98,2019-06-12,2400,CS
99,2019-06-13,2400,CS
100,2019-06-14,2400,CS
101,2019-06-17,2400,CS
102,2019-06-18,2400,CS
103,2019-06-19,2400,CS
104,2019-06-20,2400,CS
105,2019-06-21,2400,CS
106,2019-06-24,2400,CS
107,2019-06-25,2400,CS
108,2019-06-26,2400,CS
109,2019-06-27,2400,CS
110,2019-06-28,2400,CS
111,2019-07-01,2400,CS
112,2019-07-02,2400,CS
113,2019-07-03,2400,CS
114,2019-07-04,2400,CS
115,2019-07-05,2400,CS
116,2019-07-08,2400,CS
117,2019-07-09,2400,CS
118,2019-07-10,2400,CS
119,2019-07-11,2400,CS
120,2019-07-12,2400,CS
121,2019-07-15,2400,CS
122,2019-07-16,2400,CS
123,2019-07-17,2400,CS
124,2019-07-18,2400,CS
125,2019-07-19,2400,CS
126,2019-07-22,2400,CS
127,2019-07-23,2400,CS
128,2019-07-24,2400,CS
129,2019-07-25,2400,CS
130,2019-07-26,2400,CS
131,2019-07-29,2400,CS
132,2019-07-30,2400,CS
133,2019-07-31,2400,CS
134,2019-08-01,2400,CS
135,2019-08-02,2400,CS
136,2019-08-05,2400,CS
137,2019-08-06,2400,CS
138,2019-08-07,2400,CS
139,2019-08-08,2400,CS
140,2019-08-09,2400,CS
141,2019-08-12,2400,CS
142,2019-08-13,2400,CS
143,2019-08-14,2400,CS
144,2019-08-15,2400,CS
145,2019-08-16,2400,CS
146,2019-08-19,2400,CS
147,2019-08-20,2400,CS
148,2019-08-21,2400,CS
149,2019-08-22,2400,CS
150,2019-08-23,2400,CS
151,2019-08-26,2400,CS
152,2019-08-27,2400,CS
153,2019-08-28,2400,CS
154,2019-08-29,2400,CS
155,2019-08-30,2400,CS
156,2019-09-02,2400,CS
157,2019-09-03,2400,CS
158,2019-09-04,2400,CS
159,2019-09-05,2400,CS
160,2019-09-06,2400,CS
161,2019-09-09,2400,CS
162,2019-09-10,2400,CS
163,2019-09-11,2400,CS
164,2019-09-12,2400,CS
165,2019-09-16,2400,CS
166,2019-09-17,2400,CS
167,2019-09-18,2400,CS
168,2019-09-19,2400,CS
169,2019-09-20,2400,CS
170,2019-09-23,2400,CS
171,2019-09-24,2400,CS
172,2019-09-25,2400,CS
173,2019-09-26,2400,CS
174,2019-09-27,2400,CS
175,2019-09-30,2400,CS
176,2019-10-08,2380,CS
177,2019-10-09,2380,CS
178,2019-10-10,2350,CS
179,2019-10-11,2330,CS
180,2019-10-14,2330,CS
181,2019-10-15,2330,CS
182,2019-10-16,2330,CS
183,2019-10-17,2330,CS
184,2019-10-18,2330,CS
185,2019-10-21,2330,CS
186,2019-10-22,2330,CS
187,2019-10-23,2300,CS
188,2019-10-24,2300,CS
189,2019-10-25,2300,CS
190,2019-10-28,2300,CS
191,2019-10-29,2300,CS
192,2019-10-30,2300,CS
193,2019-10-31,2300,CS
194,2019-11-01,2300,CS
195,2019-11-04,2300,CS
196,2019-11-05,2300,CS
197,2019-11-06,2300,CS
198,2019-11-07,2300,CS
199,2019-11-08,2300,CS
200,2019-11-11,2300,CS
201,2019-11-12,2300,CS
202,2019-11-13,2300,CS
203,2019-11-14,2300,CS
204,2019-11-15,2300,CS
205,2019-11-18,2300,CS
206,2019-11-19,2300,CS
207,2019-11-20,2300,CS
208,2019-11-21,2300,CS
209,2019-11-22,2300,CS
210,2019-11-25,2300,CS
211,2019-11-26,2300,CS
212,2019-11-27,2300,CS
213,2019-11-28,2300,CS
214,2019-11-29,2300,CS
215,2019-12-02,2330,CS
216,2019-12-03,2330,CS
217,2019-12-04,2330,CS
218,2019-12-05,2330,CS
219,2019-12-06,2350,CS
220,2019-12-09,2350,CS
221,2019-12-10,2350,CS
222,2019-12-11,2350,CS
223,2019-12-12,2350,CS
224,2019-12-13,2350,CS
225,2019-12-16,2350,CS
226,2019-12-17,2350,CS
227,2019-12-18,2350,CS
228,2019-12-19,2350,CS
229,2019-12-20,2350,CS
230,2019-12-23,2350,CS
231,2019-12-24,2350,CS
232,2019-12-25,2350,CS
233,2019-12-26,2350,CS
234,2019-12-27,2350,CS
235,2019-12-30,2350,CS
236,2019-12-31,2350,CS
237,2020-01-02,2350,CS
238,2020-01-03,2350,CS
239,2020-01-06,2350,CS
240,2020-01-07,2350,CS
241,2020-01-08,2350,CS
242,2020-01-09,2320,CS
243,2020-01-10,2320,CS
244,2020-01-13,2320,CS
245,2020-01-14,2320,CS
246,2020-01-15,2320,CS
247,2020-01-16,2320,CS
248,2020-01-17,2320,CS
249,2020-01-20,2320,CS
250,2020-01-21,2320,CS
251,2020-01-23,2320,CS
252,2020-02-03,2320,CS
253,2020-02-04,2320,CS
254,2020-02-07,2320,CS
255,2020-02-10,2320,CS
256,2020-02-11,2320,CS
257,2020-02-12,2320,CS
258,2020-02-13,2320,CS
259,2020-02-17,2320,CS
260,2020-02-18,2320,CS
261,2020-02-19,2320,CS
262,2020-02-20,2320,CS
263,2020-02-21,2320,CS
264,2020-02-24,2320,CS
265,2020-02-25,2320,CS
266,2020-02-26,2320,CS
267,2020-02-27,2320,CS
268,2020-02-28,2320,CS
269,2020-03-02,2320,CS
270,2020-03-03,2320,CS
271,2020-03-04,2320,CS
272,2020-03-05,2320,CS
273,2020-03-06,2320,CS
274,2020-03-09,2320,CS
275,2020-03-10,2320,CS
276,2020-03-11,2320,CS
277,2020-03-12,2320,CS
278,2020-03-13,2320,CS
279,2020-03-16,2320,CS
280,2020-03-17,2320,CS
281,2020-03-18,2320,CS
282,2020-03-19,2320,CS
283,2020-03-20,2320,CS
284,2020-03-23,2320,CS
285,2020-03-24,2320,CS
286,2020-03-25,2320,CS
287,2020-03-26,2320,CS
288,2020-03-27,2320,CS
289,2020-03-30,2320,CS
290,2020-03-31,2320,CS
291,2020-04-01,2320,CS
292,2020-04-02,2320,CS
293,2020-04-03,2350,CS
294,2020-04-07,2350,CS
295,2020-04-08,2380,CS
296,2020-04-09,2380,CS
297,2020-04-10,2380,CS
298,2020-04-13,2380,CS
299,2020-04-14,2380,CS
300,2020-04-15,2380,CS
301,2020-04-16,2380,CS
302,2020-04-17,2380,CS
303,2020-04-20,2380,CS
304,2020-04-21,2380,CS
305,2020-04-22,2380,CS
306,2020-04-23,2400,CS
307,2020-04-24,2400,CS
308,2020-04-27,2400,CS
309,2020-04-28,2400,CS
310,2020-04-29,2450,CS
311,2020-04-30,2450,CS
312,2020-05-06,2450,CS
313,2020-05-07,2450,CS
314,2020-05-08,2450,CS
315,2020-05-11,2450,CS
316,2020-05-12,2450,CS
317,2020-05-13,2450,CS
318,2020-05-14,2450,CS
319,2020-05-15,2450,CS
320,2020-05-18,2450,CS
321,2020-05-19,2450,CS
322,2020-05-20,2450,CS
323,2020-05-21,2450,CS
324,2020-05-22,2450,CS
325,2020-05-25,2450,CS
326,2020-05-26,2450,CS
327,2020-05-27,2450,CS
328,2020-05-28,2450,CS
329,2020-05-29,2450,CS
330,2020-06-01,2450,CS
331,2020-06-02,2450,CS
332,2020-06-03,2450,CS
333,2020-06-04,2450,CS
334,2020-06-05,2450,CS
335,2020-06-08,2450,CS
336,2020-06-09,2450,CS
337,2020-06-10,2450,CS
338,2020-06-11,2450,CS
339,2020-06-12,2450,CS
340,2020-06-15,2450,CS
341,2020-06-16,2450,CS
342,2020-06-17,2450,CS
343,2020-06-18,2450,CS
344,2020-06-19,2450,CS
345,2020-06-22,2450,CS
346,2020-06-23,2450,CS
347,2020-06-24,2500,CS
348,2020-06-29,2550,CS
349,2020-06-30,2550,CS
350,2020-07-01,2550,CS
351,2020-07-02,2550,CS
352,2020-07-03,2550,CS
353,2020-07-06,2550,CS
354,2020-07-07,2550,CS
355,2020-07-08,2550,CS
356,2020-07-09,2550,CS
357,2020-07-10,2550,CS
358,2020-07-13,2550,CS
359,2020-07-14,2550,CS
360,2020-07-15,2550,CS
361,2020-07-16,2550,CS
362,2020-07-17,2550,CS
363,2020-07-20,2550,CS
364,2020-07-21,2550,CS
365,2020-07-22,2600,CS
366,2020-07-23,2600,CS
367,2020-07-24,2600,CS
368,2020-07-27,2600,CS
369,2020-07-28,2600,CS
370,2020-07-29,2650,CS
371,2020-07-30,2700,CS
372,2020-07-31,2750,CS
373,2020-08-03,2750,CS
374,2020-08-04,2800,CS
