,date,cashPrice,code
0,2018-11-13,6340,OI
1,2018-11-14,6250,OI
2,2018-11-15,6250,OI
3,2018-11-16,6290,OI
4,2018-11-19,6290,OI
5,2018-11-20,6290,OI
6,2018-11-21,6290,OI
7,2018-11-22,6290,OI
8,2018-11-23,6290,OI
9,2018-11-26,6290,OI
10,2018-11-27,6290,OI
11,2018-11-28,6290,OI
12,2018-11-29,6350,OI
13,2018-11-30,6350,OI
14,2018-12-03,6350,OI
15,2018-12-04,6350,OI
16,2018-12-05,6400,OI
17,2018-12-06,6400,OI
18,2018-12-07,6400,OI
19,2018-12-10,6400,OI
20,2018-12-11,6400,OI
21,2018-12-12,6450,OI
22,2018-12-13,6450,OI
23,2018-12-14,6450,OI
24,2018-12-17,6450,OI
25,2018-12-18,6450,OI
26,2018-12-19,6450,OI
27,2018-12-20,6450,OI
28,2018-12-21,6450,OI
29,2018-12-24,6360,OI
30,2018-12-25,6350,OI
31,2018-12-26,6350,OI
32,2018-12-27,6310,OI
33,2018-12-28,6310,OI
34,2019-01-02,6350,OI
35,2019-01-03,6400,OI
36,2019-01-04,6400,OI
37,2019-01-07,6400,OI
38,2019-01-08,6400,OI
39,2019-01-09,6400,OI
40,2019-01-10,6400,OI
41,2019-01-11,6400,OI
42,2019-01-14,6400,OI
43,2019-01-15,6400,OI
44,2019-01-16,6400,OI
45,2019-01-17,6400,OI
46,2019-01-18,6450,OI
47,2019-01-21,6500,OI
48,2019-01-22,6500,OI
49,2019-01-23,6500,OI
50,2019-01-24,6500,OI
51,2019-01-25,6500,OI
52,2019-01-28,6600,OI
53,2019-01-29,6600,OI
54,2019-01-30,6650,OI
55,2019-01-31,6650,OI
56,2019-02-01,6650,OI
57,2019-02-11,6650,OI
58,2019-02-12,6650,OI
59,2019-02-13,6650,OI
60,2019-02-14,6640,OI
61,2019-02-15,6590,OI
62,2019-02-18,6590,OI
63,2019-02-19,6590,OI
64,2019-02-20,6600,OI
65,2019-02-21,6590,OI
66,2019-02-22,6620,OI
67,2019-02-25,6620,OI
68,2019-02-26,6580,OI
69,2019-02-27,6580,OI
70,2019-02-28,6580,OI
71,2019-03-01,6660,OI
72,2019-03-04,6750,OI
73,2019-03-05,6750,OI
74,2019-03-06,6950,OI
75,2019-03-07,6980,OI
76,2019-03-08,7080,OI
77,2019-03-11,7080,OI
78,2019-03-12,7060,OI
79,2019-03-13,7060,OI
80,2019-03-14,6950,OI
81,2019-03-15,6950,OI
82,2019-03-18,6950,OI
83,2019-03-19,6950,OI
84,2019-03-20,6950,OI
85,2019-03-21,6950,OI
86,2019-03-22,6950,OI
87,2019-03-25,7000,OI
88,2019-03-26,7000,OI
89,2019-03-27,7100,OI
90,2019-03-28,7080,OI
91,2019-03-29,7080,OI
92,2019-04-01,6930,OI
93,2019-04-02,6930,OI
94,2019-04-03,7030,OI
95,2019-04-04,7030,OI
96,2019-04-08,7060,OI
97,2019-04-09,7000,OI
98,2019-04-10,7000,OI
99,2019-04-11,7000,OI
100,2019-04-12,7000,OI
101,2019-04-15,7050,OI
102,2019-04-16,7050,OI
103,2019-04-17,7050,OI
104,2019-04-18,7050,OI
105,2019-04-19,7050,OI
106,2019-04-22,7050,OI
107,2019-04-23,7050,OI
108,2019-04-24,7050,OI
109,2019-04-25,7050,OI
110,2019-04-26,7050,OI
111,2019-04-29,6940,OI
112,2019-04-30,6940,OI
113,2019-05-06,6940,OI
114,2019-05-07,6980,OI
115,2019-05-08,6980,OI
116,2019-05-09,7000,OI
117,2019-05-10,7000,OI
118,2019-05-13,7000,OI
119,2019-05-14,7080,OI
120,2019-05-15,7080,OI
121,2019-05-16,7080,OI
122,2019-05-17,7080,OI
123,2019-05-20,7080,OI
124,2019-05-21,7100,OI
125,2019-05-22,7100,OI
126,2019-05-23,7100,OI
127,2019-05-24,7100,OI
128,2019-05-27,7150,OI
129,2019-05-28,7150,OI
130,2019-05-29,7190,OI
131,2019-05-30,7190,OI
132,2019-05-31,7190,OI
133,2019-06-03,7160,OI
134,2019-06-04,7160,OI
135,2019-06-05,7160,OI
136,2019-06-06,7160,OI
137,2019-06-10,7160,OI
138,2019-06-11,7120,OI
139,2019-06-12,7120,OI
140,2019-06-13,7120,OI
141,2019-06-14,7120,OI
142,2019-06-17,7120,OI
143,2019-06-18,7120,OI
144,2019-06-19,7050,OI
145,2019-06-20,6920,OI
146,2019-06-21,6920,OI
147,2019-06-24,7000,OI
148,2019-06-25,7060,OI
149,2019-06-26,7060,OI
150,2019-06-27,7060,OI
151,2019-06-28,7060,OI
152,2019-07-01,6960,OI
153,2019-07-02,6960,OI
154,2019-07-03,6960,OI
155,2019-07-04,6960,OI
156,2019-07-05,6960,OI
157,2019-07-08,6960,OI
158,2019-07-09,7050,OI
159,2019-07-10,7050,OI
160,2019-07-11,7050,OI
161,2019-07-12,7050,OI
162,2019-07-15,7100,OI
163,2019-07-16,7100,OI
164,2019-07-17,7100,OI
165,2019-07-18,7100,OI
166,2019-07-19,7100,OI
167,2019-07-22,7100,OI
168,2019-07-23,7100,OI
169,2019-07-24,7100,OI
170,2019-07-25,7100,OI
171,2019-07-26,7100,OI
172,2019-07-29,7160,OI
173,2019-07-30,7160,OI
174,2019-07-31,7140,OI
175,2019-08-01,7140,OI
176,2019-08-02,7140,OI
177,2019-08-05,7160,OI
178,2019-08-06,7160,OI
179,2019-08-07,7160,OI
180,2019-08-08,7210,OI
181,2019-08-09,7260,OI
182,2019-08-12,7360,OI
183,2019-08-13,7360,OI
184,2019-08-14,7250,OI
185,2019-08-15,7250,OI
186,2019-08-16,7250,OI
187,2019-08-19,7250,OI
188,2019-08-20,7400,OI
189,2019-08-21,7400,OI
190,2019-08-22,7500,OI
191,2019-08-23,7500,OI
192,2019-08-26,7600,OI
193,2019-08-27,7600,OI
194,2019-08-28,7600,OI
195,2019-08-29,7600,OI
196,2019-08-30,7600,OI
197,2019-09-02,7600,OI
198,2019-09-03,7550,OI
199,2019-09-04,7590,OI
200,2019-09-05,7590,OI
201,2019-09-06,7520,OI
202,2019-09-09,7520,OI
203,2019-09-10,7560,OI
204,2019-09-11,7560,OI
205,2019-09-12,7520,OI
206,2019-09-16,7520,OI
207,2019-09-17,7570,OI
208,2019-09-18,7520,OI
209,2019-09-19,7520,OI
210,2019-09-20,7520,OI
211,2019-09-23,7520,OI
212,2019-09-24,7440,OI
213,2019-09-25,7420,OI
214,2019-09-26,7430,OI
215,2019-09-27,7340,OI
216,2019-09-30,7300,OI
217,2019-10-08,7300,OI
218,2019-10-09,7400,OI
219,2019-10-10,7440,OI
220,2019-10-11,7460,OI
221,2019-10-14,7390,OI
222,2019-10-15,7350,OI
223,2019-10-16,7360,OI
224,2019-10-17,7380,OI
225,2019-10-18,7350,OI
226,2019-10-21,7400,OI
227,2019-10-22,7360,OI
228,2019-10-23,7400,OI
229,2019-10-24,7330,OI
230,2019-10-25,7460,OI
231,2019-10-28,7460,OI
232,2019-10-29,7460,OI
233,2019-10-30,7580,OI
234,2019-10-31,7580,OI
235,2019-11-01,7640,OI
236,2019-11-04,7610,OI
237,2019-11-05,7840,OI
238,2019-11-06,7650,OI
239,2019-11-07,7650,OI
240,2019-11-08,7650,OI
241,2019-11-11,7700,OI
242,2019-11-12,7750,OI
243,2019-11-13,7720,OI
244,2019-11-14,7720,OI
245,2019-11-15,7720,OI
246,2019-11-18,7720,OI
247,2019-11-19,7790,OI
248,2019-11-20,7860,OI
249,2019-11-21,7800,OI
250,2019-11-22,7800,OI
251,2019-11-25,7830,OI
252,2019-11-26,7780,OI
253,2019-11-27,7810,OI
254,2019-11-28,7810,OI
255,2019-11-29,7870,OI
256,2019-12-02,7870,OI
257,2019-12-03,7840,OI
258,2019-12-04,7860,OI
259,2019-12-05,7830,OI
260,2019-12-06,7810,OI
261,2019-12-09,7810,OI
262,2019-12-10,7790,OI
263,2019-12-11,7800,OI
264,2019-12-12,7830,OI
265,2019-12-13,8000,OI
266,2019-12-16,7880,OI
267,2019-12-17,7970,OI
268,2019-12-18,8040,OI
269,2019-12-19,8110,OI
270,2019-12-20,8130,OI
271,2019-12-23,8050,OI
272,2019-12-24,7950,OI
273,2019-12-25,7950,OI
274,2019-12-26,8030,OI
275,2019-12-27,8115,OI
276,2019-12-30,8115,OI
277,2019-12-31,8125,OI
278,2020-01-02,8095,OI
279,2020-01-03,8155,OI
280,2020-01-06,8155,OI
281,2020-01-09,8130,OI
282,2020-01-10,8110,OI
283,2020-01-16,8100,OI
284,2020-01-17,8120,OI
285,2020-01-20,8140,OI
286,2020-01-21,8040,OI
287,2020-01-22,7960,OI
288,2020-01-23,7960,OI
289,2020-02-03,7580,OI
290,2020-02-04,7885,OI
291,2020-02-05,7995,OI
292,2020-02-06,8050,OI
293,2020-02-07,8180,OI
294,2020-02-10,8260,OI
295,2020-02-11,8295,OI
