,date,cashPrice,code
0,2018-11-13,5540,SR
1,2018-11-14,5540,SR
2,2018-11-15,5540,SR
3,2018-11-16,5540,SR
4,2018-11-19,5540,SR
5,2018-11-20,5540,SR
6,2018-11-21,5540,SR
7,2018-11-22,5540,SR
8,2018-11-23,5540,SR
9,2018-11-26,5540,SR
10,2018-11-27,5494,SR
11,2018-11-28,5434,SR
12,2018-11-29,5404,SR
13,2018-11-30,5404,SR
14,2018-12-03,5374,SR
15,2018-12-04,5374,SR
16,2018-12-05,5374,SR
17,2018-12-06,5362,SR
18,2018-12-07,5362,SR
19,2018-12-10,5362,SR
20,2018-12-11,5362,SR
21,2018-12-12,5362,SR
22,2018-12-13,5362,SR
23,2018-12-14,5362,SR
24,2018-12-17,5364,SR
25,2018-12-18,5362,SR
26,2018-12-19,5362,SR
27,2018-12-20,5356,SR
28,2018-12-21,5356,SR
29,2018-12-24,5240,SR
30,2018-12-25,5100,SR
31,2018-12-26,5100,SR
32,2018-12-27,5100,SR
33,2018-12-28,5100,SR
34,2019-01-02,5080,SR
35,2019-01-03,5080,SR
36,2019-01-04,5080,SR
37,2019-01-07,5080,SR
38,2019-01-08,5100,SR
39,2019-01-09,5120,SR
40,2019-01-10,5120,SR
41,2019-01-11,5120,SR
42,2019-01-14,5120,SR
43,2019-01-15,5120,SR
44,2019-01-16,5140,SR
45,2019-01-17,5140,SR
46,2019-01-18,5140,SR
47,2019-01-21,5350,SR
48,2019-01-22,5350,SR
49,2019-01-23,5260,SR
50,2019-01-24,5260,SR
51,2019-01-25,5260,SR
52,2019-01-28,5260,SR
53,2019-01-29,5260,SR
54,2019-01-30,5260,SR
55,2019-01-31,5260,SR
56,2019-02-01,5260,SR
57,2019-02-11,5260,SR
58,2019-02-12,5330,SR
59,2019-02-13,5330,SR
60,2019-02-14,5330,SR
61,2019-02-15,5330,SR
62,2019-02-18,5330,SR
63,2019-02-19,5330,SR
64,2019-02-20,5330,SR
65,2019-02-21,5330,SR
66,2019-02-22,5330,SR
67,2019-02-25,5350,SR
68,2019-02-26,5350,SR
69,2019-02-27,5350,SR
70,2019-02-28,5340,SR
71,2019-03-01,5340,SR
72,2019-03-04,5330,SR
73,2019-03-05,5330,SR
74,2019-03-06,5330,SR
75,2019-03-07,5320,SR
76,2019-03-08,5400,SR
77,2019-03-11,5400,SR
78,2019-03-12,5400,SR
79,2019-03-13,5377,SR
80,2019-03-14,5347,SR
81,2019-03-15,5350,SR
82,2019-03-18,5357,SR
83,2019-03-19,5370,SR
84,2019-03-20,5337,SR
85,2019-03-21,5337,SR
86,2019-03-22,5337,SR
87,2019-03-25,5323,SR
88,2019-03-26,5320,SR
89,2019-03-27,5320,SR
90,2019-03-28,5320,SR
91,2019-03-29,5320,SR
92,2019-04-01,5327,SR
93,2019-04-02,5323,SR
94,2019-04-03,5323,SR
95,2019-04-04,5323,SR
96,2019-04-08,5290,SR
97,2019-04-09,5323,SR
98,2019-04-10,5333,SR
99,2019-04-11,5337,SR
100,2019-04-12,5347,SR
101,2019-04-15,5347,SR
102,2019-04-16,5347,SR
103,2019-04-17,5347,SR
104,2019-04-18,5377,SR
105,2019-04-19,5377,SR
106,2019-04-22,5407,SR
107,2019-04-23,5407,SR
108,2019-04-24,5403,SR
109,2019-04-25,5407,SR
110,2019-04-26,5397,SR
111,2019-04-29,5397,SR
112,2019-04-30,5375,SR
113,2019-05-06,5357,SR
114,2019-05-07,5357,SR
115,2019-05-08,5320,SR
116,2019-05-09,5320,SR
117,2019-05-10,5357,SR
118,2019-05-13,5368,SR
119,2019-05-14,5368,SR
120,2019-05-15,5368,SR
121,2019-05-16,5368,SR
122,2019-05-17,5368,SR
123,2019-05-20,5368,SR
124,2019-05-21,5372,SR
125,2019-05-22,5372,SR
126,2019-05-23,5372,SR
127,2019-05-24,5292,SR
128,2019-05-27,5282,SR
129,2019-05-28,5282,SR
130,2019-05-29,5282,SR
131,2019-05-30,5282,SR
132,2019-05-31,5282,SR
133,2019-06-03,5282,SR
134,2019-06-04,5282,SR
135,2019-06-05,5295,SR
136,2019-06-06,5288,SR
137,2019-06-10,5288,SR
138,2019-06-11,5288,SR
139,2019-06-12,5288,SR
140,2019-06-13,5298,SR
141,2019-06-14,5302,SR
142,2019-06-17,5302,SR
143,2019-06-18,5298,SR
144,2019-06-19,5290,SR
145,2019-06-20,5290,SR
146,2019-06-21,5287,SR
147,2019-06-24,5280,SR
148,2019-06-25,5280,SR
149,2019-06-26,5280,SR
150,2019-06-27,5270,SR
151,2019-06-28,5270,SR
152,2019-07-01,5272,SR
153,2019-07-02,5278,SR
154,2019-07-03,5278,SR
155,2019-07-04,5288,SR
156,2019-07-05,5337,SR
157,2019-07-08,5337,SR
158,2019-07-09,5327,SR
159,2019-07-10,5323,SR
160,2019-07-11,5323,SR
161,2019-07-12,5323,SR
162,2019-07-15,5330,SR
163,2019-07-16,5330,SR
164,2019-07-17,5317,SR
165,2019-07-18,5313,SR
166,2019-07-19,5303,SR
167,2019-07-22,5303,SR
168,2019-07-23,5323,SR
169,2019-07-24,5323,SR
170,2019-07-25,5330,SR
171,2019-07-26,5330,SR
172,2019-07-29,5350,SR
173,2019-07-30,5350,SR
174,2019-07-31,5357,SR
175,2019-08-01,5353,SR
176,2019-08-02,5380,SR
177,2019-08-05,5385,SR
178,2019-08-06,5385,SR
179,2019-08-07,5385,SR
180,2019-08-08,5385,SR
181,2019-08-09,5385,SR
182,2019-08-12,5445,SR
183,2019-08-13,5455,SR
184,2019-08-14,5533,SR
185,2019-08-15,5527,SR
186,2019-08-16,5527,SR
187,2019-08-19,5520,SR
188,2019-08-20,5520,SR
189,2019-08-21,5520,SR
190,2019-08-22,5507,SR
191,2019-08-23,5510,SR
192,2019-08-26,5503,SR
193,2019-08-27,5503,SR
194,2019-08-28,5503,SR
195,2019-08-29,5497,SR
196,2019-08-30,5497,SR
197,2019-09-02,5493,SR
198,2019-09-03,5512,SR
199,2019-09-04,5542,SR
200,2019-09-05,5570,SR
201,2019-09-06,5567,SR
202,2019-09-09,5587,SR
203,2019-09-10,5583,SR
204,2019-09-11,5583,SR
205,2019-09-12,5583,SR
206,2019-09-16,5603,SR
207,2019-09-17,5603,SR
208,2019-09-18,5603,SR
209,2019-09-19,5597,SR
210,2019-09-20,5597,SR
211,2019-09-23,5597,SR
212,2019-09-24,5610,SR
213,2019-09-25,5623,SR
214,2019-09-26,5650,SR
215,2019-09-27,5650,SR
216,2019-09-30,5723,SR
217,2019-10-08,5717,SR
218,2019-10-09,5727,SR
219,2019-10-10,5730,SR
220,2019-10-11,5733,SR
221,2019-10-14,5753,SR
222,2019-10-15,5753,SR
223,2019-10-16,5753,SR
224,2019-10-17,5750,SR
225,2019-10-18,5743,SR
226,2019-10-21,6043,SR
227,2019-10-22,6043,SR
228,2019-10-23,6043,SR
229,2019-10-24,6027,SR
230,2019-10-25,6030,SR
231,2019-10-28,6023,SR
232,2019-10-29,6017,SR
233,2019-10-30,6017,SR
234,2019-10-31,6057,SR
235,2019-11-01,6057,SR
236,2019-11-04,6077,SR
237,2019-11-05,6077,SR
238,2019-11-06,6077,SR
239,2019-11-07,6077,SR
240,2019-11-08,6077,SR
241,2019-11-11,6077,SR
242,2019-11-12,6077,SR
243,2019-11-13,6067,SR
244,2019-11-14,5943,SR
245,2019-11-15,5943,SR
246,2019-11-18,5960,SR
247,2019-11-19,5960,SR
248,2019-11-20,5963,SR
249,2019-11-21,5963,SR
250,2019-11-22,5963,SR
251,2019-11-25,5963,SR
252,2019-11-26,5960,SR
253,2019-11-27,5957,SR
254,2019-11-28,5957,SR
255,2019-11-29,5900,SR
256,2019-12-02,5900,SR
257,2019-12-03,5900,SR
258,2019-12-04,5900,SR
259,2019-12-05,5833,SR
260,2019-12-06,5827,SR
261,2019-12-09,5800,SR
262,2019-12-10,5797,SR
263,2019-12-11,5797,SR
264,2019-12-12,5777,SR
265,2019-12-13,5777,SR
266,2019-12-16,5793,SR
267,2019-12-17,5793,SR
268,2019-12-18,5793,SR
269,2019-12-19,5793,SR
270,2019-12-20,5793,SR
271,2019-12-23,5793,SR
272,2019-12-24,5797,SR
273,2019-12-25,5790,SR
274,2019-12-26,5790,SR
275,2019-12-27,5810,SR
276,2019-12-30,5820,SR
277,2019-12-31,5853,SR
278,2020-01-02,5840,SR
279,2020-01-03,5837,SR
280,2020-01-06,5830,SR
281,2020-01-07,5860,SR
282,2020-01-09,5907,SR
283,2020-01-13,5963,SR
284,2020-01-16,5960,SR
285,2020-01-17,5963,SR
286,2020-01-20,5963,SR
287,2020-01-21,5943,SR
288,2020-01-22,5943,SR
289,2020-01-23,5943,SR
290,2020-02-03,5927,SR
291,2020-02-04,5927,SR
292,2020-02-05,5927,SR
293,2020-02-06,5927,SR
294,2020-02-07,5927,SR
295,2020-02-10,5927,SR
296,2020-02-11,5947,SR
297,2020-02-12,5947,SR
298,2020-02-13,5947,SR
299,2020-02-14,5947,SR
300,2020-02-17,5933,SR
301,2020-02-18,5933,SR
302,2020-02-19,5943,SR
303,2020-02-20,5943,SR
304,2020-02-21,5940,SR
305,2020-02-24,5940,SR
306,2020-02-25,5950,SR
307,2020-02-26,5950,SR
308,2020-02-27,5950,SR
309,2020-02-28,5940,SR
310,2020-03-02,5940,SR
311,2020-03-03,5940,SR
312,2020-03-04,5940,SR
313,2020-03-05,5940,SR
314,2020-03-06,5943,SR
315,2020-03-09,5943,SR
316,2020-03-10,5943,SR
