,date,cashPrice,code
0,2018-11-15,3479,AG
1,2018-11-16,3509,AG
2,2018-11-19,3514,AG
3,2018-11-22,3514,AG
4,2018-11-23,3516,AG
5,2018-11-27,3479,AG
6,2018-11-28,3464,AG
7,2018-12-04,3494,AG
8,2018-12-05,3494,AG
9,2018-12-06,3499,AG
10,2018-12-07,3496,AG
11,2018-12-10,3521,AG
12,2018-12-12,3514,AG
13,2018-12-13,3524,AG
14,2018-12-18,3514,AG
15,2018-12-19,3514,AG
16,2018-12-20,3516,AG
17,2018-12-21,3534,AG
18,2018-12-25,3536,AG
19,2018-12-26,3556,AG
20,2018-12-27,3579,AG
21,2018-12-28,3609,AG
22,2019-01-02,3629,AG
23,2019-01-03,3671,AG
24,2019-01-04,3736,AG
25,2019-01-07,3711,AG
26,2019-01-08,3691,AG
27,2019-01-09,3696,AG
28,2019-01-10,3701,AG
29,2019-01-11,3694,AG
30,2019-01-15,3694,AG
31,2019-01-17,3689,AG
32,2019-01-18,3689,AG
33,2019-01-21,3654,AG
34,2019-01-22,3631,AG
35,2019-01-23,3631,AG
36,2019-01-24,3624,AG
37,2019-01-28,3696,AG
38,2019-01-29,3691,AG
39,2019-01-30,3704,AG
40,2019-01-31,3704,AG
41,2019-02-01,3701,AG
42,2019-02-12,3696,AG
43,2019-02-13,3694,AG
44,2019-03-04,3579,AG
45,2019-03-05,3554,AG
46,2019-03-06,3574,AG
47,2019-03-07,3596,AG
48,2019-03-11,3624,AG
49,2019-03-14,3609,AG
50,2019-03-18,3581,AG
51,2019-03-19,3641,AG
52,2019-03-21,3681,AG
53,2019-03-28,3639,AG
54,2019-03-29,3591,AG
55,2019-04-01,3519,AG
56,2019-04-03,3536,AG
57,2019-04-09,3571,AG
58,2019-04-12,3521,AG
59,2019-04-23,3519,AG
60,2019-04-24,3479,AG
61,2019-04-25,3499,AG
62,2019-04-29,3521,AG
63,2019-05-07,3510,AG
64,2019-05-09,3511,AG
65,2019-05-14,3546,AG
66,2019-05-15,3544,AG
67,2019-05-16,3537,AG
68,2019-05-17,3496,AG
69,2019-05-21,3487,AG
70,2019-05-22,3489,AG
71,2019-05-23,3491,AG
72,2019-05-24,3509,AG
73,2019-05-27,3509,AG
74,2019-05-28,3499,AG
75,2019-05-31,3496,AG
76,2019-06-03,3524,AG
77,2019-06-04,3536,AG
78,2019-06-05,3536,AG
79,2019-06-11,3554,AG
80,2019-06-12,3551,AG
81,2019-06-13,3554,AG
82,2019-06-14,3576,AG
83,2019-06-17,3571,AG
84,2019-06-19,3574,AG
85,2019-06-24,3659,AG
86,2019-06-25,3679,AG
87,2019-06-26,3644,AG
88,2019-06-27,3634,AG
89,2019-06-28,3639,AG
90,2019-07-01,3604,AG
91,2019-07-02,3599,AG
92,2019-07-03,3661,AG
93,2019-07-04,3646,AG
94,2019-07-05,3644,AG
95,2019-07-08,3601,AG
96,2019-07-09,3589,AG
97,2019-07-10,3599,AG
98,2019-07-11,3629,AG
99,2019-07-12,3611,AG
100,2019-07-15,3616,AG
101,2019-07-16,3641,AG
102,2019-07-17,3714,AG
103,2019-07-18,3816,AG
104,2019-07-19,3889,AG
105,2019-07-22,3854,AG
106,2019-07-23,3855,AG
107,2019-07-24,3909,AG
108,2019-07-25,3919,AG
109,2019-07-26,3889,AG
110,2019-07-29,3894,AG
111,2019-07-30,3894,AG
112,2019-07-31,3894,AG
113,2019-08-01,3851,AG
114,2019-08-02,3869,AG
115,2019-08-05,3914,AG
116,2019-08-06,3991,AG
117,2019-08-07,4076,AG
118,2019-08-08,4141,AG
119,2019-08-09,4154,AG
120,2019-08-12,4121,AG
121,2019-08-13,4224,AG
122,2019-08-14,4094,AG
123,2019-08-15,4209,AG
124,2019-08-16,4179,AG
125,2019-08-19,4121,AG
126,2019-08-20,4114,AG
127,2019-08-21,4154,AG
128,2019-08-22,4146,AG
129,2019-08-23,4146,AG
130,2019-08-26,4341,AG
131,2019-08-27,4349,AG
132,2019-08-28,4499,AG
133,2019-08-29,4511,AG
134,2019-08-30,4466,AG
135,2019-09-02,4494,AG
136,2019-09-03,4521,AG
137,2019-09-04,4774,AG
138,2019-09-05,4734,AG
139,2019-09-06,4589,AG
140,2019-09-09,4434,AG
141,2019-09-10,4349,AG
142,2019-09-11,4421,AG
143,2019-09-12,4401,AG
144,2019-09-16,4356,AG
145,2019-09-17,4344,AG
146,2019-09-18,4364,AG
147,2019-09-19,4309,AG
148,2019-09-20,4354,AG
149,2019-09-23,4439,AG
150,2019-09-24,4534,AG
151,2019-09-25,4519,AG
152,2019-09-26,4409,AG
153,2019-09-27,4359,AG
154,2019-09-30,4254,AG
155,2019-10-08,4259,AG
156,2019-10-09,4359,AG
157,2019-10-10,4354,AG
158,2019-10-11,4279,AG
159,2019-10-14,4279,AG
160,2019-10-15,4286,AG
161,2019-10-16,4259,AG
162,2019-10-17,4234,AG
163,2019-10-18,4259,AG
164,2019-10-21,4256,AG
165,2019-10-22,4269,AG
166,2019-10-23,4271,AG
167,2019-10-24,4264,AG
168,2019-10-25,4334,AG
169,2019-10-28,4369,AG
170,2019-10-29,4314,AG
171,2019-10-30,4324,AG
172,2019-10-31,4334,AG
173,2019-11-01,4361,AG
174,2019-11-04,4361,AG
175,2019-11-05,4341,AG
176,2019-11-06,4221,AG
177,2019-11-07,4236,AG
178,2019-11-08,4071,AG
179,2019-11-11,4064,AG
180,2019-11-12,4066,AG
181,2019-11-13,4059,AG
182,2019-11-14,4079,AG
183,2019-11-15,4091,AG
184,2019-11-18,4066,AG
185,2019-11-19,4094,AG
186,2019-11-20,4114,AG
187,2019-11-21,4121,AG
188,2019-11-22,4096,AG
189,2019-11-25,4074,AG
190,2019-11-26,4049,AG
191,2019-11-27,4094,AG
192,2019-11-28,4089,AG
193,2019-11-29,4081,AG
194,2019-12-02,4079,AG
195,2019-12-03,4081,AG
196,2019-12-04,4151,AG
197,2019-12-05,4116,AG
198,2019-12-06,4114,AG
199,2019-12-09,4024,AG
200,2019-12-10,4029,AG
201,2019-12-11,4029,AG
202,2019-12-12,4089,AG
203,2019-12-13,4054,AG
204,2019-12-16,4074,AG
205,2019-12-17,4091,AG
206,2019-12-18,4091,AG
207,2019-12-19,4104,AG
208,2019-12-20,4101,AG
209,2019-12-23,4139,AG
210,2019-12-24,4184,AG
211,2019-12-25,4259,AG
212,2019-12-26,4256,AG
213,2019-12-27,4299,AG
214,2019-12-30,4301,AG
215,2019-12-31,4369,AG
216,2020-01-02,4289,AG
217,2020-01-03,4331,AG
218,2020-01-06,4429,AG
219,2020-01-07,4359,AG
220,2020-01-08,4481,AG
221,2020-01-09,4344,AG
222,2020-01-10,4269,AG
223,2020-01-13,4294,AG
224,2020-01-14,4204,AG
225,2020-01-15,4206,AG
226,2020-01-16,4254,AG
227,2020-01-17,4241,AG
228,2020-01-20,4246,AG
229,2020-01-21,4276,AG
230,2020-01-22,4209,AG
231,2020-01-23,4219,AG
232,2020-02-03,4279,AG
233,2020-02-04,4241,AG
234,2020-02-05,4221,AG
235,2020-02-06,4234,AG
236,2020-02-07,4259,AG
237,2020-02-10,4254,AG
238,2020-02-11,4249,AG
239,2020-02-12,4216,AG
240,2020-02-13,4214,AG
241,2020-02-14,4236,AG
242,2020-02-17,4259,AG
243,2020-02-18,4274,AG
244,2020-02-19,4369,AG
245,2020-02-20,4384,AG
246,2020-02-21,4429,AG
247,2020-02-24,4501,AG
248,2020-02-25,4454,AG
249,2020-02-26,4361,AG
250,2020-02-27,4339,AG
251,2020-02-28,4241,AG
252,2020-03-02,4045,AG
253,2020-03-03,4058,AG
254,2020-03-04,4115,AG
255,2020-03-05,4097,AG
256,2020-03-06,4141,AG
257,2020-03-09,4094,AG
258,2020-03-10,4046,AG
259,2020-03-11,4058,AG
260,2020-03-12,3956,AG
261,2020-03-13,3741,AG
262,2020-03-16,3524,AG
263,2020-03-17,3149,AG
264,2020-03-18,3079,AG
265,2020-03-19,2932,AG
266,2020-03-20,3001,AG
267,2020-03-23,3102,AG
268,2020-03-24,3426,AG
269,2020-03-25,3487,AG
270,2020-03-26,3491,AG
271,2020-03-27,3562,AG
272,2020-03-30,3362,AG
273,2020-03-31,3419,AG
274,2020-04-01,3400,AG
275,2020-04-02,3400,AG
276,2020-04-03,3544,AG
277,2020-04-07,3728,AG
278,2020-04-08,3688,AG
279,2020-04-09,3676,AG
280,2020-04-10,3745,AG
281,2020-04-13,3671,AG
282,2020-04-14,3786,AG
283,2020-04-15,3805,AG
284,2020-04-16,3712,AG
285,2020-04-17,3721,AG
286,2020-04-20,3640,AG
287,2020-04-21,3690,AG
288,2020-04-22,3572,AG
289,2020-04-23,3669,AG
290,2020-04-24,3670,AG
291,2020-04-27,3698,AG
292,2020-04-28,3627,AG
293,2020-04-29,3670,AG
294,2020-04-30,3660,AG
295,2020-05-06,3647,AG
296,2020-05-07,3646,AG
297,2020-05-08,3743,AG
298,2020-05-11,3772,AG
299,2020-05-12,3742,AG
300,2020-05-13,3757,AG
301,2020-05-14,3766,AG
302,2020-05-15,3912,AG
303,2020-05-18,4167,AG
304,2020-05-19,4148,AG
305,2020-05-20,4265,AG
306,2020-05-21,4208,AG
307,2020-05-22,4075,AG
308,2020-05-25,4158,AG
309,2020-05-26,4216,AG
310,2020-05-27,4172,AG
311,2020-05-28,4226,AG
312,2020-05-29,4227,AG
313,2020-06-01,4400,AG
314,2020-06-02,4414,AG
315,2020-06-03,4321,AG
316,2020-06-04,4262,AG
317,2020-06-05,4267,AG
318,2020-06-08,4211,AG
319,2020-06-09,4246,AG
320,2020-06-10,4268,AG
321,2020-06-11,4299,AG
322,2020-06-12,4198,AG
323,2020-06-15,4213,AG
324,2020-06-16,4164,AG
325,2020-06-17,4169,AG
326,2020-06-18,4198,AG
327,2020-06-19,4177,AG
328,2020-06-22,4317,AG
329,2020-06-23,4269,AG
330,2020-06-24,4280,AG
331,2020-06-29,4287,AG
332,2020-06-30,4262,AG
333,2020-07-01,4365,AG
334,2020-07-02,4293,AG
335,2020-07-03,4309,AG
336,2020-07-06,4296,AG
337,2020-07-07,4345,AG
338,2020-07-08,4350,AG
339,2020-07-09,4430,AG
340,2020-07-10,4415,AG
341,2020-07-13,4442,AG
342,2020-07-14,4509,AG
343,2020-07-15,4545,AG
344,2020-07-16,4546,AG
345,2020-07-17,4467,AG
346,2020-07-20,4518,AG
347,2020-07-21,4659,AG
348,2020-07-22,5100,AG
349,2020-07-23,5307,AG
350,2020-07-24,5285,AG
351,2020-07-27,5383,AG
352,2020-07-28,6073,AG
353,2020-07-29,5698,AG
354,2020-07-30,5661,AG
355,2020-07-31,5505,AG
356,2020-08-03,5651,AG
357,2020-08-04,5652,AG
358,2020-08-05,6026,AG
359,2020-08-06,6232,AG
360,2020-08-07,6700,AG
361,2020-08-10,6453,AG
362,2020-08-11,6715,AG
363,2020-08-12,5835,AG
364,2020-08-13,5945,AG
365,2020-08-14,6305,AG
366,2020-08-17,5956,AG
367,2020-08-18,6350,AG
368,2020-08-19,6267,AG
369,2020-08-20,6005,AG
370,2020-08-21,6064,AG
371,2020-08-24,5742,AG
372,2020-08-25,5803,AG
373,2020-08-26,5755,AG
374,2020-08-27,5938,AG
375,2020-08-28,5950,AG
376,2020-08-31,6158,AG
377,2020-09-01,6248,AG
378,2020-09-02,6173,AG
379,2020-09-03,6093,AG
380,2020-09-04,5908,AG
381,2020-09-07,5968,AG
382,2020-09-08,5879,AG
383,2020-09-09,5838,AG
384,2020-09-10,5904,AG
385,2020-09-11,5824,AG
386,2020-09-14,5845,AG
387,2020-09-15,5897,AG
388,2020-09-16,5858,AG
389,2020-09-17,5798,AG
390,2020-09-18,5770,AG
391,2020-09-21,5773,AG
392,2020-09-22,5233,AG
393,2020-09-23,5155,AG
394,2020-09-24,4824,AG
395,2020-09-25,4853,AG
396,2020-09-28,4873,AG
397,2020-09-29,5006,AG
398,2020-09-30,5003,AG
399,2020-10-09,5054,AG
400,2020-10-12,5351,AG
401,2020-10-13,5298,AG
402,2020-10-14,5061,AG
403,2020-10-15,5083,AG
404,2020-10-16,5112,AG
405,2020-10-19,5074,AG
406,2020-10-20,5129,AG
407,2020-10-21,5243,AG
408,2020-10-22,5202,AG
409,2020-10-23,5134,AG
410,2020-10-26,5124,AG
411,2020-10-27,5149,AG
412,2020-10-28,5133,AG
413,2020-10-29,4919,AG
414,2020-10-30,4954,AG
415,2020-11-02,5044,AG
416,2020-11-03,5139,AG
417,2020-11-04,5134,AG
418,2020-11-05,5079,AG
419,2020-11-06,5284,AG
420,2020-11-09,5344,AG
421,2020-11-10,5034,AG
422,2020-11-11,5059,AG
423,2020-11-12,5061,AG
424,2020-11-13,5049,AG
425,2020-11-16,5214,AG
426,2020-11-17,5094,AG
427,2020-11-18,5069,AG
428,2020-11-19,5059,AG
429,2020-11-20,5011,AG
430,2020-11-23,5049,AG
431,2020-11-24,4844,AG
432,2020-11-25,4866,AG
433,2020-11-26,4869,AG
434,2020-11-27,4834,AG
435,2020-11-30,4636,AG
436,2020-12-01,4709,AG
437,2020-12-02,4949,AG
438,2020-12-03,4924,AG
439,2020-12-04,4959,AG
440,2020-12-07,4984,AG
441,2020-12-08,5086,AG
442,2020-12-09,5054,AG
443,2020-12-10,4944,AG
444,2020-12-11,4974,AG
445,2020-12-14,4934,AG
446,2020-12-15,4959,AG
447,2020-12-16,5059,AG
448,2020-12-17,5209,AG
449,2020-12-18,5294,AG
450,2020-12-21,5446,AG
451,2020-12-22,5446,AG
452,2020-12-23,5264,AG
453,2020-12-24,5374,AG
454,2020-12-25,5331,AG
455,2020-12-28,5566,AG
456,2020-12-29,5546,AG
457,2020-12-30,5474,AG
458,2020-12-31,5549,AG
459,2021-01-04,5611,AG
460,2021-01-05,5636,AG
461,2021-01-06,5666,AG
462,2021-01-07,5581,AG
463,2021-01-08,5591,AG
464,2021-01-11,5086,AG
465,2021-01-12,5141,AG
466,2021-01-13,5246,AG
467,2021-01-14,5196,AG
468,2021-01-15,5299,AG
469,2021-01-18,5121,AG
470,2021-01-19,5236,AG
471,2021-01-20,5261,AG
472,2021-01-21,5309,AG
473,2021-01-22,5291,AG
474,2021-01-25,5271,AG
475,2021-01-26,5241,AG
476,2021-01-27,5196,AG
477,2021-01-28,5181,AG
478,2021-01-29,5344,AG
479,2021-02-01,5721,AG
480,2021-02-02,5801,AG
481,2021-02-03,5504,AG
482,2021-02-04,5416,AG
483,2021-02-05,5369,AG
484,2021-02-08,5489,AG
485,2021-02-09,5541,AG
486,2021-02-10,5504,AG
487,2021-02-18,5509,AG
488,2021-02-19,5426,AG
489,2021-02-22,5641,AG
490,2021-02-23,5781,AG
491,2021-02-24,5709,AG
492,2021-02-25,5711,AG
493,2021-02-26,5579,AG
494,2021-03-01,5481,AG
495,2021-03-02,5319,AG
496,2021-03-03,5439,AG
497,2021-03-04,5351,AG
498,2021-03-05,5129,AG
499,2021-03-08,5306,AG
500,2021-03-09,5181,AG
501,2021-03-10,5329,AG
502,2021-03-11,5334,AG
503,2021-03-12,5321,AG
504,2021-03-15,5369,AG
505,2021-03-16,5374,AG
506,2021-03-18,5451,AG
507,2021-03-19,5349,AG
508,2021-03-22,5291,AG
509,2021-03-23,5261,AG
510,2021-03-24,5179,AG
511,2021-03-25,5155,AG
512,2021-03-26,5194,AG
513,2021-03-29,5151,AG
514,2021-03-30,5106,AG
515,2021-03-31,4956,AG
516,2021-04-01,5059,AG
517,2021-04-02,5181,AG
518,2021-04-06,5174,AG
519,2021-04-07,5193,AG
520,2021-04-08,5191,AG
521,2021-04-09,5299,AG
522,2021-04-12,5229,AG
523,2021-04-13,5164,AG
524,2021-04-14,5271,AG
525,2021-04-15,5264,AG
526,2021-04-16,5351,AG
527,2021-04-19,5344,AG
528,2021-04-20,5331,AG
529,2021-04-21,5336,AG
530,2021-04-22,5461,AG
531,2021-04-23,5401,AG
532,2021-04-26,5364,AG
533,2021-04-27,5371,AG
534,2021-04-28,5349,AG
535,2021-04-29,5434,AG
536,2021-04-30,5309,AG
537,2021-05-06,5424,AG
538,2021-05-10,5671,AG
539,2021-05-11,5594,AG
540,2021-05-12,5609,AG
541,2021-05-13,5584,AG
542,2021-05-14,5534,AG
543,2021-05-17,5681,AG
544,2021-05-18,5916,AG
545,2021-05-19,5784,AG
546,2021-05-20,5681,AG
547,2021-05-21,5669,AG
548,2021-05-24,5681,AG
549,2021-05-25,5626,AG
550,2021-05-26,5761,AG
551,2021-05-27,5609,AG
552,2021-05-28,5631,AG
553,2021-05-31,5681,AG
554,2021-06-01,5726,AG
555,2021-06-02,5641,AG
556,2021-06-03,5711,AG
557,2021-06-04,5481,AG
558,2021-06-07,5554,AG
559,2021-06-08,5611,AG
560,2021-06-09,5571,AG
561,2021-06-10,5571,AG
562,2021-06-11,5651,AG
563,2021-06-15,5589,AG
564,2021-06-16,5579,AG
565,2021-06-17,5484,AG
566,2021-06-18,5331,AG
567,2021-06-21,5304,AG
568,2021-06-22,5314,AG
569,2021-06-23,5304,AG
570,2021-06-24,5326,AG
571,2021-06-25,5351,AG
572,2021-06-28,5296,AG
573,2021-06-29,5336,AG
574,2021-06-30,5299,AG
575,2021-07-01,5386,AG
576,2021-07-02,5356,AG
577,2021-07-05,5464,AG
578,2021-07-06,5454,AG
579,2021-07-07,5386,AG
580,2021-07-08,5354,AG
581,2021-07-09,5351,AG
582,2021-07-12,5396,AG
583,2021-07-13,5419,AG
584,2021-07-14,5349,AG
585,2021-07-15,5419,AG
586,2021-07-16,5436,AG
587,2021-07-19,5276,AG
588,2021-07-20,5216,AG
589,2021-07-21,5136,AG
590,2021-07-22,5234,AG
591,2021-07-23,5254,AG
592,2021-07-26,5256,AG
593,2021-07-27,5216,AG
594,2021-07-28,5181,AG
595,2021-07-29,5271,AG
596,2021-07-30,5321,AG
597,2021-08-02,5294,AG
598,2021-08-03,5284,AG
599,2021-08-04,5334,AG
600,2021-08-05,5276,AG
601,2021-08-06,5226,AG
602,2021-08-09,5011,AG
603,2021-08-10,4986,AG
604,2021-08-11,4979,AG
605,2021-08-12,5034,AG
606,2021-08-13,5009,AG
607,2021-08-16,5074,AG
608,2021-08-17,5071,AG
609,2021-08-18,5051,AG
610,2021-08-19,4981,AG
