,date,cashPrice,code
0,2020-12-16,16650,AL
1,2020-12-17,16730,AL
2,2020-12-18,16960,AL
3,2020-12-21,16530,AL
4,2020-12-22,16350,AL
5,2020-12-23,16060,AL
6,2020-12-24,16270,AL
7,2020-12-25,16310,AL
8,2020-12-28,16190,AL
9,2020-12-29,15870,AL
10,2020-12-30,15770,AL
11,2020-12-31,15710,AL
12,2021-01-04,15590,AL
13,2021-01-05,15690,AL
14,2021-01-06,15690,AL
15,2021-01-07,15540,AL
16,2021-01-08,15710,AL
17,2021-01-11,15400,AL
18,2021-01-12,15050,AL
19,2021-01-13,14900,AL
20,2021-01-14,14720,AL
21,2021-01-15,14940,AL
22,2021-01-18,15060,AL
23,2021-01-19,14830,AL
24,2021-01-20,14750,AL
25,2021-01-21,15020,AL
26,2021-01-22,15000,AL
27,2021-01-25,15030,AL
28,2021-01-26,14960,AL
29,2021-01-27,14910,AL
30,2021-01-28,14870,AL
31,2021-01-29,14970,AL
32,2021-02-01,15230,AL
33,2021-02-02,15190,AL
34,2021-02-03,15030,AL
35,2021-02-04,15350,AL
36,2021-02-05,15510,AL
37,2021-02-08,15600,AL
38,2021-02-09,15740,AL
39,2021-02-10,15770,AL
40,2021-02-18,16210,AL
41,2021-02-19,16430,AL
42,2021-02-22,16730,AL
43,2021-02-23,16780,AL
44,2021-02-24,16740,AL
45,2021-02-25,17560,AL
46,2021-02-26,17270,AL
47,2021-03-01,17050,AL
48,2021-03-02,16900,AL
49,2021-03-03,17430,AL
50,2021-03-04,17580,AL
51,2021-03-05,17100,AL
52,2021-03-08,17490,AL
53,2021-03-09,17180,AL
54,2021-03-10,17090,AL
55,2021-03-11,17360,AL
56,2021-03-12,17370,AL
57,2021-03-15,17620,AL
58,2021-03-16,17760,AL
59,2021-03-18,17680,AL
60,2021-03-19,17400,AL
61,2021-03-22,17540,AL
62,2021-03-23,17220,AL
63,2021-03-24,17080,AL
64,2021-03-25,17200,AL
65,2021-03-26,17330,AL
66,2021-03-29,17390,AL
67,2021-03-30,17340,AL
68,2021-03-31,17160,AL
69,2021-04-01,17260,AL
70,2021-04-02,17430,AL
71,2021-04-06,17510,AL
72,2021-04-07,17390,AL
73,2021-04-08,17470,AL
74,2021-04-09,17490,AL
75,2021-04-12,17380,AL
76,2021-04-13,17470,AL
77,2021-04-14,17760,AL
78,2021-04-15,18090,AL
79,2021-04-16,18130,AL
80,2021-04-19,18120,AL
81,2021-04-20,18120,AL
82,2021-04-21,18040,AL
83,2021-04-22,18180,AL
84,2021-04-23,18210,AL
85,2021-04-26,18350,AL
86,2021-04-27,18530,AL
87,2021-04-28,18400,AL
88,2021-04-29,18730,AL
89,2021-04-30,18830,AL
90,2021-05-06,19150,AL
91,2021-05-10,20030,AL
92,2021-05-11,19820,AL
93,2021-05-12,19980,AL
94,2021-05-13,19820,AL
95,2021-05-14,19660,AL
96,2021-05-17,19700,AL
97,2021-05-18,19860,AL
98,2021-05-19,19550,AL
99,2021-05-20,19110,AL
100,2021-05-21,18450,AL
101,2021-05-24,18340,AL
102,2021-05-25,18370,AL
103,2021-05-26,18390,AL
104,2021-05-27,18370,AL
105,2021-05-28,18820,AL
106,2021-05-31,18780,AL
107,2021-06-01,18710,AL
108,2021-06-02,18680,AL
109,2021-06-03,18670,AL
110,2021-06-04,18260,AL
111,2021-06-07,18530,AL
112,2021-06-08,18360,AL
113,2021-06-09,18390,AL
114,2021-06-10,18510,AL
115,2021-06-11,18830,AL
116,2021-06-15,18970,AL
117,2021-06-16,18840,AL
118,2021-06-17,18650,AL
119,2021-06-18,18550,AL
120,2021-06-21,18380,AL
121,2021-06-22,18510,AL
122,2021-06-23,18770,AL
123,2021-06-24,18660,AL
124,2021-06-25,18770,AL
125,2021-06-28,18830,AL
126,2021-06-29,18820,AL
127,2021-06-30,18780,AL
128,2021-07-01,18730,AL
129,2021-07-02,18670,AL
130,2021-07-05,19100,AL
131,2021-07-06,19120,AL
132,2021-07-07,18840,AL
133,2021-07-08,18820,AL
134,2021-07-09,18850,AL
135,2021-07-12,19060,AL
136,2021-07-13,19160,AL
137,2021-07-14,19140,AL
138,2021-07-15,19280,AL
139,2021-07-16,19410,AL
140,2021-07-19,19330,AL
141,2021-07-20,19040,AL
142,2021-07-21,19090,AL
143,2021-07-22,19060,AL
144,2021-07-23,19330,AL
145,2021-07-26,19630,AL
146,2021-07-27,19540,AL
147,2021-07-28,19370,AL
148,2021-07-29,19500,AL
149,2021-07-30,19850,AL
150,2021-08-02,19820,AL
151,2021-08-03,19790,AL
152,2021-08-04,19730,AL
153,2021-08-05,19740,AL
154,2021-08-06,19910,AL
155,2021-08-09,19890,AL
156,2021-08-10,19870,AL
157,2021-08-11,20080,AL
