,date,cashPrice,code
0,2023-01-17,418.00,AU
1,2023-01-18,418.60,AU
2,2023-01-19,419.80,AU
3,2023-01-20,419.50,AU
4,2023-01-30,421.15,AU
5,2023-01-31,421.94,AU
6,2023-02-01,421.00,AU
7,2023-02-02,424.50,AU
8,2023-02-03,419.20,AU
9,2023-02-06,413.60,AU
10,2023-02-07,412.50,AU
11,2023-02-08,412.55,AU
12,2023-02-09,413.30,AU
13,2023-02-10,410.80,AU
14,2023-02-13,413.25,AU
15,2023-02-14,411.90,AU
16,2023-02-15,413.50,AU
17,2023-02-16,412.00,AU
18,2023-02-17,411.95,AU
19,2023-02-20,413.30,AU
20,2023-02-21,413.00,AU
21,2023-02-22,412.79,AU
22,2023-02-23,412.65,AU
23,2023-02-24,412.65,AU
24,2023-02-27,413.10,AU
25,2023-02-28,413.16,AU
26,2023-03-01,414.50,AU
27,2023-03-02,413.60,AU
28,2023-03-03,415.35,AU
29,2023-03-06,418.50,AU
30,2023-03-07,419.80,AU
31,2023-03-08,419.74,AU
32,2023-03-09,415.15,AU
33,2023-03-10,417.30,AU
34,2023-03-13,422.70,AU
35,2023-03-14,424.00,AU
36,2023-03-15,426.00,AU
37,2023-03-16,429.20,AU
38,2023-03-17,432.80,AU
39,2023-03-20,440.00,AU
40,2023-03-21,443.00,AU
41,2023-03-22,435.35,AU
42,2023-03-23,435.35,AU
43,2023-03-24,441.00,AU
44,2023-03-27,438.85,AU
45,2023-03-28,436.00,AU
46,2023-03-29,438.10,AU
47,2023-03-30,436.01,AU
48,2023-03-31,438.70,AU
49,2023-04-03,439.77,AU
50,2023-04-04,440.00,AU
51,2023-04-06,445.80,AU
52,2023-04-07,446.30,AU
53,2023-04-10,441.30,AU
54,2023-04-11,443.00,AU
55,2023-04-12,448.00,AU
56,2023-04-13,447.82,AU
57,2023-04-14,451.20,AU
58,2023-04-17,444.30,AU
59,2023-04-18,444.27,AU
60,2023-04-19,443.42,AU
61,2023-04-20,442.51,AU
62,2023-04-21,444.00,AU
63,2023-04-24,441.00,AU
64,2023-04-25,444.00,AU
65,2023-04-26,445.50,AU
66,2023-04-27,445.50,AU
67,2023-04-28,443.75,AU
68,2023-05-04,456.30,AU
69,2023-05-05,454.00,AU
70,2023-05-08,455.50,AU
71,2023-05-09,450.50,AU
72,2023-05-10,453.15,AU
73,2023-05-11,443.72,AU
74,2023-05-12,450.30,AU
75,2023-05-15,452.00,AU
76,2023-05-16,452.20,AU
77,2023-05-17,449.00,AU
78,2023-05-18,448.80,AU
79,2023-05-19,446.10,AU
80,2023-05-22,448.80,AU
81,2023-05-23,448.80,AU
82,2023-05-24,449.00,AU
83,2023-05-25,446.70,AU
84,2023-05-26,444.70,AU
85,2023-05-29,444.10,AU
86,2023-05-30,444.50,AU
87,2023-05-31,448.01,AU
88,2023-06-01,450.90,AU
89,2023-06-02,451.50,AU
90,2023-06-05,450.45,AU
91,2023-06-06,447.67,AU
92,2023-06-07,450.00,AU
93,2023-06-08,447.61,AU
94,2023-06-09,451.00,AU
95,2023-06-12,450.15,AU
96,2023-06-13,452.00,AU
97,2023-06-14,452.58,AU
98,2023-06-15,448.00,AU
99,2023-06-16,452.50,AU
100,2023-06-19,450.00,AU
101,2023-06-20,450.75,AU
102,2023-06-21,449.60,AU
103,2023-06-26,449.60,AU
104,2023-06-27,449.00,AU
105,2023-06-28,449.00,AU
106,2023-06-29,447.50,AU
107,2023-06-30,448.55,AU
108,2023-07-03,453.40,AU
109,2023-07-04,451.79,AU
110,2023-07-05,452.00,AU
111,2023-07-06,451.50,AU
112,2023-07-07,449.70,AU
113,2023-07-10,449.44,AU
114,2023-07-11,450.32,AU
115,2023-07-12,451.80,AU
116,2023-07-13,453.30,AU
117,2023-07-14,454.10,AU
118,2023-07-17,453.72,AU
119,2023-07-18,454.13,AU
120,2023-07-19,458.00,AU
121,2023-07-20,462.54,AU
122,2023-07-21,458.60,AU
123,2023-07-24,458.19,AU
124,2023-07-25,456.65,AU
125,2023-07-26,456.60,AU
126,2023-07-27,456.86,AU
127,2023-07-28,455.15,AU
128,2023-07-31,454.00,AU
