,date,cashPrice,code
0,2023-07-21,291000.00,LC
1,2023-07-24,291000.00,LC
2,2023-07-25,281000.00,LC
3,2023-07-26,271000.00,LC
4,2023-07-27,268500.00,LC
5,2023-07-28,268500.00,LC
6,2023-07-31,266500.00,LC
7,2023-08-01,264500.00,LC
8,2023-08-02,263500.00,LC
9,2023-08-03,261000.00,LC
10,2023-08-04,258000.00,LC
11,2023-08-07,255000.00,LC
12,2023-08-08,255000.00,LC
13,2023-08-09,245000.00,LC
14,2023-08-10,240000.00,LC
15,2023-08-11,238000.00,LC
16,2023-08-14,234000.00,LC
17,2023-08-15,226000.00,LC
18,2023-08-16,222000.00,LC
19,2023-08-17,222000.00,LC
20,2023-08-18,222000.00,LC
21,2023-08-21,222000.00,LC
22,2023-08-22,214000.00,LC
23,2023-08-23,214000.00,LC
24,2023-08-24,214000.00,LC
25,2023-08-25,214000.00,LC
26,2023-08-28,214000.00,LC
27,2023-08-29,214000.00,LC
28,2023-08-30,204000.00,LC
29,2023-08-31,200000.00,LC
30,2023-09-01,198000.00,LC
31,2023-09-04,198000.00,LC
32,2023-09-05,198000.00,LC
33,2023-09-06,198000.00,LC
34,2023-09-07,198000.00,LC
35,2023-09-08,190000.00,LC
36,2023-09-11,190000.00,LC
37,2023-09-12,190000.00,LC
38,2023-09-13,182000.00,LC
39,2023-09-14,180000.00,LC
40,2023-09-15,179000.00,LC
41,2023-09-18,177500.00,LC
42,2023-09-19,177500.00,LC
43,2023-09-20,171000.00,LC
44,2023-09-21,167500.00,LC
45,2023-09-22,164000.00,LC
46,2023-09-25,162500.00,LC
47,2023-09-26,162500.00,LC
48,2023-09-27,161500.00,LC
49,2023-09-28,161500.00,LC
50,2023-10-09,161500.00,LC
51,2023-10-10,161500.00,LC
52,2023-10-11,161500.00,LC
53,2023-10-12,165500.00,LC
54,2023-10-13,170500.00,LC
55,2023-10-16,173500.00,LC
56,2023-10-17,175500.00,LC
57,2023-10-18,176500.00,LC
58,2023-10-19,176500.00,LC
59,2023-10-20,176500.00,LC
60,2023-10-23,173500.00,LC
61,2023-10-24,171500.00,LC
62,2023-10-25,170500.00,LC
63,2023-10-26,169500.00,LC
64,2023-10-27,168500.00,LC
65,2023-10-30,167500.00,LC
66,2023-10-31,166500.00,LC
67,2023-11-01,165500.00,LC
68,2023-11-02,164500.00,LC
69,2023-11-03,163500.00,LC
70,2023-11-06,162000.00,LC
71,2023-11-07,160500.00,LC
72,2023-11-08,159000.00,LC
73,2023-11-09,157000.00,LC
74,2023-11-10,155500.00,LC
75,2023-11-13,154500.00,LC
