,date,cashPrice,code
0,2020-12-16,132000,NI
1,2020-12-18,130700,NI
2,2020-12-21,130450,NI
3,2020-12-22,129550,NI
4,2020-12-23,123050,NI
5,2020-12-24,126900,NI
6,2020-12-25,129100,NI
7,2020-12-28,130150,NI
8,2020-12-29,130750,NI
9,2020-12-30,127750,NI
10,2020-12-31,127600,NI
11,2021-01-04,129400,NI
12,2021-01-05,132200,NI
13,2021-01-06,132250,NI
14,2021-01-07,134900,NI
15,2021-01-08,134800,NI
16,2021-01-11,132750,NI
17,2021-01-12,130300,NI
18,2021-01-13,134050,NI
19,2021-01-14,134600,NI
20,2021-01-15,139700,NI
21,2021-01-18,137500,NI
22,2021-01-19,137750,NI
23,2021-01-20,138000,NI
24,2021-01-21,139000,NI
25,2021-01-22,138450,NI
26,2021-01-25,139200,NI
27,2021-01-27,135750,NI
28,2021-01-28,133800,NI
29,2021-01-29,134000,NI
30,2021-02-01,133700,NI
31,2021-02-02,133900,NI
32,2021-02-03,132250,NI
33,2021-02-04,132000,NI
34,2021-02-05,133650,NI
35,2021-02-08,135200,NI
36,2021-02-09,136400,NI
37,2021-02-10,137000,NI
38,2021-02-18,139850,NI
39,2021-02-19,142800,NI
40,2021-02-22,147150,NI
41,2021-02-23,146000,NI
42,2021-02-24,143700,NI
43,2021-02-25,147400,NI
44,2021-02-26,141700,NI
45,2021-03-01,140700,NI
46,2021-03-02,139100,NI
47,2021-03-03,139600,NI
48,2021-03-04,132250,NI
49,2021-03-05,123000,NI
50,2021-03-08,125750,NI
51,2021-03-09,124700,NI
52,2021-03-10,122600,NI
53,2021-03-11,123000,NI
54,2021-03-12,122800,NI
55,2021-03-15,122200,NI
56,2021-03-16,122800,NI
57,2021-03-18,123600,NI
58,2021-03-19,122600,NI
59,2021-03-22,124550,NI
60,2021-03-23,124800,NI
61,2021-03-24,122350,NI
62,2021-03-25,122750,NI
63,2021-03-26,123450,NI
64,2021-03-29,125300,NI
65,2021-03-30,125450,NI
66,2021-03-31,121950,NI
67,2021-04-01,122700,NI
68,2021-04-02,124100,NI
69,2021-04-06,126700,NI
70,2021-04-07,126350,NI
71,2021-04-08,125750,NI
72,2021-04-09,127400,NI
73,2021-04-12,123950,NI
74,2021-04-13,122300,NI
75,2021-04-14,122050,NI
76,2021-04-15,122400,NI
77,2021-04-16,123850,NI
78,2021-04-19,121750,NI
79,2021-04-20,121750,NI
80,2021-04-21,120600,NI
81,2021-04-22,121250,NI
82,2021-04-23,121400,NI
83,2021-04-26,123700,NI
84,2021-04-27,125950,NI
85,2021-04-28,127000,NI
86,2021-04-29,130500,NI
87,2021-04-30,129950,NI
88,2021-05-06,132200,NI
89,2021-05-10,134350,NI
90,2021-05-11,131150,NI
91,2021-05-12,132400,NI
92,2021-05-13,130800,NI
93,2021-05-14,129850,NI
94,2021-05-17,131250,NI
95,2021-05-18,134750,NI
96,2021-05-19,133550,NI
97,2021-05-20,128800,NI
98,2021-05-21,126350,NI
99,2021-05-24,125850,NI
100,2021-05-25,126950,NI
101,2021-05-26,127700,NI
102,2021-05-27,127200,NI
103,2021-05-28,132800,NI
104,2021-05-31,133250,NI
105,2021-06-01,133700,NI
106,2021-06-02,133850,NI
107,2021-06-03,134400,NI
108,2021-06-04,131500,NI
109,2021-06-07,131900,NI
110,2021-06-08,131550,NI
111,2021-06-09,133400,NI
112,2021-06-10,132850,NI
113,2021-06-11,135200,NI
114,2021-06-15,134600,NI
115,2021-06-16,130150,NI
116,2021-06-17,128650,NI
117,2021-06-18,129700,NI
118,2021-06-21,130150,NI
119,2021-06-22,131400,NI
120,2021-06-23,133800,NI
121,2021-06-24,135000,NI
122,2021-06-25,138700,NI
123,2021-06-28,137800,NI
124,2021-06-29,136500,NI
125,2021-06-30,136300,NI
126,2021-07-01,136200,NI
127,2021-07-05,137150,NI
128,2021-07-06,137950,NI
129,2021-07-07,134600,NI
130,2021-07-08,136400,NI
131,2021-07-09,138200,NI
132,2021-07-12,140150,NI
133,2021-07-13,140200,NI
134,2021-07-14,139200,NI
135,2021-07-15,138900,NI
136,2021-07-16,142650,NI
137,2021-07-19,143400,NI
138,2021-07-20,138600,NI
139,2021-07-21,138400,NI
140,2021-07-22,139200,NI
141,2021-07-23,142900,NI
142,2021-07-26,146900,NI
143,2021-07-27,148150,NI
144,2021-07-28,146600,NI
145,2021-07-29,147500,NI
146,2021-07-30,147050,NI
147,2021-08-02,145100,NI
148,2021-08-03,144700,NI
149,2021-08-04,143650,NI
150,2021-08-05,143400,NI
151,2021-08-06,145650,NI
152,2021-08-09,141700,NI
153,2021-08-10,140050,NI
154,2021-08-11,140950,NI
155,2021-08-12,146850,NI
156,2021-08-13,147950,NI
157,2021-08-16,148000,NI
158,2021-08-17,148200,NI
159,2021-08-18,145650,NI
160,2021-08-19,142850,NI
161,2021-08-20,142000,NI
162,2021-08-23,143250,NI
163,2021-08-24,143850,NI
164,2021-08-25,144950,NI
165,2021-08-26,145500,NI
166,2021-08-27,142650,NI
167,2021-08-30,146100,NI
168,2021-08-31,150850,NI
169,2021-09-01,149800,NI
170,2021-09-02,148750,NI
171,2021-09-03,147300,NI
172,2021-09-06,148050,NI
173,2021-09-07,147450,NI
174,2021-09-08,149000,NI
175,2021-09-09,150000,NI
176,2021-09-10,154650,NI
177,2021-09-13,153350,NI
178,2021-09-14,148100,NI
179,2021-09-15,147650,NI
180,2021-09-16,148600,NI
181,2021-09-17,146700,NI
182,2021-09-22,146650,NI
183,2021-09-23,146650,NI
184,2021-09-24,146250,NI
185,2021-09-27,146950,NI
186,2021-09-28,142600,NI
187,2021-09-29,142550,NI
188,2021-09-30,141150,NI
189,2021-10-08,143650,NI
190,2021-10-11,146750,NI
191,2021-10-12,145750,NI
192,2021-10-13,144500,NI
193,2021-10-14,144100,NI
194,2021-10-15,146100,NI
195,2021-10-18,151050,NI
196,2021-10-19,151500,NI
197,2021-10-20,149150,NI
198,2021-10-21,159350,NI
199,2021-10-22,151050,NI
200,2021-10-25,150800,NI
201,2021-10-26,152200,NI
202,2021-10-27,151500,NI
203,2021-10-28,145200,NI
204,2021-10-29,146050,NI
205,2021-11-01,146100,NI
206,2021-11-02,146750,NI
207,2021-11-03,145100,NI
208,2021-11-04,144400,NI
209,2021-11-05,143550,NI
210,2021-11-08,144000,NI
211,2021-11-09,146450,NI
212,2021-11-10,144350,NI
213,2021-11-11,146300,NI
214,2021-11-12,148050,NI
215,2021-11-15,147050,NI
216,2021-11-16,145700,NI
217,2021-11-17,144200,NI
218,2021-11-18,142850,NI
219,2021-11-19,147600,NI
220,2021-11-22,149350,NI
221,2021-11-23,153350,NI
222,2021-11-24,153250,NI
