,date,cashPrice,code
0,2021-01-05,156000,SN
1,2021-01-06,157250,SN
2,2021-01-07,157500,SN
3,2021-01-08,156750,SN
4,2021-01-11,154250,SN
5,2021-01-13,153500,SN
6,2021-01-22,163000,SN
7,2021-02-05,164750,SN
8,2021-02-18,171500,SN
9,2021-02-19,178750,SN
10,2021-02-22,191750,SN
11,2021-02-24,189250,SN
12,2021-02-25,196500,SN
13,2021-02-26,186000,SN
14,2021-03-01,184000,SN
15,2021-03-02,177000,SN
16,2021-03-09,172500,SN
17,2021-04-02,181000,SN
18,2021-04-06,186750,SN
19,2021-04-13,177250,SN
20,2021-04-14,177750,SN
21,2021-04-16,182750,SN
22,2021-04-20,185250,SN
23,2021-04-21,185000,SN
24,2021-04-22,184000,SN
25,2021-04-23,183750,SN
26,2021-04-26,185250,SN
27,2021-04-29,192000,SN
28,2021-04-30,192000,SN
29,2021-05-06,197750,SN
30,2021-05-10,196750,SN
31,2021-05-11,194750,SN
32,2021-05-12,196750,SN
33,2021-05-13,193250,SN
34,2021-05-14,193750,SN
35,2021-05-17,198000,SN
36,2021-05-18,200000,SN
37,2021-05-20,194500,SN
38,2021-05-21,195500,SN
39,2021-05-24,195500,SN
40,2021-05-25,197250,SN
41,2021-05-26,198500,SN
42,2021-05-27,199250,SN
43,2021-05-28,208250,SN
44,2021-05-31,209000,SN
45,2021-06-01,205500,SN
46,2021-06-02,206500,SN
47,2021-06-03,207000,SN
48,2021-06-04,204000,SN
49,2021-06-07,205000,SN
50,2021-06-08,205000,SN
51,2021-06-09,209000,SN
52,2021-06-11,210500,SN
53,2021-06-15,207250,SN
54,2021-06-16,207250,SN
55,2021-06-17,206500,SN
56,2021-06-18,206500,SN
57,2021-06-21,203500,SN
58,2021-06-22,205000,SN
59,2021-06-23,209000,SN
60,2021-06-24,210750,SN
61,2021-06-25,211500,SN
62,2021-06-28,211500,SN
63,2021-06-29,212500,SN
64,2021-06-30,213500,SN
65,2021-07-01,215000,SN
66,2021-07-02,214750,SN
67,2021-07-05,216250,SN
68,2021-07-06,220500,SN
69,2021-07-07,217500,SN
70,2021-07-08,217500,SN
71,2021-07-09,220000,SN
72,2021-07-12,220000,SN
73,2021-07-13,222750,SN
74,2021-07-14,221750,SN
75,2021-07-15,223250,SN
76,2021-07-16,228000,SN
77,2021-07-19,234000,SN
78,2021-07-20,229250,SN
79,2021-07-21,228000,SN
80,2021-07-22,227250,SN
81,2021-07-23,235000,SN
82,2021-07-26,237250,SN
83,2021-07-27,237000,SN
84,2021-07-28,234000,SN
85,2021-07-29,234000,SN
86,2021-07-30,236500,SN
87,2021-08-02,237500,SN
88,2021-08-03,236250,SN
89,2021-08-04,233750,SN
90,2021-08-05,233750,SN
91,2021-08-06,234500,SN
92,2021-08-09,234500,SN
93,2021-08-10,238000,SN
94,2021-08-11,241500,SN
95,2021-08-12,245750,SN
96,2021-08-13,241750,SN
97,2021-08-16,241000,SN
98,2021-08-17,245500,SN
99,2021-08-18,246500,SN
100,2021-08-19,246250,SN
101,2021-08-20,239500,SN
102,2021-08-23,239500,SN
103,2021-08-24,241750,SN
104,2021-08-25,244750,SN
105,2021-08-26,247000,SN
106,2021-08-27,245500,SN
107,2021-08-30,246750,SN
108,2021-08-31,250750,SN
109,2021-09-01,249750,SN
110,2021-09-02,250500,SN
111,2021-09-03,249250,SN
112,2021-09-06,250000,SN
113,2021-09-07,249500,SN
114,2021-09-08,250000,SN
115,2021-09-09,251250,SN
116,2021-09-10,256500,SN
117,2021-09-13,260000,SN
118,2021-09-14,256500,SN
119,2021-09-15,258000,SN
120,2021-09-16,264500,SN
121,2021-09-17,265500,SN
122,2021-09-22,271500,SN
123,2021-09-23,277000,SN
124,2021-09-24,283250,SN
125,2021-09-27,287500,SN
126,2021-09-28,276500,SN
127,2021-09-29,279000,SN
128,2021-09-30,278000,SN
129,2021-10-08,283500,SN
130,2021-10-11,287000,SN
131,2021-10-12,282750,SN
132,2021-10-13,281000,SN
133,2021-10-14,282250,SN
134,2021-10-15,285250,SN
135,2021-10-18,289500,SN
136,2021-10-19,294250,SN
137,2021-10-20,287000,SN
138,2021-10-21,298500,SN
139,2021-10-22,289250,SN
140,2021-10-25,290000,SN
141,2021-10-26,287000,SN
142,2021-10-27,288000,SN
143,2021-10-28,274500,SN
144,2021-10-29,277500,SN
145,2021-11-01,286500,SN
146,2021-11-02,289000,SN
147,2021-11-03,288500,SN
148,2021-11-04,290000,SN
149,2021-11-05,290000,SN
150,2021-11-08,289500,SN
151,2021-11-09,289500,SN
152,2021-11-10,288250,SN
153,2021-11-11,292000,SN
154,2021-11-12,296250,SN
155,2021-11-15,293000,SN
156,2021-11-16,293000,SN
157,2021-11-17,293000,SN
158,2021-11-18,295000,SN
159,2021-11-19,297250,SN
160,2021-11-22,298000,SN
161,2021-11-23,298000,SN
162,2021-11-24,295500,SN
163,2021-11-25,297500,SN
164,2021-11-26,296000,SN
165,2021-11-29,296000,SN
166,2021-11-30,297000,SN
167,2021-12-01,296250,SN
168,2021-12-02,295500,SN
169,2021-12-03,295250,SN
170,2021-12-06,295250,SN
171,2021-12-07,292750,SN
172,2021-12-08,294000,SN
173,2021-12-09,294250,SN
174,2021-12-10,294750,SN
175,2021-12-13,294750,SN
176,2021-12-14,295250,SN
177,2021-12-15,293000,SN
178,2022-01-10,305250,SN
179,2022-01-12,317000,SN
180,2022-01-13,320000,SN
181,2022-01-14,317500,SN
182,2022-01-17,318000,SN
183,2022-01-18,326000,SN
184,2022-01-19,327250,SN
185,2022-01-20,334500,SN
186,2022-01-21,335000,SN
187,2022-01-24,335000,SN
188,2022-01-25,330000,SN
189,2022-01-26,329000,SN
190,2022-01-27,329500,SN
191,2022-01-28,329500,SN
192,2022-02-07,332000,SN
193,2022-02-08,335250,SN
194,2022-02-09,334000,SN
195,2022-02-10,339000,SN
196,2022-02-11,340000,SN
197,2022-02-14,337000,SN
198,2022-02-15,335000,SN
199,2022-02-16,337500,SN
200,2022-02-17,338000,SN
201,2022-02-18,340250,SN
202,2022-02-21,339750,SN
203,2022-02-22,339750,SN
204,2022-02-23,339000,SN
205,2022-02-24,340500,SN
206,2022-02-25,340500,SN
207,2022-02-28,340500,SN
208,2022-03-01,341000,SN
209,2022-03-02,341250,SN
210,2022-03-03,341750,SN
211,2022-03-04,342250,SN
212,2022-03-07,351500,SN
213,2022-03-08,347500,SN
214,2022-03-09,368500,SN
215,2022-03-10,345000,SN
216,2022-03-11,344000,SN
217,2022-03-14,338500,SN
218,2022-03-15,333500,SN
219,2022-03-16,338000,SN
220,2022-03-17,337500,SN
221,2022-03-21,346750,SN
222,2022-03-22,344250,SN
223,2022-03-25,348750,SN
224,2022-03-28,345500,SN
225,2022-03-30,349750,SN
226,2022-04-01,347500,SN
227,2022-04-07,345000,SN
228,2022-04-08,341500,SN
229,2022-04-11,344000,SN
230,2022-04-12,344250,SN
231,2022-04-13,341500,SN
232,2022-04-18,343250,SN
233,2022-04-20,346000,SN
234,2022-04-21,343500,SN
235,2022-04-22,343000,SN
236,2022-04-25,339500,SN
237,2022-04-26,337250,SN
238,2022-04-27,337500,SN
239,2022-04-28,335750,SN
240,2022-04-29,336000,SN
241,2022-05-06,335250,SN
242,2022-05-09,331250,SN
243,2022-05-10,319000,SN
244,2022-05-11,308500,SN
245,2022-05-12,305500,SN
246,2022-05-13,300500,SN
247,2022-05-16,299500,SN
248,2022-05-17,296000,SN
249,2022-05-18,287500,SN
250,2022-05-19,288000,SN
251,2022-05-20,288500,SN
252,2022-05-23,286000,SN
253,2022-05-24,283000,SN
254,2022-05-25,273500,SN
255,2022-05-26,259000,SN
256,2022-05-27,261500,SN
257,2022-05-30,273000,SN
258,2022-05-31,273500,SN
259,2022-06-01,270500,SN
260,2022-06-02,271000,SN
261,2022-06-06,262000,SN
262,2022-06-07,257750,SN
263,2022-06-08,256500,SN
264,2022-06-09,262500,SN
265,2022-06-10,260500,SN
266,2022-06-13,252750,SN
267,2022-06-14,244500,SN
268,2022-06-15,245500,SN
269,2022-06-16,258250,SN
270,2022-06-17,249500,SN
271,2022-06-20,243500,SN
272,2022-06-21,244750,SN
273,2022-06-22,235500,SN
274,2022-06-23,228500,SN
275,2022-06-24,219000,SN
276,2022-06-27,216500,SN
277,2022-06-28,218750,SN
278,2022-06-29,212000,SN
279,2022-06-30,210000,SN
280,2022-07-01,202250,SN
281,2022-07-04,198500,SN
282,2022-07-05,203750,SN
283,2022-07-06,191500,SN
284,2022-07-07,187500,SN
285,2022-07-08,192250,SN
286,2022-07-11,193000,SN
287,2022-07-12,201000,SN
288,2022-07-13,198500,SN
289,2022-07-14,196000,SN
290,2022-07-15,190500,SN
291,2022-07-18,196500,SN
292,2022-07-19,194000,SN
293,2022-07-20,190000,SN
294,2022-07-21,195500,SN
295,2022-07-22,193250,SN
296,2022-07-25,194500,SN
297,2022-07-26,196000,SN
298,2022-07-27,192000,SN
299,2022-07-28,197000,SN
300,2022-07-29,194500,SN
301,2022-08-01,201000,SN
302,2022-08-02,196000,SN
303,2022-08-03,194250,SN
304,2022-08-04,195000,SN
305,2022-08-05,198500,SN
306,2022-08-08,196500,SN
307,2022-08-09,194500,SN
308,2022-08-10,199000,SN
309,2022-08-11,202500,SN
310,2022-08-12,205750,SN
311,2022-08-15,199000,SN
312,2022-08-16,200250,SN
313,2022-08-17,200750,SN
314,2022-08-18,199750,SN
315,2022-08-19,199750,SN
316,2022-08-22,204250,SN
317,2022-08-23,201750,SN
318,2022-08-24,201250,SN
319,2022-08-25,200750,SN
320,2022-08-26,201500,SN
321,2022-08-29,199000,SN
322,2022-08-30,196500,SN
323,2022-08-31,195500,SN
324,2022-09-01,186250,SN
325,2022-09-02,180000,SN
326,2022-09-05,181500,SN
327,2022-09-06,185000,SN
328,2022-09-07,182750,SN
329,2022-09-08,183250,SN
330,2022-09-09,186500,SN
331,2022-09-13,188000,SN
332,2022-09-14,179000,SN
333,2022-09-15,185500,SN
334,2022-09-16,183500,SN
335,2022-09-19,184750,SN
336,2022-09-20,184000,SN
337,2022-09-21,186500,SN
338,2022-09-22,189000,SN
339,2022-09-23,187750,SN
340,2022-09-26,183000,SN
341,2022-09-27,187000,SN
342,2022-09-28,186500,SN
343,2022-09-29,187000,SN
344,2022-09-30,185000,SN
345,2022-10-10,182000,SN
346,2022-10-11,184000,SN
347,2022-10-12,181500,SN
348,2022-10-13,182000,SN
349,2022-10-14,182000,SN
350,2022-10-17,181000,SN
351,2022-10-18,179000,SN
352,2022-10-19,180000,SN
353,2022-10-20,178500,SN
354,2022-10-21,176500,SN
355,2022-10-24,175500,SN
356,2022-10-25,174000,SN
357,2022-10-26,174750,SN
358,2022-10-27,173750,SN
359,2022-10-28,168500,SN
360,2022-10-31,166500,SN
361,2022-11-01,165000,SN
362,2022-11-02,167000,SN
363,2022-11-03,163250,SN
364,2022-11-04,163500,SN
365,2022-11-07,169000,SN
366,2022-11-08,170000,SN
367,2022-11-09,172250,SN
368,2022-11-10,169500,SN
369,2022-11-11,179000,SN
370,2022-11-14,178500,SN
371,2022-11-15,179500,SN
372,2022-11-16,185500,SN
373,2022-11-17,184250,SN
374,2022-11-18,185000,SN
375,2022-11-21,178250,SN
376,2022-11-22,179250,SN
377,2022-11-23,182500,SN
378,2022-11-24,184000,SN
379,2022-11-25,184500,SN
380,2022-11-28,181500,SN
381,2022-11-29,185500,SN
382,2022-11-30,184500,SN
383,2022-12-01,186500,SN
384,2022-12-02,186500,SN
385,2022-12-05,194500,SN
386,2022-12-06,194500,SN
387,2022-12-07,196000,SN
388,2022-12-08,196000,SN
389,2022-12-09,196250,SN
390,2022-12-12,189500,SN
391,2022-12-13,195000,SN
392,2022-12-14,195000,SN
393,2022-12-15,192500,SN
394,2022-12-21,196000,SN
395,2022-12-22,196250,SN
396,2022-12-23,196500,SN
397,2022-12-26,196750,SN
398,2022-12-28,208000,SN
399,2023-01-03,208000,SN
400,2023-01-04,209500,SN
401,2023-01-06,202500,SN
402,2023-01-09,206000,SN
403,2023-01-10,203750,SN
404,2023-01-11,208500,SN
405,2023-01-13,220500,SN
406,2023-01-16,226750,SN
407,2023-01-19,226750,SN
408,2023-01-20,229750,SN
409,2023-02-01,236500,SN
410,2023-02-06,218750,SN
411,2023-02-09,218750,SN
412,2023-02-13,216500,SN
413,2023-02-14,215500,SN
414,2023-02-15,214250,SN
415,2023-02-16,213500,SN
416,2023-02-20,208250,SN
417,2023-02-21,215000,SN
418,2023-02-22,219750,SN
419,2023-02-24,211500,SN
420,2023-02-27,209500,SN
421,2023-02-28,209750,SN
422,2023-03-01,206500,SN
423,2023-03-02,204750,SN
424,2023-03-03,199000,SN
425,2023-03-09,195750,SN
426,2023-03-10,187000,SN
427,2023-03-13,185750,SN
428,2023-03-14,187000,SN
429,2023-03-15,188000,SN
430,2023-03-16,179750,SN
431,2023-03-17,184000,SN
432,2023-03-20,187750,SN
433,2023-03-21,185250,SN
434,2023-03-22,186750,SN
435,2023-03-23,188250,SN
436,2023-03-24,196750,SN
437,2023-03-27,201500,SN
438,2023-03-28,204500,SN
439,2023-03-29,207750,SN
440,2023-03-30,204750,SN
441,2023-03-31,208000,SN
442,2023-04-04,203500,SN
443,2023-04-06,197750,SN
444,2023-04-07,195750,SN
445,2023-04-10,191750,SN
446,2023-04-11,190250,SN
447,2023-04-12,191000,SN
448,2023-04-13,193250,SN
449,2023-04-14,197250,SN
450,2023-04-17,209250,SN
451,2023-04-18,223750,SN
452,2023-04-19,219000,SN
453,2023-04-20,219000,SN
454,2023-04-21,213250,SN
455,2023-04-24,213500,SN
456,2023-04-25,211900,SN
457,2023-04-26,207000,SN
458,2023-04-27,206250,SN
459,2023-04-28,209500,SN
460,2023-05-05,205250,SN
461,2023-05-08,207750,SN
462,2023-05-09,209750,SN
463,2023-05-11,207000,SN
464,2023-05-12,201500,SN
465,2023-05-15,198000,SN
466,2023-05-16,199500,SN
467,2023-05-17,197750,SN
468,2023-05-18,198000,SN
469,2023-05-19,196500,SN
470,2023-05-22,197250,SN
471,2023-05-23,197500,SN
472,2023-05-24,195500,SN
473,2023-05-25,199500,SN
474,2023-05-26,199000,SN
475,2023-05-29,202750,SN
476,2023-05-30,210500,SN
477,2023-05-31,207250,SN
478,2023-06-01,208000,SN
479,2023-06-02,209750,SN
480,2023-06-05,207250,SN
481,2023-06-07,210250,SN
482,2023-06-08,207250,SN
483,2023-06-09,214500,SN
484,2023-06-12,210500,SN
485,2023-06-13,208750,SN
486,2023-06-14,211750,SN
487,2023-06-15,213750,SN
488,2023-06-16,218750,SN
489,2023-06-19,215250,SN
490,2023-06-20,216750,SN
491,2023-06-21,219000,SN
492,2023-06-26,214750,SN
493,2023-06-27,212000,SN
494,2023-06-28,212750,SN
495,2023-06-29,213750,SN
496,2023-06-30,217000,SN
497,2023-07-03,226500,SN
498,2023-07-04,225500,SN
499,2023-07-05,224250,SN
500,2023-07-06,234500,SN
501,2023-07-07,234000,SN
502,2023-07-10,229500,SN
503,2023-07-11,231250,SN
504,2023-07-12,232500,SN
505,2023-07-13,234000,SN
506,2023-07-14,233250,SN
