,date,cashPrice,code
0,2020-01-17,15000,SS
1,2020-01-21,15000,SS
2,2020-02-04,15000,SS
3,2020-02-17,15000,SS
4,2020-02-20,14800,SS
5,2020-02-24,14800,SS
6,2020-02-25,14800,SS
7,2020-02-26,14600,SS
8,2020-02-27,14500,SS
9,2020-03-02,14500,SS
10,2020-03-03,14500,SS
11,2020-03-05,14500,SS
12,2020-03-09,14500,SS
13,2020-03-18,13700,SS
14,2020-03-20,13700,SS
15,2020-03-30,13400,SS
16,2020-04-03,13400,SS
17,2020-04-07,13400,SS
18,2020-04-08,13200,SS
19,2020-04-13,13200,SS
20,2020-04-14,13200,SS
21,2020-04-15,13400,SS
22,2020-04-16,13500,SS
23,2020-04-17,13500,SS
24,2020-04-20,13500,SS
25,2020-04-21,13600,SS
26,2020-04-23,13600,SS
27,2020-04-24,13600,SS
28,2020-05-07,13800,SS
29,2020-05-11,14200,SS
30,2020-05-12,14200,SS
31,2020-05-13,14200,SS
32,2020-06-10,14150,SS
33,2020-06-11,14150,SS
34,2020-06-12,14100,SS
35,2020-06-16,14050,SS
36,2020-06-17,14050,SS
37,2020-06-18,14050,SS
38,2020-06-19,14050,SS
39,2020-06-22,14050,SS
40,2020-06-23,14050,SS
41,2020-06-24,14050,SS
42,2020-06-30,14050,SS
43,2020-07-02,14050,SS
44,2020-07-03,14050,SS
45,2020-07-06,14050,SS
46,2020-07-07,14150,SS
47,2020-07-08,14150,SS
48,2020-07-09,14150,SS
49,2020-07-10,14150,SS
50,2020-07-13,14150,SS
51,2020-07-14,14200,SS
52,2020-07-15,14200,SS
53,2020-07-16,14200,SS
54,2020-07-17,14200,SS
55,2020-07-20,14200,SS
56,2020-07-22,14200,SS
57,2020-07-23,14200,SS
58,2020-07-24,14250,SS
59,2020-07-27,14250,SS
60,2020-07-28,14250,SS
61,2020-07-29,14250,SS
62,2020-07-30,14250,SS
63,2020-07-31,14250,SS
64,2020-08-03,14300,SS
65,2020-08-04,14450,SS
66,2020-08-05,14500,SS
67,2020-08-06,14550,SS
68,2020-08-07,14550,SS
69,2020-08-10,14550,SS
70,2020-08-11,14550,SS
71,2020-08-12,14550,SS
72,2020-08-13,14550,SS
73,2020-08-14,14550,SS
74,2020-08-17,14650,SS
75,2020-08-18,14850,SS
76,2020-08-19,14850,SS
77,2020-08-20,14850,SS
78,2020-08-21,14950,SS
79,2020-08-24,14950,SS
80,2020-08-25,14950,SS
81,2020-08-26,14950,SS
82,2020-08-27,15100,SS
83,2020-08-28,15200,SS
84,2020-08-31,15200,SS
85,2020-09-01,15350,SS
86,2020-09-02,15500,SS
87,2020-09-03,15500,SS
88,2020-09-04,15500,SS
89,2020-09-07,15500,SS
90,2020-09-08,15500,SS
91,2020-09-09,15600,SS
92,2020-09-11,15500,SS
93,2020-09-14,15500,SS
94,2020-09-15,15500,SS
95,2020-09-16,15500,SS
96,2020-09-17,15500,SS
97,2020-09-18,15500,SS
98,2020-09-21,15500,SS
99,2020-09-22,15500,SS
100,2020-09-23,15500,SS
101,2020-09-24,15500,SS
102,2020-09-25,15550,SS
103,2020-09-28,15550,SS
104,2020-09-29,15550,SS
105,2020-09-30,15550,SS
106,2020-10-09,15550,SS
107,2020-10-12,15650,SS
108,2020-10-13,15650,SS
109,2020-10-14,15650,SS
110,2020-10-15,15650,SS
111,2020-10-16,15650,SS
112,2020-10-19,15650,SS
113,2020-10-20,15650,SS
114,2020-10-21,15650,SS
115,2020-10-22,15650,SS
116,2020-10-23,15650,SS
117,2020-10-26,15650,SS
118,2020-10-27,15650,SS
119,2020-10-28,15650,SS
120,2020-10-29,15650,SS
121,2020-10-30,15650,SS
122,2020-11-02,15650,SS
123,2020-11-03,15550,SS
124,2020-11-04,15550,SS
125,2020-11-05,15550,SS
126,2020-11-06,15450,SS
127,2020-11-09,15450,SS
128,2020-11-10,15450,SS
129,2020-11-11,15450,SS
130,2020-11-12,15450,SS
131,2020-11-13,15450,SS
132,2020-11-16,15350,SS
133,2020-11-17,15200,SS
134,2020-11-18,14800,SS
135,2020-11-19,14800,SS
136,2020-11-20,14800,SS
137,2020-11-23,14900,SS
138,2020-11-24,14900,SS
139,2020-11-25,14900,SS
140,2020-11-26,14900,SS
141,2020-11-27,14900,SS
142,2020-11-30,14900,SS
143,2020-12-01,14900,SS
144,2020-12-02,14900,SS
145,2020-12-03,14900,SS
146,2020-12-04,14900,SS
147,2020-12-07,14900,SS
148,2020-12-08,14900,SS
149,2020-12-09,14900,SS
150,2020-12-10,14900,SS
151,2020-12-11,15200,SS
152,2020-12-14,15350,SS
153,2020-12-15,15350,SS
154,2020-12-16,15450,SS
155,2020-12-17,15450,SS
156,2020-12-18,15400,SS
157,2020-12-21,15350,SS
158,2020-12-22,15350,SS
159,2020-12-23,15300,SS
160,2020-12-24,15300,SS
161,2020-12-25,15300,SS
162,2020-12-28,15400,SS
163,2020-12-29,15400,SS
164,2020-12-30,15400,SS
165,2020-12-31,15400,SS
166,2021-01-04,15400,SS
167,2021-01-05,15700,SS
168,2021-01-06,15750,SS
169,2021-01-07,15850,SS
170,2021-01-08,16000,SS
171,2021-01-11,16000,SS
172,2021-01-12,15900,SS
173,2021-01-13,15900,SS
174,2021-01-15,15950,SS
175,2021-01-26,16150,SS
176,2021-01-27,16150,SS
177,2021-01-28,16250,SS
178,2021-01-29,16250,SS
179,2021-02-03,16250,SS
180,2021-02-08,16250,SS
181,2021-02-09,16250,SS
182,2021-02-18,16350,SS
183,2021-02-23,17050,SS
184,2021-02-24,17050,SS
185,2021-02-26,17050,SS
186,2021-03-01,17050,SS
187,2021-03-02,17050,SS
188,2021-03-03,17050,SS
189,2021-03-04,16850,SS
190,2021-03-05,16750,SS
191,2021-03-08,16750,SS
192,2021-03-11,16750,SS
193,2021-03-12,16750,SS
194,2021-03-15,16650,SS
195,2021-03-16,16650,SS
196,2021-03-19,16650,SS
197,2021-03-22,16650,SS
198,2021-03-24,16650,SS
199,2021-03-25,16650,SS
200,2021-03-26,16650,SS
201,2021-03-29,16600,SS
202,2021-03-30,16600,SS
203,2021-04-01,16600,SS
204,2021-04-02,16600,SS
205,2021-04-06,16600,SS
206,2021-04-07,16600,SS
207,2021-04-08,16600,SS
208,2021-04-09,16600,SS
209,2021-04-13,16600,SS
210,2021-04-14,16550,SS
211,2021-04-15,16550,SS
212,2021-04-16,16350,SS
213,2021-04-19,16250,SS
214,2021-04-20,16250,SS
215,2021-04-21,16250,SS
216,2021-04-22,16250,SS
217,2021-04-23,16250,SS
218,2021-04-26,16250,SS
219,2021-04-27,16450,SS
220,2021-04-28,16550,SS
221,2021-04-29,16600,SS
222,2021-04-30,16600,SS
223,2021-05-06,16800,SS
224,2021-05-10,17100,SS
225,2021-05-11,17100,SS
226,2021-05-12,17100,SS
227,2021-05-13,17200,SS
228,2021-05-14,17200,SS
229,2021-05-17,17600,SS
230,2021-05-18,17600,SS
231,2021-05-19,17700,SS
232,2021-05-20,17700,SS
233,2021-05-21,17700,SS
234,2021-05-24,17600,SS
235,2021-05-25,17600,SS
236,2021-05-26,17600,SS
237,2021-05-27,17500,SS
238,2021-05-28,17500,SS
239,2021-05-31,17500,SS
240,2021-06-01,17500,SS
241,2021-06-02,17600,SS
242,2021-06-03,17700,SS
243,2021-06-04,17700,SS
244,2021-06-07,17700,SS
245,2021-06-09,17600,SS
246,2021-06-10,17600,SS
247,2021-06-11,17650,SS
248,2021-06-15,17650,SS
249,2021-06-16,17750,SS
250,2021-06-17,17750,SS
251,2021-06-18,17750,SS
252,2021-06-21,17750,SS
253,2021-06-22,17750,SS
254,2021-06-23,17750,SS
255,2021-06-24,17750,SS
256,2021-06-25,17950,SS
257,2021-06-28,18100,SS
258,2021-06-29,18100,SS
259,2021-06-30,18100,SS
260,2021-07-01,18100,SS
261,2021-07-02,18100,SS
262,2021-07-05,18100,SS
263,2021-07-07,18150,SS
264,2021-07-08,18150,SS
265,2021-07-09,18250,SS
266,2021-07-12,18700,SS
267,2021-07-13,18700,SS
268,2021-07-14,19100,SS
269,2021-07-15,19500,SS
270,2021-07-16,19850,SS
271,2021-07-19,20250,SS
272,2021-07-20,20250,SS
273,2021-07-21,20250,SS
274,2021-07-22,20550,SS
275,2021-07-23,20550,SS
276,2021-07-26,20750,SS
277,2021-07-27,21200,SS
278,2021-07-28,21300,SS
279,2021-07-29,21300,SS
280,2021-07-30,21650,SS
281,2021-08-02,21650,SS
282,2021-08-03,21650,SS
283,2021-08-04,21450,SS
284,2021-08-05,21450,SS
285,2021-08-06,21450,SS
286,2021-08-09,21550,SS
287,2021-08-10,21250,SS
288,2021-08-11,21150,SS
289,2021-08-12,21050,SS
290,2021-08-13,21150,SS
291,2021-08-16,21150,SS
292,2021-08-17,20950,SS
293,2021-08-18,20800,SS
294,2021-08-19,20550,SS
295,2021-08-20,20350,SS
296,2021-08-23,20250,SS
297,2021-08-24,20250,SS
298,2021-08-25,20350,SS
299,2021-08-26,20350,SS
300,2021-08-27,20300,SS
301,2021-08-30,20300,SS
302,2021-08-31,20450,SS
303,2021-09-01,20350,SS
304,2021-09-02,20200,SS
305,2021-09-03,20200,SS
306,2021-09-06,20600,SS
307,2021-09-07,20700,SS
308,2021-09-08,20600,SS
309,2021-09-09,20600,SS
310,2021-09-10,20700,SS
311,2021-09-13,20700,SS
312,2021-09-14,20650,SS
313,2021-09-15,20650,SS
314,2021-09-16,21250,SS
315,2021-09-17,21450,SS
316,2021-09-22,22550,SS
317,2021-09-23,22850,SS
318,2021-09-24,22850,SS
319,2021-09-27,22350,SS
320,2021-09-28,22150,SS
321,2021-09-29,22450,SS
322,2021-09-30,22350,SS
323,2021-10-08,22450,SS
324,2021-10-11,22650,SS
325,2021-10-12,22650,SS
326,2021-10-13,22550,SS
327,2021-10-14,22550,SS
328,2021-10-15,22550,SS
329,2021-10-18,22550,SS
330,2021-10-19,22550,SS
331,2021-10-20,22450,SS
332,2021-10-21,22550,SS
333,2021-10-22,22400,SS
334,2021-10-25,22350,SS
335,2021-10-26,22350,SS
336,2021-10-27,22250,SS
337,2021-10-28,22100,SS
338,2021-10-29,22100,SS
339,2021-11-01,22100,SS
340,2021-11-02,22000,SS
341,2021-11-03,22000,SS
342,2021-11-04,22000,SS
343,2021-11-05,22000,SS
344,2021-11-08,22000,SS
345,2021-11-09,22000,SS
346,2021-11-10,21600,SS
347,2021-11-11,21600,SS
348,2021-11-12,21500,SS
349,2021-11-15,21500,SS
350,2021-11-16,21400,SS
351,2021-11-17,21400,SS
352,2021-11-18,21300,SS
353,2021-11-19,21300,SS
354,2021-11-22,21200,SS
355,2021-11-23,20750,SS
356,2021-11-24,20500,SS
357,2021-11-25,19700,SS
358,2021-11-26,19700,SS
359,2021-11-29,19450,SS
360,2021-11-30,19400,SS
361,2021-12-01,19250,SS
362,2021-12-02,19050,SS
363,2021-12-03,18800,SS
364,2021-12-06,18600,SS
365,2021-12-07,18550,SS
366,2021-12-08,18250,SS
367,2021-12-09,18000,SS
368,2021-12-10,18000,SS
369,2021-12-13,17450,SS
370,2021-12-14,17450,SS
371,2021-12-15,17450,SS
372,2021-12-16,17550,SS
373,2021-12-17,17500,SS
374,2021-12-20,17550,SS
375,2021-12-21,17600,SS
376,2021-12-22,17600,SS
377,2021-12-23,17650,SS
378,2021-12-24,17800,SS
379,2021-12-27,18050,SS
380,2021-12-28,18050,SS
381,2021-12-29,18100,SS
382,2021-12-30,18300,SS
383,2021-12-31,18300,SS
384,2022-01-04,18350,SS
385,2022-01-05,18450,SS
386,2022-01-06,18450,SS
387,2022-01-07,18400,SS
388,2022-01-10,18250,SS
389,2022-01-11,18350,SS
390,2022-01-12,18550,SS
391,2022-01-13,18750,SS
392,2022-01-18,18750,SS
393,2022-01-19,18750,SS
394,2022-01-20,18900,SS
395,2022-01-21,19250,SS
396,2022-01-24,19250,SS
397,2022-01-25,19250,SS
398,2022-01-26,19250,SS
399,2022-01-27,19250,SS
400,2022-01-28,19250,SS
401,2022-02-07,19250,SS
402,2022-02-08,19250,SS
403,2022-02-09,19250,SS
404,2022-02-10,19350,SS
405,2022-02-11,19450,SS
406,2022-02-14,19550,SS
407,2022-02-15,19750,SS
408,2022-02-16,20050,SS
409,2022-02-17,20100,SS
410,2022-02-18,19950,SS
411,2022-02-23,19950,SS
412,2022-02-24,19850,SS
413,2022-02-25,19850,SS
414,2022-02-28,19750,SS
415,2022-03-01,19700,SS
416,2022-03-02,19500,SS
417,2022-03-03,19500,SS
418,2022-03-04,19950,SS
419,2022-03-07,20450,SS
420,2022-03-08,22650,SS
421,2022-03-09,23050,SS
422,2022-03-10,20950,SS
423,2022-03-11,20550,SS
424,2022-03-14,20750,SS
425,2022-03-15,20750,SS
426,2022-03-16,20850,SS
427,2022-03-17,20850,SS
428,2022-03-18,20850,SS
429,2022-03-21,21050,SS
430,2022-03-22,21050,SS
431,2022-03-23,21050,SS
