,date,cashPrice,code
0,2020-02-04,6650,EB
1,2020-03-03,6535,EB
2,2020-03-26,4475,EB
3,2020-03-27,4500,EB
4,2020-03-31,4340,EB
5,2020-04-02,4450,EB
6,2020-04-09,5260,EB
7,2020-04-13,5375,EB
8,2020-04-14,5190,EB
9,2020-04-15,5150,EB
10,2020-04-16,5165,EB
11,2020-04-17,5245,EB
12,2020-04-23,4825,EB
13,2020-04-24,4975,EB
14,2020-05-08,5235,EB
15,2020-05-25,5430,EB
16,2020-06-01,5500,EB
17,2020-06-04,5485,EB
18,2020-06-09,5525,EB
19,2020-06-10,5505,EB
20,2020-06-11,5475,EB
21,2020-06-16,5390,EB
22,2020-06-17,5400,EB
23,2020-07-24,5415,EB
24,2020-07-30,5420,EB
25,2020-08-03,5355,EB
26,2020-08-04,5380,EB
27,2020-08-05,5370,EB
28,2020-08-06,5395,EB
29,2020-08-07,5300,EB
30,2020-08-10,5315,EB
31,2020-08-11,5340,EB
32,2020-08-12,5325,EB
33,2020-08-13,5300,EB
34,2020-08-14,5300,EB
35,2020-08-17,5230,EB
36,2020-08-18,5215,EB
37,2020-08-19,5085,EB
38,2020-08-20,5100,EB
39,2020-08-21,5180,EB
40,2020-08-24,5280,EB
41,2020-08-25,5300,EB
42,2020-08-26,5250,EB
43,2020-08-27,5240,EB
44,2020-08-28,5245,EB
45,2020-08-31,5295,EB
46,2020-09-01,5290,EB
47,2020-09-02,5375,EB
48,2020-09-03,5365,EB
49,2020-09-04,5305,EB
50,2020-09-07,5265,EB
51,2020-09-08,5260,EB
52,2020-09-09,5220,EB
53,2020-09-10,5300,EB
54,2020-09-11,5295,EB
55,2020-09-14,5330,EB
56,2020-09-15,5335,EB
57,2020-09-16,5360,EB
58,2020-09-17,5370,EB
59,2020-09-18,5435,EB
60,2020-09-21,5435,EB
61,2020-09-22,5350,EB
62,2020-09-23,5340,EB
63,2020-09-24,5345,EB
64,2020-09-25,5370,EB
65,2020-09-28,5385,EB
66,2020-09-29,5410,EB
67,2020-09-30,5390,EB
68,2020-10-09,5480,EB
69,2020-10-12,5540,EB
70,2020-10-13,5650,EB
71,2020-10-14,5915,EB
72,2020-10-15,6020,EB
73,2020-10-16,6060,EB
74,2020-10-19,6425,EB
75,2020-10-20,6490,EB
76,2020-10-21,6690,EB
77,2020-10-22,6560,EB
78,2020-10-23,6450,EB
79,2020-10-26,6465,EB
80,2020-10-27,6520,EB
81,2020-10-28,6760,EB
82,2020-10-29,7000,EB
83,2020-10-30,7090,EB
84,2020-11-02,7260,EB
85,2020-11-03,7335,EB
86,2020-11-04,7670,EB
87,2020-11-05,7675,EB
88,2020-11-06,7540,EB
89,2020-11-09,7950,EB
90,2020-11-10,8175,EB
91,2020-11-11,8375,EB
92,2020-11-12,8675,EB
93,2020-11-13,9100,EB
94,2020-11-16,9950,EB
95,2020-11-17,9375,EB
96,2020-11-18,8950,EB
97,2020-11-19,8600,EB
98,2020-11-20,8495,EB
99,2020-11-23,8590,EB
100,2020-11-24,8125,EB
101,2020-11-25,8125,EB
102,2020-11-26,8240,EB
103,2020-11-27,8325,EB
104,2020-11-30,8500,EB
105,2020-12-01,8440,EB
106,2020-12-02,8240,EB
107,2020-12-03,8275,EB
108,2020-12-04,8065,EB
109,2020-12-08,8050,EB
110,2020-12-09,7840,EB
111,2020-12-10,7590,EB
112,2020-12-16,7300,EB
113,2020-12-17,7475,EB
114,2020-12-18,7355,EB
115,2020-12-21,7160,EB
116,2020-12-24,6775,EB
117,2021-01-20,7075,EB
118,2021-02-25,9625,EB
119,2021-02-26,9815,EB
120,2021-03-01,9850,EB
121,2021-03-02,9375,EB
122,2021-03-04,9675,EB
123,2021-03-08,9925,EB
124,2021-03-09,9425,EB
125,2021-03-11,9225,EB
126,2021-03-12,9205,EB
127,2021-04-01,9025,EB
128,2021-04-02,9140,EB
129,2021-04-06,9450,EB
130,2021-04-07,9365,EB
131,2021-04-08,9000,EB
132,2021-04-09,8825,EB
133,2021-04-12,8805,EB
134,2021-04-13,8775,EB
135,2021-04-14,9025,EB
136,2021-04-15,9225,EB
137,2021-04-16,9250,EB
138,2021-04-19,9575,EB
139,2021-04-20,9875,EB
140,2021-04-21,10100,EB
141,2021-04-22,9975,EB
142,2021-04-23,10200,EB
143,2021-04-26,10375,EB
144,2021-04-27,10150,EB
145,2021-04-28,9940,EB
146,2021-04-29,9825,EB
147,2021-04-30,9650,EB
148,2021-05-06,9875,EB
149,2021-05-10,10650,EB
150,2021-05-11,10550,EB
151,2021-05-12,10550,EB
152,2021-05-13,10525,EB
153,2021-05-14,10425,EB
154,2021-05-17,10800,EB
155,2021-05-18,10950,EB
156,2021-05-19,10925,EB
157,2021-05-20,10600,EB
158,2021-05-21,10175,EB
159,2021-05-24,10050,EB
160,2021-05-25,10125,EB
161,2021-05-26,10125,EB
162,2021-05-27,10075,EB
163,2021-05-28,9825,EB
164,2021-05-31,9855,EB
165,2021-06-01,9950,EB
166,2021-06-02,9900,EB
167,2021-06-03,9750,EB
168,2021-06-04,9600,EB
169,2021-06-07,9250,EB
170,2021-06-08,9100,EB
171,2021-06-09,9050,EB
172,2021-06-10,8875,EB
173,2021-06-11,8800,EB
174,2021-06-15,8810,EB
175,2021-06-16,8925,EB
176,2021-06-17,8800,EB
177,2021-06-18,8700,EB
178,2021-06-21,8650,EB
179,2021-06-22,8825,EB
180,2021-06-23,9085,EB
181,2021-06-24,9150,EB
182,2021-06-25,9175,EB
183,2021-06-28,9075,EB
184,2021-06-29,9040,EB
185,2021-06-30,9250,EB
186,2021-07-01,9425,EB
187,2021-07-02,9590,EB
188,2021-07-05,9600,EB
189,2021-07-06,9475,EB
190,2021-07-07,9200,EB
191,2021-07-08,9275,EB
192,2021-07-09,9300,EB
193,2021-07-12,9290,EB
194,2021-07-13,9185,EB
195,2021-07-14,9325,EB
196,2021-07-15,9285,EB
197,2021-07-16,9285,EB
198,2021-07-19,9365,EB
199,2021-07-20,9050,EB
200,2021-07-21,9165,EB
