,date,cashPrice,code
0,2020-02-17,2108,FU
1,2020-02-18,2041,FU
2,2020-02-19,2079,FU
3,2020-02-20,2106,FU
4,2020-02-21,2108,FU
5,2020-02-24,2022,FU
6,2020-02-25,2056,FU
7,2020-02-26,1957,FU
8,2020-02-27,1900,FU
9,2020-02-28,1869,FU
10,2020-03-02,1942,FU
11,2020-03-03,1871,FU
12,2020-03-04,1820,FU
13,2020-03-05,1869,FU
14,2020-03-06,1768,FU
15,2020-03-09,1280,FU
16,2020-03-10,1332,FU
17,2020-03-11,1292,FU
18,2020-03-12,1208,FU
19,2020-03-13,1346,FU
20,2020-03-16,1241,FU
21,2020-03-17,1237,FU
22,2020-03-18,1185,FU
23,2020-03-19,1117,FU
24,2020-03-20,1318,FU
25,2020-03-23,1179,FU
26,2020-03-24,1181,FU
27,2020-03-25,1164,FU
28,2020-03-26,1168,FU
29,2020-03-27,1159,FU
30,2020-03-30,1100,FU
31,2020-03-31,1126,FU
32,2020-04-01,1079,FU
33,2020-04-02,1137,FU
34,2020-04-03,1147,FU
35,2020-04-07,1283,FU
36,2020-04-08,1271,FU
37,2020-04-09,1261,FU
38,2020-04-13,1196,FU
39,2020-04-14,1179,FU
40,2020-04-15,1031,FU
41,2020-04-16,1022,FU
42,2020-04-17,1012,FU
43,2020-04-20,972,FU
44,2020-04-21,856,FU
45,2020-04-22,718,FU
46,2020-04-23,828,FU
47,2020-04-24,809,FU
48,2020-04-27,831,FU
49,2020-04-28,789,FU
50,2020-04-29,747,FU
51,2020-04-30,844,FU
52,2020-05-06,1058,FU
53,2020-05-08,973,FU
54,2020-05-11,1015,FU
55,2020-05-12,968,FU
56,2020-05-13,972,FU
57,2020-05-14,1031,FU
58,2020-05-15,1125,FU
59,2020-05-18,1204,FU
60,2020-05-19,1343,FU
61,2020-05-20,1309,FU
62,2020-05-21,1369,FU
63,2020-05-22,1270,FU
64,2020-05-26,1353,FU
65,2020-05-27,1251,FU
66,2020-05-28,1234,FU
67,2020-05-29,1279,FU
68,2020-06-01,1408,FU
69,2020-06-02,1491,FU
70,2020-06-03,1539,FU
71,2020-06-04,1576,FU
72,2020-06-05,1626,FU
73,2020-06-08,1704,FU
74,2020-06-09,1605,FU
75,2020-06-10,1627,FU
76,2020-06-11,1618,FU
77,2020-06-12,1503,FU
78,2020-06-15,1499,FU
79,2020-06-16,1574,FU
80,2020-06-17,1571,FU
81,2020-06-18,1543,FU
82,2020-06-19,1652,FU
83,2020-06-22,1609,FU
84,2020-06-23,1655,FU
85,2020-06-24,1645,FU
86,2020-06-29,1585,FU
87,2020-06-30,1644,FU
88,2020-07-01,1643,FU
89,2020-07-02,1656,FU
90,2020-07-03,1655,FU
91,2020-07-06,1717,FU
92,2020-07-07,1730,FU
93,2020-07-08,1800,FU
94,2020-07-09,1784,FU
95,2020-07-13,1754,FU
96,2020-07-14,1712,FU
97,2020-07-15,1754,FU
98,2020-07-16,1748,FU
99,2020-07-17,1728,FU
100,2020-07-20,1704,FU
101,2020-07-21,1723,FU
102,2020-07-22,1744,FU
103,2020-07-23,1776,FU
104,2020-07-24,1739,FU
105,2020-07-27,1735,FU
106,2020-07-28,1764,FU
107,2020-07-29,1798,FU
108,2020-07-30,1785,FU
109,2020-08-03,1737,FU
110,2020-08-04,1713,FU
111,2020-08-05,1768,FU
112,2020-08-06,1780,FU
113,2020-08-07,1764,FU
114,2020-08-11,1772,FU
115,2020-08-12,1778,FU
116,2020-08-13,1807,FU
117,2020-08-14,1789,FU
118,2020-08-17,1803,FU
119,2020-08-18,1874,FU
120,2020-08-19,1834,FU
121,2020-08-24,1828,FU
122,2020-08-25,1849,FU
123,2020-08-26,1873,FU
124,2020-08-27,1863,FU
125,2020-08-28,1836,FU
126,2020-08-31,1871,FU
127,2020-09-01,1674,FU
128,2020-09-02,1855,FU
129,2020-09-03,1762,FU
130,2020-09-04,1776,FU
131,2020-09-08,1659,FU
132,2020-09-09,1571,FU
133,2020-09-10,1598,FU
134,2020-09-14,1589,FU
135,2020-09-15,1589,FU
136,2020-09-16,1683,FU
137,2020-09-17,1684,FU
138,2020-09-18,1704,FU
139,2020-09-21,1659,FU
140,2020-09-22,1634,FU
141,2020-09-23,1636,FU
142,2020-09-24,1629,FU
143,2020-09-25,1678,FU
144,2020-09-28,1647,FU
145,2020-09-29,1662,FU
146,2020-09-30,1623,FU
147,2020-10-09,1678,FU
148,2020-10-12,1682,FU
149,2020-10-13,1690,FU
150,2020-10-14,1699,FU
151,2020-10-19,1748,FU
152,2020-10-20,1749,FU
153,2020-10-21,1742,FU
154,2020-10-22,1754,FU
155,2020-10-23,1798,FU
156,2020-10-27,1668,FU
157,2020-10-28,1679,FU
158,2020-10-29,1654,FU
159,2020-10-30,1586,FU
160,2020-11-02,1573,FU
161,2020-11-03,1672,FU
162,2020-11-04,1668,FU
163,2020-11-05,1699,FU
164,2020-11-06,1693,FU
165,2020-11-09,1709,FU
166,2020-11-10,1797,FU
167,2020-11-11,1868,FU
168,2020-11-12,1853,FU
169,2020-11-13,1830,FU
170,2020-11-16,1837,FU
171,2020-11-17,1851,FU
172,2020-11-18,1843,FU
173,2020-11-19,1848,FU
174,2020-11-23,1899,FU
175,2020-11-24,1911,FU
176,2020-11-25,1945,FU
177,2020-11-26,1945,FU
178,2020-11-27,1930,FU
179,2020-11-30,1910,FU
180,2020-12-01,1894,FU
181,2020-12-02,1877,FU
182,2020-12-03,1933,FU
183,2020-12-04,1921,FU
184,2020-12-07,1878,FU
185,2020-12-08,1862,FU
186,2020-12-09,1904,FU
187,2020-12-10,1890,FU
188,2020-12-11,1907,FU
189,2020-12-14,1947,FU
190,2020-12-15,1954,FU
191,2020-12-16,1995,FU
192,2020-12-17,2039,FU
