,date,cashPrice,code
0,2018-11-14,2750,MA
1,2018-11-15,2730,MA
2,2018-11-16,2800,MA
3,2018-11-19,2760,MA
4,2018-11-20,2720,MA
5,2018-11-21,2600,MA
6,2018-11-22,2610,MA
7,2018-11-23,2510,MA
8,2018-11-26,2380,MA
9,2018-11-27,2390,MA
10,2018-11-28,2470,MA
11,2018-11-29,2450,MA
12,2018-11-30,2370,MA
13,2018-12-03,2340,MA
14,2018-12-04,2490,MA
15,2018-12-05,2500,MA
16,2018-12-06,2470,MA
17,2018-12-07,2500,MA
18,2018-12-10,2480,MA
19,2018-12-11,2420,MA
20,2018-12-12,2370,MA
21,2018-12-13,2410,MA
22,2018-12-14,2440,MA
23,2018-12-17,2440,MA
24,2018-12-18,2420,MA
25,2018-12-19,2400,MA
26,2018-12-20,2400,MA
27,2018-12-21,2370,MA
28,2018-12-24,2360,MA
29,2018-12-25,2250,MA
30,2018-12-26,2270,MA
31,2018-12-27,2300,MA
32,2018-12-28,2290,MA
33,2019-01-02,2300,MA
34,2019-01-03,2330,MA
35,2019-01-04,2400,MA
36,2019-01-07,2380,MA
37,2019-01-08,2370,MA
38,2019-01-09,2400,MA
39,2019-01-10,2405,MA
40,2019-01-11,2405,MA
41,2019-01-14,2400,MA
42,2019-01-15,2410,MA
43,2019-01-16,2425,MA
44,2019-01-17,2390,MA
45,2019-01-18,2400,MA
46,2019-01-21,2460,MA
47,2019-01-22,2450,MA
48,2019-01-23,2410,MA
49,2019-01-24,2400,MA
50,2019-01-25,2430,MA
51,2019-01-28,2445,MA
52,2019-01-29,2400,MA
53,2019-01-30,2420,MA
54,2019-01-31,2450,MA
55,2019-02-01,2460,MA
56,2019-02-11,2480,MA
57,2019-02-12,2500,MA
58,2019-02-13,2480,MA
59,2019-02-14,2500,MA
60,2019-02-15,2435,MA
61,2019-02-18,2410,MA
62,2019-02-19,2415,MA
63,2019-02-20,2425,MA
64,2019-02-21,2450,MA
65,2019-02-22,2450,MA
66,2019-02-25,2460,MA
67,2019-02-26,2480,MA
68,2019-02-27,2455,MA
69,2019-02-28,2460,MA
70,2019-03-01,2565,MA
71,2019-03-04,2590,MA
72,2019-03-05,2595,MA
73,2019-03-06,2575,MA
74,2019-03-07,2570,MA
75,2019-03-08,2550,MA
76,2019-03-11,2550,MA
77,2019-03-12,2600,MA
78,2019-03-13,2600,MA
79,2019-03-14,2570,MA
80,2019-03-15,2550,MA
81,2019-03-18,2490,MA
82,2019-03-19,2470,MA
83,2019-03-20,2510,MA
84,2019-03-21,2520,MA
85,2019-03-22,2520,MA
86,2019-03-25,2510,MA
87,2019-03-26,2510,MA
88,2019-03-27,2470,MA
89,2019-03-28,2420,MA
90,2019-03-29,2400,MA
91,2019-04-01,2415,MA
92,2019-04-02,2420,MA
93,2019-04-03,2420,MA
94,2019-04-04,2420,MA
95,2019-04-08,2485,MA
96,2019-04-09,2470,MA
97,2019-04-10,2450,MA
98,2019-04-11,2440,MA
99,2019-04-12,2430,MA
100,2019-04-15,2420,MA
101,2019-04-16,2380,MA
102,2019-04-17,2380,MA
103,2019-04-18,2340,MA
104,2019-04-19,2340,MA
105,2019-04-22,2360,MA
106,2019-04-23,2360,MA
107,2019-04-24,2335,MA
108,2019-04-25,2340,MA
109,2019-04-26,2285,MA
110,2019-04-29,2290,MA
111,2019-04-30,2280,MA
112,2019-05-06,2310,MA
113,2019-05-07,2335,MA
114,2019-05-08,2340,MA
115,2019-05-09,2330,MA
116,2019-05-10,2345,MA
117,2019-05-13,2320,MA
118,2019-05-14,2280,MA
119,2019-05-15,2305,MA
120,2019-05-16,2340,MA
121,2019-05-17,2350,MA
122,2019-05-20,2415,MA
123,2019-05-21,2440,MA
124,2019-05-22,2430,MA
125,2019-05-23,2390,MA
126,2019-05-24,2340,MA
127,2019-05-27,2350,MA
128,2019-05-28,2350,MA
129,2019-05-29,2400,MA
130,2019-05-30,2350,MA
131,2019-05-31,2330,MA
132,2019-06-03,2250,MA
133,2019-06-04,2255,MA
134,2019-06-05,2255,MA
135,2019-06-06,2240,MA
136,2019-06-10,2270,MA
137,2019-06-11,2290,MA
138,2019-06-12,2265,MA
139,2019-06-13,2315,MA
140,2019-06-14,2300,MA
141,2019-06-17,2305,MA
142,2019-06-18,2310,MA
143,2019-06-19,2320,MA
144,2019-06-20,2340,MA
145,2019-06-21,2330,MA
146,2019-06-24,2355,MA
147,2019-06-25,2320,MA
148,2019-06-26,2320,MA
149,2019-06-27,2280,MA
150,2019-06-28,2230,MA
151,2019-07-01,2250,MA
152,2019-07-02,2290,MA
153,2019-07-03,2275,MA
154,2019-07-04,2255,MA
155,2019-07-05,2260,MA
156,2019-07-08,2260,MA
157,2019-07-09,2240,MA
158,2019-07-10,2240,MA
159,2019-07-11,2225,MA
160,2019-07-12,2200,MA
161,2019-07-15,2200,MA
162,2019-07-16,2155,MA
163,2019-07-17,2145,MA
164,2019-07-18,2120,MA
165,2019-07-19,2145,MA
166,2019-07-22,2120,MA
167,2019-07-23,2060,MA
168,2019-07-24,2060,MA
169,2019-07-25,2040,MA
170,2019-07-26,2000,MA
171,2019-07-29,2010,MA
172,2019-07-30,2030,MA
173,2019-07-31,2070,MA
174,2019-08-01,2070,MA
175,2019-08-02,2095,MA
176,2019-08-05,2020,MA
177,2019-08-06,2040,MA
178,2019-08-07,2070,MA
179,2019-08-08,2110,MA
180,2019-08-09,2095,MA
181,2019-08-12,2100,MA
182,2019-08-13,2115,MA
183,2019-08-14,2100,MA
184,2019-08-15,2095,MA
185,2019-08-16,2065,MA
186,2019-08-19,2090,MA
187,2019-08-20,2080,MA
188,2019-08-21,2035,MA
189,2019-08-22,2030,MA
190,2019-08-23,2055,MA
191,2019-08-26,2045,MA
192,2019-08-27,2015,MA
193,2019-08-28,2045,MA
194,2019-08-29,2033,MA
195,2019-08-30,2020,MA
196,2019-09-02,2080,MA
197,2019-09-03,2088,MA
198,2019-09-04,2095,MA
199,2019-09-05,2068,MA
200,2019-09-06,2080,MA
201,2019-09-09,2130,MA
202,2019-09-10,2125,MA
203,2019-09-11,2118,MA
204,2019-09-12,2118,MA
205,2019-09-16,2213,MA
206,2019-09-17,2255,MA
207,2019-09-18,2180,MA
208,2019-09-19,2175,MA
209,2019-09-20,2185,MA
210,2019-09-23,2255,MA
211,2019-09-24,2255,MA
212,2019-09-25,2290,MA
213,2019-09-26,2268,MA
214,2019-09-27,2240,MA
215,2019-09-30,2310,MA
216,2019-10-08,2320,MA
217,2019-10-09,2320,MA
218,2019-10-10,2295,MA
219,2019-10-11,2265,MA
220,2019-10-14,2225,MA
221,2019-10-15,2200,MA
222,2019-10-16,2135,MA
223,2019-10-17,2120,MA
224,2019-10-18,2120,MA
225,2019-10-21,2080,MA
226,2019-10-22,2085,MA
227,2019-10-23,2060,MA
228,2019-10-24,2065,MA
229,2019-10-25,2025,MA
230,2019-10-28,2020,MA
231,2019-10-29,2040,MA
232,2019-10-30,2035,MA
233,2019-10-31,2035,MA
234,2019-11-01,2020,MA
235,2019-11-04,2030,MA
236,2019-11-05,2060,MA
237,2019-11-06,2025,MA
238,2019-11-07,2000,MA
239,2019-11-08,1965,MA
240,2019-11-11,1920,MA
241,2019-11-12,1930,MA
242,2019-11-13,1920,MA
243,2019-11-14,1915,MA
244,2019-11-15,1930,MA
245,2019-11-18,1935,MA
246,2019-11-19,1900,MA
247,2019-11-20,1900,MA
248,2019-11-21,1925,MA
249,2019-11-22,1930,MA
250,2019-11-25,1975,MA
251,2019-11-26,1960,MA
252,2019-11-27,1960,MA
253,2019-11-28,1925,MA
254,2019-11-29,1935,MA
255,2019-12-02,1915,MA
256,2019-12-03,1955,MA
257,2019-12-04,1970,MA
258,2019-12-05,2010,MA
259,2019-12-06,1995,MA
260,2019-12-09,2000,MA
261,2019-12-10,1995,MA
262,2019-12-11,1975,MA
263,2019-12-12,2025,MA
264,2019-12-13,2010,MA
265,2019-12-16,2015,MA
266,2019-12-17,2040,MA
267,2019-12-18,2010,MA
268,2019-12-19,2035,MA
269,2019-12-20,2035,MA
270,2019-12-23,2060,MA
271,2019-12-24,2050,MA
272,2019-12-25,2090,MA
273,2019-12-26,2110,MA
274,2019-12-27,2170,MA
275,2019-12-30,2220,MA
276,2019-12-31,2170,MA
277,2020-01-02,2185,MA
278,2020-01-03,2220,MA
279,2020-01-06,2315,MA
280,2020-01-07,2320,MA
281,2020-01-08,2405,MA
282,2020-01-09,2285,MA
283,2020-01-10,2290,MA
284,2020-01-13,2495,MA
285,2020-01-14,2480,MA
286,2020-01-15,2470,MA
287,2020-01-16,2425,MA
288,2020-01-17,2395,MA
289,2020-01-20,2435,MA
290,2020-01-21,2415,MA
291,2020-01-22,2375,MA
292,2020-01-23,2375,MA
293,2020-02-03,2175,MA
294,2020-02-04,2150,MA
295,2020-02-05,2150,MA
296,2020-02-06,2155,MA
297,2020-02-07,2165,MA
298,2020-02-10,2145,MA
299,2020-02-11,2120,MA
300,2020-02-12,2050,MA
301,2020-02-13,2055,MA
302,2020-02-14,2050,MA
303,2020-02-17,2060,MA
304,2020-02-18,2045,MA
305,2020-02-19,2065,MA
306,2020-02-20,2065,MA
307,2020-02-21,2060,MA
308,2020-02-24,2035,MA
309,2020-02-25,2070,MA
310,2020-02-26,2035,MA
311,2020-02-27,2025,MA
312,2020-02-28,1975,MA
313,2020-03-02,2000,MA
314,2020-03-03,1985,MA
315,2020-03-04,1970,MA
316,2020-03-05,1980,MA
317,2020-03-06,1965,MA
318,2020-03-09,1785,MA
319,2020-03-10,1860,MA
320,2020-03-11,1855,MA
321,2020-03-12,1825,MA
322,2020-03-13,1825,MA
323,2020-03-16,1810,MA
324,2020-03-17,1815,MA
325,2020-03-18,1800,MA
326,2020-03-19,1720,MA
327,2020-03-20,1755,MA
328,2020-03-23,1725,MA
329,2020-03-24,1725,MA
330,2020-03-25,1695,MA
331,2020-03-26,1670,MA
332,2020-03-27,1625,MA
333,2020-03-30,1560,MA
334,2020-03-31,1600,MA
335,2020-04-01,1555,MA
336,2020-04-02,1615,MA
337,2020-04-03,1635,MA
338,2020-04-07,1690,MA
339,2020-04-08,1685,MA
340,2020-04-09,1740,MA
341,2020-04-10,1760,MA
342,2020-04-13,1765,MA
343,2020-04-14,1700,MA
344,2020-04-15,1685,MA
345,2020-04-16,1650,MA
346,2020-04-17,1665,MA
347,2020-04-20,1665,MA
348,2020-04-21,1605,MA
349,2020-04-22,1580,MA
350,2020-04-24,1650,MA
351,2020-04-27,1620,MA
352,2020-04-28,1645,MA
353,2020-04-29,1620,MA
354,2020-04-30,1685,MA
355,2020-05-06,1720,MA
356,2020-05-07,1685,MA
357,2020-05-08,1675,MA
