,date,cashPrice,code
0,2020-01-16,10351,NR
1,2020-01-21,10324,NR
2,2020-01-22,10222,NR
3,2020-02-03,9338,NR
4,2020-02-04,9237,NR
5,2020-02-06,9341,NR
6,2020-02-17,9634,NR
7,2020-02-28,9123,NR
8,2020-03-13,8971,NR
9,2020-03-24,8016,NR
10,2020-04-08,8091,NR
11,2020-04-09,8065,NR
12,2020-04-20,8204,NR
13,2020-04-21,8067,NR
14,2020-04-23,8127,NR
15,2020-04-24,8144,NR
16,2020-04-27,8080,NR
17,2020-04-28,8001,NR
18,2020-04-29,7961,NR
19,2020-05-07,8356,NR
20,2020-05-11,8306,NR
21,2020-05-15,8310,NR
22,2020-05-18,8317,NR
23,2020-05-20,8406,NR
24,2020-05-21,8432,NR
25,2020-05-22,8342,NR
26,2020-05-26,8384,NR
27,2020-05-28,8433,NR
28,2020-06-01,8482,NR
29,2020-06-02,8452,NR
30,2020-06-03,8610,NR
31,2020-06-04,8461,NR
32,2020-06-05,8605,NR
33,2020-06-08,8591,NR
34,2020-06-10,8580,NR
35,2020-06-11,8583,NR
36,2020-06-12,8606,NR
37,2020-06-15,8543,NR
38,2020-06-16,8610,NR
39,2020-06-17,8609,NR
40,2020-06-18,8508,NR
41,2020-06-19,8592,NR
42,2020-06-22,8517,NR
43,2020-06-23,8542,NR
44,2020-06-24,8494,NR
45,2020-06-29,8356,NR
46,2020-06-30,8337,NR
47,2020-07-01,8344,NR
48,2020-07-02,8410,NR
49,2020-07-03,8444,NR
50,2020-07-06,8563,NR
51,2020-07-07,8521,NR
52,2020-07-08,8511,NR
53,2020-07-09,8533,NR
54,2020-07-10,8401,NR
55,2020-07-13,8468,NR
56,2020-07-14,8475,NR
57,2020-07-15,8457,NR
58,2020-07-16,8318,NR
59,2020-07-17,8320,NR
60,2020-07-20,8311,NR
61,2020-07-21,8306,NR
62,2020-07-22,8331,NR
63,2020-07-23,8334,NR
64,2020-07-24,8350,NR
65,2020-07-27,8466,NR
66,2020-07-28,8539,NR
67,2020-07-29,8543,NR
68,2020-07-30,8614,NR
69,2020-08-03,8587,NR
70,2020-08-04,8578,NR
71,2020-08-05,8531,NR
72,2020-08-06,8760,NR
73,2020-08-07,8988,NR
74,2020-08-10,8980,NR
75,2020-08-11,8963,NR
76,2020-08-12,8948,NR
77,2020-08-13,8959,NR
78,2020-08-14,9139,NR
79,2020-08-17,9118,NR
80,2020-08-18,9102,NR
81,2020-08-19,9083,NR
82,2020-08-24,9134,NR
83,2020-08-25,9125,NR
84,2020-08-26,9160,NR
85,2020-08-27,9236,NR
86,2020-08-28,9199,NR
87,2020-08-31,9382,NR
88,2020-09-01,9355,NR
89,2020-09-02,9574,NR
90,2020-09-03,9517,NR
91,2020-09-04,9511,NR
92,2020-09-07,9427,NR
93,2020-09-08,9448,NR
94,2020-09-09,9294,NR
95,2020-09-10,9291,NR
96,2020-09-14,9262,NR
97,2020-09-15,9343,NR
98,2020-09-16,9322,NR
99,2020-09-17,9200,NR
100,2020-09-18,9326,NR
101,2020-09-21,9425,NR
102,2020-09-22,9219,NR
103,2020-09-23,9229,NR
104,2020-09-24,9253,NR
105,2020-09-25,9588,NR
106,2020-09-28,9571,NR
107,2020-09-29,9509,NR
108,2020-09-30,9405,NR
109,2020-10-09,9674,NR
110,2020-10-12,9749,NR
111,2020-10-13,9815,NR
112,2020-10-14,9851,NR
113,2020-10-19,10056,NR
114,2020-10-20,10515,NR
115,2020-10-21,10474,NR
116,2020-10-22,10562,NR
117,2020-10-23,10560,NR
118,2020-10-27,11230,NR
119,2020-10-28,11843,NR
120,2020-10-29,11551,NR
121,2020-10-30,11044,NR
122,2020-11-02,10773,NR
123,2020-11-03,10686,NR
124,2020-11-04,10113,NR
125,2020-11-05,10040,NR
126,2020-11-06,9983,NR
127,2020-11-09,10012,NR
128,2020-11-10,9990,NR
129,2020-11-11,10080,NR
130,2020-11-12,10117,NR
131,2020-11-13,10107,NR
132,2020-11-16,10337,NR
133,2020-11-17,10162,NR
134,2020-11-18,10103,NR
135,2020-11-19,10270,NR
136,2020-11-20,10172,NR
137,2020-11-23,10268,NR
138,2020-11-24,10349,NR
