,date,cashPrice,code
0,2021-03-03,8007,PF
1,2021-03-05,7857,PF
2,2021-03-08,7848,PF
3,2021-03-11,7773,PF
4,2021-03-18,7632,PF
5,2021-03-19,7573,PF
6,2021-03-23,7465,PF
7,2021-03-30,7198,PF
8,2021-04-01,7123,PF
9,2021-04-02,7090,PF
10,2021-04-07,7048,PF
11,2021-04-08,7018,PF
12,2021-04-12,7018,PF
13,2021-04-13,7018,PF
14,2021-04-14,7018,PF
15,2021-04-15,7018,PF
16,2021-04-16,7018,PF
17,2021-04-19,6993,PF
18,2021-04-20,7010,PF
19,2021-04-21,6993,PF
20,2021-04-22,6993,PF
21,2021-04-23,6993,PF
22,2021-04-26,6927,PF
23,2021-04-27,6910,PF
24,2021-04-28,6893,PF
25,2021-04-29,6893,PF
26,2021-04-30,6893,PF
27,2021-05-06,6943,PF
28,2021-05-10,6985,PF
29,2021-05-11,7010,PF
30,2021-05-12,7043,PF
31,2021-05-14,7035,PF
32,2021-05-17,7018,PF
33,2021-05-18,7018,PF
34,2021-05-19,7018,PF
35,2021-05-20,6977,PF
36,2021-05-21,6943,PF
37,2021-05-24,6943,PF
38,2021-05-25,6943,PF
39,2021-05-26,6943,PF
40,2021-05-27,6960,PF
41,2021-05-28,6960,PF
42,2021-05-31,6952,PF
43,2021-06-01,6952,PF
44,2021-06-02,6935,PF
45,2021-06-03,6943,PF
46,2021-06-04,6960,PF
47,2021-06-07,6952,PF
48,2021-06-10,6927,PF
49,2021-06-18,6918,PF
50,2021-06-22,6918,PF
51,2021-06-23,6918,PF
52,2021-06-24,6927,PF
53,2021-06-25,6968,PF
54,2021-06-28,7027,PF
55,2021-07-01,7123,PF
56,2021-07-02,7123,PF
57,2021-07-05,7165,PF
58,2021-07-06,7215,PF
59,2021-07-07,7215,PF
60,2021-07-08,7223,PF
61,2021-07-09,7257,PF
62,2021-07-12,7240,PF
63,2021-07-13,7232,PF
64,2021-07-15,7232,PF
65,2021-07-19,7257,PF
66,2021-07-20,7210,PF
67,2021-07-21,7210,PF
68,2021-07-22,7218,PF
69,2021-07-26,7252,PF
70,2021-07-27,7293,PF
71,2021-07-28,7302,PF
72,2021-07-29,7318,PF
73,2021-07-30,7410,PF
74,2021-08-02,7435,PF
75,2021-08-05,7477,PF
76,2021-08-06,7427,PF
77,2021-08-09,7360,PF
78,2021-08-11,7307,PF
79,2021-08-12,7298,PF
80,2021-08-13,7298,PF
81,2021-08-16,7265,PF
82,2021-08-17,7265,PF
83,2021-08-18,7257,PF
84,2021-08-19,7240,PF
85,2021-08-20,7207,PF
86,2021-08-23,7157,PF
87,2021-08-24,7157,PF
88,2021-08-25,7157,PF
89,2021-08-26,7148,PF
90,2021-08-27,7148,PF
91,2021-08-30,7148,PF
92,2021-08-31,7127,PF
93,2021-09-01,7093,PF
94,2021-09-02,7093,PF
95,2021-09-03,7093,PF
96,2021-09-06,7093,PF
97,2021-09-07,7102,PF
98,2021-09-08,7102,PF
99,2021-09-09,7102,PF
100,2021-09-10,7085,PF
101,2021-09-13,7085,PF
102,2021-09-14,7085,PF
103,2021-09-15,7068,PF
104,2021-09-16,7077,PF
105,2021-09-17,7152,PF
106,2021-09-22,7168,PF
107,2021-09-23,7168,PF
108,2021-09-24,7168,PF
109,2021-09-27,7185,PF
110,2021-09-28,7218,PF
111,2021-09-29,7268,PF
112,2021-09-30,7343,PF
113,2021-10-08,7627,PF
114,2021-10-11,8027,PF
115,2021-10-12,8082,PF
116,2021-10-13,8207,PF
117,2021-10-14,8215,PF
118,2021-10-15,8248,PF
119,2021-10-18,8323,PF
120,2021-10-19,8365,PF
121,2021-10-20,8398,PF
122,2021-10-21,8390,PF
123,2021-10-22,8315,PF
124,2021-10-25,8315,PF
125,2021-10-26,8298,PF
126,2021-10-27,8282,PF
127,2021-10-28,8282,PF
128,2021-10-29,8232,PF
129,2021-11-01,8140,PF
130,2021-11-02,8040,PF
131,2021-11-03,8040,PF
132,2021-11-04,7948,PF
133,2021-11-05,7898,PF
134,2021-11-08,7898,PF
135,2021-11-09,7852,PF
136,2021-11-10,7735,PF
137,2021-11-11,7710,PF
138,2021-11-12,7685,PF
139,2021-11-15,7618,PF
140,2021-11-16,7618,PF
141,2021-11-17,7402,PF
142,2021-11-18,7372,PF
143,2021-11-19,7292,PF
144,2021-11-22,7285,PF
