,date,cashPrice,code
0,2020-12-29,3423,PG
1,2020-12-30,3407,PG
2,2020-12-31,3490,PG
3,2021-01-04,3767,PG
4,2021-01-05,3833,PG
5,2021-01-06,3967,PG
6,2021-01-07,4083,PG
7,2021-01-11,4100,PG
8,2021-01-12,4167,PG
9,2021-01-13,4233,PG
10,2021-01-14,4200,PG
11,2021-01-18,4007,PG
12,2021-01-19,3973,PG
13,2021-01-20,3957,PG
14,2021-01-22,3883,PG
15,2021-01-25,3560,PG
16,2021-01-26,3560,PG
17,2021-01-27,3580,PG
18,2021-01-28,3613,PG
19,2021-01-29,3633,PG
20,2021-02-01,3677,PG
21,2021-02-02,3653,PG
22,2021-02-03,3670,PG
23,2021-02-04,3650,PG
24,2021-02-05,3650,PG
25,2021-02-08,3567,PG
26,2021-02-09,3550,PG
27,2021-02-10,3550,PG
28,2021-02-18,3900,PG
29,2021-02-19,3933,PG
30,2021-02-22,3697,PG
31,2021-02-23,3763,PG
32,2021-02-24,3790,PG
33,2021-02-25,3790,PG
34,2021-02-26,3773,PG
35,2021-03-01,3717,PG
36,2021-03-02,3733,PG
37,2021-03-03,3700,PG
38,2021-03-04,3700,PG
39,2021-03-05,3823,PG
40,2021-03-08,3823,PG
41,2021-03-09,4000,PG
42,2021-03-10,4027,PG
43,2021-03-11,4017,PG
44,2021-03-12,3967,PG
45,2021-03-15,3967,PG
46,2021-03-16,3967,PG
47,2021-03-18,3807,PG
48,2021-03-19,3800,PG
49,2021-03-22,3833,PG
50,2021-03-23,3850,PG
51,2021-03-24,3867,PG
52,2021-03-25,3843,PG
53,2021-03-26,3827,PG
54,2021-03-29,3933,PG
55,2021-03-30,3967,PG
56,2021-03-31,3983,PG
57,2021-04-01,4000,PG
58,2021-04-02,4010,PG
59,2021-04-06,4063,PG
60,2021-04-07,4117,PG
61,2021-04-08,4173,PG
62,2021-04-09,4173,PG
63,2021-04-12,4273,PG
64,2021-04-13,4323,PG
65,2021-04-14,4393,PG
66,2021-04-15,4410,PG
67,2021-04-16,4410,PG
68,2021-04-19,4270,PG
69,2021-04-20,4177,PG
70,2021-04-21,4143,PG
71,2021-04-22,4160,PG
72,2021-04-23,4153,PG
73,2021-04-26,4173,PG
74,2021-04-27,4173,PG
75,2021-04-28,4173,PG
76,2021-04-29,4117,PG
77,2021-04-30,4067,PG
78,2021-05-06,4217,PG
79,2021-05-10,4283,PG
80,2021-05-11,4283,PG
81,2021-05-12,4307,PG
82,2021-05-13,4267,PG
83,2021-05-14,4183,PG
84,2021-05-17,4233,PG
85,2021-05-18,4257,PG
86,2021-05-19,4240,PG
87,2021-05-20,4217,PG
88,2021-05-21,4150,PG
89,2021-05-24,4190,PG
90,2021-05-25,4223,PG
91,2021-05-26,4200,PG
92,2021-05-27,4167,PG
93,2021-05-28,4133,PG
94,2021-05-31,4143,PG
95,2021-06-01,4143,PG
96,2021-06-02,4127,PG
97,2021-06-03,4143,PG
98,2021-06-04,4177,PG
99,2021-06-07,4133,PG
100,2021-06-08,4127,PG
101,2021-06-09,4150,PG
102,2021-06-10,4150,PG
103,2021-06-11,4140,PG
104,2021-06-15,4150,PG
105,2021-06-16,4200,PG
106,2021-06-17,4200,PG
107,2021-06-18,4200,PG
108,2021-06-21,4183,PG
109,2021-06-22,4200,PG
110,2021-06-23,4200,PG
111,2021-06-24,4190,PG
112,2021-06-25,4267,PG
113,2021-06-28,4267,PG
114,2021-06-29,4283,PG
115,2021-06-30,4283,PG
116,2021-07-01,4327,PG
117,2021-07-02,4400,PG
118,2021-07-05,4427,PG
119,2021-07-06,4427,PG
120,2021-07-07,4353,PG
121,2021-07-08,4347,PG
122,2021-07-09,4353,PG
123,2021-07-12,4383,PG
124,2021-07-13,4383,PG
125,2021-07-14,4427,PG
126,2021-07-15,4433,PG
127,2021-07-16,4450,PG
128,2021-07-19,4450,PG
129,2021-07-20,4450,PG
130,2021-07-21,4467,PG
131,2021-07-22,4467,PG
132,2021-07-23,4533,PG
133,2021-07-26,4533,PG
134,2021-07-27,4533,PG
135,2021-07-28,4517,PG
136,2021-07-29,4517,PG
137,2021-07-30,4550,PG
138,2021-08-02,4767,PG
139,2021-08-03,4800,PG
140,2021-08-04,4783,PG
141,2021-08-05,4783,PG
142,2021-08-06,4783,PG
143,2021-08-09,4903,PG
144,2021-08-10,4903,PG
145,2021-08-11,4903,PG
146,2021-08-12,5017,PG
147,2021-08-13,5017,PG
148,2021-08-16,4933,PG
149,2021-08-17,4850,PG
150,2021-08-18,4783,PG
151,2021-08-19,4777,PG
152,2021-08-20,4777,PG
153,2021-08-23,4660,PG
154,2021-08-24,4710,PG
155,2021-08-25,4723,PG
156,2021-08-26,4757,PG
157,2021-08-27,4733,PG
158,2021-08-30,4727,PG
159,2021-08-31,4743,PG
160,2021-09-01,4760,PG
161,2021-09-02,4753,PG
162,2021-09-03,4743,PG
163,2021-09-06,4760,PG
164,2021-09-07,4793,PG
165,2021-09-08,4810,PG
166,2021-09-09,4850,PG
167,2021-09-10,4933,PG
168,2021-09-13,5060,PG
169,2021-09-14,5127,PG
170,2021-09-15,5233,PG
171,2021-09-16,5233,PG
172,2021-09-17,5233,PG
173,2021-09-22,5187,PG
174,2021-09-23,5233,PG
175,2021-09-24,5267,PG
176,2021-09-27,5227,PG
177,2021-09-28,5233,PG
178,2021-09-29,5273,PG
179,2021-09-30,5273,PG
180,2021-10-08,5683,PG
181,2021-10-11,5710,PG
182,2021-10-12,5923,PG
183,2021-10-13,6043,PG
184,2021-10-14,6033,PG
185,2021-10-15,6027,PG
186,2021-10-18,6160,PG
187,2021-10-19,6333,PG
188,2021-10-20,6417,PG
189,2021-10-21,6483,PG
190,2021-10-22,6744,PG
191,2021-10-25,6716,PG
192,2021-10-26,6680,PG
193,2021-10-27,6384,PG
194,2021-10-28,6224,PG
195,2021-10-29,5990,PG
196,2021-11-01,5892,PG
197,2021-11-02,5922,PG
198,2021-11-03,5880,PG
199,2021-11-04,5540,PG
200,2021-11-05,5424,PG
201,2021-11-08,5500,PG
202,2021-11-09,5470,PG
203,2021-11-10,5482,PG
204,2021-11-11,5472,PG
205,2021-11-12,5366,PG
206,2021-11-15,5326,PG
207,2021-11-16,5392,PG
208,2021-11-17,5426,PG
209,2021-11-18,5416,PG
210,2021-11-19,5400,PG
211,2021-11-22,5422,PG
212,2021-11-23,5432,PG
213,2021-11-24,5492,PG
214,2021-11-25,5512,PG
215,2021-11-26,5522,PG
216,2021-11-29,5330,PG
217,2021-11-30,5340,PG
218,2021-12-01,5340,PG
219,2021-12-02,5310,PG
220,2021-12-03,5270,PG
221,2021-12-06,5260,PG
222,2021-12-08,5266,PG
223,2021-12-09,5266,PG
224,2021-12-10,5220,PG
225,2021-12-13,5150,PG
226,2021-12-14,5140,PG
227,2021-12-17,4980,PG
228,2021-12-20,4950,PG
229,2021-12-29,5000,PG
230,2021-12-30,4990,PG
231,2022-01-04,5210,PG
232,2022-01-05,5296,PG
233,2022-01-06,5470,PG
234,2022-01-07,5660,PG
235,2022-01-10,5640,PG
236,2022-01-11,5610,PG
237,2022-01-12,5640,PG
238,2022-01-13,5646,PG
239,2022-01-17,5380,PG
240,2022-01-18,5430,PG
241,2022-01-19,5464,PG
242,2022-01-20,5514,PG
243,2022-01-21,5534,PG
244,2022-01-24,5580,PG
245,2022-01-25,5554,PG
246,2022-01-26,5560,PG
247,2022-01-27,5540,PG
248,2022-01-28,5540,PG
249,2022-02-07,5764,PG
250,2022-02-09,5904,PG
251,2022-02-11,5768,PG
252,2022-02-14,5460,PG
253,2022-02-15,5476,PG
254,2022-02-16,5476,PG
255,2022-02-17,5454,PG
256,2022-02-18,5330,PG
257,2022-02-21,5396,PG
258,2022-02-22,5536,PG
259,2022-02-23,5580,PG
260,2022-02-24,5776,PG
261,2022-02-25,5966,PG
262,2022-02-28,6000,PG
263,2022-03-01,6246,PG
264,2022-03-02,6480,PG
265,2022-03-03,6590,PG
266,2022-03-04,6580,PG
267,2022-03-07,7000,PG
268,2022-03-08,7100,PG
269,2022-03-09,7150,PG
270,2022-03-10,7140,PG
271,2022-03-11,7000,PG
272,2022-03-14,6636,PG
273,2022-03-15,6570,PG
274,2022-03-16,6430,PG
275,2022-03-17,6270,PG
276,2022-03-18,6230,PG
277,2022-03-21,6460,PG
278,2022-03-22,6710,PG
279,2022-03-23,6870,PG
280,2022-03-24,6960,PG
281,2022-03-28,6230,PG
282,2022-03-29,6120,PG
283,2022-03-30,6120,PG
284,2022-04-06,6306,PG
285,2022-04-07,6316,PG
286,2022-04-08,6326,PG
287,2022-04-11,6410,PG
288,2022-04-13,6300,PG
289,2022-04-15,6300,PG
290,2022-04-20,6380,PG
291,2022-04-21,6390,PG
292,2022-04-25,6380,PG
293,2022-04-27,6370,PG
294,2022-04-28,6370,PG
295,2022-04-29,6340,PG
296,2022-05-05,6446,PG
297,2022-05-06,6436,PG
298,2022-05-09,6445,PG
299,2022-05-10,6363,PG
300,2022-05-13,6363,PG
301,2022-05-16,6325,PG
302,2022-05-17,6338,PG
303,2022-05-18,6383,PG
304,2022-05-24,6325,PG
305,2022-05-25,6238,PG
306,2022-05-26,6150,PG
307,2022-05-27,6225,PG
308,2022-05-30,6188,PG
309,2022-05-31,6188,PG
310,2022-06-01,6238,PG
311,2022-06-02,6238,PG
312,2022-06-06,6388,PG
313,2022-06-07,6363,PG
314,2022-06-08,6338,PG
315,2022-06-09,6313,PG
316,2022-06-10,6295,PG
317,2022-06-13,6238,PG
318,2022-06-14,6213,PG
319,2022-06-15,6188,PG
320,2022-06-16,6163,PG
321,2022-06-17,6158,PG
322,2022-06-20,6083,PG
323,2022-06-21,6070,PG
324,2022-06-29,5892,PG
325,2022-06-30,5910,PG
326,2022-07-01,5890,PG
327,2022-07-04,5910,PG
328,2022-07-05,5910,PG
329,2022-07-06,5890,PG
330,2022-07-07,5824,PG
331,2022-07-08,5824,PG
332,2022-07-11,5870,PG
333,2022-07-12,5846,PG
334,2022-07-13,5770,PG
335,2022-07-14,5704,PG
336,2022-07-15,5700,PG
337,2022-07-18,5740,PG
338,2022-07-19,5764,PG
339,2022-07-20,5774,PG
340,2022-07-21,5768,PG
341,2022-07-22,5744,PG
342,2022-07-25,5656,PG
343,2022-07-26,5656,PG
344,2022-07-27,5630,PG
345,2022-07-29,5610,PG
346,2022-08-01,5626,PG
347,2022-08-02,5610,PG
348,2022-08-03,5610,PG
349,2022-08-04,5600,PG
350,2022-08-05,5560,PG
351,2022-08-08,5556,PG
352,2022-08-09,5556,PG
353,2022-08-10,5556,PG
354,2022-08-11,5556,PG
355,2022-08-12,5560,PG
356,2022-08-15,5636,PG
357,2022-08-16,5690,PG
358,2022-08-17,5680,PG
359,2022-08-18,5690,PG
360,2022-08-19,5700,PG
361,2022-08-22,5680,PG
362,2022-08-23,5666,PG
363,2022-08-24,5676,PG
364,2022-08-25,5706,PG
365,2022-08-26,5732,PG
366,2022-08-29,5740,PG
367,2022-08-30,5900,PG
368,2022-08-31,5920,PG
369,2022-09-01,5930,PG
370,2022-09-02,5920,PG
371,2022-09-05,5860,PG
372,2022-09-06,5924,PG
373,2022-09-07,5930,PG
374,2022-09-08,5930,PG
375,2022-09-09,5930,PG
376,2022-09-13,5920,PG
377,2022-09-14,5920,PG
378,2022-09-15,5916,PG
379,2022-09-16,5846,PG
380,2022-09-19,5800,PG
381,2022-09-20,5764,PG
382,2022-09-21,5634,PG
383,2022-09-22,5600,PG
384,2022-09-23,5564,PG
385,2022-09-26,5560,PG
386,2022-09-27,5506,PG
387,2022-09-28,5506,PG
388,2022-09-29,5496,PG
389,2022-09-30,5456,PG
390,2022-10-10,5640,PG
391,2022-10-11,5604,PG
392,2022-10-12,5550,PG
393,2022-10-13,5498,PG
394,2022-10-14,5488,PG
395,2022-10-17,5498,PG
396,2022-10-18,5504,PG
397,2022-10-19,5514,PG
398,2022-10-20,5514,PG
399,2022-10-21,5520,PG
400,2022-10-24,5494,PG
401,2022-10-25,5424,PG
402,2022-10-26,5424,PG
403,2022-10-27,5418,PG
404,2022-10-28,5408,PG
405,2022-10-31,5218,PG
406,2022-11-01,5178,PG
407,2022-11-02,5148,PG
408,2022-11-03,5108,PG
409,2022-11-04,5108,PG
410,2022-11-07,5256,PG
411,2022-11-08,5306,PG
412,2022-11-09,5320,PG
413,2022-11-10,5330,PG
414,2022-11-11,5310,PG
415,2022-11-14,5320,PG
416,2022-11-15,5320,PG
417,2022-11-16,5326,PG
418,2022-11-17,5342,PG
419,2022-11-18,5346,PG
420,2022-11-21,5350,PG
421,2022-11-22,5350,PG
422,2022-11-23,5358,PG
423,2022-11-24,5358,PG
424,2022-11-25,5354,PG
425,2022-11-28,5200,PG
426,2022-11-29,5124,PG
427,2022-11-30,5098,PG
428,2022-12-01,5118,PG
429,2022-12-02,5184,PG
430,2022-12-05,5210,PG
431,2022-12-06,5226,PG
432,2022-12-30,5014,PG
433,2023-01-06,5194,PG
434,2023-01-11,5510,PG
435,2023-01-12,5590,PG
436,2023-01-13,5590,PG
437,2023-01-20,5680,PG
438,2023-01-30,5824,PG
439,2023-02-01,5772,PG
440,2023-02-03,5770,PG
441,2023-02-06,5704,PG
442,2023-02-08,5720,PG
443,2023-02-09,5740,PG
444,2023-02-10,5750,PG
445,2023-02-13,5640,PG
446,2023-02-14,5574,PG
447,2023-02-15,5554,PG
448,2023-02-16,5616,PG
449,2023-02-17,5632,PG
450,2023-02-21,5700,PG
451,2023-02-22,5700,PG
452,2023-02-24,5650,PG
453,2023-02-28,5656,PG
454,2023-03-01,5662,PG
455,2023-03-03,5682,PG
456,2023-03-06,5690,PG
457,2023-03-08,5600,PG
458,2023-03-09,5614,PG
459,2023-03-10,5614,PG
460,2023-03-14,5486,PG
461,2023-03-15,5406,PG
462,2023-03-16,5260,PG
463,2023-03-17,5170,PG
464,2023-03-20,4994,PG
465,2023-03-21,5004,PG
466,2023-03-22,4994,PG
467,2023-03-23,4990,PG
468,2023-03-24,4994,PG
469,2023-03-27,4940,PG
470,2023-03-28,4962,PG
471,2023-03-29,5016,PG
472,2023-03-31,5030,PG
473,2023-04-03,5064,PG
474,2023-04-04,5104,PG
475,2023-04-06,5106,PG
476,2023-04-07,5090,PG
477,2023-04-10,4994,PG
478,2023-04-11,4910,PG
479,2023-04-12,4900,PG
480,2023-04-13,4954,PG
481,2023-04-14,4984,PG
482,2023-04-17,5142,PG
483,2023-04-18,5222,PG
484,2023-04-19,5260,PG
485,2023-04-20,5246,PG
486,2023-04-21,5200,PG
487,2023-04-24,5132,PG
488,2023-04-25,5156,PG
489,2023-04-26,5146,PG
490,2023-04-27,5126,PG
491,2023-04-28,5126,PG
492,2023-05-04,4986,PG
493,2023-05-05,4934,PG
494,2023-05-08,4920,PG
495,2023-05-09,4910,PG
496,2023-05-10,4814,PG
497,2023-05-11,4694,PG
498,2023-05-12,4588,PG
499,2023-05-15,4398,PG
500,2023-05-16,4338,PG
501,2023-05-18,4138,PG
502,2023-05-19,4128,PG
503,2023-05-22,4174,PG
504,2023-05-23,4174,PG
505,2023-05-24,4200,PG
506,2023-05-25,4250,PG
507,2023-05-26,4270,PG
508,2023-05-29,4190,PG
509,2023-05-30,4160,PG
510,2023-05-31,4114,PG
511,2023-06-01,4114,PG
512,2023-06-02,4040,PG
513,2023-06-05,4090,PG
514,2023-06-06,4090,PG
515,2023-06-07,4090,PG
516,2023-06-08,4060,PG
517,2023-06-09,3984,PG
518,2023-06-12,3856,PG
519,2023-06-13,3856,PG
520,2023-06-14,3906,PG
521,2023-06-15,3936,PG
522,2023-06-16,3946,PG
523,2023-06-19,3904,PG
524,2023-06-20,3840,PG
525,2023-06-21,3796,PG
526,2023-06-26,3868,PG
527,2023-06-27,3838,PG
528,2023-06-28,3784,PG
529,2023-06-29,3790,PG
530,2023-06-30,3800,PG
531,2023-07-03,3860,PG
532,2023-07-04,3880,PG
533,2023-07-05,3860,PG
534,2023-07-06,3860,PG
535,2023-07-07,3860,PG
536,2023-07-10,3840,PG
537,2023-07-11,3840,PG
538,2023-07-12,3850,PG
539,2023-07-13,3850,PG
540,2023-07-14,3886,PG
541,2023-07-17,3906,PG
542,2023-07-18,3918,PG
543,2023-07-19,3950,PG
544,2023-07-20,3960,PG
545,2023-07-21,3960,PG
546,2023-07-24,3970,PG
547,2023-07-25,4010,PG
548,2023-07-26,4020,PG
549,2023-07-27,4030,PG
550,2023-07-28,4040,PG
551,2023-07-31,4238,PG
552,2023-08-01,4380,PG
553,2023-08-02,4534,PG
554,2023-08-03,4584,PG
555,2023-08-04,4594,PG
556,2023-08-07,4604,PG
557,2023-08-08,4604,PG
558,2023-08-09,4636,PG
559,2023-08-10,4760,PG
560,2023-08-11,4910,PG
561,2023-08-14,4972,PG
562,2023-08-15,4996,PG
563,2023-08-16,5006,PG
564,2023-08-17,4990,PG
565,2023-08-18,4966,PG
566,2023-08-21,4832,PG
567,2023-08-22,4798,PG
568,2023-08-23,4824,PG
569,2023-08-24,4874,PG
570,2023-08-25,4910,PG
571,2023-08-28,4930,PG
572,2023-08-29,4860,PG
573,2023-08-30,4830,PG
574,2023-08-31,4846,PG
575,2023-09-01,4980,PG
576,2023-09-04,5120,PG
577,2023-09-05,5180,PG
578,2023-09-06,5284,PG
579,2023-09-07,5386,PG
580,2023-09-08,5396,PG
581,2023-09-11,5340,PG
582,2023-09-12,5330,PG
583,2023-09-13,5352,PG
584,2023-09-14,5362,PG
585,2023-09-15,5360,PG
586,2023-09-18,5380,PG
587,2023-09-19,5390,PG
588,2023-09-20,5374,PG
589,2023-09-21,5360,PG
590,2023-09-22,5280,PG
591,2023-09-25,5294,PG
592,2023-09-26,5276,PG
593,2023-09-27,5276,PG
594,2023-09-28,5246,PG
595,2023-10-09,5300,PG
596,2023-10-10,5330,PG
597,2023-10-11,5340,PG
598,2023-10-12,5320,PG
599,2023-10-13,5256,PG
600,2023-10-16,5266,PG
601,2023-10-17,5270,PG
602,2023-10-18,5260,PG
603,2023-10-19,5250,PG
604,2023-10-20,5240,PG
605,2023-10-23,5144,PG
606,2023-10-24,5150,PG
607,2023-10-25,5166,PG
608,2023-10-26,5166,PG
609,2023-10-27,5146,PG
610,2023-10-30,5136,PG
611,2023-10-31,5126,PG
612,2023-11-01,5146,PG
613,2023-11-02,5146,PG
614,2023-11-03,5146,PG
615,2023-11-06,5146,PG
616,2023-11-07,5178,PG
617,2023-11-08,5182,PG
618,2023-11-09,5186,PG
619,2023-11-10,5198,PG
620,2023-11-13,5228,PG
