,date,cashPrice,code
0,2018-11-14,10129,PP
1,2018-11-16,9967,PP
2,2018-11-20,9858,PP
3,2018-11-23,9521,PP
4,2018-11-26,9413,PP
5,2018-11-27,8929,PP
6,2018-11-29,8913,PP
7,2018-11-30,8896,PP
8,2018-12-03,8967,PP
9,2018-12-04,9167,PP
10,2018-12-07,9433,PP
11,2018-12-10,9650,PP
12,2018-12-13,9383,PP
13,2018-12-17,9317,PP
14,2018-12-19,9317,PP
15,2018-12-25,9383,PP
16,2018-12-26,9250,PP
17,2018-12-27,9217,PP
18,2018-12-28,9217,PP
19,2019-01-03,9083,PP
20,2019-01-04,9083,PP
21,2019-01-08,9117,PP
22,2019-01-09,9117,PP
23,2019-01-10,9117,PP
24,2019-01-11,9117,PP
25,2019-01-14,9117,PP
26,2019-01-15,9183,PP
27,2019-01-16,9200,PP
28,2019-01-17,9200,PP
29,2019-01-18,9200,PP
30,2019-01-21,9200,PP
31,2019-01-28,9150,PP
32,2019-01-29,9150,PP
33,2019-01-30,9150,PP
34,2019-01-31,9150,PP
35,2019-02-01,9150,PP
36,2019-02-11,9033,PP
37,2019-02-12,9033,PP
38,2019-02-13,9033,PP
39,2019-02-14,9033,PP
40,2019-02-15,8933,PP
41,2019-02-19,8850,PP
42,2019-02-20,8850,PP
43,2019-02-21,8833,PP
44,2019-02-22,8833,PP
45,2019-02-25,8867,PP
46,2019-02-26,8867,PP
47,2019-02-27,8900,PP
48,2019-02-28,8900,PP
49,2019-03-01,8900,PP
50,2019-03-04,8850,PP
51,2019-03-05,8900,PP
52,2019-03-06,9033,PP
53,2019-03-07,9033,PP
54,2019-03-08,9033,PP
55,2019-03-11,9033,PP
56,2019-03-12,9033,PP
57,2019-03-13,9033,PP
58,2019-03-14,9033,PP
59,2019-03-15,8983,PP
60,2019-03-19,8967,PP
61,2019-03-20,8817,PP
62,2019-03-21,8817,PP
63,2019-03-22,8817,PP
64,2019-03-27,8817,PP
65,2019-03-28,8817,PP
66,2019-03-29,8817,PP
67,2019-04-01,8817,PP
68,2019-04-03,8850,PP
69,2019-04-09,8883,PP
70,2019-04-10,8967,PP
71,2019-04-15,9017,PP
72,2019-04-16,9017,PP
73,2019-04-17,9017,PP
74,2019-04-18,8967,PP
75,2019-04-19,8967,PP
76,2019-04-23,8917,PP
77,2019-04-24,8900,PP
78,2019-04-25,8900,PP
79,2019-04-26,8867,PP
80,2019-04-29,8867,PP
81,2019-04-30,8867,PP
82,2019-05-06,8767,PP
83,2019-05-07,8767,PP
84,2019-05-09,8733,PP
85,2019-05-13,8583,PP
86,2019-05-14,8583,PP
87,2019-05-15,8450,PP
88,2019-05-16,8400,PP
89,2019-05-17,8367,PP
90,2019-05-20,8417,PP
91,2019-05-21,8417,PP
92,2019-05-22,8517,PP
93,2019-05-23,8517,PP
94,2019-05-24,8500,PP
95,2019-05-28,8467,PP
96,2019-05-29,8467,PP
97,2019-05-31,8450,PP
98,2019-06-03,8450,PP
99,2019-06-04,8333,PP
100,2019-06-10,8233,PP
101,2019-06-11,8267,PP
102,2019-06-12,8267,PP
103,2019-06-13,8300,PP
104,2019-06-14,8300,PP
105,2019-06-17,8300,PP
106,2019-06-18,8300,PP
107,2019-06-19,8333,PP
108,2019-06-20,8333,PP
109,2019-06-21,8450,PP
110,2019-06-24,8450,PP
111,2019-06-25,8517,PP
112,2019-06-26,8517,PP
113,2019-06-27,8533,PP
114,2019-06-28,8533,PP
115,2019-07-01,8633,PP
116,2019-07-02,8650,PP
117,2019-07-03,8817,PP
118,2019-07-04,8817,PP
119,2019-07-05,8850,PP
120,2019-07-08,8933,PP
121,2019-07-09,8933,PP
122,2019-07-10,8933,PP
123,2019-07-11,8933,PP
124,2019-07-12,8933,PP
125,2019-07-15,8900,PP
126,2019-07-16,8900,PP
127,2019-07-17,8900,PP
128,2019-07-18,8900,PP
129,2019-07-19,8833,PP
130,2019-07-22,8833,PP
131,2019-07-23,8750,PP
132,2019-07-24,8750,PP
133,2019-07-25,8750,PP
134,2019-07-26,8750,PP
135,2019-07-29,8750,PP
136,2019-07-30,8783,PP
137,2019-07-31,8783,PP
138,2019-08-01,8800,PP
139,2019-08-02,8800,PP
140,2019-08-05,8800,PP
141,2019-08-06,8733,PP
142,2019-08-07,8700,PP
143,2019-08-08,8667,PP
144,2019-08-09,8633,PP
145,2019-08-12,8633,PP
146,2019-08-13,8700,PP
147,2019-08-14,8700,PP
148,2019-08-15,8700,PP
149,2019-08-16,8700,PP
150,2019-08-19,8667,PP
151,2019-08-20,8667,PP
152,2019-08-21,8667,PP
153,2019-08-22,8667,PP
154,2019-08-23,8600,PP
155,2019-08-26,8650,PP
156,2019-08-27,8650,PP
157,2019-08-28,8650,PP
158,2019-08-29,8650,PP
159,2019-08-30,8567,PP
160,2019-09-02,8567,PP
161,2019-09-03,8617,PP
162,2019-09-04,8667,PP
163,2019-09-05,8617,PP
164,2019-09-06,8650,PP
165,2019-09-09,8733,PP
166,2019-09-10,8700,PP
167,2019-09-11,8700,PP
168,2019-09-12,8700,PP
169,2019-09-16,8783,PP
170,2019-09-17,8800,PP
171,2019-09-18,8800,PP
172,2019-09-19,8867,PP
173,2019-09-20,8867,PP
174,2019-09-23,8917,PP
175,2019-09-24,8883,PP
176,2019-09-25,8883,PP
177,2019-09-26,8867,PP
178,2019-09-27,8867,PP
179,2019-09-30,8867,PP
180,2019-10-08,8833,PP
181,2019-10-09,8717,PP
182,2019-10-10,8717,PP
183,2019-10-11,8717,PP
184,2019-10-14,8700,PP
185,2019-10-15,8767,PP
186,2019-10-16,8767,PP
187,2019-10-17,8767,PP
188,2019-10-18,8700,PP
189,2019-10-21,8700,PP
190,2019-10-22,8650,PP
191,2019-10-23,8583,PP
192,2019-10-24,8583,PP
193,2019-10-25,8583,PP
194,2019-10-28,8583,PP
195,2019-10-29,8583,PP
196,2019-10-30,8550,PP
197,2019-10-31,8550,PP
198,2019-11-01,8550,PP
199,2019-11-04,8483,PP
200,2019-11-05,8517,PP
201,2019-11-06,8533,PP
202,2019-11-07,8533,PP
203,2019-11-08,8533,PP
204,2019-11-11,8500,PP
205,2019-11-12,8500,PP
206,2019-11-13,8500,PP
207,2019-11-14,8450,PP
208,2019-11-15,8450,PP
209,2019-11-18,8417,PP
210,2019-11-19,8417,PP
211,2019-11-20,8417,PP
212,2019-11-21,8350,PP
213,2019-11-22,8350,PP
214,2019-11-25,8350,PP
215,2019-11-26,8350,PP
216,2019-11-27,8383,PP
217,2019-11-28,8383,PP
218,2019-11-29,8383,PP
219,2019-12-02,8400,PP
220,2019-12-03,8400,PP
221,2019-12-04,8400,PP
222,2019-12-05,8400,PP
223,2019-12-06,8333,PP
224,2019-12-09,8300,PP
225,2019-12-10,8300,PP
226,2019-12-11,8233,PP
227,2019-12-12,8133,PP
228,2019-12-13,8100,PP
229,2019-12-16,8067,PP
230,2019-12-17,8067,PP
231,2019-12-18,8000,PP
232,2019-12-19,8000,PP
233,2019-12-20,7917,PP
234,2019-12-23,7867,PP
235,2019-12-24,7867,PP
236,2019-12-25,7867,PP
237,2019-12-26,7833,PP
238,2019-12-27,7833,PP
239,2019-12-30,7833,PP
240,2019-12-31,7833,PP
241,2020-01-02,7767,PP
242,2020-01-03,7767,PP
243,2020-01-06,7767,PP
244,2020-01-07,7767,PP
245,2020-01-08,7733,PP
246,2020-01-09,7733,PP
247,2020-01-10,7700,PP
248,2020-01-13,7633,PP
249,2020-01-14,7633,PP
250,2020-01-15,7633,PP
251,2020-01-16,7633,PP
252,2020-01-17,7633,PP
253,2020-01-20,7517,PP
254,2020-01-21,7517,PP
255,2020-01-22,7517,PP
256,2020-01-23,7517,PP
257,2020-02-03,7483,PP
258,2020-02-04,7483,PP
259,2020-02-05,7417,PP
260,2020-02-06,7417,PP
261,2020-02-07,7417,PP
262,2020-02-10,7283,PP
263,2020-02-11,7117,PP
264,2020-02-12,6967,PP
265,2020-02-13,6933,PP
266,2020-02-14,6933,PP
267,2020-02-17,6850,PP
268,2020-02-18,6783,PP
269,2020-02-19,6817,PP
270,2020-02-20,6817,PP
271,2020-02-21,6817,PP
272,2020-02-24,6867,PP
273,2020-02-25,6933,PP
274,2020-02-26,6933,PP
275,2020-02-27,6933,PP
276,2020-02-28,6933,PP
277,2020-03-02,7017,PP
278,2020-03-03,7050,PP
279,2020-03-04,7117,PP
280,2020-03-05,7150,PP
281,2020-03-06,7183,PP
282,2020-03-09,7183,PP
283,2020-03-10,7217,PP
284,2020-03-11,7150,PP
285,2020-03-12,7150,PP
286,2020-03-13,7117,PP
287,2020-03-16,7117,PP
288,2020-03-17,7033,PP
289,2020-03-18,6967,PP
290,2020-03-19,6783,PP
291,2020-03-20,6783,PP
292,2020-03-23,6783,PP
293,2020-03-24,6683,PP
294,2020-03-25,6683,PP
295,2020-03-26,6683,PP
296,2020-03-27,6650,PP
297,2020-03-30,6650,PP
298,2020-03-31,6650,PP
299,2020-04-01,6550,PP
300,2020-04-02,6317,PP
301,2020-04-03,6383,PP
302,2020-04-07,6667,PP
303,2020-04-08,6900,PP
304,2020-04-09,7200,PP
305,2020-04-10,7300,PP
306,2020-04-13,8533,PP
307,2020-04-14,8700,PP
308,2020-04-15,8700,PP
309,2020-04-16,8700,PP
310,2020-04-17,8033,PP
311,2020-04-20,7933,PP
312,2020-04-21,7933,PP
313,2020-04-22,7300,PP
314,2020-04-23,7300,PP
315,2020-04-24,7367,PP
316,2020-04-27,7367,PP
317,2020-04-28,7433,PP
318,2020-04-29,7567,PP
319,2020-04-30,7567,PP
320,2020-05-06,7750,PP
321,2020-05-07,7750,PP
322,2020-05-08,7817,PP
323,2020-05-11,7717,PP
324,2020-05-12,7683,PP
325,2020-05-13,7533,PP
326,2020-05-14,7533,PP
327,2020-05-15,7433,PP
328,2020-05-18,7433,PP
329,2020-05-19,7500,PP
330,2020-05-20,7500,PP
331,2020-05-21,7617,PP
332,2020-05-22,7617,PP
333,2020-05-25,7617,PP
334,2020-05-26,7617,PP
335,2020-05-27,7617,PP
336,2020-05-28,7617,PP
337,2020-05-29,7617,PP
338,2020-06-01,7650,PP
339,2020-06-02,7833,PP
340,2020-06-03,7833,PP
341,2020-06-04,7833,PP
342,2020-06-05,7833,PP
343,2020-06-08,7833,PP
344,2020-06-09,7767,PP
345,2020-06-10,7767,PP
346,2020-06-11,7783,PP
347,2020-06-12,7783,PP
348,2020-06-15,7783,PP
349,2020-06-16,7783,PP
350,2020-06-17,7817,PP
351,2020-06-18,7850,PP
352,2020-06-19,7850,PP
353,2020-06-22,7850,PP
354,2020-06-23,7850,PP
355,2020-06-24,7850,PP
356,2020-06-29,7850,PP
357,2020-06-30,7850,PP
358,2020-07-01,7817,PP
359,2020-07-02,7817,PP
360,2020-07-03,7817,PP
361,2020-07-06,7850,PP
362,2020-07-07,7950,PP
363,2020-07-08,8000,PP
364,2020-07-09,8067,PP
365,2020-07-10,8067,PP
366,2020-07-13,8033,PP
367,2020-07-14,8033,PP
368,2020-07-15,8033,PP
369,2020-07-16,8033,PP
370,2020-07-17,7933,PP
371,2020-07-20,7933,PP
372,2020-07-21,7933,PP
373,2020-07-22,7833,PP
374,2020-07-23,7833,PP
375,2020-07-24,7800,PP
376,2020-07-27,7800,PP
377,2020-07-28,7800,PP
378,2020-07-29,7800,PP
379,2020-07-30,7800,PP
380,2020-07-31,7800,PP
381,2020-08-03,7867,PP
382,2020-08-04,7933,PP
383,2020-08-05,8000,PP
384,2020-08-06,8000,PP
385,2020-08-07,7967,PP
386,2020-08-10,7967,PP
387,2020-08-11,7933,PP
388,2020-08-12,7933,PP
389,2020-08-13,7900,PP
390,2020-08-14,7900,PP
391,2020-08-17,7900,PP
392,2020-08-18,7900,PP
393,2020-08-19,7933,PP
394,2020-08-20,7933,PP
395,2020-08-21,7967,PP
396,2020-08-24,7967,PP
397,2020-08-25,7967,PP
398,2020-08-26,7967,PP
399,2020-08-27,7983,PP
400,2020-08-28,7983,PP
401,2020-08-31,8017,PP
402,2020-09-01,8150,PP
403,2020-09-02,8233,PP
