,date,cashPrice,code
0,2023-09-15,9200,PX
1,2023-09-18,9200,PX
2,2023-09-19,9200,PX
3,2023-09-20,9200,PX
4,2023-09-21,9200,PX
5,2023-09-22,9513,PX
6,2023-09-25,9513,PX
7,2023-09-26,9513,PX
8,2023-09-27,9513,PX
9,2023-09-28,9513,PX
10,2023-10-09,9313,PX
11,2023-10-10,9313,PX
12,2023-10-11,9313,PX
13,2023-10-12,9313,PX
14,2023-10-13,9313,PX
15,2023-10-16,9313,PX
16,2023-10-17,9313,PX
17,2023-10-18,9313,PX
18,2023-10-19,9313,PX
19,2023-10-20,9313,PX
20,2023-10-23,9313,PX
21,2023-10-24,8910,PX
22,2023-10-25,8910,PX
23,2023-10-26,8910,PX
24,2023-10-27,8910,PX
25,2023-10-30,8910,PX
26,2023-10-31,8910,PX
27,2023-11-01,8910,PX
28,2023-11-02,8910,PX
29,2023-11-03,8710,PX
30,2023-11-06,8710,PX
31,2023-11-07,8710,PX
32,2023-11-08,8710,PX
33,2023-11-09,8710,PX
34,2023-11-10,8710,PX
35,2023-11-13,8710,PX
