,date,cashPrice,code
0,2018-11-14,10200,RU
1,2018-11-15,10250,RU
2,2018-11-16,10350,RU
3,2018-11-19,10350,RU
4,2018-11-20,10350,RU
5,2018-11-21,10250,RU
6,2018-11-22,10325,RU
7,2018-11-23,10125,RU
8,2018-11-26,10425,RU
9,2018-11-27,10350,RU
10,2018-11-28,10350,RU
11,2018-11-29,10425,RU
12,2018-11-30,10450,RU
13,2018-12-03,10675,RU
14,2018-12-04,10375,RU
15,2018-12-05,10375,RU
16,2018-12-06,10500,RU
17,2018-12-07,10500,RU
18,2018-12-10,10550,RU
19,2018-12-11,10475,RU
20,2018-12-12,10475,RU
21,2018-12-13,10500,RU
22,2018-12-14,10500,RU
23,2018-12-17,10600,RU
24,2018-12-18,10700,RU
25,2018-12-19,10550,RU
26,2018-12-20,10650,RU
27,2018-12-21,10625,RU
28,2018-12-24,10575,RU
29,2018-12-25,10450,RU
30,2018-12-26,10475,RU
31,2018-12-27,10650,RU
32,2018-12-28,10750,RU
33,2019-01-02,10650,RU
34,2019-01-03,10800,RU
35,2019-01-04,11150,RU
36,2019-01-08,11175,RU
37,2019-01-09,11275,RU
38,2019-01-10,11150,RU
39,2019-01-11,11150,RU
40,2019-01-14,11000,RU
41,2019-01-15,11075,RU
42,2019-01-16,11175,RU
43,2019-01-17,11125,RU
44,2019-01-18,11175,RU
45,2019-01-21,11375,RU
46,2019-01-22,11175,RU
47,2019-01-23,11125,RU
48,2019-01-24,11125,RU
49,2019-01-25,11225,RU
50,2019-01-28,11225,RU
51,2019-01-29,11025,RU
52,2019-01-30,11075,RU
53,2019-01-31,10925,RU
54,2019-02-01,10925,RU
55,2019-02-11,10900,RU
56,2019-02-12,11175,RU
57,2019-02-13,11175,RU
58,2019-02-14,11375,RU
59,2019-02-15,11175,RU
60,2019-02-18,11275,RU
61,2019-02-19,11700,RU
62,2019-02-20,11800,RU
63,2019-02-21,11900,RU
64,2019-02-22,11925,RU
65,2019-02-25,12100,RU
66,2019-02-26,11950,RU
67,2019-02-27,11950,RU
68,2019-02-28,12000,RU
69,2019-03-01,12150,RU
70,2019-03-04,12325,RU
71,2019-03-05,11925,RU
72,2019-03-06,11925,RU
