,date,cashPrice,code
0,2020-02-12,1700,SA
1,2020-02-13,1700,SA
2,2020-02-14,1700,SA
3,2020-02-17,1700,SA
4,2020-02-18,1700,SA
5,2020-02-19,1700,SA
6,2020-02-21,1700,SA
7,2020-02-25,1700,SA
8,2020-02-26,1700,SA
9,2020-02-27,1700,SA
10,2020-02-28,1700,SA
11,2020-03-02,1700,SA
12,2020-03-05,1700,SA
13,2020-03-09,1600,SA
14,2020-03-10,1600,SA
15,2020-03-12,1600,SA
16,2020-03-13,1600,SA
17,2020-03-16,1600,SA
18,2020-03-17,1600,SA
19,2020-03-18,1600,SA
20,2020-03-19,1600,SA
21,2020-03-20,1600,SA
22,2020-03-23,1600,SA
23,2020-03-24,1600,SA
24,2020-03-25,1600,SA
25,2020-03-26,1550,SA
26,2020-03-30,1550,SA
27,2020-03-31,1550,SA
28,2020-04-01,1550,SA
29,2020-04-02,1550,SA
30,2020-04-03,1550,SA
31,2020-04-07,1550,SA
32,2020-04-08,1550,SA
33,2020-04-09,1550,SA
34,2020-04-10,1550,SA
35,2020-04-13,1550,SA
36,2020-04-14,1500,SA
37,2020-04-15,1500,SA
38,2020-04-16,1500,SA
39,2020-04-17,1500,SA
40,2020-04-20,1500,SA
41,2020-04-21,1500,SA
42,2020-04-22,1500,SA
43,2020-04-24,1450,SA
44,2020-04-27,1450,SA
45,2020-04-28,1450,SA
46,2020-04-29,1450,SA
47,2020-04-30,1450,SA
48,2020-05-06,1450,SA
49,2020-05-07,1450,SA
50,2020-05-08,1450,SA
51,2020-05-11,1450,SA
52,2020-05-12,1450,SA
53,2020-05-13,1430,SA
54,2020-05-14,1430,SA
55,2020-05-15,1350,SA
56,2020-05-18,1350,SA
57,2020-05-19,1350,SA
58,2020-05-20,1300,SA
59,2020-05-21,1300,SA
60,2020-05-22,1300,SA
61,2020-05-25,1300,SA
62,2020-05-26,1300,SA
63,2020-05-27,1300,SA
64,2020-05-28,1300,SA
65,2020-05-29,1300,SA
66,2020-06-01,1270,SA
67,2020-06-02,1270,SA
68,2020-06-03,1270,SA
69,2020-06-04,1270,SA
70,2020-06-05,1270,SA
71,2020-06-08,1270,SA
72,2020-06-09,1270,SA
73,2020-06-10,1270,SA
74,2020-06-11,1270,SA
75,2020-06-12,1270,SA
76,2020-06-15,1270,SA
77,2020-06-16,1270,SA
78,2020-06-17,1270,SA
79,2020-06-18,1270,SA
80,2020-06-19,1270,SA
81,2020-06-22,1270,SA
82,2020-06-23,1270,SA
83,2020-06-24,1270,SA
84,2020-06-29,1270,SA
85,2020-06-30,1270,SA
86,2020-07-01,1250,SA
87,2020-07-02,1250,SA
88,2020-07-03,1250,SA
89,2020-07-06,1250,SA
90,2020-07-07,1250,SA
91,2020-07-08,1250,SA
92,2020-07-09,1300,SA
93,2020-07-10,1300,SA
94,2020-07-13,1300,SA
95,2020-07-14,1300,SA
96,2020-07-15,1300,SA
97,2020-07-16,1300,SA
98,2020-07-17,1300,SA
99,2020-07-20,1300,SA
100,2020-07-21,1300,SA
101,2020-07-22,1300,SA
102,2020-07-23,1300,SA
103,2020-07-24,1300,SA
104,2020-07-27,1300,SA
105,2020-07-28,1300,SA
106,2020-07-29,1300,SA
107,2020-07-30,1300,SA
108,2020-07-31,1300,SA
109,2020-08-03,1650,SA
110,2020-08-04,1650,SA
111,2020-08-05,1650,SA
112,2020-08-06,1650,SA
113,2020-08-07,1650,SA
114,2020-08-10,1650,SA
115,2020-08-11,1650,SA
116,2020-08-12,1650,SA
117,2020-08-13,1650,SA
118,2020-08-14,1650,SA
119,2020-08-17,1650,SA
120,2020-08-18,1650,SA
121,2020-08-19,1650,SA
122,2020-08-20,1650,SA
123,2020-08-21,1650,SA
124,2020-08-24,1650,SA
125,2020-08-25,1650,SA
126,2020-08-26,1650,SA
127,2020-08-27,1650,SA
128,2020-08-28,2050,SA
129,2020-08-31,2050,SA
130,2020-09-01,2050,SA
131,2020-09-02,2050,SA
132,2020-09-03,2050,SA
133,2020-09-04,2050,SA
134,2020-09-07,2050,SA
135,2020-09-08,2050,SA
136,2020-09-09,2050,SA
137,2020-09-10,2050,SA
138,2020-09-11,2050,SA
139,2020-09-14,2050,SA
140,2020-09-15,2050,SA
141,2020-09-16,2050,SA
142,2020-09-17,2050,SA
143,2020-09-18,2050,SA
144,2020-09-21,2050,SA
145,2020-09-22,2050,SA
146,2020-09-23,2050,SA
147,2020-09-24,2050,SA
148,2020-09-25,2050,SA
149,2020-09-28,2050,SA
150,2020-09-29,2050,SA
151,2020-09-30,2050,SA
152,2020-10-09,2050,SA
153,2020-10-12,2250,SA
154,2020-10-13,2250,SA
155,2020-10-14,2250,SA
156,2020-10-15,2250,SA
157,2020-10-16,2250,SA
158,2020-10-19,2250,SA
159,2020-10-20,2250,SA
160,2020-10-21,2250,SA
161,2020-10-22,2250,SA
162,2020-10-23,2250,SA
163,2020-10-26,2250,SA
164,2020-10-27,2250,SA
165,2020-10-28,2250,SA
166,2020-10-29,2250,SA
167,2020-10-30,2250,SA
168,2020-11-02,2250,SA
169,2020-11-03,2250,SA
170,2020-11-04,2250,SA
171,2020-11-05,2250,SA
172,2020-11-06,2250,SA
173,2020-11-09,2250,SA
174,2020-11-10,2000,SA
175,2020-11-11,2000,SA
176,2020-11-12,2000,SA
177,2020-11-13,2000,SA
178,2020-11-16,2000,SA
179,2020-11-17,2000,SA
180,2020-11-18,2000,SA
181,2020-12-07,1550,SA
182,2020-12-08,1550,SA
183,2020-12-09,1550,SA
184,2020-12-10,1500,SA
185,2020-12-11,1500,SA
186,2020-12-14,1500,SA
187,2020-12-15,1500,SA
188,2020-12-16,1500,SA
189,2020-12-17,1500,SA
190,2020-12-18,1500,SA
191,2020-12-21,1500,SA
192,2020-12-22,1500,SA
193,2020-12-23,1500,SA
194,2020-12-24,1500,SA
195,2020-12-25,1500,SA
196,2020-12-28,1500,SA
197,2020-12-29,1500,SA
198,2020-12-30,1500,SA
199,2020-12-31,1500,SA
