,date,cashPrice,code
0,2018-11-14,6720,TA
1,2018-11-15,6670,TA
2,2018-11-16,6770,TA
3,2018-11-19,6825,TA
4,2018-11-20,6728,TA
5,2018-11-21,6520,TA
6,2018-11-22,6410,TA
7,2018-11-23,6300,TA
8,2018-11-26,6130,TA
9,2018-11-27,6165,TA
10,2018-11-28,6125,TA
11,2018-11-29,6115,TA
12,2018-11-30,6135,TA
13,2018-12-03,6213,TA
14,2018-12-04,6230,TA
15,2018-12-05,6350,TA
16,2018-12-06,6600,TA
17,2018-12-07,6705,TA
18,2018-12-10,6679,TA
19,2018-12-11,6620,TA
20,2018-12-12,6600,TA
21,2018-12-13,6609,TA
22,2018-12-14,6665,TA
23,2018-12-17,6683,TA
24,2018-12-18,6675,TA
25,2018-12-19,6605,TA
26,2018-12-20,6560,TA
27,2018-12-21,6450,TA
28,2018-12-24,6335,TA
29,2018-12-25,6200,TA
30,2018-12-26,6155,TA
31,2018-12-27,6135,TA
32,2018-12-28,6045,TA
33,2019-01-02,5930,TA
34,2019-01-03,6015,TA
35,2019-01-04,6120,TA
36,2019-01-07,6175,TA
37,2019-01-08,6180,TA
38,2019-01-09,6280,TA
39,2019-01-10,6310,TA
40,2019-01-11,6270,TA
41,2019-01-14,6265,TA
42,2019-01-15,6300,TA
43,2019-01-16,6320,TA
44,2019-01-17,6305,TA
45,2019-01-18,6325,TA
46,2019-01-21,6520,TA
47,2019-01-22,6590,TA
48,2019-01-23,6470,TA
49,2019-01-24,6460,TA
50,2019-01-25,6510,TA
51,2019-01-28,6470,TA
52,2019-01-29,6455,TA
53,2019-01-30,6500,TA
54,2019-01-31,6545,TA
55,2019-02-01,6655,TA
56,2019-02-11,6650,TA
57,2019-02-12,6700,TA
58,2019-02-13,6575,TA
59,2019-02-14,6460,TA
60,2019-02-15,6380,TA
61,2019-02-18,6476,TA
62,2019-02-19,6441,TA
63,2019-02-20,6430,TA
64,2019-02-21,6475,TA
65,2019-02-22,6410,TA
66,2019-02-25,6425,TA
67,2019-02-26,6325,TA
68,2019-02-27,6320,TA
69,2019-02-28,6320,TA
70,2019-03-01,6480,TA
71,2019-03-04,6605,TA
72,2019-03-05,6585,TA
73,2019-03-06,6725,TA
74,2019-03-07,6800,TA
75,2019-03-08,6670,TA
76,2019-03-11,6645,TA
77,2019-03-12,6630,TA
78,2019-03-13,6575,TA
79,2019-03-14,6590,TA
80,2019-03-15,6560,TA
81,2019-03-18,6475,TA
82,2019-03-19,6450,TA
83,2019-03-20,6370,TA
84,2019-03-21,6505,TA
85,2019-03-22,6500,TA
86,2019-03-25,6470,TA
87,2019-03-26,6600,TA
88,2019-03-27,6545,TA
89,2019-03-28,6475,TA
90,2019-03-29,6600,TA
91,2019-04-01,6625,TA
92,2019-04-02,6600,TA
93,2019-04-03,6440,TA
94,2019-04-04,6494,TA
95,2019-04-08,6775,TA
96,2019-04-09,6650,TA
97,2019-04-10,6560,TA
98,2019-04-11,6575,TA
99,2019-04-12,6615,TA
100,2019-04-15,6710,TA
101,2019-04-16,6600,TA
102,2019-04-17,6655,TA
103,2019-04-18,6510,TA
104,2019-04-19,6510,TA
105,2019-04-22,6520,TA
106,2019-04-23,6540,TA
107,2019-04-24,6530,TA
108,2019-04-25,6550,TA
109,2019-04-26,6560,TA
110,2019-04-29,6575,TA
111,2019-04-30,6590,TA
112,2019-05-06,6610,TA
113,2019-05-07,6610,TA
114,2019-05-08,6625,TA
115,2019-05-09,6640,TA
116,2019-05-10,6650,TA
117,2019-05-13,6660,TA
118,2019-05-14,6630,TA
119,2019-05-15,6125,TA
120,2019-05-16,6100,TA
121,2019-05-17,6100,TA
122,2019-05-20,6020,TA
123,2019-05-21,5930,TA
124,2019-05-22,5920,TA
125,2019-05-23,5675,TA
126,2019-05-24,5550,TA
127,2019-05-27,5620,TA
128,2019-05-28,5640,TA
129,2019-05-29,5685,TA
130,2019-05-30,5640,TA
131,2019-05-31,5595,TA
132,2019-06-03,5440,TA
133,2019-06-04,5470,TA
134,2019-06-05,5470,TA
135,2019-06-06,5430,TA
136,2019-06-10,5610,TA
137,2019-06-11,5575,TA
138,2019-06-12,5495,TA
139,2019-06-13,5485,TA
140,2019-06-14,5578,TA
141,2019-06-17,5630,TA
142,2019-06-18,5680,TA
143,2019-06-19,5840,TA
144,2019-06-20,5900,TA
145,2019-06-21,5920,TA
146,2019-06-24,5935,TA
147,2019-06-25,5935,TA
148,2019-06-26,6125,TA
149,2019-06-27,6310,TA
150,2019-06-28,6345,TA
151,2019-07-01,6715,TA
152,2019-07-02,6805,TA
153,2019-07-03,6785,TA
154,2019-07-04,6770,TA
155,2019-07-05,6690,TA
156,2019-07-08,6474,TA
157,2019-07-09,6505,TA
158,2019-07-10,6470,TA
159,2019-07-11,6610,TA
160,2019-07-12,6490,TA
161,2019-07-15,6360,TA
162,2019-07-16,6300,TA
163,2019-07-17,6325,TA
164,2019-07-18,6335,TA
165,2019-07-19,6295,TA
166,2019-07-22,6230,TA
167,2019-07-23,5925,TA
168,2019-07-24,5785,TA
169,2019-07-25,5740,TA
170,2019-07-26,5590,TA
171,2019-07-29,5470,TA
172,2019-07-30,5450,TA
173,2019-07-31,5500,TA
174,2019-08-01,5420,TA
175,2019-08-02,5300,TA
176,2019-08-05,5160,TA
177,2019-08-06,5115,TA
178,2019-08-07,5115,TA
179,2019-08-08,5165,TA
180,2019-08-09,5165,TA
181,2019-08-12,5165,TA
182,2019-08-13,5190,TA
183,2019-08-14,5350,TA
184,2019-08-15,5300,TA
185,2019-08-16,5250,TA
186,2019-08-19,5275,TA
187,2019-08-20,5258,TA
188,2019-08-21,5195,TA
189,2019-08-22,5130,TA
190,2019-08-23,5150,TA
191,2019-08-26,5125,TA
192,2019-08-27,5145,TA
193,2019-08-28,5155,TA
194,2019-08-29,5140,TA
195,2019-08-30,5130,TA
196,2019-09-02,5110,TA
197,2019-09-03,5125,TA
198,2019-09-04,5150,TA
199,2019-09-05,5250,TA
200,2019-09-06,5230,TA
201,2019-09-09,5240,TA
202,2019-09-10,5220,TA
203,2019-09-11,5100,TA
204,2019-09-12,5080,TA
205,2019-09-16,5230,TA
206,2019-09-17,5350,TA
207,2019-09-18,5240,TA
208,2019-09-19,5080,TA
209,2019-09-20,5070,TA
210,2019-09-23,5080,TA
211,2019-09-24,5085,TA
212,2019-09-25,5080,TA
213,2019-09-26,5080,TA
214,2019-09-27,5055,TA
215,2019-09-30,5120,TA
216,2019-10-08,5130,TA
217,2019-10-09,5160,TA
218,2019-10-10,5165,TA
219,2019-10-11,5135,TA
220,2019-10-14,5130,TA
221,2019-10-15,5080,TA
222,2019-10-16,5025,TA
223,2019-10-17,4980,TA
224,2019-10-18,4970,TA
225,2019-10-21,4870,TA
226,2019-10-22,4875,TA
227,2019-10-23,4900,TA
228,2019-10-24,4950,TA
229,2019-10-25,4950,TA
230,2019-10-28,4850,TA
231,2019-10-29,4845,TA
232,2019-10-30,4860,TA
233,2019-10-31,4855,TA
234,2019-11-01,4845,TA
235,2019-11-04,4850,TA
236,2019-11-05,4900,TA
237,2019-11-06,4840,TA
238,2019-11-07,4760,TA
239,2019-11-08,4760,TA
240,2019-11-11,4700,TA
241,2019-11-12,4700,TA
242,2019-11-13,4700,TA
243,2019-11-14,4730,TA
244,2019-11-15,4755,TA
245,2019-11-18,4750,TA
246,2019-11-19,4770,TA
247,2019-11-20,4760,TA
248,2019-11-21,4810,TA
249,2019-11-22,4825,TA
250,2019-11-25,4810,TA
251,2019-11-26,4805,TA
252,2019-11-27,4780,TA
253,2019-11-28,4750,TA
254,2019-11-29,4780,TA
255,2019-12-02,4760,TA
256,2019-12-03,4750,TA
257,2019-12-04,4740,TA
258,2019-12-05,4795,TA
259,2019-12-06,4780,TA
260,2019-12-09,4825,TA
261,2019-12-10,4780,TA
262,2019-12-11,4770,TA
263,2019-12-12,4835,TA
264,2019-12-13,4835,TA
265,2019-12-16,4865,TA
266,2019-12-17,4880,TA
267,2019-12-18,4875,TA
268,2019-12-19,4825,TA
269,2019-12-20,4830,TA
270,2019-12-23,4790,TA
271,2019-12-24,4810,TA
272,2019-12-25,4850,TA
273,2019-12-26,4870,TA
274,2019-12-27,4870,TA
275,2019-12-30,4950,TA
276,2019-12-31,4870,TA
277,2020-01-02,4850,TA
278,2020-01-03,4870,TA
279,2020-01-06,4980,TA
280,2020-01-07,4895,TA
281,2020-01-08,4920,TA
282,2020-01-09,4825,TA
283,2020-01-10,4810,TA
284,2020-01-13,4840,TA
285,2020-01-14,4830,TA
286,2020-01-15,4810,TA
287,2020-01-16,4840,TA
288,2020-01-17,4850,TA
289,2020-01-20,4860,TA
290,2020-01-21,4800,TA
291,2020-01-22,4795,TA
292,2020-01-23,4785,TA
293,2020-02-04,4240,TA
294,2020-02-05,4270,TA
295,2020-02-06,4300,TA
296,2020-02-07,4300,TA
297,2020-02-10,4295,TA
298,2020-02-11,4310,TA
299,2020-02-12,4290,TA
300,2020-02-13,4285,TA
301,2020-02-14,4310,TA
302,2020-02-17,4340,TA
303,2020-02-18,4335,TA
304,2020-02-19,4320,TA
305,2020-02-20,4345,TA
306,2020-02-21,4370,TA
307,2020-02-24,4335,TA
308,2020-02-25,4295,TA
309,2020-02-26,4255,TA
310,2020-02-27,4190,TA
311,2020-02-28,4140,TA
312,2020-03-02,4163,TA
313,2020-03-03,4207,TA
314,2020-03-04,4225,TA
315,2020-03-05,4210,TA
316,2020-03-06,4170,TA
317,2020-03-09,3750,TA
318,2020-03-10,3800,TA
319,2020-03-11,3850,TA
320,2020-03-12,3743,TA
321,2020-03-13,3750,TA
322,2020-03-16,3690,TA
323,2020-03-17,3600,TA
324,2020-03-18,3533,TA
325,2020-03-19,3362,TA
326,2020-03-20,3415,TA
327,2020-03-23,3266,TA
328,2020-03-24,3250,TA
329,2020-03-25,3275,TA
330,2020-03-26,3280,TA
331,2020-03-27,3240,TA
332,2020-03-30,3060,TA
333,2020-03-31,3135,TA
334,2020-04-01,3090,TA
335,2020-04-02,3160,TA
336,2020-04-03,3200,TA
337,2020-04-07,3325,TA
338,2020-04-08,3292,TA
339,2020-04-09,3365,TA
340,2020-04-10,3340,TA
341,2020-04-13,3365,TA
342,2020-04-14,3260,TA
343,2020-04-15,3298,TA
344,2020-04-16,3258,TA
345,2020-04-17,3245,TA
346,2020-04-20,3205,TA
347,2020-04-21,3125,TA
348,2020-04-22,2960,TA
349,2020-04-24,3130,TA
350,2020-04-27,3090,TA
351,2020-04-28,3070,TA
352,2020-04-29,3170,TA
353,2020-04-30,3220,TA
354,2020-05-06,3325,TA
355,2020-05-07,3315,TA
356,2020-05-08,3320,TA
357,2020-05-11,3310,TA
358,2020-05-12,3295,TA
359,2020-05-13,3280,TA
360,2020-05-14,3300,TA
361,2020-05-15,3380,TA
362,2020-05-18,3455,TA
363,2020-05-19,3470,TA
364,2020-05-20,3590,TA
365,2020-05-21,3575,TA
366,2020-05-22,3475,TA
367,2020-05-25,3485,TA
368,2020-05-26,3510,TA
369,2020-05-27,3480,TA
370,2020-05-28,3490,TA
371,2020-05-29,3505,TA
372,2020-06-01,3570,TA
373,2020-06-02,3575,TA
374,2020-06-03,3630,TA
375,2020-06-04,3570,TA
