,date,cashPrice,code
0,2018-11-13,3810,HC
1,2018-11-14,3800,HC
2,2018-11-15,3800,HC
3,2018-11-16,3810,HC
4,2018-11-19,3790,HC
5,2018-11-20,3770,HC
6,2018-11-21,3750,HC
7,2018-11-22,3750,HC
8,2018-11-23,3720,HC
9,2018-11-26,3600,HC
10,2018-11-27,3560,HC
11,2018-11-28,3590,HC
12,2018-11-29,3580,HC
13,2018-11-30,3580,HC
14,2018-12-03,3700,HC
15,2018-12-04,3700,HC
16,2018-12-05,3740,HC
17,2018-12-06,3700,HC
18,2018-12-07,3700,HC
19,2018-12-10,3690,HC
20,2018-12-11,3680,HC
21,2018-12-12,3700,HC
22,2018-12-13,3760,HC
23,2018-12-14,3760,HC
24,2018-12-17,3800,HC
25,2018-12-18,3790,HC
26,2018-12-19,3790,HC
27,2018-12-20,3790,HC
28,2018-12-21,3780,HC
29,2018-12-24,3760,HC
30,2018-12-25,3720,HC
31,2018-12-26,3700,HC
32,2018-12-27,3680,HC
33,2018-12-28,3660,HC
34,2019-01-02,3610,HC
35,2019-01-03,3620,HC
36,2019-01-04,3620,HC
37,2019-01-07,3650,HC
38,2019-01-08,3640,HC
39,2019-01-09,3640,HC
40,2019-01-10,3630,HC
41,2019-01-11,3620,HC
42,2019-01-14,3630,HC
43,2019-01-15,3610,HC
44,2019-01-16,3610,HC
45,2019-01-17,3630,HC
46,2019-01-18,3650,HC
47,2019-01-21,3670,HC
48,2019-01-22,3710,HC
49,2019-01-23,3710,HC
50,2019-01-24,3720,HC
51,2019-01-25,3750,HC
52,2019-01-28,3780,HC
53,2019-01-29,3740,HC
54,2019-01-30,3740,HC
55,2019-01-31,3740,HC
56,2019-02-01,3740,HC
57,2019-02-11,3850,HC
58,2019-02-12,3810,HC
59,2019-02-13,3750,HC
60,2019-02-14,3730,HC
61,2019-02-15,3690,HC
62,2019-02-18,3720,HC
63,2019-02-19,3750,HC
64,2019-02-20,3730,HC
65,2019-02-21,3760,HC
66,2019-02-22,3790,HC
67,2019-02-25,3800,HC
68,2019-02-26,3820,HC
69,2019-02-27,3830,HC
70,2019-02-28,3830,HC
71,2019-03-01,3870,HC
72,2019-03-04,3870,HC
73,2019-03-05,3850,HC
74,2019-03-06,3830,HC
75,2019-03-07,3840,HC
76,2019-03-08,3830,HC
77,2019-03-11,3800,HC
78,2019-03-12,3850,HC
79,2019-03-13,3840,HC
80,2019-03-14,3820,HC
81,2019-03-15,3810,HC
82,2019-03-18,3870,HC
83,2019-03-19,3860,HC
84,2019-03-21,3880,HC
85,2019-03-22,3880,HC
86,2019-03-25,3870,HC
87,2019-03-26,3850,HC
88,2019-03-27,3850,HC
89,2019-03-28,3850,HC
90,2019-03-29,3850,HC
91,2019-04-01,3860,HC
92,2019-04-02,3870,HC
93,2019-04-03,3890,HC
94,2019-04-04,3900,HC
95,2019-04-08,3960,HC
96,2019-04-09,3980,HC
97,2019-04-10,3970,HC
98,2019-04-11,3970,HC
99,2019-04-12,3970,HC
100,2019-04-15,4010,HC
101,2019-04-16,4000,HC
102,2019-04-17,4000,HC
103,2019-04-18,3970,HC
104,2019-04-19,3980,HC
105,2019-04-22,4030,HC
106,2019-04-23,4000,HC
107,2019-04-24,3980,HC
108,2019-04-25,3980,HC
109,2019-04-26,3980,HC
110,2019-04-29,4010,HC
111,2019-04-30,4060,HC
112,2019-05-06,4050,HC
113,2019-05-07,4070,HC
114,2019-05-08,4050,HC
115,2019-05-09,4030,HC
116,2019-05-10,4050,HC
117,2019-05-13,4030,HC
118,2019-05-14,3990,HC
119,2019-05-15,3990,HC
120,2019-05-16,4010,HC
121,2019-05-17,4030,HC
122,2019-05-20,4000,HC
123,2019-05-21,4030,HC
124,2019-05-22,4030,HC
125,2019-05-23,4010,HC
126,2019-05-24,4010,HC
127,2019-05-27,4010,HC
128,2019-05-28,4000,HC
129,2019-05-29,3970,HC
130,2019-05-30,3950,HC
131,2019-05-31,3930,HC
132,2019-06-03,3890,HC
133,2019-06-04,3880,HC
134,2019-06-05,3870,HC
135,2019-06-06,3840,HC
136,2019-06-10,3820,HC
137,2019-06-11,3850,HC
138,2019-06-12,3830,HC
139,2019-06-13,3810,HC
140,2019-06-14,3810,HC
141,2019-06-17,3750,HC
142,2019-06-18,3750,HC
143,2019-06-19,3770,HC
144,2019-06-20,3780,HC
145,2019-06-21,3790,HC
146,2019-06-24,3880,HC
147,2019-06-25,3910,HC
148,2019-06-26,3910,HC
149,2019-06-27,3910,HC
150,2019-06-28,3920,HC
151,2019-07-01,4000,HC
152,2019-07-02,3920,HC
153,2019-07-03,3900,HC
154,2019-07-04,3900,HC
155,2019-07-05,3880,HC
156,2019-07-08,3870,HC
157,2019-07-09,3920,HC
158,2019-07-10,3890,HC
159,2019-07-11,3860,HC
160,2019-07-12,3850,HC
161,2019-07-15,3850,HC
162,2019-07-16,3890,HC
163,2019-07-17,3890,HC
164,2019-07-18,3870,HC
165,2019-07-19,3880,HC
166,2019-07-22,3870,HC
167,2019-07-23,3870,HC
168,2019-07-24,3820,HC
169,2019-07-25,3850,HC
170,2019-07-26,3850,HC
171,2019-07-29,3820,HC
172,2019-07-30,3810,HC
173,2019-07-31,3830,HC
174,2019-08-01,3810,HC
175,2019-08-02,3770,HC
176,2019-08-05,3720,HC
177,2019-08-06,3700,HC
178,2019-08-07,3700,HC
179,2019-08-08,3710,HC
180,2019-08-09,3650,HC
181,2019-08-12,3680,HC
182,2019-08-13,3710,HC
183,2019-08-14,3720,HC
184,2019-08-15,3720,HC
185,2019-08-16,3730,HC
186,2019-08-19,3740,HC
187,2019-08-20,3720,HC
188,2019-08-21,3710,HC
189,2019-08-22,3720,HC
190,2019-08-23,3720,HC
191,2019-08-26,3680,HC
192,2019-08-27,3610,HC
193,2019-08-28,3600,HC
194,2019-08-29,3610,HC
195,2019-08-30,3630,HC
196,2019-09-02,3650,HC
197,2019-09-03,3670,HC
198,2019-09-04,3680,HC
199,2019-09-05,3680,HC
200,2019-09-06,3650,HC
201,2019-09-09,3700,HC
202,2019-09-10,3700,HC
203,2019-09-11,3690,HC
204,2019-09-12,3690,HC
205,2019-09-16,3720,HC
206,2019-09-17,3700,HC
207,2019-09-18,3690,HC
208,2019-09-19,3630,HC
209,2019-09-20,3590,HC
210,2019-09-23,3650,HC
211,2019-09-24,3660,HC
212,2019-09-25,3650,HC
213,2019-09-26,3620,HC
214,2019-09-27,3600,HC
215,2019-09-30,3640,HC
216,2019-10-08,3620,HC
217,2019-10-09,3600,HC
218,2019-10-10,3590,HC
219,2019-10-11,3570,HC
220,2019-10-14,3570,HC
221,2019-10-15,3530,HC
222,2019-10-16,3520,HC
223,2019-10-17,3510,HC
224,2019-10-18,3510,HC
225,2019-10-21,3500,HC
226,2019-10-22,3500,HC
227,2019-10-23,3510,HC
228,2019-10-24,3510,HC
229,2019-10-25,3510,HC
230,2019-10-28,3510,HC
231,2019-10-29,3510,HC
232,2019-10-30,3510,HC
233,2019-10-31,3520,HC
234,2019-11-01,3510,HC
235,2019-11-04,3510,HC
236,2019-11-05,3520,HC
237,2019-11-06,3540,HC
238,2019-11-07,3540,HC
239,2019-11-08,3530,HC
240,2019-11-11,3510,HC
241,2019-11-12,3530,HC
242,2019-11-13,3540,HC
243,2019-11-14,3570,HC
244,2019-11-15,3590,HC
245,2019-11-18,3610,HC
246,2019-11-19,3620,HC
247,2019-11-20,3680,HC
248,2019-11-21,3680,HC
249,2019-11-22,3680,HC
250,2019-11-25,3700,HC
251,2019-11-26,3700,HC
252,2019-11-27,3690,HC
253,2019-11-28,3690,HC
254,2019-11-29,3710,HC
255,2019-12-02,3750,HC
256,2019-12-03,3750,HC
257,2019-12-04,3760,HC
258,2019-12-05,3770,HC
259,2019-12-06,3770,HC
260,2019-12-09,3810,HC
261,2019-12-10,3840,HC
262,2019-12-11,3870,HC
263,2019-12-12,3870,HC
264,2019-12-13,3890,HC
265,2019-12-16,3890,HC
266,2019-12-17,3880,HC
267,2019-12-18,3880,HC
268,2019-12-19,3880,HC
269,2019-12-20,3870,HC
270,2019-12-23,3870,HC
271,2019-12-24,3880,HC
272,2019-12-25,3890,HC
273,2019-12-26,3890,HC
274,2019-12-27,3900,HC
275,2019-12-30,3910,HC
276,2019-12-31,3920,HC
277,2020-01-02,3920,HC
278,2020-01-03,3920,HC
279,2020-01-06,3910,HC
280,2020-01-07,3910,HC
281,2020-01-08,3910,HC
282,2020-01-09,3910,HC
283,2020-01-10,3900,HC
284,2020-01-13,3890,HC
285,2020-01-14,3890,HC
286,2020-01-15,3890,HC
287,2020-01-16,3880,HC
288,2020-01-17,3880,HC
289,2020-01-20,3880,HC
290,2020-01-21,3880,HC
291,2020-01-22,3880,HC
292,2020-01-23,3880,HC
293,2020-02-03,3600,HC
294,2020-02-04,3600,HC
295,2020-02-05,3600,HC
296,2020-02-06,3580,HC
297,2020-02-07,3560,HC
298,2020-02-10,3500,HC
299,2020-02-11,3510,HC
300,2020-02-12,3510,HC
301,2020-02-13,3500,HC
302,2020-02-14,3480,HC
303,2020-02-17,3480,HC
304,2020-02-18,3490,HC
305,2020-02-19,3480,HC
306,2020-02-20,3500,HC
307,2020-02-21,3520,HC
308,2020-02-24,3560,HC
309,2020-02-25,3560,HC
310,2020-02-26,3560,HC
311,2020-02-27,3540,HC
312,2020-03-02,3520,HC
313,2020-03-03,3520,HC
314,2020-03-04,3520,HC
315,2020-03-05,3520,HC
316,2020-03-06,3510,HC
317,2020-03-09,3500,HC
318,2020-03-10,3510,HC
319,2020-03-11,3520,HC
320,2020-03-12,3510,HC
321,2020-03-13,3510,HC
322,2020-03-16,3540,HC
323,2020-03-17,3510,HC
324,2020-03-18,3510,HC
325,2020-03-19,3450,HC
326,2020-03-20,3440,HC
327,2020-03-23,3400,HC
328,2020-03-24,3380,HC
329,2020-03-25,3390,HC
330,2020-03-26,3350,HC
331,2020-03-27,3350,HC
332,2020-03-30,3300,HC
333,2020-03-31,3290,HC
334,2020-04-01,3210,HC
335,2020-04-02,3200,HC
336,2020-04-03,3200,HC
337,2020-04-07,3210,HC
338,2020-04-08,3240,HC
339,2020-04-09,3280,HC
340,2020-04-10,3300,HC
341,2020-04-13,3340,HC
342,2020-04-14,3340,HC
343,2020-04-15,3320,HC
344,2020-04-16,3320,HC
345,2020-04-17,3340,HC
346,2020-04-20,3340,HC
347,2020-04-21,3300,HC
348,2020-04-22,3300,HC
349,2020-04-23,3290,HC
350,2020-04-24,3300,HC
351,2020-04-27,3300,HC
352,2020-04-28,3280,HC
353,2020-04-29,3280,HC
354,2020-04-30,3300,HC
355,2020-05-06,3340,HC
356,2020-05-07,3380,HC
357,2020-05-08,3400,HC
