,date,cashPrice,code
0,2019-01-03,1459.1,JM
1,2019-01-04,1459.1,JM
2,2019-01-08,1459.1,JM
3,2019-01-09,1459.1,JM
4,2019-01-10,1459.1,JM
5,2019-01-11,1459.1,JM
6,2019-01-14,1459.1,JM
7,2019-01-15,1459.1,JM
8,2019-01-16,1397.9,JM
9,2019-01-17,1397.9,JM
10,2019-01-18,1397.9,JM
11,2019-01-21,1397.9,JM
12,2019-01-28,1397.9,JM
13,2019-01-29,1397.9,JM
14,2019-01-30,1397.9,JM
15,2019-01-31,1397.9,JM
16,2019-02-01,1397.9,JM
17,2019-02-11,1397.9,JM
18,2019-02-12,1479.5,JM
19,2019-02-13,1479.5,JM
20,2019-02-14,1479.5,JM
21,2019-02-15,1479.5,JM
22,2019-02-19,1479.5,JM
23,2019-02-20,1479.5,JM
24,2019-02-21,1479.5,JM
25,2019-02-22,1479.5,JM
26,2019-02-25,1479.5,JM
27,2019-02-26,1479.5,JM
28,2019-02-27,1479.5,JM
29,2019-02-28,1479.5,JM
30,2019-03-01,1479.5,JM
31,2019-03-04,1479.5,JM
32,2019-03-05,1479.5,JM
33,2019-03-06,1479.5,JM
34,2019-03-07,1479.5,JM
35,2019-03-08,1479.5,JM
36,2019-03-11,1479.5,JM
37,2019-03-12,1479.5,JM
38,2019-03-13,1479.5,JM
39,2019-03-14,1479.5,JM
40,2019-03-15,1479.5,JM
41,2019-03-19,1479.5,JM
42,2019-03-20,1479.5,JM
43,2019-03-21,1479.5,JM
44,2019-03-22,1479.5,JM
45,2019-03-27,1479.5,JM
46,2019-03-28,1479.5,JM
47,2019-03-29,1479.5,JM
48,2019-04-01,1479.5,JM
49,2019-04-03,1469.3,JM
50,2019-04-09,1469.3,JM
51,2019-04-10,1469.3,JM
52,2019-04-15,1469.3,JM
53,2019-04-16,1469.3,JM
54,2019-04-17,1367.3,JM
55,2019-04-18,1367.3,JM
56,2019-04-19,1367.3,JM
57,2019-04-23,1367.3,JM
58,2019-04-24,1367.3,JM
59,2019-04-25,1367.3,JM
60,2019-04-26,1367.3,JM
61,2019-04-29,1367.3,JM
62,2019-04-30,1367.3,JM
63,2019-05-06,1367.3,JM
64,2019-05-07,1367.3,JM
65,2019-05-09,1367.3,JM
66,2019-05-13,1367.3,JM
67,2019-05-14,1367.3,JM
68,2019-05-15,1367.3,JM
69,2019-05-16,1367.3,JM
70,2019-05-17,1367.3,JM
71,2019-05-20,1367.3,JM
72,2019-05-21,1367.3,JM
73,2019-05-22,1367.3,JM
74,2019-05-23,1367.3,JM
75,2019-05-24,1367.3,JM
76,2019-05-28,1367.3,JM
77,2019-05-29,1367.3,JM
78,2019-05-31,1367.3,JM
79,2019-06-03,1408.1,JM
80,2019-06-04,1408.1,JM
81,2019-06-10,1408.1,JM
82,2019-06-11,1408.1,JM
83,2019-06-12,1408.1,JM
84,2019-06-13,1408.1,JM
85,2019-06-14,1408.1,JM
86,2019-06-17,1408.1,JM
87,2019-06-18,1408.1,JM
88,2019-06-19,1408.1,JM
89,2019-06-20,1408.1,JM
90,2019-06-21,1408.1,JM
91,2019-06-24,1408.1,JM
92,2019-06-25,1408.1,JM
93,2019-06-26,1408.1,JM
94,2019-06-27,1408.1,JM
95,2019-06-28,1408.1,JM
96,2019-07-01,1367.3,JM
97,2019-07-02,1367.3,JM
98,2019-07-03,1367.3,JM
99,2019-07-04,1367.3,JM
100,2019-07-05,1367.3,JM
101,2019-07-08,1367.3,JM
102,2019-07-09,1367.3,JM
103,2019-07-10,1367.3,JM
104,2019-07-11,1367.3,JM
105,2019-07-12,1367.3,JM
106,2019-07-15,1367.3,JM
107,2019-07-16,1367.3,JM
108,2019-07-17,1367.3,JM
109,2019-07-18,1367.3,JM
110,2019-07-19,1367.3,JM
111,2019-07-22,1367.3,JM
112,2019-07-23,1367.3,JM
113,2019-07-24,1367.3,JM
114,2019-07-25,1367.3,JM
115,2019-07-26,1367.3,JM
116,2019-07-29,1367.3,JM
117,2019-07-30,1367.3,JM
118,2019-07-31,1367.3,JM
119,2019-08-01,1367.3,JM
120,2019-08-02,1367.3,JM
121,2019-08-05,1367.3,JM
122,2019-08-06,1306.1,JM
123,2019-08-07,1306.1,JM
124,2019-08-08,1306.1,JM
125,2019-08-09,1306.1,JM
126,2019-08-12,1306.1,JM
127,2019-08-13,1306.1,JM
128,2019-08-14,1306.1,JM
129,2019-08-15,1306.1,JM
130,2019-08-16,1306.1,JM
131,2019-08-19,1306.1,JM
132,2019-08-20,1306.1,JM
133,2019-08-21,1306.1,JM
134,2019-08-22,1306.1,JM
135,2019-08-23,1306.1,JM
136,2019-08-26,1306.1,JM
137,2019-08-27,1306.1,JM
138,2019-08-28,1306.1,JM
139,2019-08-29,1306.1,JM
140,2019-08-30,1306.1,JM
141,2019-09-02,1306.1,JM
142,2019-09-03,1306.1,JM
143,2019-09-04,1336.7,JM
144,2019-09-05,1336.7,JM
145,2019-09-06,1336.7,JM
146,2019-09-09,1336.7,JM
147,2019-09-10,1336.7,JM
148,2019-09-11,1336.7,JM
149,2019-09-12,1336.7,JM
150,2019-09-16,1336.7,JM
151,2019-09-17,1336.7,JM
152,2019-09-18,1336.7,JM
153,2019-09-19,1336.7,JM
154,2019-09-20,1336.7,JM
155,2019-09-23,1336.7,JM
156,2019-09-24,1336.7,JM
157,2019-09-25,1336.7,JM
158,2019-09-26,1306.1,JM
159,2019-09-27,1306.1,JM
160,2019-09-30,1306.1,JM
161,2019-10-08,1306.1,JM
162,2019-10-09,1306.1,JM
163,2019-10-10,1306.1,JM
164,2019-10-11,1306.1,JM
165,2019-10-14,1306.1,JM
166,2019-10-15,1306.1,JM
167,2019-10-16,1306.1,JM
168,2019-10-17,1306.1,JM
169,2019-10-18,1285.7,JM
170,2019-10-21,1285.7,JM
171,2019-10-22,1285.7,JM
172,2019-10-23,1285.7,JM
173,2019-10-24,1285.7,JM
174,2019-10-25,1285.7,JM
175,2019-10-28,1285.7,JM
176,2019-10-29,1285.7,JM
