,date,cashPrice,code
0,2018-11-13,4460,RB
1,2018-11-14,4450,RB
2,2018-11-15,4430,RB
3,2018-11-16,4400,RB
4,2018-11-19,4300,RB
5,2018-11-20,4200,RB
6,2018-11-21,4030,RB
7,2018-11-22,4030,RB
8,2018-11-23,3970,RB
9,2018-11-26,3840,RB
10,2018-11-27,3820,RB
11,2018-11-28,3860,RB
12,2018-11-29,3880,RB
13,2018-11-30,3870,RB
14,2018-12-03,4010,RB
15,2018-12-04,3980,RB
16,2018-12-05,3980,RB
17,2018-12-06,3960,RB
18,2018-12-07,3920,RB
19,2018-12-10,3860,RB
20,2018-12-11,3830,RB
21,2018-12-12,3830,RB
22,2018-12-13,3850,RB
23,2018-12-14,3870,RB
24,2018-12-17,3890,RB
25,2018-12-18,3860,RB
26,2018-12-19,3840,RB
27,2018-12-20,3850,RB
28,2018-12-21,3870,RB
29,2018-12-24,3840,RB
30,2018-12-25,3790,RB
31,2018-12-26,3790,RB
32,2018-12-27,3810,RB
33,2018-12-28,3810,RB
34,2019-01-02,3770,RB
35,2019-01-03,3780,RB
36,2019-01-04,3780,RB
37,2019-01-07,3810,RB
38,2019-01-08,3800,RB
39,2019-01-09,3800,RB
40,2019-01-10,3800,RB
41,2019-01-11,3780,RB
42,2019-01-14,3770,RB
43,2019-01-15,3750,RB
44,2019-01-16,3750,RB
45,2019-01-17,3750,RB
46,2019-01-18,3750,RB
47,2019-01-21,3770,RB
48,2019-01-22,3780,RB
49,2019-01-23,3780,RB
50,2019-01-24,3780,RB
51,2019-01-25,3780,RB
52,2019-01-28,3780,RB
53,2019-01-29,3780,RB
54,2019-01-30,3780,RB
55,2019-01-31,3780,RB
56,2019-02-01,3780,RB
57,2019-02-11,3820,RB
58,2019-02-12,3860,RB
59,2019-02-13,3860,RB
60,2019-02-14,3840,RB
61,2019-02-15,3810,RB
62,2019-02-18,3810,RB
63,2019-02-19,3790,RB
64,2019-02-20,3760,RB
65,2019-02-21,3760,RB
66,2019-02-22,3790,RB
67,2019-02-25,3810,RB
68,2019-02-26,3810,RB
69,2019-02-27,3820,RB
70,2019-02-28,3820,RB
71,2019-03-01,3860,RB
72,2019-03-04,3880,RB
73,2019-03-05,3870,RB
74,2019-03-06,3860,RB
75,2019-03-07,3850,RB
76,2019-03-08,3870,RB
77,2019-03-11,3840,RB
78,2019-03-12,3880,RB
79,2019-03-13,3890,RB
80,2019-03-14,3890,RB
81,2019-03-15,3890,RB
82,2019-03-18,3920,RB
83,2019-03-19,3940,RB
84,2019-03-21,3950,RB
85,2019-03-22,3940,RB
86,2019-03-25,3910,RB
87,2019-03-26,3900,RB
88,2019-03-27,3900,RB
89,2019-03-28,3900,RB
90,2019-03-29,3900,RB
91,2019-04-01,3920,RB
92,2019-04-02,3950,RB
93,2019-04-03,3960,RB
94,2019-04-04,3960,RB
95,2019-04-08,4050,RB
96,2019-04-09,4100,RB
97,2019-04-10,4090,RB
98,2019-04-11,4090,RB
99,2019-04-12,4090,RB
100,2019-04-15,4140,RB
101,2019-04-16,4150,RB
102,2019-04-17,4130,RB
