,date,cashPrice,code
0,2019-07-15,6100,SF
1,2019-07-16,6100,SF
2,2019-07-17,6100,SF
3,2019-07-18,6100,SF
4,2019-07-19,6100,SF
5,2019-07-22,6100,SF
6,2019-07-23,6100,SF
7,2019-07-24,6050,SF
8,2019-07-25,6050,SF
9,2019-07-26,6000,SF
10,2019-07-29,5950,SF
11,2019-07-30,5950,SF
12,2019-07-31,5950,SF
13,2019-08-01,5950,SF
14,2019-08-02,5950,SF
15,2019-08-05,5950,SF
16,2019-08-06,5950,SF
17,2019-08-07,5850,SF
18,2019-08-08,5850,SF
19,2019-08-09,5850,SF
20,2019-08-13,5850,SF
21,2019-08-14,5850,SF
22,2019-08-15,5850,SF
23,2019-08-19,5850,SF
24,2019-08-20,5850,SF
25,2019-08-21,5850,SF
26,2019-08-22,5850,SF
27,2019-08-26,5850,SF
28,2019-08-27,5850,SF
29,2019-08-28,5850,SF
30,2019-08-29,5850,SF
31,2019-08-30,5850,SF
32,2019-09-06,5850,SF
33,2019-09-09,5850,SF
34,2019-09-11,5850,SF
35,2019-09-12,5850,SF
36,2019-09-16,5850,SF
37,2019-09-17,5850,SF
38,2019-09-18,5850,SF
39,2019-09-19,5850,SF
40,2019-09-20,5850,SF
41,2019-09-23,5850,SF
42,2019-09-24,5850,SF
43,2019-09-26,5850,SF
44,2019-09-27,5850,SF
45,2019-09-30,5850,SF
46,2019-10-09,5850,SF
47,2019-10-10,5850,SF
48,2019-10-11,5850,SF
49,2019-10-14,5850,SF
50,2019-10-15,5850,SF
51,2019-10-16,5850,SF
52,2019-10-17,5850,SF
53,2019-10-18,5850,SF
54,2019-10-21,5850,SF
55,2019-10-22,5850,SF
56,2019-10-23,5850,SF
57,2019-10-24,5850,SF
58,2019-10-25,5850,SF
59,2019-10-28,5850,SF
60,2019-10-29,5850,SF
61,2019-10-30,5850,SF
62,2019-10-31,5850,SF
63,2019-11-01,5550,SF
64,2019-11-04,5550,SF
65,2019-11-05,5550,SF
66,2019-11-06,5550,SF
67,2019-11-07,5550,SF
68,2019-11-08,5550,SF
69,2019-11-11,5550,SF
70,2019-11-12,5550,SF
71,2019-11-13,5550,SF
72,2019-11-14,5550,SF
73,2019-11-15,5550,SF
74,2019-11-18,5550,SF
75,2019-11-19,5550,SF
76,2019-11-21,5550,SF
77,2019-11-22,5550,SF
78,2019-11-25,5550,SF
79,2019-11-26,5550,SF
80,2019-11-27,5550,SF
81,2019-11-28,5550,SF
82,2019-11-29,5550,SF
83,2019-12-02,5550,SF
84,2019-12-03,5550,SF
85,2019-12-04,5550,SF
86,2019-12-05,5550,SF
87,2019-12-06,5550,SF
88,2019-12-09,5550,SF
89,2019-12-10,5550,SF
90,2019-12-11,5550,SF
91,2019-12-12,5550,SF
92,2019-12-13,5550,SF
93,2019-12-16,5550,SF
94,2019-12-17,5550,SF
95,2019-12-18,5550,SF
96,2019-12-20,5550,SF
97,2019-12-23,5550,SF
98,2019-12-24,5550,SF
99,2019-12-25,5550,SF
100,2019-12-26,5550,SF
101,2019-12-27,5550,SF
102,2019-12-30,5550,SF
103,2019-12-31,5550,SF
104,2020-01-02,5550,SF
105,2020-01-03,5550,SF
106,2020-01-06,5550,SF
107,2020-01-07,5550,SF
108,2020-01-08,5550,SF
109,2020-01-09,5550,SF
110,2020-01-10,5550,SF
111,2020-01-13,5550,SF
112,2020-01-14,5550,SF
113,2020-01-15,5550,SF
114,2020-01-16,5550,SF
115,2020-01-21,5550,SF
116,2020-01-22,5550,SF
117,2020-02-03,5550,SF
118,2020-02-04,5550,SF
119,2020-02-05,5600,SF
120,2020-02-06,5600,SF
121,2020-02-11,5650,SF
122,2020-02-12,5700,SF
123,2020-02-13,5725,SF
124,2020-02-14,5725,SF
125,2020-02-17,5725,SF
126,2020-02-18,5725,SF
127,2020-02-19,5725,SF
128,2020-02-20,5725,SF
129,2020-02-24,5675,SF
130,2020-02-25,5675,SF
131,2020-02-26,5675,SF
132,2020-02-27,5675,SF
133,2020-02-28,5675,SF
134,2020-03-02,5650,SF
135,2020-03-03,5600,SF
136,2020-03-04,5550,SF
137,2020-03-05,5500,SF
138,2020-03-06,5500,SF
139,2020-03-09,5500,SF
140,2020-03-10,5500,SF
141,2020-03-11,5500,SF
142,2020-03-12,5500,SF
143,2020-03-13,5500,SF
144,2020-03-16,5500,SF
145,2020-03-17,5500,SF
146,2020-03-18,5500,SF
147,2020-03-19,5500,SF
148,2020-03-20,5500,SF
149,2020-03-23,5500,SF
150,2020-03-24,5450,SF
151,2020-03-25,5400,SF
152,2020-03-26,5400,SF
153,2020-03-27,5400,SF
154,2020-03-30,5400,SF
155,2020-03-31,5400,SF
156,2020-04-01,5400,SF
157,2020-04-02,5400,SF
158,2020-04-03,5400,SF
159,2020-04-07,5400,SF
160,2020-04-08,5400,SF
161,2020-04-09,5400,SF
162,2020-04-10,5400,SF
163,2020-04-13,5400,SF
164,2020-04-14,5400,SF
165,2020-04-15,5400,SF
166,2020-04-16,5400,SF
167,2020-04-17,5400,SF
168,2020-04-20,5400,SF
169,2020-04-21,5400,SF
170,2020-04-22,5400,SF
171,2020-04-24,5400,SF
172,2020-04-27,5400,SF
173,2020-04-28,5400,SF
174,2020-04-29,5400,SF
175,2020-04-30,5400,SF
