,date,asset,roll_mean_val
39456,2020-01-02,A,0.22858409286091005
124851,2020-01-02,AG,-0.09223568659299869
94611,2020-01-02,AL,-0.39701447707421905
80864,2020-01-02,AP,-0.29274804875169846
111923,2020-01-02,AU,0.21254310388821498
7473,2020-01-02,B,-0.16442013697012964
127296,2020-01-02,BU,-0.12431766453838887
34737,2020-01-02,C,-0.07619469762030634
68592,2020-01-02,CF,-0.03609222518856899
81954,2020-01-02,CJ,-0.43711694950595814
47222,2020-01-02,CS,0.16442013697012683
108085,2020-01-02,CU,0.30076854323804053
79474,2020-01-02,CY,0.06015370864760509
50406,2020-01-02,EB,0.34087101566977857
48403,2020-01-02,EG,0.34087101566977784
71236,2020-01-02,FG,-0.5093013998830893
88534,2020-01-02,FU,-0.004010247243176505
129630,2020-01-02,HC,0.3889939825878699
14632,2020-01-02,I,0.17244063145647703
42501,2020-01-02,J,-0.18046112594282762
17056,2020-01-02,JD,0.28472755426534513
45074,2020-01-02,JM,-0.09223568659300166
59544,2020-01-02,JR,-0.05213321416126396
21020,2020-01-02,L,-0.30878903772439187
12194,2020-01-02,M,0.03609222518856522
133800,2020-01-02,NI,-0.11629717005204213
136010,2020-01-02,NR,-0.3649324991288244
6467,2020-01-02,P,0.29274804875169463
122066,2020-01-02,PB,0.3408710156697813
23368,2020-01-02,PP,0.35691200464247536
115466,2020-01-02,RB,0.07619469762030201
57127,2020-01-02,RM,-0.012030741729525637
49419,2020-01-02,RR,0.07619469762030041
99331,2020-01-02,RU,0.29274804875169125
83920,2020-01-02,SA,-0.10025618107934998
89890,2020-01-02,SC,-0.2125431038882191
75734,2020-01-02,SF,-0.06015370864761175
77972,2020-01-02,SM,-0.14837914799743807
131715,2020-01-02,SN,0.19650211491552202
134991,2020-01-02,SP,-0.5975268392329105
63872,2020-01-02,SR,0.060153708647604644
137001,2020-01-02,SS,-0.03609222518856573
54502,2020-01-02,TA,0.16442013697012717
82976,2020-01-02,UR,-0.30878903772439326
2579,2020-01-02,V,
119007,2020-01-02,WR,0.43711694950595414
30099,2020-01-02,Y,0.22056359837456274
103365,2020-01-02,ZN,0.12431766453838788
39457,2020-01-03,A,0.2927480487516924
124852,2020-01-03,AG,-0.04411271967491189
94612,2020-01-03,AL,-0.6777317840963921
80865,2020-01-03,AP,-0.2927480487516984
111924,2020-01-03,AU,0.3649324991288232
7474,2020-01-03,B,-0.18848162042917305
127297,2020-01-03,BU,-0.15639964248378008
34738,2020-01-03,C,-0.06817420313395853
68593,2020-01-03,CF,0.0922356865929958
81955,2020-01-03,CJ,-0.5093013998830884
47223,2020-01-03,CS,0.26066607080630044
108086,2020-01-03,CU,0.02807173070221531
79475,2020-01-03,CY,0.0681742031339529
50407,2020-01-03,EB,0.30878903772438737
48404,2020-01-03,EG,0.34889151015612563
71237,2020-01-03,FG,-0.19650211491552508
88535,2020-01-03,FU,0.33285052118343106
129631,2020-01-03,HC,0.42909645501960886
14633,2020-01-03,I,0.19650211491552044
42502,2020-01-03,J,-0.23660458734726225
17057,2020-01-03,JD,0.3087890377243885
45075,2020-01-03,JM,0.03609222518856316
59545,2020-01-03,JR,-0.22457384561774166
21021,2020-01-03,L,-0.020051236215871078
12195,2020-01-03,M,-0.10025618107934739
133801,2020-01-03,NI,-0.2767070597789981
136011,2020-01-03,NR,-0.17244063145647723
6468,2020-01-03,P,0.01203074172952164
122067,2020-01-03,PB,0.0761946976203039
23369,2020-01-03,PP,0.17244063145647592
115467,2020-01-03,RB,-0.1724406314564798
57128,2020-01-03,RM,0.07619469762030016
49420,2020-01-03,RR,0.09223568659299601
99332,2020-01-03,RU,0.2526455763199522
83921,2020-01-03,SA,0.09223568659299722
89891,2020-01-03,SC,-0.18848162042917568
75735,2020-01-03,SF,0.13233815902473545
77973,2020-01-03,SM,-0.14837914799743807
131716,2020-01-03,SN,0.21254310388821762
134992,2020-01-03,SP,-0.5494038723148238
63873,2020-01-03,SR,-0.06817420313396015
137002,2020-01-03,SS,-0.17244063145647834
54503,2020-01-03,TA,0.3569120046424744
82977,2020-01-03,UR,-0.23660458734726308
2580,2020-01-03,V,-0.3248300266970859
119008,2020-01-03,WR,0.4491476912354758
30100,2020-01-03,Y,0.19650211491551936
