,date,code,basisRatio
432,2023-04-03,AG,-0.0003774297037176826
59,2023-04-03,AL,0.0013433637829124126
0,2023-04-03,CU,0.01120367710428038
210,2023-04-03,NI,0.06327193932827736
175,2023-04-03,PB,-0.007296849087893864
324,2023-04-03,SS,0.0731629392971246
433,2023-04-04,AG,-0.010363670623704541
60,2023-04-04,AL,-0.0005379236148466917
1,2023-04-04,CU,0.007365684575389948
211,2023-04-04,NI,0.07319334605944915
176,2023-04-04,PB,-0.007960199004975124
269,2023-04-04,SN,4.914004914004914e-05
325,2023-04-04,SS,0.07942122186495176
434,2023-04-06,AG,-0.009255898366606171
61,2023-04-06,AL,0.0053734551316496505
2,2023-04-06,CU,0.00915165601394538
212,2023-04-06,NI,0.07945886250690226
270,2023-04-06,SN,0.016485461441213652
326,2023-04-06,SS,0.08938906752411575
118,2023-04-06,ZN,0.01399548532731377
435,2023-04-07,AG,-0.01173073452445407
62,2023-04-07,AL,0.0021424745581146223
3,2023-04-07,CU,0.0020328154493974154
213,2023-04-07,NI,0.08189655172413793
271,2023-04-07,SN,-0.004035759897828863
327,2023-04-07,SS,0.06483870967741935
119,2023-04-07,ZN,0.015110509697789806
436,2023-04-10,AG,-0.005813953488372093
63,2023-04-10,AL,0.004027926960257788
4,2023-04-10,CU,0.006534998547778101
214,2023-04-10,NI,0.08374730021598271
272,2023-04-10,SN,0.002816166883963494
328,2023-04-10,SS,0.07451612903225806
120,2023-04-10,ZN,0.02063705697622252
437,2023-04-11,AG,-0.012144281312307414
64,2023-04-11,AL,-0.002720348204570185
5,2023-04-11,CU,0.0001457938474996355
215,2023-04-11,NI,0.07367567567567568
273,2023-04-11,SN,-0.0009461235216819974
329,2023-04-11,SS,0.05594855305466238
121,2023-04-11,ZN,0.01044030866999546
438,2023-04-12,AG,-0.006379585326953748
65,2023-04-12,AL,0.0056941431670282
6,2023-04-12,CU,0.008530942741469058
216,2023-04-12,NI,0.08244274809160305
274,2023-04-12,SN,0.0023036649214659686
330,2023-04-12,SS,0.08307210031347963
122,2023-04-12,ZN,0.02125734961555857
439,2023-04-13,AG,-0.004408393581378946
66,2023-04-13,AL,0.0045945945945945945
7,2023-04-13,CU,0.007133078752071475
217,2023-04-13,NI,0.0845382585751979
275,2023-04-13,SN,0.006416558861578266
331,2023-04-13,SS,0.08181818181818182
123,2023-04-13,ZN,0.017671046669687357
440,2023-04-14,AG,-0.0029427038255149733
67,2023-04-14,AL,0.00347407803313736
8,2023-04-14,CU,0.007964727634760346
218,2023-04-14,NI,0.08020725388601037
276,2023-04-14,SN,-0.0018250950570342205
332,2023-04-14,SS,0.08037383177570094
124,2023-04-14,ZN,0.015590200445434299
441,2023-04-17,AG,-0.010453579021970234
68,2023-04-17,AL,0.0016008537886872999
9,2023-04-17,CU,0.0
219,2023-04-17,NI,0.06291152263374486
277,2023-04-17,SN,-0.046117084826762245
333,2023-04-17,SS,0.06355140186915888
125,2023-04-17,ZN,0.0069103878733838605
442,2023-04-18,AG,-0.0075107296137339056
69,2023-04-18,AL,-0.003976670201484623
383,2023-04-18,AU,-0.0013280212483400451
10,2023-04-18,CU,0.0017226528854435831
220,2023-04-18,NI,0.06589207332816938
278,2023-04-18,SN,0.006346368715083799
334,2023-04-18,SS,0.08693009118541034
126,2023-04-18,ZN,0.007165248544558889
443,2023-04-19,AG,-0.0024986614313760487
70,2023-04-19,AL,0.0021019442984760903
384,2023-04-19,AU,-0.0029317577015019877
11,2023-04-19,CU,0.00609887350218842
221,2023-04-19,NI,0.07295285359801489
279,2023-04-19,SN,0.001187214611872146
335,2023-04-19,SS,0.08085106382978724
127,2023-04-19,ZN,0.012265834076717217
444,2023-04-20,AG,-0.006210078069552875
71,2023-04-20,AL,-0.002354788069073783
385,2023-04-20,AU,-0.005536598042982054
12,2023-04-20,CU,0.004388173512696928
222,2023-04-20,NI,0.07554671968190854
280,2023-04-20,SN,-0.001735159817351598
336,2023-04-20,SS,0.06941896024464832
128,2023-04-20,ZN,0.011958483754512635
445,2023-04-21,AG,0.0010659086871558003
72,2023-04-21,AL,0.009721492380451918
386,2023-04-21,AU,0.0017567567567566952
13,2023-04-21,CU,0.0058063579619683555
223,2023-04-21,NI,0.07648407643312102
281,2023-04-21,SN,0.00492379835873388
337,2023-04-21,SS,0.07522935779816514
129,2023-04-21,ZN,0.020739404869251576
446,2023-04-24,AG,-0.002866869736606343
73,2023-04-24,AL,0.005291005291005291
387,2023-04-24,AU,-0.003356009070294826
14,2023-04-24,CU,0.0047448718884590116
224,2023-04-24,NI,0.0689727463312369
282,2023-04-24,SN,0.008805620608899297
338,2023-04-24,SS,0.0768025078369906
130,2023-04-24,ZN,0.02673674588665448
447,2023-04-25,AG,-0.003018465909090909
74,2023-04-25,AL,0.0026553372278279343
388,2023-04-25,AU,-0.003063063063063094
15,2023-04-25,CU,0.004466573918137219
225,2023-04-25,NI,0.06539566466440323
283,2023-04-25,SN,-0.0033034450212364322
339,2023-04-25,SS,0.06739811912225706
131,2023-04-25,ZN,0.021889400921658985
448,2023-04-26,AG,-0.003927168868261335
75,2023-04-26,AL,0.0034666666666666665
389,2023-04-26,AU,-0.0014814814814815376
16,2023-04-26,CU,0.0022951062412082624
226,2023-04-26,NI,0.06725099601593626
284,2023-04-26,SN,-0.004685990338164251
340,2023-04-26,SS,0.06865203761755485
132,2023-04-26,ZN,0.015398973401773215
449,2023-04-27,AG,-0.010552673940261133
76,2023-04-27,AL,0.008077544426494346
390,2023-04-27,AU,-0.004848484848484905
17,2023-04-27,CU,0.003000300030003
227,2023-04-27,NI,0.06764158468492422
177,2023-04-27,PB,-0.004605263157894736
285,2023-04-27,SN,0.0
341,2023-04-27,SS,0.05299684542586751
133,2023-04-27,ZN,0.0205799812909261
450,2023-04-28,AG,-0.00914470145239376
77,2023-04-28,AL,0.002435064935064935
391,2023-04-28,AU,-0.0009239436619718873
18,2023-04-28,CU,0.0017053458886334989
228,2023-04-28,NI,0.07532467532467532
286,2023-04-28,SN,-0.01379474940334129
342,2023-04-28,SS,0.058878504672897194
134,2023-04-28,ZN,0.01425233644859813
451,2023-05-04,AG,-0.00017340038148083925
78,2023-05-04,AL,0.006212857914640735
