,date,code,basisRatio
59,2023-04-03,BU,0.01038961038961039
471,2023-04-03,EB,0.011852704257767549
0,2023-04-03,EG,-0.021520803443328552
236,2023-04-03,FG,-0.05490956072351421
655,2023-04-03,FU,0.06166560712015257
295,2023-04-03,L,0.01740278444551128
354,2023-04-03,MA,0.04251968503937008
770,2023-04-03,PF,0.04202107401294909
891,2023-04-03,PG,0.11947077409162717
413,2023-04-03,PP,0.025520568816658203
596,2023-04-03,RU,-0.02193548387096774
177,2023-04-03,SA,0.1568253968253968
118,2023-04-03,SP,0.06218487394957983
818,2023-04-03,TA,0.08315434182264499
538,2023-04-03,UR,0.14961832061068703
711,2023-04-03,V,0.005885159853666296
60,2023-04-04,BU,0.012919896640826873
1,2023-04-04,EG,-0.025974025974025976
237,2023-04-04,FG,-0.03653846153846154
656,2023-04-04,FU,0.024707000316756416
296,2023-04-04,L,0.022457067371202115
877,2023-04-04,LU,-0.027736131934032984
355,2023-04-04,MA,0.03873517786561265
771,2023-04-04,PF,0.032552248258391384
892,2023-04-04,PG,0.11696708463949844
414,2023-04-04,PP,0.03059928897917725
597,2023-04-04,RU,-0.024945295404814005
178,2023-04-04,SA,0.1568253968253968
119,2023-04-04,SP,0.06756302521008403
819,2023-04-04,TA,0.05760617760617761
539,2023-04-04,UR,0.14732824427480917
712,2023-04-04,V,-0.0008068420203324189
61,2023-04-06,BU,0.018863049095607234
2,2023-04-06,EG,-0.011656143759106362
238,2023-04-06,FG,-0.041025641025641026
657,2023-04-06,FU,0.015977443609022556
297,2023-04-06,L,0.030802550836241126
878,2023-04-06,LU,-0.012128712871287129
356,2023-04-06,MA,0.029149797570850202
772,2023-04-06,PF,0.051870640456563095
893,2023-04-06,PG,0.12025068546807677
415,2023-04-06,PP,0.039867953275774505
598,2023-04-06,RU,-0.022516556291390728
179,2023-04-06,SA,0.1676190476190476
120,2023-04-06,SP,0.08302521008403362
820,2023-04-06,TA,0.07554179566563468
540,2023-04-06,UR,0.14444444444444443
713,2023-04-06,V,0.0019430051813471502
62,2023-04-07,BU,0.015762273901808784
472,2023-04-07,EB,0.012910662824207492
3,2023-04-07,EG,-0.026485148514851484
239,2023-04-07,FG,-0.05064102564102564
298,2023-04-07,L,0.02421978551632727
357,2023-04-07,MA,0.023983739837398373
773,2023-04-07,PF,0.06309508696204139
894,2023-04-07,PG,0.1275049115913556
416,2023-04-07,PP,0.032525510204081634
599,2023-04-07,RU,-0.018984547461368653
180,2023-04-07,SA,0.16507936507936508
121,2023-04-07,SP,0.06051282051282051
821,2023-04-07,TA,0.06897093479968579
714,2023-04-07,V,-0.009553108808290155
63,2023-04-10,BU,0.013695090439276485
473,2023-04-10,EB,0.014104046242774566
4,2023-04-10,EG,-0.027152641878669274
240,2023-04-10,FG,-0.03851010101010101
658,2023-04-10,FU,0.029709035222052066
299,2023-04-10,L,0.029872319922910142
358,2023-04-10,MA,0.024793388429752067
774,2023-04-10,PF,0.04923555325213786
895,2023-04-10,PG,0.11934321185422507
417,2023-04-10,PP,0.03966836734693877
600,2023-04-10,RU,-0.024282560706401765
181,2023-04-10,SA,0.19111111111111112
122,2023-04-10,SP,0.06655172413793103
822,2023-04-10,TA,0.06317460317460317
541,2023-04-10,UR,0.11497975708502024
715,2023-04-10,V,0.0008091924259588931
64,2023-04-11,BU,0.006718346253229974
5,2023-04-11,EG,-0.025746903084770463
241,2023-04-11,FG,-0.018125
659,2023-04-11,FU,0.029483282674772036
300,2023-04-11,L,0.024281227349601354
879,2023-04-11,LU,-0.004393458628264584
359,2023-04-11,MA,0.02299794661190965
775,2023-04-11,PF,0.031096138896087068
896,2023-04-11,PG,0.09307535641547862
418,2023-04-11,PP,0.031538461538461536
601,2023-04-11,RU,-0.02869757174392936
182,2023-04-11,SA,0.19206349206349208
