,date,code,basisRatio
0,2023-04-03,HC,0.023474178403755867
59,2023-04-03,I,0.1045958795562599
118,2023-04-03,J,0.04013133892739876
177,2023-04-03,JM,0.06204980448651982
236,2023-04-03,RB,0.03675417661097852
295,2023-04-03,SF,-0.05798657718120805
1,2023-04-04,HC,0.026777251184834122
60,2023-04-04,I,0.10559537819621273
119,2023-04-04,J,0.05508938343670193
178,2023-04-04,JM,0.06525664173329894
237,2023-04-04,RB,0.03099273607748184
296,2023-04-04,SF,-0.052348993288590606
2,2023-04-06,HC,0.029523809523809525
61,2023-04-06,I,0.10679819858460221
120,2023-04-06,J,0.06001459321415542
179,2023-04-06,JM,0.07686355429455764
238,2023-04-06,RB,0.03202933985330073
297,2023-04-06,SF,-0.038657718120805366
3,2023-04-07,HC,0.029176470588235293
62,2023-04-07,I,0.11017849553761161
121,2023-04-07,J,0.09084275811747537
180,2023-04-07,JM,0.04156178030100151
239,2023-04-07,RB,0.030750605326876512
298,2023-04-07,SF,-0.045369127516778525
4,2023-04-10,HC,0.029832935560859187
63,2023-04-10,I,0.11181730044166752
122,2023-04-10,J,0.05815681902638424
181,2023-04-10,JM,0.05181432740487854
240,2023-04-10,RB,0.03194103194103194
299,2023-04-10,SF,-0.03543624161073825
5,2023-04-11,HC,0.02684085510688836
64,2023-04-11,I,0.09851796566798164
123,2023-04-11,J,0.05815681902638424
182,2023-04-11,JM,0.049061175045426966
241,2023-04-11,RB,0.019950738916256157
300,2023-04-11,SF,-0.042953020134228186
6,2023-04-12,HC,0.03007159904534606
65,2023-04-12,I,0.10146173688736025
124,2023-04-12,J,0.07060572277963582
183,2023-04-12,JM,0.04052640273112709
242,2023-04-12,RB,0.02857142857142857
301,2023-04-12,SF,-0.04187919463087248
7,2023-04-13,HC,0.03708133971291866
66,2023-04-13,I,0.10463215258855586
125,2023-04-13,J,0.09977703455964325
184,2023-04-13,JM,0.02572812830651002
243,2023-04-13,RB,0.03052109181141439
302,2023-04-13,SF,-0.04348993288590604
8,2023-04-14,HC,0.035476190476190474
67,2023-04-14,I,0.11100249809927233
126,2023-04-14,J,0.08342623560014864
185,2023-04-14,JM,0.007350893801860024
244,2023-04-14,RB,0.03472906403940887
303,2023-04-14,SF,-0.04778523489932886
9,2023-04-17,HC,0.029523809523809525
68,2023-04-17,I,0.11022433132010358
127,2023-04-17,J,0.02836742570436125
186,2023-04-17,JM,0.020437712312747144
245,2023-04-17,RB,0.027407407407407408
304,2023-04-17,SF,-0.04135135135135135
10,2023-04-18,HC,0.026540284360189573
69,2023-04-18,I,0.10931823039110916
128,2023-04-18,J,0.026437668853724432
187,2023-04-18,JM,0.01403352453082366
246,2023-04-18,RB,0.02235872235872236
305,2023-04-18,SF,-0.06675675675675675
11,2023-04-19,HC,0.0334916864608076
70,2023-04-19,I,0.09673596897554665
129,2023-04-19,J,0.026437668853724432
188,2023-04-19,JM,0.006794007907779721
247,2023-04-19,RB,0.024691358024691357
306,2023-04-19,SF,-0.06201342281879195
12,2023-04-20,HC,0.027884615384615386
71,2023-04-20,I,0.10082933216935834
130,2023-04-20,J,0.04554226167502894
189,2023-04-20,JM,0.0011201344161299357
248,2023-04-20,RB,0.0236318407960199
307,2023-04-20,SF,-0.045369127516778525
13,2023-04-21,HC,0.028992628992628992
72,2023-04-21,I,0.1126084970306076
131,2023-04-21,J,0.06464685449633346
190,2023-04-21,JM,0.03668440212825539
249,2023-04-21,RB,0.034760705289672546
308,2023-04-21,SF,-0.03864864864864865
14,2023-04-24,HC,0.033668341708542715
73,2023-04-24,I,0.10292896952448709
132,2023-04-24,J,0.02709755118426335
191,2023-04-24,JM,0.09633155978717446
250,2023-04-24,RB,0.02578125
309,2023-04-24,SF,-0.02945945945945946
15,2023-04-25,HC,0.037531486146095715
74,2023-04-25,I,0.11396181384248211
133,2023-04-25,J,0.04817342432757928
192,2023-04-25,JM,0.06860789788591948
251,2023-04-25,RB,0.03185378590078329
310,2023-04-25,SF,-0.030204081632653063
16,2023-04-26,HC,0.0364321608040201
75,2023-04-26,I,0.11573855592260503
134,2023-04-26,J,0.044961862705740666
193,2023-04-26,JM,0.14183144338708764
252,2023-04-26,RB,0.03229166666666667
311,2023-04-26,SF,-0.02857142857142857
17,2023-04-27,HC,0.04271356783919598
76,2023-04-27,I,0.1230121608980356
135,2023-04-27,J,0.06804496186270574
194,2023-04-27,JM,0.11129817810113639
253,2023-04-27,RB,0.042077922077922075
312,2023-04-27,SF,-0.0236734693877551
18,2023-04-28,HC,0.04924623115577889
77,2023-04-28,I,0.11785420824040378
136,2023-04-28,J,0.07246085909273384
195,2023-04-28,JM,0.1539895376104864
254,2023-04-28,RB,0.04856396866840731
313,2023-04-28,SF,-0.0236734693877551
19,2023-05-04,HC,0.043701799485861184
78,2023-05-04,I,0.10481141199226311
137,2023-05-04,J,0.05855290673358427
196,2023-05-04,JM,0.1789429378870783
255,2023-05-04,RB,0.0389920424403183
314,2023-05-04,SF,-0.011156462585034013
20,2023-05-05,HC,0.03168831168831169
79,2023-05-05,I,0.09985243482538127
138,2023-05-05,J,0.014622435617634221
197,2023-05-05,JM,0.16330948229210507
256,2023-05-05,RB,0.015945945945945946
315,2023-05-05,SF,-0.026758620689655174
21,2023-05-08,HC,0.022418136020151132
80,2023-05-08,I,0.07698774921931302
139,2023-05-08,J,-0.047238703788224555
198,2023-05-08,JM,0.15970176177018816
257,2023-05-08,RB,0.014473684210526316
316,2023-05-08,SF,-0.032827586206896554
22,2023-05-09,HC,0.02430379746835443
81,2023-05-09,I,0.08132347594231004
140,2023-05-09,J,-0.02761296211775445
199,2023-05-09,JM,0.1757240686058931
258,2023-05-09,RB,0.025
317,2023-05-09,SF,-0.023172413793103447
23,2023-05-10,HC,0.030456852791878174
82,2023-05-10,I,0.06738577142164588
141,2023-05-10,J,-0.02761296211775445
200,2023-05-10,JM,0.15961305925030228
