,date,code,basisRatio
704,2023-04-03,A,0.009433962264150943
2883,2023-04-03,AG,-0.004151726740894509
2245,2023-04-03,AL,0.004298764105319721
807,2023-04-03,B,0.10583333333333333
3191,2023-04-03,BU,0.018441558441558443
1836,2023-04-03,C,0.011313868613138687
1528,2023-04-03,CF,0.05162848378043209
2039,2023-04-03,CJ,-0.18941176470588236
1936,2023-04-03,CS,0.019344262295081967
2142,2023-04-03,CU,0.014507325481183568
3910,2023-04-03,EB,0.028308400460299196
3088,2023-04-03,EG,-0.027977044476327116
3499,2023-04-03,FG,-0.06782945736434108
4268,2023-04-03,FU,0.06293706293706294
395,2023-04-03,HC,0.02699530516431925
206,2023-04-03,I,0.14632857897517168
103,2023-04-03,J,0.06986501276906239
1631,2023-04-03,JD,0.06086956521739131
0,2023-04-03,JM,0.13022226795636957
3602,2023-04-03,L,0.02112337974075852
1733,2023-04-03,LH,-0.23664383561643837
910,2023-04-03,M,0.0681012658227848
3705,2023-04-03,MA,0.03858267716535433
2526,2023-04-03,NI,0.08244853737811485
1322,2023-04-03,OI,0.0772192513368984
1116,2023-04-03,P,0.08347826086956522
2449,2023-04-03,PB,-0.01724709784411277
4469,2023-04-03,PF,0.05166941729084677
4710,2023-04-03,PG,0.14474723538704581
3808,2023-04-03,PP,0.026028440832910105
292,2023-04-03,RB,0.037708830548926014
1219,2023-04-03,RM,0.0419672131147541
4165,2023-04-03,RU,-0.024946236559139787
3397,2023-04-03,SA,0.2276190476190476
601,2023-04-03,SF,-0.045369127516778525
2986,2023-04-03,SI,0.06666666666666667
498,2023-04-03,SM,-0.002244039270687237
3294,2023-04-03,SP,0.06453781512605042
1425,2023-04-03,SR,-0.02689873417721519
2728,2023-04-03,SS,0.08434504792332269
4558,2023-04-03,TA,0.10494016569499846
4065,2023-04-03,UR,0.17900763358778626
4367,2023-04-03,V,0.005726101479242882
1013,2023-04-03,Y,0.1044150110375276
705,2023-04-04,A,0.017169811320754718
2884,2023-04-04,AG,-0.013190126248351234
2246,2023-04-04,AL,0.002420656266810113
808,2023-04-04,B,0.10458333333333333
3192,2023-04-04,BU,0.02248062015503876
1837,2023-04-04,C,0.012408759124087591
1529,2023-04-04,CF,0.05032308596044645
2040,2023-04-04,CJ,-0.18294117647058825
1937,2023-04-04,CS,0.015737704918032787
2143,2023-04-04,CU,0.01025418833044483
3089,2023-04-04,EG,-0.03342953342953343
3500,2023-04-04,FG,-0.04423076923076923
4269,2023-04-04,FU,0.036743744060817235
396,2023-04-04,HC,0.030805687203791468
207,2023-04-04,I,0.14678506472665032
104,2023-04-04,J,0.08719445457862095
1632,2023-04-04,JD,0.06739130434782609
1,2023-04-04,JM,0.1423781274181068
3603,2023-04-04,L,0.024138345142308153
1734,2023-04-04,LH,-0.23972602739726026
4661,2023-04-04,LU,-0.010494752623688156
911,2023-04-04,M,0.06632911392405064
3706,2023-04-04,MA,0.03636363636363636
2527,2023-04-04,NI,0.09053722388873739
1323,2023-04-04,OI,0.05841476655808903
1117,2023-04-04,P,0.07757125154894672
2450,2023-04-04,PB,-0.011608623548922056
4470,2023-04-04,PF,0.041671944268524386
4711,2023-04-04,PG,0.14498432601880878
3809,2023-04-04,PP,0.03110716099542915
293,2023-04-04,RB,0.03292978208232446
1220,2023-04-04,RM,0.05210355987055016
4166,2023-04-04,RU,-0.03238512035010941
3398,2023-04-04,SA,0.2253968253968254
602,2023-04-04,SF,-0.04214765100671141
2987,2023-04-04,SI,0.07630769230769231
499,2023-04-04,SM,-0.0028089887640449437
2629,2023-04-04,SN,0.005601965601965602
3295,2023-04-04,SP,0.07159663865546219
1426,2023-04-04,SR,-0.018230818008877617
2729,2023-04-04,SS,0.09131832797427653
4559,2023-04-04,TA,0.07922779922779923
4066,2023-04-04,UR,0.17748091603053434
4368,2023-04-04,V,-0.00048410521219945134
1014,2023-04-04,Y,0.09795240730492528
706,2023-04-06,A,0.025094339622641508
2885,2023-04-06,AG,-0.01161524500907441
2247,2023-04-06,AL,0.008328855454056958
809,2023-04-06,B,0.1175
3193,2023-04-06,BU,0.028165374677002582
1838,2023-04-06,C,0.014598540145985401
1530,2023-04-06,CF,0.04142204827136334
2041,2023-04-06,CJ,-0.1864705882352941
1938,2023-04-06,CS,0.01737704918032787
2144,2023-04-06,CU,0.01147588611272516
3090,2023-04-06,EG,-0.021612433220009712
3501,2023-04-06,FG,-0.057692307692307696
4270,2023-04-06,FU,0.03446115288220551
397,2023-04-06,HC,0.03642857142857143
208,2023-04-06,I,0.14968904138966332
105,2023-04-06,J,0.10251732944180957
1633,2023-04-06,JD,0.03393258426966292
2,2023-04-06,JM,0.1534691771988651
3604,2023-04-06,L,0.03332932258452653
1735,2023-04-06,LH,-0.25277777777777777
4662,2023-04-06,LU,0.004207920792079208
912,2023-04-06,M,0.09075
3707,2023-04-06,MA,0.027125506072874495
2528,2023-04-06,NI,0.0962451684152402
1324,2023-04-06,OI,0.06821621621621622
1118,2023-04-06,P,0.08971499380421313
4471,2023-04-06,PF,0.055928979074191504
4712,2023-04-06,PG,0.1500195848021935
3810,2023-04-06,PP,0.04024885728796343
294,2023-04-06,RB,0.03227383863080684
1221,2023-04-06,RM,0.05309446254071661
4167,2023-04-06,RU,-0.029580573951434878
3399,2023-04-06,SA,0.23555555555555555
603,2023-04-06,SF,-0.03006711409395973
2988,2023-04-06,SI,0.052336448598130844
500,2023-04-06,SM,0.006478873239436619
2630,2023-04-06,SN,0.019974715549936788
3296,2023-04-06,SP,0.08672268907563026
1427,2023-04-06,SR,-0.03442830069488313
2730,2023-04-06,SS,0.09967845659163987
4560,2023-04-06,TA,0.08885448916408668
4067,2023-04-06,UR,0.17182539682539683
4369,2023-04-06,V,0.0029145077720207253
1015,2023-04-06,Y,0.1129281767955801
2348,2023-04-06,ZN,0.023927765237020317
707,2023-04-07,A,0.03792452830188679
2886,2023-04-07,AG,-0.014076881429344884
2248,2023-04-07,AL,0.006427423674343867
810,2023-04-07,B,0.12458333333333334
3194,2023-04-07,BU,0.024031007751937984
1839,2023-04-07,C,0.009124087591240875
1531,2023-04-07,CF,0.032090424840847086
2042,2023-04-07,CJ,-0.20176470588235293
1939,2023-04-07,CS,0.011475409836065573
2145,2023-04-07,CU,0.005517641934078699
3911,2023-04-07,EB,0.025936599423631124
3091,2023-04-07,EG,-0.036138613861386136
3502,2023-04-07,FG,-0.06794871794871794
398,2023-04-07,HC,0.034823529411764705
209,2023-04-07,I,0.15480237994050153
106,2023-04-07,J,0.10580080262677855
1634,2023-04-07,JD,0.03348314606741573
3,2023-04-07,JM,0.12725617267420058
3605,2023-04-07,L,0.02843716110374744
1736,2023-04-07,LH,-0.25763888888888886
913,2023-04-07,M,0.08683544303797468
3708,2023-04-07,MA,0.02032520325203252
2529,2023-04-07,NI,0.1025323275862069
1325,2023-04-07,OI,0.059521218715995645
1119,2023-04-07,P,0.08460575719649562
4472,2023-04-07,PF,0.06512631712580932
4713,2023-04-07,PG,0.15383104125736738
3811,2023-04-07,PP,0.03443877551020408
295,2023-04-07,RB,0.03099273607748184
1222,2023-04-07,RM,0.04602649006622517
4168,2023-04-07,RU,-0.026490066225165563
3400,2023-04-07,SA,0.2276190476190476
604,2023-04-07,SF,-0.03570469798657718
2989,2023-04-07,SI,0.04037854889589906
501,2023-04-07,SM,-0.0002828854314002829
2631,2023-04-07,SN,0.0001532567049808429
3297,2023-04-07,SP,0.06632478632478632
1428,2023-04-07,SR,-0.0483619344773791
2731,2023-04-07,SS,0.07838709677419355
4561,2023-04-07,TA,0.07745483110761979
4370,2023-04-07,V,-0.008095854922279792
1016,2023-04-07,Y,0.1005586592178771
2349,2023-04-07,ZN,0.02345511953089761
708,2023-04-10,A,0.03792452830188679
2887,2023-04-10,AG,-0.008175872093023256
2249,2023-04-10,AL,0.007518796992481203
811,2023-04-10,B,0.135
3195,2023-04-10,BU,0.022222222222222223
1840,2023-04-10,C,-0.0032846715328467154
