,roll_yield,near_by,deferred,date
V,-0.154115908496159,v1301,v1305,2013-01-04
WH,-0.13544593223123438,WH307,WH309,2013-01-04
WS,-0.1262592048996613,WS301,WS305,2013-01-04
FG,-0.12574839772486096,FG305,FG309,2013-01-04
P,-0.1254013711409354,p1305,p1309,2013-01-04
PB,-0.12524575534324453,PB1302,PB1303,2013-01-04
J,-0.09947435365232438,j1305,j1309,2013-01-04
AG,-0.09795672522551838,AG1301,AG1306,2013-01-04
RI,-0.07412884988928164,RI307,RI309,2013-01-04
ZN,-0.07313575164363965,ZN1303,ZN1304,2013-01-04
WR,-0.07198268008362298,WR1302,WR1305,2013-01-04
C,-0.07150409181554235,c1305,c1309,2013-01-04
IF,-0.06923425459920429,IF1301,IF1303,2013-01-04
AL,-0.0589102803148609,AL1302,AL1303,2013-01-04
AU,-0.04669282004615172,AU1301,AU1306,2013-01-04
FU,-0.031026322119569315,FU1303,FU1305,2013-01-04
ME,-0.031021848896103738,ME301,ME305,2013-01-04
CU,-0.030882748451289244,CU1303,CU1304,2013-01-04
B,-0.028745029882752987,b1305,b1309,2013-01-04
RU,-0.02607233489318398,RU1305,RU1309,2013-01-04
RB,-0.022748985490904976,RB1305,RB1310,2013-01-04
SR,-0.02256053604419989,SR305,SR309,2013-01-04
CF,-0.018843296705853115,CF305,CF309,2013-01-04
A,-0.013261783516189826,a1305,a1309,2013-01-04
Y,-0.0047863258015976625,y1305,y1309,2013-01-04
L,0.004138883158210726,l1305,l1309,2013-01-04
TA,0.01544585672723076,TA305,TA309,2013-01-04
RO,0.04473183820726284,RO301,RO305,2013-01-04
M,0.04747965666518137,m1305,m1309,2013-01-04
RS,0.05411536120109553,RS309,RS311,2013-01-04
RM,0.160718426904818,RM305,RM311,2013-01-04
WH,-0.15567709166751098,WH307,WH309,2013-01-07
WR,-0.13676545899311723,WR1302,WR1305,2013-01-07
WS,-0.12622266661198558,WS301,WS305,2013-01-07
PB,-0.12590279427938156,PB1302,PB1303,2013-01-07
P,-0.12156981295998597,p1305,p1309,2013-01-07
J,-0.11505595862193516,j1305,j1309,2013-01-07
FG,-0.10806469059189644,FG305,FG309,2013-01-07
RI,-0.10693136266459452,RI307,RI309,2013-01-07
PM,-0.10503016003438531,PM307,PM309,2013-01-07
AG,-0.09966299389057401,AG1301,AG1306,2013-01-07
FU,-0.08788755715678032,FU1303,FU1305,2013-01-07
V,-0.0838289835348696,v1305,v1309,2013-01-07
AL,-0.07491399391680394,AL1302,AL1303,2013-01-07
ZN,-0.0700164060897218,ZN1303,ZN1304,2013-01-07
ME,-0.06980805394295483,ME301,ME305,2013-01-07
IF,-0.06970251073554876,IF1301,IF1303,2013-01-07
C,-0.06793658690593979,c1305,c1309,2013-01-07
AU,-0.03527899986326272,AU1301,AU1306,2013-01-07
RU,-0.03090450832323908,RU1305,RU1309,2013-01-07
CU,-0.026824875756432942,CU1303,CU1304,2013-01-07
RB,-0.022669818068292436,RB1305,RB1310,2013-01-07
B,-0.02113812524500272,b1305,b1309,2013-01-07
Y,-0.012405255443409053,y1305,y1309,2013-01-07
A,-0.009496684093682133,a1305,a1309,2013-01-07
SR,-0.005825758737821799,SR305,SR309,2013-01-07
CF,0.0007803355486836354,CF305,CF309,2013-01-07
L,0.00824553886004748,l1305,l1309,2013-01-07
TA,0.031944746279480275,TA305,TA309,2013-01-07
RO,0.04561669237819077,RO301,RO305,2013-01-07
M,0.06028955413323063,m1305,m1309,2013-01-07
RS,0.08217785318651288,RS309,RS311,2013-01-07
RM,0.18956157677692614,RM305,RM311,2013-01-07
WH,-0.13448452432319982,WH307,WH309,2013-01-08
WS,-0.13017480825717925,WS301,WS305,2013-01-08
P,-0.12113313346109182,p1305,p1309,2013-01-08
FG,-0.12106551945998201,FG305,FG309,2013-01-08
PB,-0.11846098174984909,PB1302,PB1303,2013-01-08
WR,-0.11097811453462134,WR1302,WR1305,2013-01-08
AG,-0.09411464333704218,AG1301,AG1306,2013-01-08
J,-0.08869229659722266,j1305,j1309,2013-01-08
V,-0.0840762989961855,v1305,v1309,2013-01-08
AL,-0.06711647698480432,AL1302,AL1303,2013-01-08
ZN,-0.06639561283423256,ZN1303,ZN1304,2013-01-08
ME,-0.06537140239896444,ME301,ME305,2013-01-08
IF,-0.06366232555174871,IF1301,IF1303,2013-01-08
C,-0.05926417275579646,c1305,c1309,2013-01-08
AU,-0.043393533276497226,AU1301,AU1306,2013-01-08
CU,-0.03297837870860146,CU1303,CU1304,2013-01-08
RU,-0.029079387616979254,RU1305,RU1309,2013-01-08
B,-0.028806366639678706,b1305,b1309,2013-01-08
RB,-0.02322886975571091,RB1305,RB1310,2013-01-08
A,-0.011373223394079394,a1305,a1309,2013-01-08
Y,-0.0027700832993064494,y1305,y1309,2013-01-08
CF,0.004685060816839779,CF305,CF309,2013-01-08
SR,0.0100096677284863,SR305,SR309,2013-01-08
L,0.012578634780107782,l1305,l1309,2013-01-08
FU,0.01983858658487249,FU1303,FU1305,2013-01-08
TA,0.041812523531344875,TA305,TA309,2013-01-08
RO,0.04684268340465239,RO301,RO305,2013-01-08
M,0.07102560793764605,m1305,m1309,2013-01-08
RS,0.07922011876243017,RS309,RS311,2013-01-08
OI,0.11700039041736834,OI307,OI309,2013-01-08
RM,0.20535190057431454,RM305,RM311,2013-01-08
P,-0.12859727996184234,p1305,p1309,2013-01-09
WS,-0.12241792550663501,WS301,WS305,2013-01-09
WH,-0.11944056387880103,WH307,WH309,2013-01-09
WR,-0.11097811453462134,WR1302,WR1305,2013-01-09
PB,-0.1066322632728694,PB1302,PB1303,2013-01-09
FG,-0.0960081932585212,FG305,FG309,2013-01-09
AG,-0.09557858559158332,AG1301,AG1306,2013-01-09
J,-0.08965622410181036,j1305,j1309,2013-01-09
ZN,-0.07026695419006306,ZN1303,ZN1304,2013-01-09
V,-0.06861235985207231,v1305,v1309,2013-01-09
AL,-0.06709440271191036,AL1302,AL1303,2013-01-09
IF,-0.062397158898377894,IF1301,IF1303,2013-01-09
ME,-0.060368547958551136,ME301,ME305,2013-01-09
C,-0.055940007501802134,c1305,c1309,2013-01-09
AU,-0.04296151110201578,AU1301,AU1306,2013-01-09
CU,-0.0370815745717377,CU1303,CU1304,2013-01-09
RU,-0.026386403373187595,RU1305,RU1309,2013-01-09
RB,-0.02210895754488927,RB1305,RB1310,2013-01-09
B,-0.019912288069720556,b1305,b1309,2013-01-09
A,-0.010747034989162425,a1305,a1309,2013-01-09
Y,-0.002789400479899582,y1305,y1309,2013-01-09
CF,0.010141733751655377,CF305,CF309,2013-01-09
SR,0.016514291901568782,SR305,SR309,2013-01-09
L,0.02248254082001947,l1305,l1309,2013-01-09
RO,0.025459841631956175,RO301,RO305,2013-01-09
TA,0.041574358823546376,TA305,TA309,2013-01-09
FU,0.05030740206082692,FU1303,FU1305,2013-01-09
M,0.08084738914912196,m1305,m1309,2013-01-09
RS,0.12256693614058875,RS309,RS311,2013-01-09
RM,0.20731616511988354,RM305,RM311,2013-01-09
WS,-0.13089126492594425,WS301,WS305,2013-01-10
P,-0.12920239328448807,p1305,p1309,2013-01-10
WH,-0.12226838192087318,WH307,WH309,2013-01-10
WR,-0.11595014749300919,WR1302,WR1305,2013-01-10
PB,-0.11002041704255408,PB1302,PB1303,2013-01-10
FG,-0.10081593830469479,FG305,FG309,2013-01-10
AG,-0.09680575546164882,AG1301,AG1306,2013-01-10
AL,-0.0946750473019552,AL1302,AL1303,2013-01-10
J,-0.09146054004786258,j1305,j1309,2013-01-10
ZN,-0.08532679777714602,ZN1303,ZN1304,2013-01-10
ME,-0.07524579333277077,ME301,ME305,2013-01-10
V,-0.06856177501245597,v1305,v1309,2013-01-10
IF,-0.06115781349131984,IF1301,IF1303,2013-01-10
PM,-0.0582057919575457,PM307,PM309,2013-01-10
CU,-0.04909655672437865,CU1303,CU1304,2013-01-10
AU,-0.04809894970519026,AU1301,AU1306,2013-01-10
C,-0.04747512343319067,c1305,c1309,2013-01-10
RU,-0.033017411071787524,RU1305,RU1309,2013-01-10
B,-0.028314238491920843,b1305,b1309,2013-01-10
RB,-0.019621068036580466,RB1305,RB1310,2013-01-10
A,-0.008199311316520465,a1305,a1309,2013-01-10
Y,0.002103049507785558,y1305,y1309,2013-01-10
CF,0.015612837736807586,CF305,CF309,2013-01-10
SR,0.020212842421346588,SR305,SR309,2013-01-10
L,0.022440497340491777,l1305,l1309,2013-01-10
