,roll_yield,near_by,deferred,date
ME,-0.27825986277164433,ME501,ME505,2015-01-05
FU,-0.2272624705183748,FU1503,FU1505,2015-01-05
JD,-0.1725628454367738,jd1505,jd1509,2015-01-05
CS,-0.17054365128784646,cs1505,cs1509,2015-01-05
IF,-0.15264221712328752,IF1501,IF1503,2015-01-05
MA,-0.146679841797409,MA506,MA509,2015-01-05
B,-0.13211884410417415,b1503,b1505,2015-01-05
BU,-0.1289339782999369,BU1506,BU1509,2015-01-05
WH,-0.10004804629958586,WH501,WH505,2015-01-05
CF,-0.0783987049359495,CF505,CF509,2015-01-05
SR,-0.0722769630064618,SR505,SR509,2015-01-05
AL,-0.06999825408940996,AL1502,AL1503,2015-01-05
TA,-0.06574220096601345,TA505,TA509,2015-01-05
RI,-0.06388883865888917,RI501,RI505,2015-01-05
P,-0.041659070527676194,p1505,p1509,2015-01-05
AG,-0.04071988405582641,AG1501,AG1506,2015-01-05
Y,-0.03903694960756484,y1505,y1509,2015-01-05
OI,-0.03573834454872588,OI505,OI509,2015-01-05
FB,-0.029629870487735594,fb1501,fb1505,2015-01-05
JM,-0.028591094552082183,jm1505,jm1509,2015-01-05
C,-0.02763838643850227,c1505,c1509,2015-01-05
RB,-0.027034661467030534,RB1505,RB1510,2015-01-05
AU,-0.025505596866092106,AU1502,AU1506,2015-01-05
TF,-0.022682109998232523,TF1503,TF1506,2015-01-05
PB,-0.009677419879325614,PB1502,PB1503,2015-01-05
M,0.008568374264510773,m1505,m1509,2015-01-05
ZN,0.014345488857284774,ZN1502,ZN1503,2015-01-05
RS,0.0417932259385399,RS507,RS509,2015-01-05
A,0.04300185607696144,a1505,a1509,2015-01-05
RM,0.053487131091598625,RM505,RM509,2015-01-05
I,0.05449191188301354,i1505,i1509,2015-01-05
FG,0.059072803581402426,FG506,FG509,2015-01-05
V,0.07045885157620024,v1505,v1509,2015-01-05
HC,0.07956943816595073,HC1501,HC1505,2015-01-05
RU,0.08653351342851161,RU1505,RU1509,2015-01-05
CU,0.09621432389678197,CU1503,CU1504,2015-01-05
L,0.10816937096782633,l1505,l1509,2015-01-05
PP,0.14232557024531656,pp1505,pp1509,2015-01-05
TC,0.20324339920347598,TC501,TC505,2015-01-05
J,0.29359202920072824,j1501,j1505,2015-01-05
WR,0.31746763361165503,WR1502,WR1504,2015-01-05
BB,1.7923054012126305,bb1501,bb1502,2015-01-05
ME,-0.24127221507032362,ME501,ME505,2015-01-06
FU,-0.2272624705183748,FU1503,FU1505,2015-01-06
JD,-0.17642127121290324,jd1505,jd1509,2015-01-06
CS,-0.16532191371208033,cs1505,cs1509,2015-01-06
IF,-0.1631520461715039,IF1501,IF1503,2015-01-06
B,-0.14131424820284305,b1503,b1505,2015-01-06
BU,-0.1381399662530538,BU1506,BU1509,2015-01-06
MA,-0.13804529146233208,MA506,MA509,2015-01-06
WH,-0.1080465275182943,WH501,WH505,2015-01-06
RI,-0.09836946846897252,RI501,RI505,2015-01-06
CF,-0.07569597583565847,CF505,CF509,2015-01-06
TA,-0.07438918643000036,TA505,TA509,2015-01-06
SR,-0.06919155712970368,SR505,SR509,2015-01-06
FB,-0.059407881888539266,fb1501,fb1505,2015-01-06
AG,-0.04705364524793382,AG1501,AG1506,2015-01-06
AL,-0.046801931401137135,AL1502,AL1503,2015-01-06
Y,-0.03972183466068989,y1505,y1509,2015-01-06
C,-0.03867801547476758,c1505,c1509,2015-01-06
P,-0.034340221018331306,p1505,p1509,2015-01-06
OI,-0.03245401261732174,OI505,OI509,2015-01-06
JM,-0.03208586735024385,jm1505,jm1509,2015-01-06
TF,-0.023878201557191236,TF1503,TF1506,2015-01-06
AU,-0.020936045559660665,AU1502,AU1506,2015-01-06
RB,-0.018257980789468973,RB1505,RB1510,2015-01-06
PB,-0.014513204752344234,PB1502,PB1503,2015-01-06
M,0.011605430333760953,m1505,m1509,2015-01-06
ZN,0.021486129285459524,ZN1502,ZN1503,2015-01-06
WR,0.02531649325624974,WR1502,WR1504,2015-01-06
HC,0.036561048309730795,HC1501,HC1505,2015-01-06
A,0.0402420520969895,a1505,a1509,2015-01-06
RM,0.053982563153595675,RM505,RM509,2015-01-06
FG,0.05476652167177504,FG506,FG509,2015-01-06
I,0.05825425757130488,i1505,i1509,2015-01-06
V,0.07310577305087307,v1505,v1509,2015-01-06
RU,0.08599137012133683,RU1505,RU1509,2015-01-06
CU,0.09681809579412244,CU1503,CU1504,2015-01-06
L,0.10851092461726469,l1505,l1509,2015-01-06
PP,0.13206860127275605,pp1505,pp1509,2015-01-06
BB,0.1396494054296956,bb1502,bb1505,2015-01-06
TC,0.21159933158535812,TC501,TC505,2015-01-06
J,0.2667213364635868,j1501,j1505,2015-01-06
FU,-0.3322372048518483,FU1503,FU1506,2015-01-07
