,roll_yield,near_by,deferred,date
RB,-0.5212344736591028,RB1003,RB1005,2010-01-04
V,-0.34731475439882703,v1003,v1005,2010-01-04
FU,-0.25736515239263347,FU1003,FU1005,2010-01-04
L,-0.23064569710934124,l1001,l1005,2010-01-04
TA,-0.17967010356459331,TA002,TA003,2010-01-04
CF,-0.15058186390077544,CF005,CF009,2010-01-04
RU,-0.1496959142876917,RU1003,RU1005,2010-01-04
SR,-0.14210306646866713,SR005,SR009,2010-01-04
AL,-0.14035247715829557,AL1003,AL1004,2010-01-04
C,-0.12134304364695706,c1005,c1009,2010-01-04
WS,-0.11681941323498293,WS005,WS009,2010-01-04
ZN,-0.10966684411442754,ZN1003,ZN1004,2010-01-04
ER,-0.10960756673810773,ER005,ER009,2010-01-04
WT,-0.09570565664429923,WT003,WT005,2010-01-04
WR,-0.08421916754704847,WR1005,WR1010,2010-01-04
P,-0.07740754028956931,p1005,p1009,2010-01-04
RO,-0.06470011667632673,RO005,RO009,2010-01-04
Y,-0.05566859832381906,y1005,y1009,2010-01-04
CU,-0.00599850049981251,CU1003,CU1004,2010-01-04
AU,0.06568427209317707,AU1005,AU1006,2010-01-04
B,0.06758014019658086,b1005,b1009,2010-01-04
A,0.07881747418348746,a1005,a1009,2010-01-04
M,0.0992308361353196,m1005,m1009,2010-01-04
RB,-0.49301768296826176,RB1003,RB1005,2010-01-05
V,-0.40303820861979284,v1003,v1005,2010-01-05
FU,-0.25713559600056063,FU1003,FU1005,2010-01-05
L,-0.18572704979563937,l1001,l1005,2010-01-05
TA,-0.17615525084596426,TA002,TA003,2010-01-05
CF,-0.16339578873205884,CF005,CF009,2010-01-05
AL,-0.151465005716974,AL1003,AL1004,2010-01-05
SR,-0.1393912752807696,SR005,SR009,2010-01-05
RU,-0.13384367538659464,RU1003,RU1005,2010-01-05
C,-0.12306096587851886,c1005,c1009,2010-01-05
WS,-0.111347455493567,WS005,WS009,2010-01-05
ER,-0.10844554234893344,ER005,ER009,2010-01-05
ZN,-0.09385831147711088,ZN1004,ZN1005,2010-01-05
P,-0.07277093293667995,p1005,p1009,2010-01-05
WR,-0.07268352084904472,WR1005,WR1010,2010-01-05
RO,-0.06893621018371031,RO005,RO009,2010-01-05
Y,-0.06322361434778069,y1005,y1009,2010-01-05
WT,-0.055470348864306296,WT003,WT005,2010-01-05
CU,-0.03371624398046101,CU1003,CU1004,2010-01-05
AU,0.02083251657562352,AU1005,AU1006,2010-01-05
B,0.05695232915693288,b1005,b1009,2010-01-05
