,date,close,code,ind_code
0,2023-01-03,1839.0,JM,0
1,2023-01-04,1804.5,JM,0
2,2023-01-05,1804.5,JM,0
3,2023-01-06,1804.5,JM,0
4,2023-01-09,1806.5,JM,0
5,2023-01-10,1806.5,JM,0
6,2023-01-11,1820.5,JM,0
7,2023-01-12,1820.5,JM,0
8,2023-01-13,1820.5,JM,0
9,2023-01-16,1820.5,JM,0
10,2023-01-17,1795.5,JM,0
11,2023-01-18,1815.0,JM,0
12,2023-01-19,1827.5,JM,0
13,2023-01-20,1827.5,JM,0
14,2023-01-30,1827.5,JM,0
15,2023-01-31,1827.5,JM,0
16,2023-02-01,1746.5,JM,0
17,2023-02-02,1746.5,JM,0
18,2023-02-03,1809.5,JM,0
19,2023-02-06,1809.5,JM,0
20,2023-02-07,1809.5,JM,0
21,2023-02-08,1809.5,JM,0
22,2023-02-09,1809.5,JM,0
23,2023-02-10,1809.5,JM,0
24,2023-02-13,1809.5,JM,0
25,2023-02-14,1809.5,JM,0
26,2023-02-15,1809.5,JM,0
27,2023-02-16,1830.0,JM,0
28,2023-02-17,1830.0,JM,0
29,2023-02-20,1856.0,JM,0
30,2023-02-21,1875.5,JM,0
31,2023-02-22,1875.5,JM,0
32,2023-02-23,1934.5,JM,0
33,2023-02-24,1955.0,JM,0
34,2023-02-27,1966.5,JM,0
35,2023-02-28,1966.5,JM,0
36,2023-03-01,1966.5,JM,0
37,2023-03-02,1966.5,JM,0
38,2023-03-03,1965.0,JM,0
39,2023-03-06,1943.5,JM,0
40,2023-03-07,1935.0,JM,0
41,2023-03-08,1935.0,JM,0
42,2023-03-09,1935.0,JM,0
43,2023-03-10,1934.0,JM,0
44,2023-03-13,1934.0,JM,0
45,2023-03-14,1934.0,JM,0
46,2023-03-15,1880.0,JM,0
47,2023-03-16,1881.5,JM,0
48,2023-03-17,1843.5,JM,0
49,2023-03-20,1828.5,JM,0
50,2023-03-21,1783.0,JM,0
51,2023-03-22,1785.5,JM,0
52,2023-03-23,1785.5,JM,0
53,2023-03-24,1802.0,JM,0
54,2023-03-27,1802.0,JM,0
55,2023-03-28,1820.5,JM,0
56,2023-03-29,1817.5,JM,0
57,2023-03-30,1817.5,JM,0
58,2023-03-31,1868.0,JM,0
59,2023-04-03,1823.0,JM,0
60,2023-04-04,1812.0,JM,0
61,2023-04-06,1789.5,JM,0
62,2023-04-07,1789.5,JM,0
63,2023-04-10,1722.0,JM,0
64,2023-04-11,1727.0,JM,0
65,2023-04-12,1742.5,JM,0
66,2023-04-13,1749.5,JM,0
67,2023-04-14,1782.5,JM,0
68,2023-04-17,1759.0,JM,0
69,2023-04-18,1770.5,JM,0
70,2023-04-19,1783.5,JM,0
71,2023-04-20,1783.5,JM,0
72,2023-04-21,1720.0,JM,0
73,2023-04-24,1613.5,JM,0
74,2023-04-25,1634.5,JM,0
75,2023-04-26,1506.0,JM,0
76,2023-04-27,1478.0,JM,0
77,2023-04-28,1407.0,JM,0
78,2023-05-04,1365.5,JM,0
79,2023-05-05,1391.5,JM,0
80,2023-05-08,1397.5,JM,0
81,2023-05-09,1312.0,JM,0
82,2023-05-10,1320.5,JM,0
83,2023-05-11,1312.5,JM,0
84,2023-05-12,1329.0,JM,0
85,2023-05-15,1358.0,JM,0
86,2023-05-16,1343.5,JM,0
87,2023-05-17,1397.5,JM,0
88,2023-05-18,1382.5,JM,0
89,2023-05-19,1340.0,JM,0
90,2023-05-22,1313.0,JM,0
91,2023-05-23,1329.5,JM,0
92,2023-05-24,1325.0,JM,0
93,2023-05-25,1290.0,JM,0
94,2023-05-26,1258.0,JM,0
95,2023-05-29,1311.0,JM,0
96,2023-05-30,1286.0,JM,0
97,2023-05-31,1288.5,JM,0
98,2023-06-01,1320.0,JM,0
