underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.AP,CZCE.AP,8269.0,2022-05-18 00:00:00+08:00,7504.0,2022-10-21 00:00:00+08:00,2022-01-04,0.09707737103610604,156,0.22713615659088915
CZCE.CF,CZCE.CF,20675.0,2022-05-18 00:00:00+08:00,21275.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.028607433549682832,65,-0.16064174224052666
CZCE.CJ,CZCE.CJ,13120.0,2022-05-18 00:00:00+08:00,13245.0,2022-09-15 00:00:00+08:00,2022-01-04,-0.009482339208090065,120,-0.028842115091273948
CZCE.CY,CZCE.CY,27910.0,2022-05-18 00:00:00+08:00,27185.0,2022-01-17 00:00:00+08:00,2022-01-04,0.02631969695034672,121,0.07939412716426904
CZCE.FG,CZCE.FG,1707.0,2022-05-18 00:00:00+08:00,1761.0,2022-08-12 00:00:00+08:00,2022-01-04,-0.031144385701765552,86,-0.1321825672226096
CZCE.JR,CZCE.JR,2709.0,2022-03-14 00:00:00+08:00,2740.0,2022-01-17 00:00:00+08:00,2022-01-04,-0.011378357297020766,56,-0.0741625073823675
CZCE.LR,CZCE.LR,2973.0,2022-01-17 00:00:00+08:00,2973.0,2022-03-14 00:00:00+08:00,2022-01-04,0.0,56,0.0
CZCE.MA,CZCE.MA,2572.0,2022-05-18 00:00:00+08:00,2566.0,2022-03-14 00:00:00+08:00,2022-01-04,0.00233554018192817,65,0.013114956406212032
CZCE.OI,CZCE.OI,12171.0,2022-05-18 00:00:00+08:00,12534.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.029388878910063893,65,-0.16502985849497417
CZCE.PF,CZCE.PF,7106.0,2022-05-18 00:00:00+08:00,7044.0,2022-03-14 00:00:00+08:00,2022-01-04,0.008763306964875588,65,0.049209339110455226
CZCE.PK,CZCE.PK,8218.0,2022-04-18 00:00:00+08:00,8612.0,2022-10-21 00:00:00+08:00,2022-01-04,-0.04682970904089854,186,-0.09189700967703207
CZCE.PM,CZCE.PM,2422.0,2022-01-17 00:00:00+08:00,2421.0,2022-03-14 00:00:00+08:00,2022-01-04,0.0004129671749791601,56,0.002691661051203454
CZCE.RI,CZCE.RI,2699.0,2022-07-14 00:00:00+08:00,2718.0,2022-01-17 00:00:00+08:00,2022-01-04,-0.007014981693084365,178,-0.01438465347177412
CZCE.RM,CZCE.RM,2979.0,2022-05-18 00:00:00+08:00,2982.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.0010065426114013946,65,-0.005652123894792446
CZCE.RS,CZCE.RS,5945.0,2022-08-12 00:00:00+08:00,5998.0,2022-11-14 00:00:00+08:00,2022-01-04,-0.008875550184072142,94,-0.03446357252325885
CZCE.SA,CZCE.SA,2201.0,2022-05-18 00:00:00+08:00,2298.0,2022-09-15 00:00:00+08:00,2022-01-04,-0.04312737688223929,120,-0.13117910468347785
CZCE.SF,CZCE.SF,8302.0,2022-05-18 00:00:00+08:00,8322.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.0024061609299025227,65,-0.013511519067914167
CZCE.SM,CZCE.SM,8108.0,2022-05-18 00:00:00+08:00,8064.0,2022-03-14 00:00:00+08:00,2022-01-04,0.005441517260740892,65,0.030556212310314242
CZCE.SR,CZCE.SR,5797.0,2022-05-18 00:00:00+08:00,5774.0,2022-03-14 00:00:00+08:00,2022-01-04,0.003975461116852447,65,0.02232374319463297
CZCE.TA,CZCE.TA,5032.0,2022-05-18 00:00:00+08:00,4992.0,2022-03-14 00:00:00+08:00,2022-01-04,0.007980888331012832,65,0.04481575755107206
CZCE.UR,CZCE.UR,2486.0,2022-05-18 00:00:00+08:00,2405.0,2022-08-12 00:00:00+08:00,2022-01-04,0.033125089530794814,86,0.14058904277604778
CZCE.WH,CZCE.WH,2956.0,2022-05-18 00:00:00+08:00,2996.0,2022-09-15 00:00:00+08:00,2022-01-04,-0.013441062569017753,120,-0.04088323198076234
CZCE.ZC,CZCE.ZC,712.0,2022-05-11 00:00:00+08:00,705.6,2022-09-07 00:00:00+08:00,2022-01-04,0.009029406719394157,119,0.027695239097301406
DCE.A,DCE.A,5798.0,2022-03-14 00:00:00+08:00,5837.0,2022-05-18 00:00:00+08:00,2022-01-04,-0.006703935722190218,65,-0.0376451775169143
