,date,cashPrice,code
0,2019-11-14,9500,CJ
1,2019-11-15,9500,CJ
2,2019-11-18,9500,CJ
3,2019-11-19,8500,CJ
4,2019-11-20,8500,CJ
5,2019-11-21,8500,CJ
6,2019-11-22,8500,CJ
7,2019-11-25,8500,CJ
8,2019-11-26,8500,CJ
9,2019-11-27,8500,CJ
10,2019-11-28,8500,CJ
11,2019-11-29,8500,CJ
12,2019-12-02,8500,CJ
13,2019-12-03,8500,CJ
14,2019-12-04,8500,CJ
15,2019-12-05,8500,CJ
16,2019-12-06,8500,CJ
17,2019-12-09,8500,CJ
18,2019-12-10,8500,CJ
19,2019-12-11,8500,CJ
20,2019-12-12,8500,CJ
21,2019-12-13,8500,CJ
22,2019-12-16,8500,CJ
23,2019-12-17,8500,CJ
24,2019-12-18,8500,CJ
25,2019-12-19,8500,CJ
26,2019-12-20,8500,CJ
27,2019-12-23,8500,CJ
28,2019-12-24,8250,CJ
29,2019-12-25,8250,CJ
30,2019-12-26,8250,CJ
31,2019-12-27,8250,CJ
32,2019-12-30,8250,CJ
33,2019-12-31,8250,CJ
34,2020-01-02,8250,CJ
35,2020-01-03,8250,CJ
36,2020-01-06,8250,CJ
37,2020-01-07,8250,CJ
38,2020-01-08,8250,CJ
39,2020-01-09,8250,CJ
40,2020-01-10,8250,CJ
41,2020-01-13,8250,CJ
42,2020-01-14,8250,CJ
43,2020-01-16,8250,CJ
44,2020-01-17,8250,CJ
45,2020-01-20,8250,CJ
46,2020-01-21,8250,CJ
47,2020-01-22,8250,CJ
48,2020-02-03,8250,CJ
49,2020-02-04,8250,CJ
50,2020-02-05,8250,CJ
51,2020-02-06,8250,CJ
52,2020-02-07,8250,CJ
53,2020-02-10,8250,CJ
54,2020-02-11,8250,CJ
55,2020-02-12,8250,CJ
56,2020-02-13,8250,CJ
57,2020-02-14,8250,CJ
58,2020-02-17,8250,CJ
59,2020-02-18,8250,CJ
60,2020-02-19,8250,CJ
61,2020-02-20,8250,CJ
62,2020-02-21,8250,CJ
63,2020-02-24,8250,CJ
64,2020-02-25,8250,CJ
65,2020-02-26,8250,CJ
66,2020-02-27,8250,CJ
67,2020-02-28,8250,CJ
68,2020-03-02,8250,CJ
69,2020-03-03,8250,CJ
70,2020-03-04,8250,CJ
71,2020-03-05,8250,CJ
72,2020-03-06,8250,CJ
73,2020-03-09,8250,CJ
74,2020-03-10,8250,CJ
75,2020-03-11,8250,CJ
76,2020-03-12,8250,CJ
77,2020-03-13,7750,CJ
78,2020-03-16,7750,CJ
79,2020-03-17,7750,CJ
80,2020-03-18,7750,CJ
81,2020-03-19,7750,CJ
82,2020-03-20,7750,CJ
83,2020-03-23,7750,CJ
84,2020-03-24,7250,CJ
85,2020-03-25,7250,CJ
86,2020-03-26,7250,CJ
87,2020-03-27,7250,CJ
88,2020-03-30,7250,CJ
89,2020-03-31,6500,CJ
90,2020-04-01,6500,CJ
91,2020-04-02,6500,CJ
92,2020-04-03,6500,CJ
93,2020-04-07,6500,CJ
94,2020-04-08,6500,CJ
95,2020-04-09,6500,CJ
96,2020-04-10,6500,CJ
97,2020-04-13,6500,CJ
98,2020-04-14,6500,CJ
99,2020-04-15,6500,CJ
100,2020-04-16,6500,CJ
101,2020-04-17,6500,CJ
102,2020-04-20,6500,CJ
103,2020-04-21,6500,CJ
104,2020-04-22,6500,CJ
105,2020-04-24,6500,CJ
106,2020-04-27,6500,CJ
107,2020-04-28,6500,CJ
108,2020-04-29,6500,CJ
109,2020-04-30,6500,CJ
110,2020-05-06,6500,CJ
111,2020-05-07,6500,CJ
112,2020-05-08,6500,CJ
113,2020-05-11,6500,CJ
114,2020-05-12,6500,CJ
115,2020-05-13,6500,CJ
116,2020-05-14,6500,CJ
117,2020-05-15,6500,CJ
118,2020-05-18,6500,CJ
119,2020-05-19,6000,CJ
120,2020-05-20,6000,CJ
121,2020-05-21,6000,CJ
122,2020-05-22,6000,CJ
123,2020-05-25,6000,CJ
124,2020-05-26,6000,CJ
125,2020-05-27,6000,CJ
126,2020-05-28,6000,CJ
127,2020-05-29,6000,CJ
128,2020-06-01,6000,CJ
129,2020-06-02,6000,CJ
130,2020-06-03,6000,CJ
131,2020-06-04,6000,CJ
132,2020-06-05,6000,CJ
133,2020-06-08,6000,CJ
134,2020-06-09,6000,CJ
135,2020-06-10,6000,CJ
136,2020-06-11,6000,CJ
137,2020-06-12,6000,CJ
138,2020-06-15,6000,CJ
139,2020-06-16,6000,CJ
140,2020-06-17,6000,CJ
141,2020-06-18,6000,CJ
142,2020-06-19,6000,CJ
143,2020-06-22,6000,CJ
144,2020-06-23,6000,CJ
145,2020-06-24,6000,CJ
146,2020-06-29,6000,CJ
147,2020-06-30,6000,CJ
148,2020-07-01,6000,CJ
149,2020-07-02,6000,CJ
150,2020-07-03,6000,CJ
151,2020-07-06,6000,CJ
152,2020-07-07,6000,CJ
153,2020-07-08,6000,CJ
154,2020-07-09,6000,CJ
155,2020-07-10,6000,CJ
156,2020-07-13,6000,CJ
157,2020-07-14,6000,CJ
158,2020-07-15,6000,CJ
159,2020-07-16,6000,CJ
160,2020-07-17,6000,CJ
161,2020-07-20,6000,CJ
162,2020-07-21,5750,CJ
163,2020-07-22,5750,CJ
164,2020-07-23,5750,CJ
165,2020-07-24,5750,CJ
166,2020-07-27,5750,CJ
167,2020-07-28,5750,CJ
168,2020-07-29,5750,CJ
169,2020-07-30,5750,CJ
170,2020-07-31,5750,CJ
171,2020-08-03,5750,CJ
172,2020-08-04,5750,CJ
173,2020-08-05,5750,CJ
174,2020-08-06,5750,CJ
175,2020-08-07,5750,CJ
176,2020-08-10,5750,CJ
177,2020-08-11,5750,CJ
178,2020-08-12,5750,CJ
179,2020-08-13,5750,CJ
180,2020-08-14,5750,CJ
181,2020-08-17,5750,CJ
182,2020-08-18,5750,CJ
183,2020-08-19,5750,CJ
184,2020-08-20,5750,CJ
185,2020-08-21,5750,CJ
186,2020-08-24,5750,CJ
187,2020-08-25,5750,CJ
188,2020-08-26,5750,CJ
189,2020-08-27,5750,CJ
190,2020-08-28,5750,CJ
191,2020-08-31,5750,CJ
192,2020-09-01,5750,CJ
193,2020-09-02,5750,CJ
194,2020-09-03,5750,CJ
195,2020-09-04,5750,CJ
196,2020-09-07,5750,CJ
197,2020-09-08,5750,CJ
198,2020-09-09,5750,CJ
199,2020-09-10,5750,CJ
200,2020-09-11,5750,CJ
201,2020-09-14,5750,CJ
202,2020-09-15,6000,CJ
203,2020-09-16,6000,CJ
204,2020-09-17,6000,CJ
205,2020-09-18,6000,CJ
206,2020-09-21,6000,CJ
207,2020-09-22,6000,CJ
208,2020-09-23,6000,CJ
209,2020-09-24,6000,CJ
210,2020-09-25,6000,CJ
211,2020-09-28,6000,CJ
212,2020-09-29,6000,CJ
213,2020-09-30,6000,CJ
214,2020-10-09,6000,CJ
215,2020-10-12,6000,CJ
216,2020-10-13,6000,CJ
217,2020-10-14,6000,CJ
218,2020-10-15,6000,CJ
219,2020-10-16,6000,CJ
220,2020-10-19,6000,CJ
221,2020-10-20,6000,CJ
222,2020-10-21,6000,CJ
223,2020-10-22,6000,CJ
224,2020-10-23,6000,CJ
225,2020-10-26,6000,CJ
226,2020-10-27,6000,CJ
227,2020-10-28,6000,CJ
228,2020-10-29,6000,CJ
229,2020-10-30,6000,CJ
230,2020-11-02,7750,CJ
231,2020-11-03,7750,CJ
232,2020-11-04,7750,CJ
233,2020-11-06,7750,CJ
234,2020-11-09,7750,CJ
235,2020-11-10,7750,CJ
236,2020-11-11,7750,CJ
237,2020-11-12,7750,CJ
238,2020-11-13,7750,CJ
239,2020-11-16,7500,CJ
240,2020-11-17,7500,CJ
241,2020-11-18,7500,CJ
242,2020-11-19,7500,CJ
243,2020-11-20,7500,CJ
244,2020-11-23,7500,CJ
245,2020-11-24,7500,CJ
246,2020-11-25,7500,CJ
247,2020-11-26,7500,CJ
248,2020-11-27,7500,CJ
249,2020-11-30,7500,CJ
250,2020-12-01,7500,CJ
251,2020-12-02,7500,CJ
252,2020-12-03,7500,CJ
253,2020-12-04,7500,CJ
254,2020-12-07,7500,CJ
255,2020-12-08,7500,CJ
256,2020-12-09,7500,CJ
257,2020-12-10,7500,CJ
258,2020-12-11,7500,CJ
259,2020-12-14,7500,CJ
260,2020-12-15,7500,CJ
261,2020-12-16,7500,CJ
262,2020-12-17,7500,CJ
263,2020-12-18,7500,CJ
264,2020-12-21,7500,CJ
265,2020-12-22,7500,CJ
266,2020-12-23,7500,CJ
267,2020-12-24,7500,CJ
268,2020-12-25,7500,CJ
269,2020-12-28,7500,CJ
270,2020-12-29,7500,CJ
271,2020-12-30,7500,CJ
272,2020-12-31,7500,CJ
273,2021-01-04,7500,CJ
274,2021-01-07,7500,CJ
275,2021-01-08,7500,CJ
276,2021-01-11,7500,CJ
277,2021-01-13,7500,CJ
278,2021-01-15,7500,CJ
279,2021-01-18,7500,CJ
280,2021-01-19,7500,CJ
281,2021-01-20,7500,CJ
282,2021-01-21,7500,CJ
283,2021-01-22,7500,CJ
284,2021-01-25,7500,CJ
285,2021-01-26,7500,CJ
286,2021-01-27,7500,CJ
287,2021-01-28,7500,CJ
288,2021-01-29,7500,CJ
289,2021-02-01,7500,CJ
290,2021-02-02,7500,CJ
291,2021-02-03,7500,CJ
292,2021-02-04,7500,CJ
293,2021-02-05,7500,CJ
294,2021-02-18,7500,CJ
295,2021-02-19,7500,CJ
296,2021-02-22,7500,CJ
297,2021-02-23,7500,CJ
298,2021-02-24,7500,CJ
299,2021-02-25,7500,CJ
300,2021-02-26,7500,CJ
301,2021-03-01,7500,CJ
302,2021-03-02,7500,CJ
303,2021-03-03,7500,CJ
304,2021-03-04,7500,CJ
305,2021-03-05,7500,CJ
306,2021-03-08,7500,CJ
307,2021-03-09,7500,CJ
308,2021-03-10,7500,CJ
309,2021-03-11,7500,CJ
310,2021-03-12,7500,CJ
311,2021-03-15,7500,CJ
312,2021-03-16,7500,CJ
313,2021-03-18,7500,CJ
314,2021-03-19,7500,CJ
315,2021-03-22,7500,CJ
316,2021-03-23,7500,CJ
317,2021-03-24,7500,CJ
318,2021-03-25,7500,CJ
319,2021-03-26,7500,CJ
320,2021-03-29,7500,CJ
321,2021-03-30,7500,CJ
322,2021-03-31,7500,CJ
323,2021-04-01,7500,CJ
324,2021-04-02,7500,CJ
325,2021-04-06,7500,CJ
326,2021-04-07,7500,CJ
327,2021-04-08,7500,CJ
328,2021-04-09,7500,CJ
329,2021-04-12,7500,CJ
330,2021-04-13,7500,CJ
331,2021-04-14,7500,CJ
332,2021-04-15,7500,CJ
333,2021-04-16,7500,CJ
334,2021-04-19,7500,CJ
335,2021-04-20,7500,CJ
336,2021-04-21,7500,CJ
337,2021-04-22,7500,CJ
338,2021-04-23,7500,CJ
339,2021-04-26,7500,CJ
340,2021-04-27,7500,CJ
341,2021-04-28,7500,CJ
342,2021-04-29,7500,CJ
343,2021-04-30,7500,CJ
344,2021-05-06,7500,CJ
345,2021-05-10,7500,CJ
346,2021-05-11,7500,CJ
347,2021-05-12,7500,CJ
348,2021-05-13,7500,CJ
349,2021-05-14,7500,CJ
350,2021-05-17,7500,CJ
351,2021-05-18,7500,CJ
352,2021-05-19,7500,CJ
353,2021-05-20,7500,CJ
354,2021-05-21,7500,CJ
355,2021-05-24,7500,CJ
356,2021-05-25,7500,CJ
357,2021-05-26,7500,CJ
358,2021-05-27,7500,CJ
359,2021-05-28,7500,CJ
360,2021-05-31,7500,CJ
361,2021-06-01,7500,CJ
362,2021-06-02,7500,CJ
363,2021-06-03,7500,CJ
364,2021-06-04,7500,CJ
365,2021-06-07,7500,CJ
366,2021-06-08,7500,CJ
367,2021-06-09,7500,CJ
368,2021-06-10,7500,CJ
369,2021-06-11,7500,CJ
370,2021-06-15,7500,CJ
371,2021-06-16,7500,CJ
372,2021-06-17,7500,CJ
373,2021-06-18,7500,CJ
374,2021-06-21,7500,CJ
375,2021-06-22,7500,CJ
376,2021-06-23,7500,CJ
377,2021-06-24,7500,CJ
378,2021-06-25,7500,CJ
379,2021-06-28,7500,CJ
380,2021-06-29,7500,CJ
381,2021-06-30,7500,CJ
382,2021-07-01,7500,CJ
383,2021-07-02,7500,CJ
384,2021-07-05,8250,CJ
385,2021-07-06,8250,CJ
386,2021-07-07,8250,CJ
387,2021-07-08,8250,CJ
388,2021-07-09,8250,CJ
389,2021-07-12,8250,CJ
390,2021-07-13,8250,CJ
391,2021-07-14,8250,CJ
392,2021-07-15,8250,CJ
393,2021-07-16,8250,CJ
394,2021-07-19,8250,CJ
395,2021-07-20,8250,CJ
396,2021-07-21,8250,CJ
397,2021-07-22,8250,CJ
398,2021-07-23,8250,CJ
399,2021-07-26,8250,CJ
400,2021-07-27,8250,CJ
401,2021-07-28,8250,CJ
402,2021-07-29,8250,CJ
403,2021-07-30,8250,CJ
404,2021-08-02,8250,CJ
405,2021-08-03,8250,CJ
406,2021-08-04,8250,CJ
407,2021-08-05,8250,CJ
408,2021-08-06,8250,CJ
409,2021-08-09,8250,CJ
410,2021-08-10,8250,CJ
411,2021-08-11,8250,CJ
412,2021-08-12,8250,CJ
413,2021-08-13,8250,CJ
414,2021-08-16,8250,CJ
415,2021-08-17,8250,CJ
416,2022-05-20,12000,CJ
417,2022-05-23,12000,CJ
418,2022-05-25,12000,CJ
419,2022-05-27,12000,CJ
420,2022-05-30,12000,CJ
421,2022-05-31,12000,CJ
422,2022-06-01,12000,CJ
423,2022-06-02,12000,CJ
424,2022-06-06,12000,CJ
425,2022-06-07,12000,CJ
426,2022-06-08,12000,CJ
427,2022-06-09,12000,CJ
428,2022-06-10,12000,CJ
429,2022-06-13,12000,CJ
430,2022-06-14,12000,CJ
431,2022-06-15,12000,CJ
432,2022-06-16,12000,CJ
433,2022-06-17,12000,CJ
434,2022-06-20,12000,CJ
435,2022-06-21,12000,CJ
436,2022-06-22,12000,CJ
437,2022-06-23,11000,CJ
438,2022-06-24,11000,CJ
439,2022-06-27,11000,CJ
440,2022-06-28,11000,CJ
441,2022-06-29,11000,CJ
442,2022-06-30,11000,CJ
443,2022-07-01,11000,CJ
444,2022-07-04,11000,CJ
445,2022-07-05,11000,CJ
446,2022-07-06,11000,CJ
447,2022-07-07,11000,CJ
448,2022-07-08,11000,CJ
449,2022-07-11,11000,CJ
450,2022-07-12,11000,CJ
451,2022-07-13,11000,CJ
452,2022-07-14,11000,CJ
453,2022-07-15,11000,CJ
454,2022-07-18,11000,CJ
455,2022-07-19,11000,CJ
456,2022-07-20,11000,CJ
457,2022-07-21,11000,CJ
458,2022-07-22,11000,CJ
459,2022-07-25,11000,CJ
460,2022-07-26,11000,CJ
461,2022-07-27,11000,CJ
462,2022-07-28,11000,CJ
463,2022-07-29,11000,CJ
464,2022-08-01,11000,CJ
465,2022-08-02,11000,CJ
466,2022-08-03,11000,CJ
467,2022-08-04,11000,CJ
468,2022-08-05,11000,CJ
469,2022-08-08,11000,CJ
470,2022-08-09,11000,CJ
471,2022-08-10,11000,CJ
472,2022-08-11,11000,CJ
473,2022-08-12,11000,CJ
474,2022-08-15,11000,CJ
475,2022-08-16,11000,CJ
476,2022-08-17,11000,CJ
477,2022-08-18,11000,CJ
478,2022-08-19,11000,CJ
479,2022-08-23,11000,CJ
480,2022-08-24,11000,CJ
481,2022-08-25,11000,CJ
482,2022-08-26,11000,CJ
483,2022-08-29,11000,CJ
484,2022-08-30,11000,CJ
485,2022-08-31,11000,CJ
486,2022-09-01,11000,CJ
487,2022-09-05,11000,CJ
488,2022-09-06,11000,CJ
489,2022-09-07,11000,CJ
490,2022-09-08,11000,CJ
491,2022-09-09,11000,CJ
492,2022-09-13,11000,CJ
493,2022-09-14,11000,CJ
494,2022-09-15,11000,CJ
495,2022-09-16,11000,CJ
496,2022-09-19,11000,CJ
497,2022-09-20,11000,CJ
498,2022-09-21,11000,CJ
499,2022-09-22,11000,CJ
500,2022-09-23,11000,CJ
501,2022-09-26,11000,CJ
502,2022-09-27,11000,CJ
503,2022-09-28,11000,CJ
504,2022-09-29,11000,CJ
505,2022-09-30,11000,CJ
506,2022-10-10,11000,CJ
507,2022-10-11,11000,CJ
508,2022-10-12,11000,CJ
509,2022-10-13,11000,CJ
510,2022-10-14,11000,CJ
511,2022-10-17,11000,CJ
512,2022-10-18,11000,CJ
513,2022-10-19,11000,CJ
514,2022-10-20,11000,CJ
515,2022-10-21,11000,CJ
516,2022-10-24,11000,CJ
517,2022-10-25,11000,CJ
518,2022-10-26,11000,CJ
519,2022-10-27,11000,CJ
520,2022-10-28,11000,CJ
521,2022-10-31,11000,CJ
522,2022-11-01,11000,CJ
523,2022-11-02,11000,CJ
524,2022-11-03,11000,CJ
525,2022-11-04,11000,CJ
526,2022-11-07,11000,CJ
527,2022-11-08,11000,CJ
528,2022-11-09,11000,CJ
529,2022-11-10,11000,CJ
530,2022-11-11,11000,CJ
531,2022-11-14,11000,CJ
532,2022-11-15,11000,CJ
533,2022-11-16,11000,CJ
534,2022-11-17,11000,CJ
535,2022-11-18,11000,CJ
536,2022-11-21,11000,CJ
537,2022-11-22,11000,CJ
538,2022-11-23,11000,CJ
539,2022-11-24,11000,CJ
540,2022-11-25,11000,CJ
541,2022-11-28,11000,CJ
542,2022-11-29,11000,CJ
543,2022-11-30,11000,CJ
544,2022-12-01,11000,CJ
545,2022-12-02,11000,CJ
546,2022-12-05,11000,CJ
547,2022-12-06,10500,CJ
548,2022-12-07,10500,CJ
