,date,cashPrice,code
0,2018-11-13,1888,C
1,2018-11-14,1888,C
2,2018-11-16,1898,C
3,2018-11-20,1898,C
4,2018-11-23,1898,C
5,2018-11-26,1898,C
6,2018-11-27,1898,C
7,2018-11-29,1898,C
8,2018-11-30,1898,C
9,2018-12-03,1938,C
10,2018-12-04,1938,C
11,2018-12-07,1928,C
12,2018-12-10,1908,C
13,2018-12-13,1938,C
14,2018-12-17,1908,C
15,2018-12-19,1908,C
16,2018-12-25,1873,C
17,2018-12-26,1873,C
18,2018-12-27,1878,C
19,2018-12-28,1888,C
20,2019-01-02,1888,C
21,2019-01-04,1898,C
22,2019-01-07,1908,C
23,2019-01-08,1888,C
24,2019-01-09,1888,C
25,2019-01-11,1888,C
26,2019-01-14,1878,C
27,2019-01-16,1868,C
28,2019-01-17,1873,C
29,2019-01-21,1868,C
30,2019-01-28,1873,C
31,2019-01-29,1873,C
32,2019-01-30,1873,C
33,2019-02-11,1878,C
34,2019-02-12,1858,C
35,2019-02-13,1868,C
36,2019-02-14,1878,C
37,2019-02-15,1858,C
38,2019-02-19,1838,C
39,2019-02-20,1828,C
40,2019-02-21,1828,C
41,2019-02-22,1828,C
42,2019-02-25,1798,C
43,2019-02-26,1788,C
44,2019-02-27,1788,C
45,2019-02-28,1788,C
46,2019-03-01,1818,C
47,2019-03-04,1793,C
48,2019-03-05,1793,C
49,2019-03-06,1793,C
50,2019-03-07,1783,C
51,2019-03-08,1783,C
52,2019-03-11,1788,C
53,2019-03-12,1788,C
54,2019-03-13,1788,C
55,2019-03-14,1793,C
56,2019-03-15,1793,C
57,2019-03-19,1793,C
58,2019-03-20,1793,C
59,2019-03-21,1793,C
60,2019-03-22,1798,C
61,2019-03-27,1788,C
62,2019-03-28,1788,C
63,2019-03-29,1788,C
64,2019-04-01,1773,C
65,2019-04-03,1773,C
66,2019-04-09,1793,C
67,2019-04-10,1788,C
68,2019-04-15,1808,C
69,2019-04-16,1818,C
70,2019-04-17,1818,C
71,2019-04-18,1848,C
72,2019-04-19,1838,C
73,2019-04-23,1838,C
74,2019-04-24,1858,C
75,2019-04-25,1858,C
76,2019-04-26,1858,C
77,2019-04-29,1858,C
78,2019-04-30,1858,C
79,2019-05-06,1858,C
80,2019-05-07,1858,C
81,2019-05-09,1908,C
82,2019-05-13,1893,C
83,2019-05-14,1908,C
84,2019-05-15,1908,C
85,2019-05-17,1938,C
86,2019-05-20,1938,C
87,2019-05-21,1938,C
88,2019-05-22,1938,C
89,2019-05-23,1938,C
90,2019-05-24,1958,C
91,2019-05-28,1958,C
92,2019-05-29,1958,C
93,2019-05-31,1948,C
94,2019-06-03,1958,C
95,2019-06-04,1958,C
96,2019-06-11,1948,C
97,2019-06-12,1928,C
98,2019-06-13,1928,C
99,2019-06-14,1908,C
100,2019-06-17,1898,C
101,2019-06-18,1918,C
102,2019-06-19,1918,C
103,2019-06-20,1918,C
104,2019-06-21,1918,C
105,2019-06-24,1918,C
106,2019-06-25,1918,C
107,2019-06-26,1918,C
108,2019-06-27,1918,C
109,2019-06-28,1918,C
110,2019-07-01,1918,C
111,2019-07-02,1918,C
112,2019-07-03,1918,C
113,2019-07-04,1918,C
114,2019-07-05,1918,C
115,2019-07-08,1938,C
116,2019-07-09,1938,C
117,2019-07-10,1938,C
118,2019-07-11,1938,C
119,2019-07-12,1938,C
120,2019-07-15,1938,C
121,2019-07-16,1938,C
122,2019-07-17,1938,C
123,2019-07-18,1938,C
124,2019-07-19,1938,C
125,2019-07-22,1938,C
126,2019-07-23,1938,C
127,2019-07-24,1938,C
128,2019-07-25,1928,C
129,2019-07-26,1928,C
130,2019-07-29,1948,C
131,2019-07-30,1948,C
132,2019-07-31,1948,C
133,2019-08-01,1948,C
134,2019-08-02,1948,C
135,2019-08-05,1948,C
136,2019-08-06,1948,C
137,2019-08-07,1948,C
138,2019-08-08,1948,C
139,2019-08-09,1948,C
140,2019-08-12,1938,C
141,2019-08-13,1938,C
142,2019-08-14,1938,C
143,2019-08-15,1938,C
144,2019-08-16,1938,C
145,2019-08-19,1938,C
146,2019-08-20,1938,C
147,2019-08-21,1938,C
148,2019-08-22,1938,C
149,2019-08-23,1938,C
150,2019-08-26,1938,C
151,2019-08-28,1938,C
152,2019-08-29,1908,C
153,2019-08-30,1908,C
154,2019-09-02,1908,C
155,2019-09-03,1908,C
156,2019-09-04,1908,C
157,2019-09-05,1908,C
158,2019-09-06,1908,C
159,2019-09-09,1888,C
160,2019-09-10,1888,C
161,2019-09-11,1888,C
162,2019-09-12,1888,C
163,2019-09-16,1888,C
164,2019-09-17,1888,C
165,2019-09-18,1888,C
166,2019-09-19,1888,C
167,2019-09-20,1888,C
168,2019-09-23,1888,C
169,2019-09-24,1888,C
170,2019-09-25,1888,C
171,2019-09-26,1888,C
172,2019-09-27,1888,C
173,2019-09-30,1888,C
174,2019-10-08,1825,C
175,2019-10-09,1820,C
176,2019-10-10,1810,C
177,2019-10-11,1810,C
178,2019-10-14,1820,C
179,2019-10-15,1860,C
180,2019-10-16,1870,C
181,2019-10-17,1880,C
182,2019-10-18,1880,C
183,2019-10-21,1878,C
184,2019-10-22,1878,C
185,2019-10-23,1878,C
186,2019-10-24,1878,C
187,2019-10-25,1878,C
188,2019-10-28,1878,C
189,2019-10-29,1878,C
190,2019-10-30,1878,C
191,2019-10-31,1878,C
192,2019-11-01,1878,C
193,2019-11-04,1918,C
194,2019-11-05,1928,C
195,2019-11-06,1928,C
196,2019-11-07,1928,C
197,2019-11-08,1898,C
198,2019-11-11,1898,C
199,2019-11-12,1898,C
200,2019-11-13,1898,C
201,2019-11-14,1888,C
202,2019-11-15,1888,C
203,2019-11-18,1893,C
204,2019-11-19,1893,C
205,2019-11-20,1893,C
206,2019-11-21,1893,C
207,2019-11-22,1893,C
208,2019-11-25,1893,C
209,2019-11-26,1893,C
210,2019-11-27,1893,C
211,2019-11-28,1888,C
212,2019-11-29,1888,C
213,2019-12-02,1878,C
214,2019-12-03,1878,C
215,2019-12-04,1878,C
216,2019-12-05,1878,C
217,2019-12-06,1848,C
218,2019-12-09,1848,C
219,2019-12-10,1853,C
220,2019-12-11,1853,C
221,2019-12-12,1853,C
222,2019-12-13,1858,C
223,2019-12-16,1858,C
224,2019-12-17,1853,C
225,2019-12-18,1853,C
226,2019-12-19,1853,C
227,2019-12-20,1853,C
228,2019-12-23,1853,C
229,2019-12-24,1853,C
230,2019-12-25,1853,C
231,2019-12-26,1853,C
232,2019-12-27,1858,C
233,2019-12-30,1853,C
234,2019-12-31,1853,C
235,2020-01-02,1868,C
236,2020-01-03,1868,C
237,2020-01-06,1868,C
238,2020-01-16,1878,C
239,2020-01-17,1878,C
240,2020-01-20,1878,C
241,2020-01-21,1878,C
242,2020-01-22,1878,C
243,2020-01-23,1878,C
244,2020-02-03,1948,C
245,2020-02-04,1948,C
246,2020-02-05,1948,C
247,2020-02-06,1920,C
248,2020-02-07,1920,C
249,2020-02-13,1940,C
250,2020-02-14,1925,C
251,2020-02-17,1930,C
252,2020-02-18,1930,C
253,2020-02-19,1900,C
254,2020-02-21,1880,C
255,2020-02-24,1905,C
256,2020-02-25,1910,C
257,2020-02-26,1910,C
258,2020-02-27,1910,C
259,2020-02-28,1910,C
260,2020-03-02,1920,C
261,2020-03-03,1930,C
262,2020-03-04,1930,C
263,2020-03-05,1930,C
264,2020-03-06,1930,C
265,2020-03-09,1935,C
266,2020-03-10,1935,C
