,date,cashPrice,code
0,2018-11-13,3950,JD
1,2018-11-14,4000,JD
2,2018-11-16,4000,JD
3,2018-11-20,3950,JD
4,2018-11-23,3750,JD
5,2018-11-26,3850,JD
6,2018-11-27,3850,JD
7,2018-11-29,3800,JD
8,2018-11-30,3800,JD
9,2018-12-03,3650,JD
10,2018-12-04,3650,JD
11,2018-12-07,3850,JD
12,2018-12-10,3650,JD
13,2018-12-13,3550,JD
14,2018-12-17,3750,JD
15,2018-12-19,3750,JD
16,2018-12-25,3750,JD
17,2018-12-26,3750,JD
18,2018-12-27,3750,JD
19,2018-12-28,3700,JD
20,2019-01-03,3700,JD
21,2019-01-04,3800,JD
22,2019-01-08,3900,JD
23,2019-01-09,3900,JD
24,2019-01-10,3900,JD
25,2019-01-11,4000,JD
26,2019-01-14,4050,JD
27,2019-01-15,4100,JD
28,2019-01-16,4100,JD
29,2019-01-17,4100,JD
30,2019-01-18,4000,JD
31,2019-01-21,3850,JD
32,2019-01-22,3700,JD
33,2019-01-23,3700,JD
34,2019-01-24,3650,JD
35,2019-01-25,3600,JD
36,2019-01-28,3600,JD
37,2019-01-29,3600,JD
38,2019-01-30,3600,JD
39,2019-01-31,3500,JD
40,2019-02-19,2800,JD
41,2019-02-20,2800,JD
42,2019-02-21,2750,JD
43,2019-02-22,2700,JD
44,2019-02-25,2600,JD
45,2019-02-26,2600,JD
46,2019-02-27,2600,JD
47,2019-02-28,2700,JD
48,2019-03-01,2750,JD
49,2019-03-04,2750,JD
50,2019-03-05,2750,JD
51,2019-03-06,2750,JD
52,2019-03-07,2750,JD
53,2019-03-08,2650,JD
54,2019-03-11,2800,JD
55,2019-03-12,2900,JD
56,2019-03-13,3000,JD
57,2019-03-14,3000,JD
58,2019-03-15,3000,JD
59,2019-03-19,3150,JD
60,2019-03-20,3150,JD
61,2019-03-21,3150,JD
62,2019-03-22,3150,JD
63,2019-03-27,3200,JD
64,2019-03-28,3300,JD
65,2019-03-29,3300,JD
66,2019-04-01,3150,JD
67,2019-04-03,3150,JD
68,2019-04-09,3350,JD
69,2019-04-10,3350,JD
70,2019-04-15,3500,JD
71,2019-04-16,3600,JD
72,2019-04-17,3700,JD
73,2019-04-18,3700,JD
74,2019-04-19,3700,JD
75,2019-04-23,3800,JD
76,2019-04-24,3800,JD
77,2019-04-25,3800,JD
78,2019-04-26,3800,JD
79,2019-04-29,3600,JD
80,2019-04-30,3550,JD
81,2019-05-06,3950,JD
82,2019-05-07,3950,JD
83,2019-05-09,4050,JD
84,2019-05-13,4250,JD
85,2019-05-14,4130,JD
86,2019-05-15,4130,JD
87,2019-05-16,4130,JD
88,2019-05-17,4250,JD
89,2019-05-20,4150,JD
90,2019-05-21,4050,JD
91,2019-05-22,4000,JD
92,2019-05-23,3900,JD
93,2019-05-24,3900,JD
94,2019-05-28,3550,JD
95,2019-05-29,3500,JD
96,2019-05-31,3500,JD
97,2019-06-03,3650,JD
98,2019-06-04,3650,JD
99,2019-06-10,3550,JD
100,2019-06-11,3650,JD
101,2019-06-12,3650,JD
102,2019-06-13,3650,JD
103,2019-06-14,3650,JD
104,2019-06-17,3300,JD
105,2019-06-18,3300,JD
106,2019-06-19,3300,JD
107,2019-06-20,3400,JD
108,2019-06-21,3400,JD
109,2019-06-24,3400,JD
110,2019-06-25,3400,JD
111,2019-06-26,3400,JD
112,2019-06-27,3450,JD
113,2019-06-28,3550,JD
114,2019-07-01,3600,JD
115,2019-07-02,3600,JD
116,2019-07-03,3700,JD
117,2019-07-04,3800,JD
118,2019-07-05,3900,JD
119,2019-07-08,4000,JD
120,2019-07-09,4050,JD
121,2019-07-10,4150,JD
122,2019-07-11,4350,JD
123,2019-07-12,4550,JD
124,2019-07-16,4350,JD
125,2019-07-17,4350,JD
126,2019-07-18,4350,JD
127,2019-07-19,4400,JD
128,2019-07-22,4350,JD
129,2019-07-23,4150,JD
130,2019-07-24,4100,JD
131,2019-07-25,4100,JD
132,2019-07-26,4100,JD
133,2019-07-29,3600,JD
134,2019-07-30,3600,JD
135,2019-07-31,3600,JD
136,2019-08-01,3800,JD
137,2019-08-02,3950,JD
138,2019-08-05,4150,JD
139,2019-08-06,4300,JD
140,2019-08-07,4500,JD
141,2019-08-08,4700,JD
142,2019-08-09,4700,JD
143,2019-08-12,4600,JD
144,2019-08-13,4600,JD
145,2019-08-14,4600,JD
146,2019-08-15,4600,JD
147,2019-08-16,4750,JD
148,2019-08-19,5100,JD
149,2019-08-20,5100,JD
150,2019-08-21,5100,JD
151,2019-08-22,5100,JD
152,2019-08-23,5100,JD
153,2019-08-26,5200,JD
154,2019-08-27,5250,JD
155,2019-08-28,5250,JD
156,2019-08-29,5150,JD
157,2019-08-30,4950,JD
158,2019-09-02,4900,JD
159,2019-09-03,5100,JD
160,2019-09-04,5250,JD
161,2019-09-05,5450,JD
162,2019-09-06,5500,JD
163,2019-09-09,5000,JD
164,2019-09-10,4850,JD
165,2019-09-11,4750,JD
166,2019-09-12,4750,JD
167,2019-09-16,5100,JD
168,2019-09-17,5350,JD
169,2019-09-18,5450,JD
170,2019-09-19,5350,JD
171,2019-09-20,5250,JD
172,2019-09-23,4950,JD
173,2019-09-24,4700,JD
174,2019-09-25,4450,JD
175,2019-09-26,4450,JD
176,2019-09-27,4450,JD
177,2019-09-30,4250,JD
178,2019-10-08,4500,JD
179,2019-10-09,4400,JD
180,2019-10-10,4300,JD
181,2019-10-11,4300,JD
182,2019-10-14,4600,JD
183,2019-10-15,4750,JD
184,2019-10-16,4800,JD
185,2019-10-17,4800,JD
186,2019-10-18,4800,JD
187,2019-10-21,5230,JD
188,2019-10-22,5300,JD
189,2019-10-23,5400,JD
190,2019-10-24,5400,JD
191,2019-10-25,5250,JD
192,2019-10-28,5400,JD
193,2019-10-29,5500,JD
194,2019-10-30,5500,JD
195,2019-10-31,5400,JD
196,2019-11-01,5250,JD
197,2019-11-04,5300,JD
198,2019-11-05,5350,JD
199,2019-11-06,5250,JD
200,2019-11-07,5150,JD
201,2019-11-08,5050,JD
202,2019-11-11,4950,JD
203,2019-11-12,4750,JD
204,2019-11-13,4670,JD
205,2019-11-14,4670,JD
206,2019-11-15,4670,JD
207,2019-11-18,4000,JD
208,2019-11-19,4000,JD
209,2019-11-20,4100,JD
210,2019-11-21,4150,JD
211,2019-11-22,4150,JD
212,2019-11-25,4000,JD
