,date,cashPrice,code
0,2021-01-08,35700,LH
1,2021-01-11,34660,LH
2,2021-01-12,35290,LH
3,2021-01-13,36180,LH
4,2021-01-14,36210,LH
5,2021-01-15,35740,LH
6,2021-01-18,35690,LH
7,2021-01-19,35480,LH
8,2021-01-20,34940,LH
9,2021-01-21,34660,LH
10,2021-01-22,33860,LH
11,2021-01-25,34140,LH
12,2021-01-26,34050,LH
13,2021-01-27,33020,LH
14,2021-01-28,32500,LH
15,2021-01-29,32550,LH
16,2021-02-01,31590,LH
17,2021-02-02,31780,LH
18,2021-02-03,31250,LH
19,2021-02-04,30170,LH
20,2021-02-05,28860,LH
21,2021-02-08,30160,LH
22,2021-02-09,30120,LH
23,2021-02-10,30060,LH
24,2021-02-18,28600,LH
25,2021-02-19,28640,LH
26,2021-02-22,25780,LH
27,2021-02-23,25880,LH
28,2021-02-24,25790,LH
29,2021-02-25,26650,LH
30,2021-02-26,26790,LH
31,2021-03-01,28660,LH
32,2021-03-02,29260,LH
33,2021-03-03,28620,LH
34,2021-03-04,28200,LH
35,2021-03-05,28100,LH
36,2021-03-08,27780,LH
37,2021-03-09,27340,LH
38,2021-03-10,27250,LH
39,2021-03-11,27170,LH
40,2021-03-12,27050,LH
41,2021-03-15,27010,LH
42,2021-03-16,27140,LH
43,2021-03-18,26870,LH
44,2021-03-19,26610,LH
45,2021-03-22,25880,LH
46,2021-03-23,26150,LH
47,2021-03-24,25840,LH
48,2021-03-25,25910,LH
49,2021-03-26,25480,LH
50,2021-03-29,24820,LH
51,2021-03-30,24560,LH
52,2021-03-31,24010,LH
53,2021-04-01,23230,LH
54,2021-04-02,23460,LH
55,2021-04-06,22100,LH
56,2021-04-07,20940,LH
57,2021-04-08,20220,LH
58,2021-04-09,19580,LH
59,2021-04-12,21610,LH
60,2021-04-13,22680,LH
61,2021-04-14,23470,LH
62,2021-04-15,23800,LH
63,2021-04-16,23310,LH
64,2021-04-19,22970,LH
65,2021-04-20,23600,LH
66,2021-04-21,23610,LH
67,2021-04-22,23080,LH
68,2021-04-23,22860,LH
69,2021-04-26,22810,LH
70,2021-04-27,22700,LH
71,2021-04-28,22200,LH
72,2021-04-29,22070,LH
73,2021-04-30,21810,LH
74,2021-05-06,20650,LH
75,2021-05-10,19130,LH
76,2021-05-11,18910,LH
77,2021-05-12,18360,LH
78,2021-05-13,18940,LH
79,2021-05-14,18870,LH
80,2021-05-17,18590,LH
81,2021-05-18,18370,LH
82,2021-05-19,18400,LH
83,2021-05-20,18320,LH
84,2021-05-21,18560,LH
85,2021-05-24,18270,LH
86,2021-05-25,17850,LH
87,2021-05-26,17690,LH
88,2021-05-27,17390,LH
89,2021-05-28,17000,LH
90,2021-05-31,16840,LH
91,2021-06-01,16970,LH
92,2021-06-02,16840,LH
93,2021-06-03,16530,LH
94,2021-06-04,15790,LH
95,2021-06-07,15280,LH
96,2021-06-08,15400,LH
97,2021-06-09,14970,LH
98,2021-06-10,14570,LH
99,2021-06-11,14590,LH
100,2021-06-15,14000,LH
101,2021-06-16,13970,LH
102,2021-06-17,13680,LH
103,2021-06-18,12800,LH
104,2021-06-21,12420,LH
105,2021-06-22,12550,LH
106,2021-06-23,12710,LH
107,2021-06-24,13030,LH
108,2021-06-25,13830,LH
109,2021-06-28,15590,LH
110,2021-06-29,15250,LH
111,2021-06-30,15720,LH
112,2021-07-01,16420,LH
113,2021-07-02,16340,LH
114,2021-07-05,16250,LH
115,2021-07-06,16350,LH
116,2021-07-07,16320,LH
117,2021-07-08,16320,LH
118,2021-07-09,16360,LH
119,2021-07-12,16460,LH
120,2021-07-13,16060,LH
121,2021-07-14,15870,LH
122,2021-07-15,15770,LH
123,2021-07-16,15830,LH
124,2021-07-19,15860,LH
125,2021-07-20,16130,LH
126,2021-07-21,16260,LH
127,2021-07-22,16180,LH
128,2021-07-23,15760,LH
129,2021-07-26,15440,LH
130,2021-07-27,15090,LH
131,2021-07-28,15350,LH
132,2021-07-29,15520,LH
133,2021-07-30,15760,LH
134,2021-08-02,15630,LH
135,2021-08-03,15420,LH
136,2021-08-04,15180,LH
137,2021-08-05,15250,LH
138,2021-08-06,14980,LH
139,2021-08-09,15400,LH
140,2021-08-10,15350,LH
141,2021-08-11,15370,LH
142,2021-08-12,14970,LH
143,2021-08-13,15000,LH
144,2021-08-16,15120,LH
145,2021-08-17,15090,LH
146,2021-08-18,14880,LH
147,2021-08-19,14670,LH
148,2021-08-20,14650,LH
149,2021-08-23,14640,LH
150,2021-08-24,14460,LH
151,2021-08-25,14300,LH
152,2021-08-26,14390,LH
153,2021-08-27,14380,LH
154,2021-08-30,14000,LH
155,2021-08-31,14260,LH
156,2021-09-01,14050,LH
157,2021-09-02,14180,LH
158,2021-09-03,14000,LH
159,2021-09-06,13720,LH
160,2021-09-07,13500,LH
161,2021-09-08,13530,LH
162,2021-09-09,13160,LH
163,2021-09-10,12460,LH
164,2021-09-13,12490,LH
165,2021-09-14,12480,LH
166,2021-09-15,12110,LH
167,2021-09-16,11980,LH
168,2021-09-17,11950,LH
169,2021-09-22,11820,LH
170,2021-09-23,11330,LH
171,2021-09-24,11130,LH
172,2021-09-27,10770,LH
173,2021-09-28,10960,LH
174,2021-09-29,10540,LH
175,2021-09-30,10190,LH
176,2021-10-08,10360,LH
177,2021-10-11,10620,LH
178,2021-10-12,11040,LH
179,2021-10-13,11940,LH
180,2021-10-14,12470,LH
181,2021-10-15,12210,LH
182,2021-10-18,13740,LH
183,2021-10-19,13750,LH
184,2021-10-20,13850,LH
185,2021-10-21,14190,LH
186,2021-10-22,14380,LH
187,2021-10-25,16570,LH
188,2021-10-26,15920,LH
189,2021-10-27,15340,LH
190,2021-10-28,15900,LH
191,2021-10-29,16400,LH
192,2021-11-01,15860,LH
193,2021-11-02,15890,LH
194,2021-11-03,15800,LH
195,2021-11-04,16060,LH
196,2021-11-05,16720,LH
197,2021-11-08,17030,LH
198,2021-11-09,17470,LH
199,2021-11-10,17360,LH
200,2021-11-11,17190,LH
201,2021-11-12,17370,LH
202,2021-11-15,17950,LH
203,2021-11-16,17820,LH
204,2021-11-17,17610,LH
205,2021-11-18,17270,LH
206,2021-11-19,17360,LH
207,2021-11-22,17760,LH
208,2021-11-23,17600,LH
209,2021-11-24,17700,LH
210,2021-11-25,17750,LH
211,2021-11-26,17780,LH
212,2021-11-29,17450,LH
213,2021-11-30,17390,LH
214,2021-12-01,17510,LH
215,2021-12-02,17590,LH
216,2021-12-03,17530,LH
217,2021-12-06,17500,LH
218,2021-12-07,17470,LH
219,2021-12-08,16980,LH
220,2021-12-09,16740,LH
221,2021-12-10,16600,LH
222,2021-12-13,15340,LH
223,2021-12-14,15910,LH
224,2021-12-15,16130,LH
