,date,cashPrice,code
0,2021-02-01,10000,PK
1,2021-02-02,10200,PK
2,2021-02-03,10200,PK
3,2021-02-04,10200,PK
4,2021-02-05,10200,PK
5,2021-02-08,10200,PK
6,2021-02-09,10200,PK
7,2021-02-10,10200,PK
8,2021-02-18,10200,PK
9,2021-02-19,10200,PK
10,2021-02-22,10400,PK
11,2021-02-23,10400,PK
12,2021-02-24,10400,PK
13,2021-02-25,10400,PK
14,2021-02-26,10400,PK
15,2021-03-01,10400,PK
16,2021-03-02,10400,PK
17,2021-03-03,10400,PK
18,2021-03-04,10400,PK
19,2021-03-05,10400,PK
20,2021-03-08,10400,PK
21,2021-03-09,10400,PK
22,2021-03-10,10400,PK
23,2021-03-11,10400,PK
24,2021-03-12,10400,PK
25,2021-03-15,10400,PK
26,2021-03-16,10400,PK
27,2021-03-18,10400,PK
28,2021-03-19,10400,PK
29,2021-03-22,10400,PK
30,2021-03-23,10400,PK
31,2021-03-24,10400,PK
32,2021-03-25,10400,PK
33,2021-03-26,10400,PK
34,2021-03-29,10200,PK
35,2021-03-30,10200,PK
36,2021-03-31,10200,PK
37,2021-04-01,10200,PK
38,2021-04-02,10200,PK
39,2021-04-06,10000,PK
40,2021-04-07,10000,PK
41,2021-04-08,10000,PK
42,2021-04-09,10000,PK
43,2021-04-12,9400,PK
44,2021-04-13,9400,PK
45,2021-04-14,9400,PK
46,2021-04-15,9400,PK
47,2021-04-16,9400,PK
48,2021-04-19,9200,PK
49,2021-04-20,9200,PK
50,2021-04-21,9200,PK
51,2021-04-22,9200,PK
52,2021-04-23,9200,PK
53,2021-04-26,9200,PK
54,2021-04-27,9200,PK
55,2021-04-28,9200,PK
56,2021-04-29,9200,PK
57,2021-04-30,9200,PK
58,2021-05-06,9200,PK
59,2021-05-10,9200,PK
60,2021-05-11,9200,PK
61,2021-05-12,9200,PK
62,2021-05-13,9200,PK
63,2021-05-14,9200,PK
64,2021-05-17,9200,PK
65,2021-05-18,9200,PK
66,2021-05-20,9200,PK
67,2021-05-21,9200,PK
68,2021-05-24,8800,PK
69,2021-05-25,8800,PK
70,2021-05-26,8800,PK
71,2021-05-27,8800,PK
72,2021-05-28,8800,PK
73,2021-05-31,8800,PK
74,2021-06-01,8800,PK
75,2021-06-02,8800,PK
76,2021-06-03,8800,PK
77,2021-06-04,8800,PK
