,date,cashPrice,code
0,2018-11-13,4310,P
1,2018-11-14,4250,P
2,2018-11-16,4250,P
3,2018-11-20,4200,P
4,2018-11-23,4200,P
5,2018-11-26,4200,P
6,2018-11-27,4200,P
7,2018-11-29,4200,P
8,2018-11-30,4200,P
9,2018-12-03,4200,P
10,2018-12-04,4200,P
11,2018-12-07,4150,P
12,2018-12-10,4150,P
13,2018-12-13,4100,P
14,2018-12-17,4100,P
15,2018-12-19,4150,P
16,2018-12-25,4150,P
17,2018-12-26,4180,P
18,2018-12-27,4180,P
19,2018-12-28,4180,P
20,2019-01-03,4340,P
21,2019-01-04,4340,P
22,2019-01-08,4380,P
23,2019-01-09,4380,P
24,2019-01-10,4500,P
25,2019-01-11,4500,P
26,2019-01-14,4500,P
27,2019-01-15,4500,P
28,2019-01-16,4500,P
29,2019-01-17,4500,P
30,2019-01-18,4500,P
31,2019-01-21,4570,P
32,2019-01-28,4670,P
33,2019-01-29,4670,P
34,2019-01-30,4670,P
35,2019-01-31,4670,P
36,2019-02-01,4670,P
37,2019-02-11,4670,P
38,2019-02-12,4670,P
39,2019-02-13,4670,P
40,2019-02-14,4670,P
41,2019-02-15,4660,P
42,2019-02-19,4660,P
43,2019-02-20,4640,P
44,2019-02-21,4600,P
45,2019-02-22,4620,P
46,2019-02-25,4620,P
47,2019-02-26,4530,P
48,2019-02-27,4530,P
49,2019-02-28,4530,P
50,2019-03-01,4530,P
51,2019-03-04,4540,P
52,2019-03-05,4540,P
53,2019-03-06,4540,P
54,2019-03-07,4470,P
55,2019-03-08,4470,P
56,2019-03-11,4520,P
57,2019-03-12,4490,P
58,2019-03-13,4490,P
59,2019-03-14,4400,P
60,2019-03-15,4340,P
61,2019-03-19,4340,P
62,2019-03-20,4340,P
63,2019-03-21,4340,P
64,2019-03-22,4340,P
65,2019-03-27,4330,P
66,2019-03-28,4330,P
67,2019-03-29,4330,P
68,2019-04-01,4330,P
69,2019-04-03,4410,P
70,2019-04-09,4410,P
71,2019-04-10,4410,P
72,2019-04-15,4410,P
73,2019-04-16,4410,P
74,2019-04-17,4450,P
75,2019-04-18,4430,P
76,2019-04-19,4460,P
77,2019-04-23,4430,P
78,2019-04-24,4390,P
79,2019-04-25,4390,P
80,2019-04-26,4360,P
81,2019-04-29,4360,P
82,2019-04-30,4360,P
83,2019-05-06,4260,P
84,2019-05-07,4260,P
85,2019-05-09,4290,P
86,2019-05-13,4230,P
87,2019-05-14,4230,P
88,2019-05-15,4290,P
89,2019-05-16,4320,P
90,2019-05-17,4380,P
91,2019-05-20,4380,P
92,2019-05-21,4380,P
93,2019-05-22,4320,P
94,2019-05-23,4300,P
95,2019-05-24,4300,P
96,2019-05-28,4320,P
97,2019-05-29,4440,P
98,2019-05-31,4440,P
99,2019-06-03,4340,P
100,2019-06-04,4340,P
101,2019-06-10,4340,P
102,2019-06-11,4340,P
103,2019-06-12,4300,P
104,2019-06-13,4300,P
105,2019-06-14,4320,P
106,2019-06-17,4320,P
107,2019-06-18,4320,P
108,2019-06-19,4300,P
109,2019-06-20,4300,P
110,2019-06-21,4280,P
111,2019-06-24,4280,P
112,2019-06-25,4280,P
113,2019-06-26,4250,P
114,2019-06-27,4250,P
115,2019-06-28,4250,P
116,2019-07-01,4250,P
117,2019-07-02,4250,P
118,2019-07-03,4230,P
