,date,cashPrice,code
0,2018-11-13,2520,RM
1,2018-11-14,2500,RM
2,2018-11-15,2500,RM
3,2018-11-16,2500,RM
4,2018-11-19,2500,RM
5,2018-11-20,2480,RM
6,2018-11-21,2480,RM
7,2018-11-23,2480,RM
8,2018-11-26,2470,RM
9,2018-11-27,2420,RM
10,2018-11-28,2420,RM
11,2018-11-29,2400,RM
12,2018-11-30,2380,RM
13,2018-12-03,2330,RM
14,2018-12-04,2330,RM
15,2018-12-05,2330,RM
16,2018-12-06,2380,RM
17,2018-12-07,2380,RM
18,2018-12-10,2360,RM
19,2018-12-11,2360,RM
20,2018-12-12,2350,RM
21,2018-12-13,2330,RM
22,2018-12-14,2250,RM
23,2018-12-17,2250,RM
24,2018-12-18,2250,RM
25,2018-12-19,2270,RM
26,2018-12-20,2270,RM
27,2018-12-21,2260,RM
28,2018-12-24,2250,RM
29,2018-12-25,2240,RM
30,2018-12-26,2240,RM
31,2018-12-27,2240,RM
32,2018-12-28,2200,RM
33,2019-01-02,2220,RM
34,2019-01-03,2040,RM
35,2019-01-04,2260,RM
36,2019-01-07,2300,RM
37,2019-01-08,2260,RM
38,2019-01-09,2265,RM
39,2019-01-10,2260,RM
40,2019-01-11,2260,RM
41,2019-01-14,2250,RM
42,2019-01-15,2250,RM
43,2019-01-16,2260,RM
44,2019-01-17,2260,RM
45,2019-01-18,2260,RM
46,2019-01-21,2300,RM
47,2019-01-22,2300,RM
48,2019-01-23,2300,RM
49,2019-01-24,2300,RM
50,2019-01-25,2290,RM
51,2019-01-28,2290,RM
52,2019-01-29,2290,RM
53,2019-01-30,2290,RM
54,2019-01-31,2290,RM
55,2019-02-01,2290,RM
56,2019-02-11,2290,RM
57,2019-02-12,2290,RM
58,2019-02-13,2320,RM
59,2019-02-14,2320,RM
60,2019-02-15,2300,RM
61,2019-02-18,2280,RM
62,2019-02-19,2270,RM
63,2019-02-20,2270,RM
64,2019-02-21,2260,RM
65,2019-02-22,2260,RM
66,2019-02-25,2250,RM
67,2019-02-26,2250,RM
68,2019-02-27,2220,RM
69,2019-02-28,2210,RM
70,2019-03-01,2250,RM
71,2019-03-04,2250,RM
72,2019-03-05,2250,RM
73,2019-03-06,2280,RM
74,2019-03-07,2350,RM
75,2019-03-08,2300,RM
76,2019-03-11,2350,RM
77,2019-03-12,2330,RM
78,2019-03-13,2300,RM
79,2019-03-14,2310,RM
80,2019-03-15,2300,RM
81,2019-03-18,2300,RM
82,2019-03-19,2300,RM
83,2019-03-20,2300,RM
84,2019-03-21,2300,RM
85,2019-03-22,2300,RM
86,2019-03-25,2320,RM
87,2019-03-26,2310,RM
88,2019-03-27,2330,RM
89,2019-03-28,2310,RM
90,2019-03-29,2300,RM
91,2019-04-01,2300,RM
92,2019-04-02,2330,RM
93,2019-04-03,2340,RM
94,2019-04-04,2340,RM
95,2019-04-08,2350,RM
96,2019-04-09,2310,RM
97,2019-04-10,2300,RM
98,2019-04-11,2300,RM
99,2019-04-12,2300,RM
100,2019-04-15,2320,RM
101,2019-04-16,2330,RM
102,2019-04-17,2320,RM
103,2019-04-18,2310,RM
104,2019-04-19,2310,RM
105,2019-04-22,2330,RM
106,2019-04-23,2330,RM
107,2019-04-24,2320,RM
108,2019-04-25,2320,RM
109,2019-04-26,2300,RM
110,2019-04-29,2300,RM
111,2019-04-30,2290,RM
112,2019-05-06,2300,RM
113,2019-05-07,2320,RM
114,2019-05-08,2320,RM
115,2019-05-09,2360,RM
116,2019-05-10,2370,RM
117,2019-05-13,2350,RM
118,2019-05-14,2360,RM
119,2019-05-15,2370,RM
120,2019-05-16,2400,RM
121,2019-05-17,2400,RM
122,2019-05-20,2430,RM
123,2019-05-21,2400,RM
124,2019-05-22,2400,RM
125,2019-05-23,2400,RM
126,2019-05-24,2400,RM
127,2019-05-27,2500,RM
128,2019-05-28,2520,RM
129,2019-05-29,2600,RM
130,2019-05-30,2600,RM
131,2019-05-31,2560,RM
132,2019-06-03,2560,RM
133,2019-06-04,2620,RM
134,2019-06-05,2590,RM
135,2019-06-06,2550,RM
136,2019-06-10,2520,RM
137,2019-06-11,2510,RM
138,2019-06-12,2510,RM
139,2019-06-13,2570,RM
140,2019-06-14,2560,RM
141,2019-06-17,2570,RM
142,2019-06-18,2550,RM
143,2019-06-19,2490,RM
144,2019-06-20,2490,RM
145,2019-06-21,2530,RM
146,2019-06-24,2530,RM
147,2019-06-25,2590,RM
148,2019-06-26,2550,RM
149,2019-06-27,2620,RM
150,2019-06-28,2600,RM
151,2019-07-01,2550,RM
152,2019-07-02,2530,RM
153,2019-07-03,2530,RM
154,2019-07-04,2510,RM
155,2019-07-05,2500,RM
156,2019-07-08,2480,RM
157,2019-07-09,2450,RM
158,2019-07-10,2470,RM
159,2019-07-11,2470,RM
160,2019-07-12,2470,RM
161,2019-07-15,2500,RM
162,2019-07-16,2460,RM
163,2019-07-17,2460,RM
164,2019-07-18,2480,RM
165,2019-07-19,2480,RM
166,2019-07-22,2420,RM
167,2019-07-23,2400,RM
168,2019-07-24,2400,RM
169,2019-07-25,2400,RM
170,2019-07-26,2400,RM
171,2019-07-29,2400,RM
172,2019-07-30,2400,RM
173,2019-07-31,2420,RM
174,2019-08-01,2400,RM
175,2019-08-02,2430,RM
176,2019-08-05,2460,RM
177,2019-08-06,2500,RM
178,2019-08-07,2480,RM
179,2019-08-08,2480,RM
180,2019-08-09,2480,RM
181,2019-08-12,2470,RM
182,2019-08-13,2500,RM
183,2019-08-14,2450,RM
184,2019-08-15,2450,RM
185,2019-08-16,2440,RM
186,2019-08-19,2430,RM
187,2019-08-20,2420,RM
188,2019-08-21,2420,RM
189,2019-08-22,2430,RM
190,2019-08-23,2450,RM
191,2019-08-26,2470,RM
192,2019-08-27,2460,RM
193,2019-08-28,2460,RM
194,2019-08-29,2450,RM
195,2019-08-30,2430,RM
196,2019-09-02,2450,RM
197,2019-09-03,2460,RM
198,2019-09-04,2450,RM
199,2019-09-05,2420,RM
200,2019-09-06,2360,RM
201,2019-09-09,2360,RM
202,2019-09-10,2360,RM
203,2019-09-11,2360,RM
204,2019-09-12,2360,RM
205,2019-09-16,2340,RM
206,2019-09-17,2340,RM
207,2019-09-18,2340,RM
208,2019-09-19,2340,RM
209,2019-09-20,2340,RM
210,2019-09-23,2340,RM
211,2019-09-24,2340,RM
212,2019-09-25,2340,RM
213,2019-09-26,2340,RM
214,2019-09-27,2340,RM
215,2019-09-30,2370,RM
216,2019-10-08,2370,RM
217,2019-10-09,2370,RM
218,2019-10-10,2380,RM
219,2019-10-11,2400,RM
220,2019-10-14,2380,RM
221,2019-10-15,2380,RM
222,2019-10-16,2380,RM
223,2019-10-17,2380,RM
224,2019-10-18,2380,RM
225,2019-10-21,2420,RM
226,2019-10-22,2420,RM
227,2019-10-23,2400,RM
228,2019-10-24,2380,RM
229,2019-10-25,2360,RM
230,2019-10-28,2320,RM
231,2019-10-29,2320,RM
232,2019-10-30,2320,RM
233,2019-10-31,2320,RM
234,2019-11-01,2320,RM
235,2019-11-04,2300,RM
236,2019-11-05,2300,RM
237,2019-11-06,2290,RM
238,2019-11-07,2290,RM
239,2019-11-08,2270,RM
240,2019-11-11,2220,RM
241,2019-11-12,2210,RM
242,2019-11-13,2220,RM
243,2019-11-14,2220,RM
244,2019-11-15,2220,RM
245,2019-11-18,2220,RM
246,2019-11-19,2230,RM
247,2019-11-20,2230,RM
248,2019-11-21,2230,RM
249,2019-11-22,2230,RM
250,2019-11-25,2230,RM
251,2019-11-26,2240,RM
252,2019-11-27,2220,RM
253,2019-11-28,2220,RM
254,2019-11-29,2220,RM
255,2019-12-02,2220,RM
256,2019-12-03,2280,RM
257,2019-12-04,2290,RM
258,2019-12-05,2300,RM
259,2019-12-06,2300,RM
260,2019-12-09,2300,RM
261,2019-12-10,2320,RM
262,2019-12-11,2350,RM
263,2019-12-12,2320,RM
264,2019-12-13,2300,RM
265,2019-12-16,2300,RM
266,2019-12-17,2300,RM
267,2019-12-18,2310,RM
268,2019-12-19,2300,RM
269,2019-12-20,2300,RM
270,2019-12-23,2300,RM
271,2019-12-24,2300,RM
272,2019-12-25,2310,RM
273,2019-12-26,2310,RM
274,2019-12-27,2310,RM
275,2019-12-30,2350,RM
276,2019-12-31,2350,RM
277,2020-01-02,2350,RM
278,2020-01-03,2360,RM
279,2020-01-06,2340,RM
280,2020-01-07,2350,RM
281,2020-01-08,2360,RM
282,2020-01-09,2340,RM
283,2020-01-10,2330,RM
284,2020-01-13,2330,RM
285,2020-01-14,2320,RM
286,2020-01-15,2320,RM
287,2020-01-16,2320,RM
288,2020-01-17,2320,RM
289,2020-01-20,2320,RM
290,2020-01-21,2320,RM
291,2020-01-22,2320,RM
292,2020-01-23,2320,RM
293,2020-02-03,2300,RM
294,2020-02-04,2320,RM
295,2020-02-05,2320,RM
296,2020-02-06,2320,RM
297,2020-02-07,2320,RM
298,2020-02-10,2330,RM
299,2020-02-11,2320,RM
300,2020-02-12,2330,RM
301,2020-02-13,2350,RM
302,2020-02-14,2350,RM
303,2020-02-17,2360,RM
304,2020-02-18,2350,RM
305,2020-02-19,2350,RM
306,2020-02-20,2350,RM
307,2020-02-21,2350,RM
308,2020-02-24,2320,RM
309,2020-02-25,2310,RM
310,2020-02-26,2330,RM
311,2020-02-27,2350,RM
312,2020-02-28,2360,RM
313,2020-03-02,2360,RM
314,2020-03-03,2380,RM
315,2020-03-04,2380,RM
316,2020-03-05,2380,RM
317,2020-03-06,2370,RM
318,2020-03-09,2300,RM
319,2020-03-10,2320,RM
320,2020-03-11,2320,RM
321,2020-03-12,2320,RM
322,2020-03-13,2320,RM
323,2020-03-16,2330,RM
324,2020-03-17,2340,RM
325,2020-03-18,2360,RM
326,2020-03-19,2320,RM
327,2020-03-20,2370,RM
328,2020-03-23,2460,RM
329,2020-03-24,2460,RM
330,2020-03-25,2470,RM
331,2020-03-26,2450,RM
332,2020-03-27,2500,RM
333,2020-03-30,2530,RM
334,2020-03-31,2530,RM
335,2020-04-01,2450,RM
336,2020-04-02,2400,RM
337,2020-04-03,2350,RM
338,2020-04-07,2390,RM
339,2020-04-08,2400,RM
340,2020-04-09,2390,RM
341,2020-04-10,2400,RM
342,2020-04-13,2440,RM
343,2020-04-14,2410,RM
344,2020-04-15,2420,RM
345,2020-04-16,2390,RM
346,2020-04-17,2370,RM
347,2020-04-20,2360,RM
348,2020-04-21,2360,RM
349,2020-04-22,2370,RM
350,2020-04-24,2400,RM
351,2020-04-27,2400,RM
352,2020-04-28,2420,RM
353,2020-04-29,2380,RM
354,2020-04-30,2370,RM
355,2020-05-06,2370,RM
356,2020-05-07,2390,RM
357,2020-05-08,2400,RM
358,2020-05-11,2390,RM
359,2020-05-12,2350,RM
360,2020-05-13,2350,RM
361,2020-05-14,2320,RM
362,2020-05-15,2320,RM
363,2020-05-18,2330,RM
364,2020-05-19,2340,RM
365,2020-05-20,2330,RM
366,2020-05-21,2330,RM
367,2020-05-22,2340,RM
368,2020-05-25,2350,RM
369,2020-05-26,2350,RM
370,2020-05-27,2360,RM
371,2020-05-28,2360,RM
372,2020-05-29,2380,RM
373,2020-06-01,2350,RM
374,2020-06-02,2350,RM
375,2020-06-03,2350,RM
376,2020-06-04,2350,RM
377,2020-06-05,2390,RM
378,2020-06-08,2370,RM
379,2020-06-09,2370,RM
380,2020-06-10,2360,RM
381,2020-06-11,2400,RM
382,2020-06-12,2380,RM
383,2020-06-15,2380,RM
384,2020-06-16,2380,RM
385,2020-06-17,2360,RM
386,2020-06-18,2360,RM
387,2020-06-19,2360,RM
388,2020-06-22,2390,RM
389,2020-06-23,2390,RM
390,2020-06-24,2390,RM
391,2020-06-29,2380,RM
392,2020-06-30,2380,RM
393,2020-07-01,2410,RM
394,2020-07-02,2430,RM
395,2020-07-03,2430,RM
396,2020-07-06,2430,RM
397,2020-07-07,2430,RM
398,2020-07-08,2430,RM
399,2020-07-09,2430,RM
400,2020-07-10,2430,RM
401,2020-07-13,2400,RM
402,2020-07-14,2400,RM
403,2020-07-15,2400,RM
404,2020-07-16,2400,RM
405,2020-07-17,2420,RM
406,2020-07-20,2440,RM
407,2020-07-21,2500,RM
408,2020-07-22,2490,RM
409,2020-07-23,2490,RM
410,2020-07-24,2490,RM
411,2020-07-27,2560,RM
412,2020-07-28,2480,RM
413,2020-07-29,2470,RM
414,2020-07-30,2470,RM
415,2020-07-31,2470,RM
416,2020-08-03,2450,RM
417,2020-08-04,2450,RM
418,2020-08-05,2410,RM
419,2020-08-06,2410,RM
420,2020-08-07,2410,RM
421,2020-08-10,2410,RM
422,2020-08-11,2380,RM
423,2020-08-12,2380,RM
424,2020-08-13,2400,RM
425,2020-08-14,2390,RM
426,2020-08-17,2380,RM
427,2020-08-18,2370,RM
428,2020-08-19,2380,RM
429,2020-08-20,2370,RM
430,2020-08-21,2370,RM
431,2020-08-24,2360,RM
432,2020-08-25,2380,RM
433,2020-08-26,2400,RM
434,2020-08-27,2390,RM
435,2020-08-28,2400,RM
436,2020-08-31,2420,RM
437,2020-09-01,2380,RM
438,2020-09-02,2380,RM
439,2020-09-03,2400,RM
440,2020-09-04,2400,RM
441,2020-09-07,2440,RM
442,2020-09-08,2440,RM
443,2020-09-09,2430,RM
444,2020-09-10,2430,RM
445,2020-09-11,2450,RM
446,2020-09-14,2550,RM
447,2020-09-15,2500,RM
448,2020-09-16,2460,RM
449,2020-09-17,2470,RM
