,date,cashPrice,code
0,2018-11-13,5330,Y
1,2018-11-14,5290,Y
2,2018-11-16,5390,Y
3,2018-11-20,5370,Y
4,2018-11-23,5350,Y
5,2018-11-26,5370,Y
6,2018-11-27,5370,Y
7,2018-11-29,5370,Y
8,2018-11-30,5370,Y
9,2018-12-03,5370,Y
10,2018-12-04,5370,Y
11,2018-12-07,5300,Y
12,2018-12-10,5210,Y
13,2018-12-13,5140,Y
14,2018-12-17,5090,Y
15,2018-12-19,5090,Y
16,2018-12-25,5090,Y
17,2018-12-26,5090,Y
18,2018-12-27,5090,Y
19,2018-12-28,5090,Y
20,2019-01-02,5140,Y
21,2019-01-03,5230,Y
22,2019-01-04,5230,Y
23,2019-01-07,5230,Y
24,2019-01-08,5250,Y
25,2019-01-09,5250,Y
26,2019-01-11,5350,Y
27,2019-01-15,5400,Y
28,2019-01-16,5400,Y
29,2019-01-17,5400,Y
30,2019-01-18,5500,Y
31,2019-01-21,5550,Y
32,2019-01-28,5670,Y
33,2019-01-29,5670,Y
34,2019-01-30,5670,Y
35,2019-01-31,5670,Y
36,2019-02-01,5670,Y
37,2019-02-11,5670,Y
38,2019-02-12,5670,Y
39,2019-02-13,5670,Y
40,2019-02-14,5670,Y
41,2019-02-15,5660,Y
42,2019-02-19,5760,Y
43,2019-02-20,5710,Y
44,2019-02-21,5690,Y
45,2019-02-22,5710,Y
46,2019-02-25,5710,Y
47,2019-02-26,5660,Y
48,2019-02-27,5660,Y
49,2019-02-28,5660,Y
50,2019-03-01,5720,Y
51,2019-03-04,5780,Y
52,2019-03-05,5780,Y
53,2019-03-06,5830,Y
54,2019-03-07,5740,Y
55,2019-03-08,5740,Y
56,2019-03-11,5740,Y
57,2019-03-12,5720,Y
58,2019-03-13,5720,Y
59,2019-03-14,5630,Y
60,2019-03-15,5560,Y
61,2019-03-19,5500,Y
62,2019-03-20,5500,Y
63,2019-03-21,5500,Y
64,2019-03-22,5500,Y
65,2019-03-27,5410,Y
66,2019-03-28,5400,Y
67,2019-03-29,5360,Y
68,2019-04-01,5360,Y
69,2019-04-03,5480,Y
70,2019-04-09,5430,Y
71,2019-04-10,5430,Y
72,2019-04-15,5390,Y
73,2019-04-16,5360,Y
74,2019-04-17,5360,Y
75,2019-04-18,5340,Y
76,2019-04-19,5340,Y
77,2019-04-23,5360,Y
78,2019-04-24,5330,Y
79,2019-04-25,5330,Y
80,2019-04-26,5250,Y
81,2019-04-29,5250,Y
82,2019-04-30,5250,Y
83,2019-05-06,5190,Y
84,2019-05-07,5260,Y
85,2019-05-09,5260,Y
86,2019-05-13,5230,Y
87,2019-05-14,5230,Y
88,2019-05-15,5260,Y
89,2019-05-16,5260,Y
