,date,cashPrice,code
0,2023-06-19,2770,AO
1,2023-06-20,2770,AO
2,2023-06-21,2770,AO
3,2023-06-26,2770,AO
4,2023-06-27,2770,AO
5,2023-06-28,2775,AO
6,2023-06-29,2785,AO
7,2023-06-30,2790,AO
8,2023-07-03,2800,AO
9,2023-07-04,2800,AO
10,2023-07-05,2800,AO
11,2023-07-06,2800,AO
12,2023-07-07,2810,AO
13,2023-07-10,2810,AO
14,2023-07-11,2810,AO
15,2023-07-12,2815,AO
16,2023-07-13,2825,AO
17,2023-07-14,2825,AO
18,2023-07-17,2830,AO
19,2023-07-18,2840,AO
20,2023-07-19,2840,AO
21,2023-07-20,2845,AO
22,2023-07-21,2845,AO
23,2023-07-24,2845,AO
24,2023-07-25,2850,AO
25,2023-07-26,2850,AO
26,2023-07-27,2855,AO
27,2023-07-28,2865,AO
28,2023-07-31,2870,AO
29,2023-08-01,2880,AO
30,2023-08-02,2880,AO
31,2023-08-03,2885,AO
32,2023-08-04,2885,AO
33,2023-08-07,2885,AO
34,2023-08-08,2885,AO
35,2023-08-09,2885,AO
36,2023-08-10,2885,AO
37,2023-08-11,2885,AO
38,2023-08-14,2885,AO
39,2023-08-15,2885,AO
40,2023-08-16,2895,AO
41,2023-08-17,2895,AO
42,2023-08-18,2895,AO
43,2023-08-21,2895,AO
44,2023-08-22,2895,AO
45,2023-08-23,2895,AO
46,2023-08-24,2905,AO
47,2023-08-25,2905,AO
48,2023-08-28,2915,AO
49,2023-08-29,2915,AO
50,2023-08-30,2915,AO
51,2023-08-31,2915,AO
52,2023-09-01,2915,AO
53,2023-09-04,2915,AO
54,2023-09-05,2925,AO
55,2023-09-06,2930,AO
56,2023-09-07,2935,AO
57,2023-09-08,2935,AO
58,2023-09-11,2935,AO
59,2023-09-12,2935,AO
60,2023-09-13,2935,AO
61,2023-09-14,2935,AO
62,2023-09-15,2935,AO
63,2023-09-18,2935,AO
64,2023-09-19,2935,AO
65,2023-09-20,2935,AO
66,2023-09-21,2945,AO
67,2023-09-22,2955,AO
68,2023-09-25,2955,AO
69,2023-09-26,2955,AO
70,2023-09-27,2960,AO
71,2023-09-28,2970,AO
72,2023-10-09,2980,AO
73,2023-10-10,2980,AO
74,2023-10-11,2985,AO
75,2023-10-12,2990,AO
76,2023-10-13,2995,AO
77,2023-10-16,2995,AO
78,2023-10-17,3010,AO
79,2023-10-18,3010,AO
80,2023-10-19,3010,AO
81,2023-10-20,3010,AO
82,2023-10-23,3015,AO
83,2023-10-24,3020,AO
84,2023-10-25,3020,AO
85,2023-10-26,3020,AO
86,2023-10-27,3020,AO
87,2023-10-30,3020,AO
88,2023-10-31,3020,AO
89,2023-11-01,3020,AO
90,2023-11-02,3020,AO
91,2023-11-03,3020,AO
92,2023-11-06,3020,AO
93,2023-11-07,3020,AO
94,2023-11-08,3020,AO
95,2023-11-09,3020,AO
96,2023-11-10,3020,AO
97,2023-11-13,3020,AO
