,date,cashPrice,code
0,2020-12-16,57875,CU
1,2020-12-17,58075,CU
2,2020-12-18,59065,CU
3,2020-12-21,58835,CU
4,2020-12-22,58560,CU
5,2020-12-23,57570,CU
6,2020-12-24,58140,CU
7,2020-12-25,58240,CU
8,2020-12-28,58770,CU
9,2020-12-29,58530,CU
10,2020-12-30,58090,CU
11,2020-12-31,57910,CU
12,2021-01-04,58055,CU
13,2021-01-05,58120,CU
14,2021-01-06,59160,CU
15,2021-01-07,59330,CU
16,2021-01-08,60350,CU
17,2021-01-11,59490,CU
18,2021-01-12,58240,CU
19,2021-01-13,58830,CU
20,2021-01-14,58700,CU
21,2021-01-15,59635,CU
22,2021-01-18,58675,CU
23,2021-01-19,59030,CU
24,2021-01-20,59040,CU
25,2021-01-21,59250,CU
26,2021-01-22,58920,CU
27,2021-01-25,59070,CU
28,2021-01-26,58840,CU
29,2021-01-27,58770,CU
30,2021-01-28,57945,CU
31,2021-01-29,58170,CU
32,2021-02-01,57840,CU
33,2021-02-02,57725,CU
34,2021-02-03,57180,CU
35,2021-02-04,57815,CU
36,2021-02-05,58000,CU
37,2021-02-08,58915,CU
38,2021-02-09,59380,CU
39,2021-02-10,60205,CU
40,2021-02-18,62685,CU
41,2021-02-19,63240,CU
42,2021-02-22,67080,CU
43,2021-02-23,67600,CU
44,2021-02-24,68075,CU
45,2021-02-25,69900,CU
46,2021-02-26,68395,CU
47,2021-03-01,67560,CU
48,2021-03-02,66160,CU
49,2021-03-03,67825,CU
50,2021-03-04,66990,CU
51,2021-03-05,64735,CU
52,2021-03-08,66480,CU
53,2021-03-09,66560,CU
54,2021-03-10,65520,CU
55,2021-03-11,65550,CU
56,2021-03-12,66660,CU
57,2021-03-15,67710,CU
58,2021-03-16,67200,CU
59,2021-03-18,67110,CU
60,2021-03-19,66600,CU
61,2021-03-22,66830,CU
62,2021-03-23,66775,CU
63,2021-03-24,66090,CU
64,2021-03-25,65900,CU
65,2021-03-26,65660,CU
66,2021-03-29,66235,CU
67,2021-03-30,66160,CU
68,2021-03-31,65160,CU
69,2021-04-01,65500,CU
70,2021-04-02,65885,CU
71,2021-04-06,67130,CU
72,2021-04-07,66900,CU
73,2021-04-08,66390,CU
74,2021-04-09,66770,CU
75,2021-04-12,65710,CU
76,2021-04-13,65690,CU
77,2021-04-14,66170,CU
78,2021-04-15,67180,CU
79,2021-04-16,68550,CU
80,2021-04-19,68200,CU
81,2021-04-20,68940,CU
82,2021-04-21,68530,CU
83,2021-04-22,68830,CU
84,2021-04-23,69110,CU
85,2021-04-26,69940,CU
86,2021-04-27,71865,CU
87,2021-04-28,70945,CU
88,2021-04-29,72330,CU
89,2021-04-30,71690,CU
90,2021-05-06,72800,CU
91,2021-05-10,76900,CU
92,2021-05-11,75350,CU
93,2021-05-12,76010,CU
94,2021-05-13,75970,CU
95,2021-05-14,74860,CU
96,2021-05-17,74620,CU
97,2021-05-18,75700,CU
98,2021-05-19,74860,CU
99,2021-05-20,72475,CU
100,2021-05-21,71970,CU
101,2021-05-24,71370,CU
102,2021-05-25,72360,CU
103,2021-05-26,71720,CU
104,2021-05-27,71325,CU
105,2021-05-28,73390,CU
106,2021-05-31,73600,CU
107,2021-06-01,73775,CU
108,2021-06-02,73640,CU
109,2021-06-03,72910,CU
110,2021-06-04,71030,CU
111,2021-06-07,71530,CU
112,2021-06-08,71320,CU
113,2021-06-09,71740,CU
114,2021-06-10,71280,CU
115,2021-06-11,70760,CU
116,2021-06-15,69965,CU
117,2021-06-16,69290,CU
118,2021-06-17,69170,CU
119,2021-06-18,67780,CU
120,2021-06-21,66860,CU
121,2021-06-22,67200,CU
122,2021-06-23,68220,CU
123,2021-06-24,68640,CU
124,2021-06-25,68860,CU
125,2021-06-28,68300,CU
126,2021-06-29,68145,CU
127,2021-06-30,68375,CU
128,2021-07-01,68665,CU
129,2021-07-02,68025,CU
130,2021-07-05,68660,CU
131,2021-07-06,69700,CU
132,2021-07-07,68510,CU
133,2021-07-08,68880,CU
134,2021-07-09,68720,CU
135,2021-07-12,69490,CU
136,2021-07-13,69375,CU
137,2021-07-14,68790,CU
138,2021-07-15,68835,CU
139,2021-07-16,69695,CU
140,2021-07-19,69220,CU
141,2021-07-20,68340,CU
142,2021-07-21,68600,CU
143,2021-07-22,68975,CU
144,2021-07-23,70060,CU
145,2021-07-26,71225,CU
146,2021-07-27,72665,CU
147,2021-07-28,72370,CU
148,2021-07-29,71775,CU
149,2021-07-30,71850,CU
150,2021-08-02,71725,CU
151,2021-08-03,71030,CU
152,2021-08-04,70260,CU
153,2021-08-05,69670,CU
154,2021-08-06,69770,CU
155,2021-08-09,69605,CU
156,2021-08-10,69550,CU
157,2021-08-11,70015,CU
158,2021-08-12,70340,CU
159,2021-08-13,70230,CU
160,2021-08-16,70340,CU
161,2021-08-17,70020,CU
162,2021-08-18,69200,CU
163,2021-08-19,67720,CU
164,2021-08-20,67190,CU
165,2021-08-23,68270,CU
166,2021-08-24,68960,CU
167,2021-08-25,69610,CU
168,2021-08-26,69340,CU
169,2021-08-27,69180,CU
170,2021-08-30,70100,CU
171,2021-08-31,70320,CU
172,2021-09-01,69950,CU
173,2021-09-02,69440,CU
174,2021-09-03,69495,CU
175,2021-09-06,69750,CU
176,2021-09-07,69590,CU
177,2021-09-08,69270,CU
178,2021-09-09,68760,CU
179,2021-09-10,70000,CU
180,2021-09-13,71475,CU
181,2021-09-14,70500,CU
182,2021-09-15,69820,CU
183,2021-09-16,70550,CU
184,2021-09-17,69785,CU
185,2021-09-22,69015,CU
186,2021-09-23,69060,CU
187,2021-09-24,69350,CU
188,2021-09-27,70090,CU
189,2021-09-28,69500,CU
190,2021-09-29,68915,CU
191,2021-09-30,68735,CU
192,2021-10-08,69975,CU
193,2021-10-11,69925,CU
194,2021-10-12,70385,CU
195,2021-10-13,70175,CU
