,date,cashPrice,code
0,2020-12-16,14750,PB
1,2020-12-17,14900,PB
2,2020-12-18,14850,PB
3,2020-12-21,14750,PB
4,2020-12-22,14550,PB
5,2020-12-31,14950,PB
6,2021-01-04,14950,PB
7,2021-01-05,15150,PB
8,2021-01-06,15150,PB
9,2021-01-07,15200,PB
10,2021-01-08,15100,PB
11,2021-01-11,14750,PB
12,2021-01-12,14700,PB
13,2021-01-13,14850,PB
14,2021-01-14,14950,PB
15,2021-01-15,15100,PB
16,2021-01-18,15150,PB
17,2021-01-20,15200,PB
18,2021-01-22,15250,PB
19,2021-01-25,15550,PB
20,2021-01-26,15550,PB
21,2021-01-28,15450,PB
22,2021-01-29,15350,PB
23,2021-02-02,15200,PB
24,2021-02-04,15200,PB
25,2021-02-09,15350,PB
26,2021-02-10,15300,PB
27,2021-02-19,15650,PB
28,2021-02-22,16000,PB
29,2021-02-23,15975,PB
30,2021-02-24,15900,PB
31,2021-02-25,16150,PB
32,2021-02-26,15800,PB
33,2021-03-01,15450,PB
34,2021-03-02,15300,PB
35,2021-03-03,15450,PB
36,2021-03-04,15250,PB
37,2021-03-05,15150,PB
38,2021-03-08,15050,PB
39,2021-03-09,15050,PB
40,2021-03-10,14850,PB
41,2021-03-11,14900,PB
42,2021-03-12,14900,PB
43,2021-03-15,15100,PB
44,2021-03-16,15050,PB
45,2021-03-18,15000,PB
46,2021-03-19,15075,PB
47,2021-03-22,15325,PB
48,2021-03-23,15325,PB
49,2021-03-24,15350,PB
50,2021-03-25,15150,PB
51,2021-03-30,15500,PB
52,2021-03-31,15450,PB
53,2021-04-01,15400,PB
54,2021-04-02,15150,PB
55,2021-04-06,15050,PB
56,2021-04-09,14950,PB
57,2021-04-12,14850,PB
58,2021-04-13,14800,PB
59,2021-04-14,14900,PB
60,2021-04-16,15100,PB
61,2021-04-20,15350,PB
62,2021-04-21,15350,PB
63,2021-04-22,15350,PB
64,2021-04-23,15450,PB
65,2021-04-26,15350,PB
66,2021-04-27,15500,PB
67,2021-04-29,15300,PB
68,2021-04-30,15250,PB
69,2021-05-06,15500,PB
70,2021-05-10,15825,PB
71,2021-05-11,15700,PB
72,2021-05-12,15600,PB
