,date,cashPrice,code
0,2023-01-18,17700.00,SI
1,2023-01-19,17700.00,SI
2,2023-01-20,17700.00,SI
3,2023-01-30,17450.00,SI
4,2023-01-31,17400.00,SI
5,2023-02-01,17250.00,SI
6,2023-02-02,17100.00,SI
7,2023-02-03,17050.00,SI
8,2023-02-06,17050.00,SI
9,2023-02-07,17050.00,SI
10,2023-02-08,17050.00,SI
11,2023-02-10,17300.00,SI
12,2023-02-17,17500.00,SI
13,2023-02-20,17500.00,SI
14,2023-02-21,17500.00,SI
15,2023-02-22,17500.00,SI
16,2023-03-02,17350.00,SI
17,2023-03-06,17250.00,SI
18,2023-03-07,17250.00,SI
19,2023-03-08,17200.00,SI
20,2023-03-10,17150.00,SI
21,2023-03-13,17050.00,SI
22,2023-03-14,17050.00,SI
23,2023-03-15,16950.00,SI
24,2023-03-16,16900.00,SI
25,2023-03-17,16800.00,SI
26,2023-03-20,16800.00,SI
27,2023-03-21,16750.00,SI
28,2023-03-22,16500.00,SI
29,2023-03-23,16400.00,SI
30,2023-03-24,16350.00,SI
31,2023-03-27,16350.00,SI
32,2023-03-28,16350.00,SI
33,2023-03-29,16350.00,SI
34,2023-03-30,16350.00,SI
35,2023-03-31,16350.00,SI
36,2023-04-03,16350.00,SI
37,2023-04-04,16250.00,SI
38,2023-04-06,16050.00,SI
39,2023-04-07,15850.00,SI
40,2023-04-10,15800.00,SI
41,2023-04-11,15700.00,SI
42,2023-04-12,15600.00,SI
43,2023-04-13,15600.00,SI
44,2023-04-14,15600.00,SI
45,2023-04-17,15600.00,SI
46,2023-04-18,15600.00,SI
47,2023-04-19,15600.00,SI
48,2023-04-20,15450.00,SI
49,2023-04-21,15350.00,SI
50,2023-04-24,15350.00,SI
51,2023-04-25,15350.00,SI
52,2023-04-26,15350.00,SI
53,2023-04-27,15350.00,SI
54,2023-04-28,15350.00,SI
55,2023-05-05,15200.00,SI
56,2023-05-08,15050.00,SI
57,2023-05-09,14950.00,SI
58,2023-05-10,14950.00,SI
59,2023-05-11,14850.00,SI
60,2023-05-12,14850.00,SI
61,2023-05-15,14750.00,SI
62,2023-05-16,14700.00,SI
63,2023-05-17,14550.00,SI
64,2023-05-18,14350.00,SI
65,2023-05-19,14150.00,SI
66,2023-05-22,13950.00,SI
67,2023-05-23,13800.00,SI
68,2023-05-24,13750.00,SI
69,2023-05-25,13650.00,SI
70,2023-05-26,13600.00,SI
71,2023-05-29,13550.00,SI
72,2023-05-30,13550.00,SI
73,2023-05-31,13550.00,SI
74,2023-06-01,13550.00,SI
75,2023-06-02,13550.00,SI
76,2023-06-05,13550.00,SI
77,2023-06-06,13550.00,SI
78,2023-06-07,13550.00,SI
79,2023-06-08,13550.00,SI
80,2023-06-09,13550.00,SI
81,2023-06-12,13550.00,SI
82,2023-06-13,13450.00,SI
83,2023-06-14,13200.00,SI
84,2023-06-15,13150.00,SI
85,2023-06-16,13150.00,SI
86,2023-06-19,13150.00,SI
87,2023-06-20,13150.00,SI
88,2023-06-21,13400.00,SI
89,2023-06-26,13200.00,SI
90,2023-06-27,13200.00,SI
91,2023-06-28,13200.00,SI
92,2023-06-29,13200.00,SI
93,2023-06-30,13200.00,SI
94,2023-07-03,13200.00,SI
95,2023-07-04,13200.00,SI
96,2023-07-05,13250.00,SI
97,2023-07-06,13250.00,SI
98,2023-07-07,13250.00,SI
99,2023-07-10,13250.00,SI
100,2023-07-11,13250.00,SI
101,2023-07-12,13250.00,SI
102,2023-07-13,13000.00,SI
103,2023-07-14,12900.00,SI
104,2023-07-17,12900.00,SI
105,2023-07-18,12900.00,SI
106,2023-07-19,12900.00,SI
107,2023-07-20,12900.00,SI
108,2023-07-21,12900.00,SI
109,2023-07-24,12900.00,SI
110,2023-07-25,12900.00,SI
111,2023-07-26,12900.00,SI
112,2023-07-27,12900.00,SI
113,2023-07-28,12900.00,SI
114,2023-07-31,12900.00,SI
115,2023-08-01,12900.00,SI
116,2023-08-02,12900.00,SI
117,2023-08-03,12900.00,SI
118,2023-08-04,12900.00,SI
119,2023-08-07,12900.00,SI
120,2023-08-08,12900.00,SI
121,2023-08-09,12950.00,SI
122,2023-08-10,13300.00,SI
123,2023-08-11,13400.00,SI
124,2023-08-14,13600.00,SI
125,2023-08-15,13600.00,SI
126,2023-08-16,13600.00,SI
127,2023-08-17,13600.00,SI
128,2023-08-18,13600.00,SI
129,2023-08-21,13650.00,SI
130,2023-08-22,13700.00,SI
131,2023-08-23,13750.00,SI
132,2023-08-24,13850.00,SI
133,2023-08-25,13900.00,SI
134,2023-08-28,14050.00,SI
135,2023-08-29,14050.00,SI
136,2023-08-30,14050.00,SI
137,2023-08-31,14050.00,SI
138,2023-09-01,14050.00,SI
139,2023-09-04,14150.00,SI
140,2023-09-05,14300.00,SI
141,2023-09-06,14400.00,SI
142,2023-09-07,14550.00,SI
143,2023-09-08,14550.00,SI
144,2023-09-11,14550.00,SI
145,2023-09-12,14700.00,SI
146,2023-09-13,14950.00,SI
147,2023-09-14,15000.00,SI
148,2023-09-15,15100.00,SI
149,2023-09-18,15150.00,SI
150,2023-09-19,15200.00,SI
151,2023-09-20,15200.00,SI
152,2023-09-21,15300.00,SI
153,2023-09-22,15300.00,SI
154,2023-09-25,15400.00,SI
155,2023-09-26,15400.00,SI
156,2023-09-27,15400.00,SI
157,2023-09-28,15400.00,SI
158,2023-10-09,15400.00,SI
159,2023-10-10,15400.00,SI
160,2023-10-11,15400.00,SI
161,2023-10-12,15400.00,SI
162,2023-10-13,15400.00,SI
163,2023-10-16,15400.00,SI
164,2023-10-17,15350.00,SI
165,2023-10-18,15300.00,SI
166,2023-10-19,15250.00,SI
167,2023-10-20,15250.00,SI
168,2023-10-23,15250.00,SI
169,2023-10-24,15250.00,SI
170,2023-10-25,15250.00,SI
171,2023-10-26,15150.00,SI
172,2023-10-27,15100.00,SI
173,2023-10-30,15100.00,SI
174,2023-10-31,15100.00,SI
175,2023-11-01,15100.00,SI
176,2023-11-02,15100.00,SI
177,2023-11-03,15000.00,SI
178,2023-11-06,15000.00,SI
179,2023-11-07,14950.00,SI
180,2023-11-08,14900.00,SI
181,2023-11-09,14850.00,SI
182,2023-11-10,14800.00,SI
183,2023-11-13,14700.00,SI
