,date,cashPrice,code
0,2020-12-16,21650,ZN
1,2020-12-21,21930,ZN
2,2020-12-22,21940,ZN
3,2020-12-23,21450,ZN
4,2020-12-24,21600,ZN
5,2020-12-28,21790,ZN
6,2020-12-29,21530,ZN
7,2020-12-30,21040,ZN
8,2020-12-31,21120,ZN
9,2021-01-04,21040,ZN
10,2021-01-06,21670,ZN
11,2021-01-07,21970,ZN
12,2021-01-08,21680,ZN
13,2021-01-12,20990,ZN
14,2021-01-13,21010,ZN
15,2021-01-14,20660,ZN
16,2021-01-15,20910,ZN
17,2021-01-18,20370,ZN
18,2021-01-19,20470,ZN
19,2021-01-20,20520,ZN
20,2021-01-21,20680,ZN
21,2021-01-22,20470,ZN
22,2021-01-25,20540,ZN
23,2021-01-26,20480,ZN
24,2021-01-27,19930,ZN
25,2021-01-28,19700,ZN
26,2021-01-29,19800,ZN
27,2021-02-01,19840,ZN
28,2021-02-02,19750,ZN
29,2021-02-03,19690,ZN
30,2021-02-04,19980,ZN
31,2021-02-05,20000,ZN
32,2021-02-08,20110,ZN
33,2021-02-09,20010,ZN
34,2021-02-10,20330,ZN
35,2021-02-18,21280,ZN
36,2021-02-19,21550,ZN
37,2021-02-22,22070,ZN
38,2021-02-23,21890,ZN
39,2021-02-24,21600,ZN
40,2021-02-25,21930,ZN
41,2021-02-26,21540,ZN
42,2021-03-01,21410,ZN
43,2021-03-02,21350,ZN
44,2021-03-03,21730,ZN
45,2021-03-04,21250,ZN
46,2021-03-05,20980,ZN
47,2021-03-08,21430,ZN
48,2021-03-09,21600,ZN
49,2021-03-10,21440,ZN
50,2021-03-11,21440,ZN
51,2021-03-12,21800,ZN
52,2021-03-15,21910,ZN
53,2021-03-16,21840,ZN
54,2021-03-18,21860,ZN
55,2021-03-19,21520,ZN
56,2021-03-22,22140,ZN
57,2021-03-23,21960,ZN
58,2021-03-24,21640,ZN
59,2021-03-25,21540,ZN
60,2021-03-26,21570,ZN
61,2021-03-29,21700,ZN
62,2021-03-31,21580,ZN
63,2021-04-01,21550,ZN
64,2021-04-02,21360,ZN
65,2021-04-06,21820,ZN
66,2021-04-07,21820,ZN
67,2021-04-09,21930,ZN
68,2021-04-12,21610,ZN
69,2021-04-13,21370,ZN
70,2021-04-14,21450,ZN
71,2021-04-15,21580,ZN
72,2021-04-16,21830,ZN
73,2021-04-19,21850,ZN
74,2021-04-20,21730,ZN
75,2021-04-21,21400,ZN
76,2021-04-22,21410,ZN
77,2021-04-23,21410,ZN
78,2021-04-26,21810,ZN
79,2021-04-27,22150,ZN
80,2021-04-28,22000,ZN
81,2021-04-29,22130,ZN
82,2021-04-30,21790,ZN
83,2021-05-06,21760,ZN
84,2021-05-10,22890,ZN
85,2021-05-11,22380,ZN
86,2021-05-12,22410,ZN
87,2021-05-13,22220,ZN
88,2021-05-14,22020,ZN
89,2021-05-17,22120,ZN
90,2021-05-18,23060,ZN
91,2021-05-19,22950,ZN
92,2021-05-20,22210,ZN
93,2021-05-21,22290,ZN
94,2021-05-24,22250,ZN
95,2021-05-25,22370,ZN
96,2021-05-27,22360,ZN
97,2021-05-28,23050,ZN
98,2021-05-31,23010,ZN
99,2021-06-01,22940,ZN
100,2021-06-02,23040,ZN
101,2021-06-03,23160,ZN
102,2021-06-04,22520,ZN
103,2021-06-07,22580,ZN
104,2021-06-08,22680,ZN
105,2021-06-09,22690,ZN
106,2021-06-10,22540,ZN
107,2021-06-11,22510,ZN
108,2021-06-15,22580,ZN
109,2021-06-16,22810,ZN
110,2021-06-17,22660,ZN
111,2021-06-18,22240,ZN
112,2021-06-21,21700,ZN
113,2021-06-22,21780,ZN
114,2021-06-23,21880,ZN
115,2021-06-24,21920,ZN
116,2021-06-25,22060,ZN
117,2021-06-28,21910,ZN
118,2021-06-29,21920,ZN
119,2021-06-30,22140,ZN
120,2021-07-01,22330,ZN
121,2021-07-02,22190,ZN
122,2021-07-05,22190,ZN
123,2021-07-06,22490,ZN
124,2021-07-07,22370,ZN
125,2021-07-08,22450,ZN
126,2021-07-09,22480,ZN
127,2021-07-12,22650,ZN
128,2021-07-13,22320,ZN
129,2021-07-14,22000,ZN
130,2021-07-15,22090,ZN
131,2021-07-16,22510,ZN
132,2021-07-19,22720,ZN
133,2021-07-20,22690,ZN
134,2021-07-21,22490,ZN
135,2021-07-22,22320,ZN
136,2021-07-23,22340,ZN
137,2021-07-26,22660,ZN
138,2021-07-27,22630,ZN
139,2021-07-28,22390,ZN
140,2021-07-29,22430,ZN
141,2021-07-30,22550,ZN
142,2021-08-02,22670,ZN
143,2021-08-03,22390,ZN
144,2021-08-04,22210,ZN
145,2021-08-05,22280,ZN
146,2021-08-06,22580,ZN
147,2021-08-09,22470,ZN
148,2021-08-10,22430,ZN
149,2021-08-11,22610,ZN
150,2021-08-12,22810,ZN
151,2021-08-13,22570,ZN
152,2021-08-16,22680,ZN
153,2021-08-17,22860,ZN
154,2021-08-18,22860,ZN
155,2021-08-19,22760,ZN
156,2021-08-20,22650,ZN
157,2021-08-23,22580,ZN
158,2021-08-24,22520,ZN
159,2021-08-25,22690,ZN
160,2021-08-26,22720,ZN
161,2021-08-27,22500,ZN
162,2021-08-30,22650,ZN
163,2021-08-31,22570,ZN
164,2021-09-01,22420,ZN
165,2021-09-02,22430,ZN
166,2021-09-03,22470,ZN
167,2021-09-06,22630,ZN
168,2021-09-07,22690,ZN
169,2021-09-08,22850,ZN
170,2021-09-09,22980,ZN
171,2021-09-10,23110,ZN
172,2021-09-13,23100,ZN
173,2021-09-14,22880,ZN
174,2021-09-15,22730,ZN
175,2021-09-16,22840,ZN
176,2021-09-17,22970,ZN
177,2021-09-22,22900,ZN
178,2021-09-23,22750,ZN
179,2021-09-24,22980,ZN
180,2021-09-27,22970,ZN
181,2021-09-28,22730,ZN
182,2021-09-29,22730,ZN
183,2021-09-30,22600,ZN
184,2021-10-08,22930,ZN
185,2021-10-11,23160,ZN
186,2021-10-12,23650,ZN
187,2021-10-13,23730,ZN
188,2021-10-14,24990,ZN
189,2021-10-15,25570,ZN
190,2021-10-18,27690,ZN
191,2021-10-19,27110,ZN
192,2021-10-20,25370,ZN
193,2021-10-21,26020,ZN
194,2021-10-22,24790,ZN
195,2021-10-25,24880,ZN
196,2021-10-26,24410,ZN
197,2021-10-27,24120,ZN
198,2021-10-28,23620,ZN
199,2021-10-29,23580,ZN
200,2021-11-01,24320,ZN
201,2021-11-02,23880,ZN
202,2021-11-03,23620,ZN
203,2021-11-04,23890,ZN
204,2021-11-05,23060,ZN
205,2021-11-08,22910,ZN
206,2021-11-09,23130,ZN
207,2021-11-10,23170,ZN
208,2021-11-11,23280,ZN
209,2021-11-12,23410,ZN
210,2021-11-15,23090,ZN
211,2021-11-16,22890,ZN
212,2021-11-17,22950,ZN
213,2021-11-18,22600,ZN
214,2021-11-19,22660,ZN
215,2021-11-22,22960,ZN
216,2021-11-23,23820,ZN
217,2021-11-24,23580,ZN
218,2021-11-25,23770,ZN
219,2021-11-26,23600,ZN
220,2021-11-29,22890,ZN
221,2021-11-30,22930,ZN
222,2021-12-01,23000,ZN
223,2021-12-02,23120,ZN
224,2021-12-03,23050,ZN
225,2021-12-06,22840,ZN
226,2021-12-07,22860,ZN
227,2021-12-08,23150,ZN
228,2021-12-09,23540,ZN
229,2021-12-10,23580,ZN
230,2021-12-13,23390,ZN
231,2021-12-14,23450,ZN
232,2021-12-15,23320,ZN
233,2021-12-16,23270,ZN
234,2021-12-17,24110,ZN
235,2021-12-21,23530,ZN
236,2021-12-23,24350,ZN
237,2021-12-24,24330,ZN
238,2021-12-28,23950,ZN
239,2021-12-31,24160,ZN
240,2022-01-04,24170,ZN
241,2022-01-05,24430,ZN
242,2022-01-07,24620,ZN
243,2022-01-11,24360,ZN
244,2022-01-12,25030,ZN
245,2022-01-13,24990,ZN
246,2022-01-14,24980,ZN
247,2022-01-17,24650,ZN
248,2022-01-18,24680,ZN
249,2022-01-19,24960,ZN
250,2022-01-20,25140,ZN
251,2022-01-21,25140,ZN
252,2022-01-24,24850,ZN
253,2022-01-25,24740,ZN
254,2022-01-28,25320,ZN
255,2022-02-09,25150,ZN
256,2022-02-10,25570,ZN
257,2022-02-11,25700,ZN
258,2022-02-14,25570,ZN
259,2022-02-21,24840,ZN
260,2022-02-22,24890,ZN
261,2022-02-23,25090,ZN
262,2022-02-24,24710,ZN
263,2022-02-25,24830,ZN
264,2022-02-28,25020,ZN
265,2022-03-01,25090,ZN
266,2022-03-02,25340,ZN
267,2022-03-03,26070,ZN
268,2022-03-04,25770,ZN
269,2022-03-07,26540,ZN
270,2022-03-08,26610,ZN
271,2022-03-09,26450,ZN
272,2022-03-10,25270,ZN
273,2022-03-11,25500,ZN
274,2022-03-14,25460,ZN
275,2022-03-16,25010,ZN
276,2022-03-17,25340,ZN
277,2022-03-24,26290,ZN
278,2022-03-28,26170,ZN
279,2022-03-29,26610,ZN
280,2022-03-30,26610,ZN
281,2022-03-31,26720,ZN
282,2022-04-06,27410,ZN
283,2022-04-07,27210,ZN
284,2022-04-11,27240,ZN
285,2022-04-12,27480,ZN
286,2022-04-13,28250,ZN
287,2022-04-14,28370,ZN
288,2022-04-18,28060,ZN
289,2022-04-19,28740,ZN
290,2022-04-20,28780,ZN
291,2022-04-21,28630,ZN
292,2022-04-22,28520,ZN
293,2022-04-25,27750,ZN
294,2022-04-26,27520,ZN
295,2022-04-28,27700,ZN
296,2022-05-05,27480,ZN
297,2022-05-06,27090,ZN
298,2022-05-09,26330,ZN
299,2022-05-10,25740,ZN
300,2022-05-11,25700,ZN
301,2022-05-12,25890,ZN
302,2022-05-13,25390,ZN
303,2022-05-16,25550,ZN
304,2022-05-17,25960,ZN
305,2022-05-18,25740,ZN
306,2022-05-19,25690,ZN
307,2022-05-23,25530,ZN
308,2022-05-24,25690,ZN
309,2022-05-25,25770,ZN
310,2022-05-26,25560,ZN
311,2022-05-27,25880,ZN
312,2022-05-30,26170,ZN
313,2022-05-31,26210,ZN
314,2022-06-01,26200,ZN
315,2022-06-02,26370,ZN
316,2022-06-06,26440,ZN
317,2022-06-07,26120,ZN
318,2022-06-08,26320,ZN
319,2022-06-09,26440,ZN
320,2022-06-10,26090,ZN
321,2022-06-13,25960,ZN
322,2022-06-14,25970,ZN
323,2022-06-15,26060,ZN
324,2022-06-16,26230,ZN
325,2022-06-17,25810,ZN
326,2022-06-20,25430,ZN
327,2022-06-21,25500,ZN
328,2022-06-22,25610,ZN
329,2022-06-23,25160,ZN
330,2022-06-24,24760,ZN
331,2022-06-27,23800,ZN
332,2022-06-28,23950,ZN
333,2022-06-29,24270,ZN
334,2022-06-30,24200,ZN
335,2022-07-01,23290,ZN
336,2022-07-04,23070,ZN
337,2022-07-05,23570,ZN
338,2022-07-06,22890,ZN
339,2022-07-07,23270,ZN
340,2022-07-08,23880,ZN
341,2022-07-11,23860,ZN
342,2022-07-12,24090,ZN
343,2022-07-13,23760,ZN
344,2022-07-14,22610,ZN
345,2022-07-15,22410,ZN
346,2022-07-18,22850,ZN
347,2022-07-19,22820,ZN
348,2022-07-20,22950,ZN
349,2022-07-21,22930,ZN
350,2022-07-22,22940,ZN
351,2022-07-25,23020,ZN
352,2022-07-26,23180,ZN
353,2022-07-27,23090,ZN
354,2022-07-28,23670,ZN
355,2022-07-29,24270,ZN
356,2022-08-01,24550,ZN
357,2022-08-02,24400,ZN
358,2022-08-03,24140,ZN
359,2022-08-04,24180,ZN
360,2022-08-05,24860,ZN
361,2022-08-08,24560,ZN
362,2022-08-09,24570,ZN
363,2022-08-10,25220,ZN
364,2022-08-11,25640,ZN
365,2022-08-12,25490,ZN
366,2022-08-15,25010,ZN
367,2022-08-16,25190,ZN
368,2022-08-17,25750,ZN
369,2022-08-18,25090,ZN
370,2022-08-19,25010,ZN
371,2022-08-22,25300,ZN
372,2022-08-23,25690,ZN
373,2022-08-24,25470,ZN
374,2022-08-25,25740,ZN
375,2022-08-26,25990,ZN
376,2022-08-29,25630,ZN
377,2022-08-30,25510,ZN
378,2022-08-31,25570,ZN
379,2022-09-01,25230,ZN
380,2022-09-02,24460,ZN
381,2022-09-05,24580,ZN
382,2022-09-06,24960,ZN
383,2022-09-07,24800,ZN
384,2022-09-08,24660,ZN
385,2022-09-09,25280,ZN
386,2022-09-13,25480,ZN
387,2022-09-14,25510,ZN
388,2022-09-15,25450,ZN
389,2022-09-16,25130,ZN
390,2022-09-19,25260,ZN
391,2022-09-20,25200,ZN
392,2022-09-21,25170,ZN
393,2022-09-22,25170,ZN
394,2022-09-23,25210,ZN
395,2022-09-26,24770,ZN
396,2022-09-27,24580,ZN
397,2022-09-28,24250,ZN
398,2022-09-29,24600,ZN
399,2022-09-30,24790,ZN
400,2022-10-10,25200,ZN
401,2022-10-11,25850,ZN
402,2022-10-12,25460,ZN
403,2022-10-13,25560,ZN
404,2022-10-14,25570,ZN
405,2022-10-17,25450,ZN
406,2022-10-18,25250,ZN
407,2022-10-19,25650,ZN
408,2022-10-20,25820,ZN
409,2022-10-21,25890,ZN
410,2022-10-24,25040,ZN
411,2022-10-25,24870,ZN
412,2022-10-26,24680,ZN
413,2022-10-27,24810,ZN
414,2022-10-28,24530,ZN
415,2022-10-31,23780,ZN
416,2022-11-01,23420,ZN
