,date,cashPrice,code
0,2023-07-28,10900,BR
1,2023-07-31,10900,BR
2,2023-08-01,10900,BR
3,2023-08-02,10900,BR
4,2023-08-03,11100,BR
5,2023-08-04,11100,BR
6,2023-08-07,11100,BR
7,2023-08-08,11100,BR
8,2023-08-09,11100,BR
9,2023-08-10,11100,BR
10,2023-08-11,11300,BR
11,2023-08-14,11300,BR
12,2023-08-15,11300,BR
13,2023-08-16,11300,BR
14,2023-08-17,11300,BR
15,2023-08-18,11300,BR
16,2023-08-21,11300,BR
17,2023-08-22,11300,BR
18,2023-08-23,11300,BR
19,2023-08-24,11300,BR
20,2023-08-25,11500,BR
21,2023-08-28,11500,BR
22,2023-08-29,11800,BR
23,2023-08-30,11800,BR
24,2023-08-31,11800,BR
25,2023-09-01,12300,BR
26,2023-09-04,13300,BR
27,2023-09-05,13300,BR
28,2023-09-06,13300,BR
29,2023-09-07,13300,BR
30,2023-09-08,13300,BR
31,2023-09-11,13300,BR
32,2023-09-12,13700,BR
33,2023-09-13,13700,BR
34,2023-09-14,13700,BR
35,2023-09-15,14000,BR
36,2023-09-18,14000,BR
37,2023-09-19,14000,BR
38,2023-09-20,14000,BR
39,2023-09-21,14000,BR
40,2023-09-22,14000,BR
41,2023-09-25,13500,BR
42,2023-09-26,13500,BR
43,2023-09-27,13000,BR
44,2023-09-28,13000,BR
45,2023-10-09,12600,BR
46,2023-10-10,12600,BR
47,2023-10-11,12600,BR
48,2023-10-12,12600,BR
49,2023-10-13,12600,BR
50,2023-10-16,12600,BR
51,2023-10-17,12600,BR
52,2023-10-18,12600,BR
53,2023-10-19,12600,BR
54,2023-10-20,12400,BR
55,2023-10-23,12400,BR
56,2023-10-24,12400,BR
57,2023-10-25,12400,BR
58,2023-10-26,12400,BR
59,2023-10-27,12600,BR
60,2023-10-30,12600,BR
61,2023-10-31,12600,BR
62,2023-11-01,12600,BR
63,2023-11-02,12600,BR
64,2023-11-03,12600,BR
65,2023-11-06,12600,BR
66,2023-11-07,12600,BR
67,2023-11-08,12400,BR
68,2023-11-09,12400,BR
69,2023-11-10,12100,BR
70,2023-11-13,12100,BR
