,date,cashPrice,code
0,2018-11-14,3700,BU
1,2018-11-15,3700,BU
2,2018-11-16,3700,BU
3,2018-11-19,3700,BU
4,2018-11-20,3650,BU
5,2018-11-21,3650,BU
6,2018-11-22,3600,BU
7,2018-11-23,3600,BU
8,2018-11-26,3600,BU
9,2018-11-27,3250,BU
10,2018-11-28,3250,BU
11,2018-11-29,3250,BU
12,2018-11-30,3250,BU
13,2018-12-03,3250,BU
14,2018-12-04,3200,BU
15,2018-12-05,3150,BU
16,2018-12-06,3150,BU
17,2018-12-07,3150,BU
18,2018-12-10,3150,BU
19,2018-12-11,3150,BU
20,2018-12-12,3000,BU
21,2018-12-13,3000,BU
22,2018-12-14,3000,BU
23,2018-12-17,2950,BU
24,2018-12-18,2950,BU
25,2018-12-19,2950,BU
26,2018-12-20,2950,BU
27,2018-12-21,2950,BU
28,2018-12-24,2850,BU
29,2018-12-25,2850,BU
30,2018-12-26,2850,BU
31,2018-12-27,2850,BU
32,2018-12-28,2850,BU
33,2019-01-02,2800,BU
34,2019-01-03,2800,BU
35,2019-01-04,2800,BU
36,2019-01-07,2800,BU
37,2019-01-08,2800,BU
38,2019-01-09,2800,BU
39,2019-01-10,2800,BU
40,2019-01-11,2800,BU
41,2019-07-16,3350,BU
42,2019-07-19,3350,BU
43,2019-07-22,3350,BU
44,2019-07-23,3350,BU
45,2019-07-24,3350,BU
46,2019-07-25,3350,BU
47,2019-07-26,3375,BU
48,2019-07-29,3450,BU
49,2019-07-30,3450,BU
50,2019-07-31,3450,BU
51,2019-08-01,3450,BU
52,2019-08-02,3450,BU
53,2019-08-05,3450,BU
54,2019-08-06,3450,BU
55,2019-08-07,3450,BU
56,2019-08-08,3450,BU
57,2019-08-09,3450,BU
58,2019-08-12,3450,BU
59,2019-08-13,3450,BU
60,2019-08-14,3450,BU
61,2019-08-15,3450,BU
62,2019-08-16,3450,BU
63,2019-08-19,3450,BU
64,2019-08-20,3450,BU
65,2019-08-21,3450,BU
66,2019-08-22,3450,BU
67,2019-08-23,3450,BU
68,2019-08-26,3450,BU
69,2019-08-27,3450,BU
70,2019-08-28,3450,BU
71,2019-08-29,3450,BU
72,2019-08-30,3450,BU
73,2019-09-02,3450,BU
74,2019-09-03,3450,BU
75,2019-09-04,3450,BU
76,2019-09-05,3450,BU
77,2019-09-06,3450,BU
78,2019-09-09,3450,BU
79,2019-09-10,3450,BU
80,2019-09-11,3450,BU
81,2019-09-12,3450,BU
82,2019-09-16,3450,BU
83,2019-09-17,3450,BU
84,2019-09-18,3450,BU
85,2019-09-19,3450,BU
86,2019-09-20,3550,BU
87,2019-09-23,3550,BU
88,2019-09-24,3550,BU
89,2019-09-25,3550,BU
90,2019-09-26,3650,BU
91,2019-09-27,3650,BU
92,2019-09-30,3650,BU
93,2019-10-10,3650,BU
94,2019-10-11,3625,BU
95,2019-10-14,3600,BU
96,2019-10-17,3600,BU
97,2019-10-18,3600,BU
98,2019-10-21,3600,BU
99,2019-10-24,3575,BU
100,2019-10-25,3575,BU
101,2019-10-28,3575,BU
102,2019-10-31,3475,BU
103,2019-11-01,3450,BU
104,2019-11-04,3375,BU
105,2019-11-05,3375,BU
106,2019-11-06,3375,BU
107,2019-11-07,3375,BU
108,2019-11-08,3375,BU
109,2019-11-11,3325,BU
110,2019-11-12,3325,BU
111,2019-11-13,3325,BU
112,2019-11-14,3325,BU
113,2019-11-15,3325,BU
114,2019-11-18,3325,BU
115,2019-11-19,3300,BU
116,2019-11-20,3300,BU
117,2019-11-21,3300,BU
118,2019-11-22,3300,BU
119,2019-11-25,3300,BU
120,2019-11-26,3300,BU
121,2019-11-27,3300,BU
122,2019-11-28,3300,BU
123,2019-11-29,3300,BU
124,2019-12-02,3200,BU
125,2019-12-03,3200,BU
126,2019-12-04,3200,BU
127,2019-12-05,3200,BU
128,2019-12-06,3200,BU
129,2019-12-09,3200,BU
130,2019-12-10,3200,BU
131,2019-12-11,3200,BU
132,2019-12-12,3200,BU
133,2019-12-13,3200,BU
134,2019-12-16,3200,BU
135,2019-12-17,3200,BU
136,2019-12-18,3200,BU
137,2019-12-19,3200,BU
138,2019-12-20,3225,BU
139,2019-12-23,3225,BU
140,2019-12-24,3225,BU
141,2019-12-25,3225,BU
142,2019-12-26,3225,BU
143,2019-12-27,3225,BU
144,2019-12-30,3225,BU
145,2019-12-31,3225,BU
146,2020-01-02,3250,BU
147,2020-01-03,3250,BU
148,2020-01-06,3350,BU
149,2020-01-07,3350,BU
150,2020-01-08,3350,BU
151,2020-01-09,3350,BU
152,2020-01-10,3350,BU
153,2020-01-13,3350,BU
154,2020-01-14,3350,BU
155,2020-07-16,2700,BU
156,2020-07-17,2700,BU
157,2020-07-20,2700,BU
158,2020-07-21,2700,BU
159,2020-07-22,2700,BU
160,2020-07-23,2700,BU
161,2020-07-24,2700,BU
162,2020-07-27,2780,BU
163,2020-07-28,2780,BU
164,2020-07-29,2780,BU
165,2020-07-30,2780,BU
166,2020-07-31,2780,BU
167,2020-08-03,2780,BU
168,2020-08-04,2780,BU
169,2020-08-05,2780,BU
170,2020-08-06,2780,BU
171,2020-08-07,2780,BU
172,2020-08-10,2780,BU
173,2020-08-11,2780,BU
174,2020-08-12,2780,BU
175,2020-08-13,2780,BU
176,2020-08-14,2780,BU
177,2020-08-17,2780,BU
178,2020-08-18,2780,BU
179,2020-08-19,2780,BU
180,2020-08-20,2780,BU
181,2020-08-21,2780,BU
182,2020-08-24,2725,BU
183,2020-08-25,2725,BU
184,2020-08-26,2725,BU
185,2020-08-27,2725,BU
186,2020-08-28,2725,BU
187,2020-08-31,2750,BU
188,2020-09-01,2750,BU
189,2020-09-02,2750,BU
190,2020-09-03,2750,BU
191,2020-09-04,2750,BU
192,2020-09-07,2750,BU
193,2020-09-08,2750,BU
194,2020-09-09,2750,BU
195,2020-09-10,2750,BU
196,2020-09-11,2750,BU
197,2020-09-14,2750,BU
198,2020-09-15,2750,BU
199,2020-09-16,2650,BU
200,2020-09-17,2650,BU
201,2020-09-18,2500,BU
202,2020-09-21,2500,BU
203,2020-09-22,2500,BU
204,2020-09-23,2500,BU
205,2020-09-24,2400,BU
206,2020-09-25,2400,BU
207,2020-09-28,2400,BU
208,2020-09-29,2400,BU
209,2020-09-30,2400,BU
210,2020-10-09,2400,BU
211,2020-10-12,2400,BU
212,2020-10-13,2400,BU
213,2020-10-14,2400,BU
214,2020-10-15,2400,BU
215,2020-10-16,2400,BU
216,2020-10-19,2450,BU
217,2020-10-20,2450,BU
218,2020-10-21,2450,BU
219,2020-10-22,2450,BU
220,2020-10-23,2450,BU
221,2020-10-26,2500,BU
222,2020-10-27,2500,BU
223,2020-10-28,2500,BU
224,2020-10-29,2500,BU
225,2020-10-30,2500,BU
226,2020-11-02,2500,BU
227,2020-11-03,2500,BU
228,2020-11-04,2500,BU
229,2020-11-05,2500,BU
230,2020-11-06,2500,BU
231,2020-11-09,2400,BU
232,2020-11-10,2400,BU
233,2020-11-11,2400,BU
234,2020-11-12,2400,BU
235,2020-11-13,2400,BU
236,2020-11-16,2400,BU
237,2020-11-17,2400,BU
238,2020-11-18,2400,BU
239,2020-11-19,2400,BU
240,2020-11-20,2400,BU
241,2020-11-23,2400,BU
242,2020-11-24,2430,BU
243,2020-11-25,2430,BU
244,2020-11-26,2430,BU
245,2020-11-27,2430,BU
246,2020-11-30,2460,BU
247,2020-12-01,2460,BU
248,2020-12-02,2500,BU
249,2020-12-03,2500,BU
250,2020-12-04,2500,BU
251,2020-12-07,2600,BU
252,2020-12-08,2650,BU
253,2020-12-09,2650,BU
254,2020-12-10,2650,BU
255,2020-12-11,2650,BU
256,2020-12-14,2750,BU
257,2020-12-15,2750,BU
258,2020-12-16,2750,BU
259,2020-12-17,2750,BU
260,2020-12-18,2750,BU
261,2020-12-21,2750,BU
262,2020-12-22,2800,BU
263,2020-12-23,2800,BU
264,2020-12-24,2800,BU
265,2020-12-25,2800,BU
266,2020-12-28,2800,BU
267,2020-12-29,2800,BU
268,2020-12-30,2800,BU
269,2020-12-31,2800,BU
270,2021-01-04,2800,BU
271,2021-01-05,2800,BU
272,2021-01-06,2780,BU
273,2021-01-07,2780,BU
274,2021-01-08,2780,BU
275,2021-01-11,2800,BU
276,2021-01-12,2820,BU
277,2021-01-13,2820,BU
278,2021-01-14,2820,BU
279,2021-01-15,2820,BU
280,2021-07-16,3500,BU
281,2021-07-19,3500,BU
282,2021-07-20,3500,BU
283,2021-07-21,3185,BU
284,2021-07-22,3185,BU
285,2021-07-23,3185,BU
286,2021-07-26,3250,BU
287,2021-07-27,3250,BU
288,2021-07-28,3250,BU
289,2021-07-29,3250,BU
290,2021-07-30,3250,BU
291,2021-08-02,3300,BU
292,2021-08-03,3300,BU
293,2021-08-04,3300,BU
294,2021-08-05,3300,BU
