,date,cashPrice,code
0,2019-02-13,5055,EG
1,2019-02-15,5015,EG
2,2019-02-19,4915,EG
3,2019-02-21,4950,EG
4,2019-02-22,4975,EG
5,2019-03-01,5110,EG
6,2019-03-07,5320,EG
7,2019-03-08,5230,EG
8,2019-03-11,5235,EG
9,2019-03-12,5220,EG
10,2019-03-13,5185,EG
11,2019-03-15,5140,EG
12,2019-03-19,5095,EG
13,2019-03-20,5105,EG
14,2019-03-21,5155,EG
15,2019-03-22,5105,EG
16,2019-03-27,4945,EG
17,2019-03-28,4860,EG
18,2019-03-29,4865,EG
19,2019-04-01,4775,EG
20,2019-04-03,4760,EG
21,2019-04-09,4765,EG
22,2019-04-10,4755,EG
23,2019-04-15,4685,EG
24,2019-04-16,4635,EG
25,2019-04-17,4625,EG
26,2019-04-18,4615,EG
27,2019-04-19,4645,EG
28,2019-04-23,4635,EG
29,2019-04-24,4565,EG
30,2019-04-25,4525,EG
31,2019-04-26,4475,EG
32,2019-04-29,4605,EG
33,2019-04-30,4575,EG
34,2019-05-06,4515,EG
35,2019-05-07,4515,EG
36,2019-05-09,4505,EG
37,2019-05-13,4365,EG
38,2019-05-14,4245,EG
39,2019-05-15,4265,EG
40,2019-05-16,4265,EG
41,2019-05-17,4205,EG
42,2019-05-20,4225,EG
43,2019-05-21,4255,EG
44,2019-05-22,4215,EG
45,2019-05-23,4225,EG
46,2019-05-24,4365,EG
47,2019-05-28,4305,EG
48,2019-05-29,4345,EG
49,2019-05-31,4355,EG
50,2019-06-03,4285,EG
51,2019-06-04,4315,EG
52,2019-06-10,4275,EG
53,2019-06-11,4295,EG
54,2019-06-12,4285,EG
55,2019-06-13,4305,EG
56,2019-06-14,4275,EG
57,2019-06-17,4285,EG
58,2019-06-18,4325,EG
59,2019-06-19,4375,EG
60,2019-06-20,4425,EG
61,2019-06-21,4375,EG
62,2019-06-24,4475,EG
63,2019-06-25,4455,EG
64,2019-06-26,4485,EG
65,2019-06-27,4435,EG
66,2019-06-28,4375,EG
67,2019-07-01,4400,EG
68,2019-07-02,4435,EG
69,2019-07-03,4385,EG
70,2019-07-04,4395,EG
71,2019-07-05,4405,EG
72,2019-07-08,4385,EG
73,2019-07-09,4205,EG
74,2019-07-10,4225,EG
75,2019-07-11,4265,EG
76,2019-07-12,4255,EG
77,2019-07-15,4285,EG
78,2019-07-16,4285,EG
79,2019-07-17,4355,EG
80,2019-07-18,4375,EG
81,2019-07-19,4475,EG
82,2019-07-22,4470,EG
83,2019-07-23,4380,EG
84,2019-07-24,4405,EG
85,2019-07-25,4425,EG
86,2019-07-26,4455,EG
87,2019-07-29,4545,EG
88,2019-07-30,4505,EG
89,2019-07-31,4465,EG
90,2019-08-01,4435,EG
91,2019-08-02,4390,EG
92,2019-08-05,4275,EG
93,2019-08-06,4325,EG
94,2019-08-07,4325,EG
95,2019-08-08,4375,EG
96,2019-08-09,4415,EG
97,2019-08-12,4425,EG
98,2019-08-13,4425,EG
99,2019-08-14,4435,EG
100,2019-08-15,4455,EG
101,2019-08-16,4505,EG
102,2019-08-19,4515,EG
103,2019-08-20,4525,EG
104,2019-08-21,4535,EG
105,2019-08-22,4525,EG
106,2019-08-23,4515,EG
107,2019-08-26,4600,EG
108,2019-08-27,4565,EG
109,2019-08-28,4625,EG
110,2019-08-29,4595,EG
111,2019-08-30,4585,EG
112,2019-09-02,4625,EG
113,2019-09-03,4605,EG
114,2019-09-04,4625,EG
115,2019-09-05,4685,EG
116,2019-09-06,4725,EG
117,2019-09-09,4865,EG
118,2019-09-10,4845,EG
119,2019-09-11,4865,EG
120,2019-09-12,4835,EG
121,2019-09-16,5195,EG
122,2019-09-17,5415,EG
123,2019-09-18,5145,EG
124,2019-09-19,5135,EG
125,2019-09-20,5095,EG
126,2019-09-23,5155,EG
127,2019-09-24,5185,EG
128,2019-09-25,5305,EG
