,date,cashPrice,code
0,2020-08-11,1634,FG
1,2020-08-12,1634,FG
2,2020-08-13,1680,FG
3,2020-08-14,1680,FG
4,2020-08-17,1726,FG
5,2020-08-18,1726,FG
6,2020-08-19,1726,FG
7,2020-08-20,1726,FG
8,2020-08-21,1726,FG
9,2020-08-24,1726,FG
10,2020-08-25,1759,FG
11,2020-08-26,1759,FG
12,2020-08-27,1759,FG
13,2020-08-28,1759,FG
14,2020-08-31,1759,FG
15,2020-09-01,1759,FG
16,2020-09-02,1759,FG
17,2020-09-03,1759,FG
18,2020-09-04,1759,FG
19,2020-09-07,1766,FG
20,2020-09-08,1766,FG
21,2020-09-09,1779,FG
22,2020-09-10,1779,FG
23,2020-09-11,1779,FG
24,2020-09-14,1759,FG
25,2020-09-15,1759,FG
26,2020-09-16,1759,FG
27,2020-09-17,1759,FG
28,2020-09-18,1759,FG
29,2020-09-21,1759,FG
30,2020-09-22,1759,FG
31,2020-09-23,1759,FG
32,2020-09-24,1759,FG
33,2020-09-25,1759,FG
34,2020-09-28,1762,FG
35,2020-09-29,1762,FG
36,2020-09-30,1762,FG
37,2020-10-09,1762,FG
38,2020-10-12,1763,FG
39,2020-10-13,1763,FG
40,2020-10-14,1763,FG
41,2020-10-15,1763,FG
42,2020-10-16,1770,FG
43,2020-10-19,1770,FG
44,2020-10-20,1770,FG
45,2020-10-21,1781,FG
46,2020-10-22,1788,FG
47,2020-10-23,1788,FG
48,2020-10-26,1818,FG
49,2020-10-27,1815,FG
50,2020-10-28,1815,FG
51,2020-10-29,1815,FG
52,2020-10-30,1815,FG
53,2020-11-02,1815,FG
54,2020-11-03,1815,FG
55,2020-11-04,1824,FG
56,2020-11-05,1827,FG
57,2020-11-06,1827,FG
58,2020-11-09,1837,FG
59,2020-11-10,1848,FG
60,2020-11-11,1861,FG
61,2020-11-12,1872,FG
62,2020-11-13,1877,FG
63,2020-11-16,1896,FG
64,2020-11-17,1900,FG
65,2020-11-18,1906,FG
66,2020-11-19,1921,FG
67,2020-11-20,1917,FG
68,2020-11-23,1921,FG
69,2020-11-24,1921,FG
70,2020-11-25,1920,FG
71,2020-11-26,1920,FG
72,2020-11-27,1920,FG
73,2020-11-30,1920,FG
74,2020-12-01,1920,FG
75,2020-12-02,1920,FG
76,2020-12-03,1922,FG
77,2020-12-04,1922,FG
78,2020-12-07,1920,FG
79,2020-12-08,1920,FG
80,2020-12-09,1920,FG
81,2020-12-10,1936,FG
82,2020-12-11,1936,FG
83,2020-12-14,2006,FG
84,2020-12-15,2014,FG
85,2020-12-16,2027,FG
86,2020-12-17,2059,FG
87,2020-12-18,2059,FG
88,2020-12-21,2056,FG
89,2020-12-22,2061,FG
90,2020-12-23,2085,FG
91,2020-12-24,2085,FG
92,2020-12-25,2085,FG
93,2020-12-28,2080,FG
94,2020-12-29,2080,FG
95,2020-12-30,2080,FG
96,2020-12-31,2080,FG
97,2021-01-04,2069,FG
98,2021-01-05,2066,FG
99,2021-01-06,2066,FG
100,2021-01-07,2026,FG
101,2021-01-08,2007,FG
102,2021-01-11,2000,FG
103,2021-01-13,1975,FG
104,2021-01-14,1969,FG
105,2021-01-18,1879,FG
106,2021-01-19,1824,FG
107,2021-01-20,1789,FG
108,2021-01-21,1789,FG
109,2021-01-22,1789,FG
110,2021-01-25,1807,FG
111,2021-01-26,1807,FG
112,2021-01-27,1807,FG
113,2021-01-28,1807,FG
114,2021-01-29,1807,FG
115,2021-02-01,1823,FG
116,2021-02-02,1823,FG
117,2021-02-03,1823,FG
118,2021-02-04,1823,FG
119,2021-02-05,1828,FG
120,2021-02-08,1828,FG
121,2021-02-09,1828,FG
122,2021-02-10,1828,FG
123,2021-02-18,1841,FG
124,2021-02-19,1848,FG
125,2021-02-22,1892,FG
126,2021-02-23,1897,FG
127,2021-02-24,1910,FG
128,2021-02-25,1910,FG
129,2021-02-26,1910,FG
130,2021-03-01,1922,FG
131,2021-03-02,1941,FG
132,2021-03-03,1941,FG
133,2021-03-04,1949,FG
134,2021-03-05,1959,FG
135,2021-03-08,1997,FG
136,2021-03-09,2004,FG
137,2021-03-10,2017,FG
138,2021-03-11,2043,FG
139,2021-03-12,2043,FG
140,2021-03-15,2043,FG
141,2021-03-16,2036,FG
142,2021-03-18,2036,FG
143,2021-03-19,2036,FG
144,2021-03-22,2036,FG
145,2021-03-23,2036,FG
146,2021-03-24,2036,FG
147,2021-03-25,2036,FG
148,2021-03-26,2036,FG
149,2021-03-29,2036,FG
150,2021-03-30,2036,FG
151,2021-03-31,2036,FG
152,2021-04-01,2044,FG
153,2021-04-02,2044,FG
154,2021-04-06,2063,FG
155,2021-04-07,2063,FG
156,2021-04-08,2071,FG
157,2021-04-09,2071,FG
158,2021-04-12,2099,FG
