,date,cashPrice,code
0,2020-06-22,2163,LU
1,2020-06-23,2202,LU
2,2020-06-24,2123,LU
3,2020-06-29,1990,LU
4,2020-06-30,2055,LU
5,2020-07-01,2179,LU
6,2020-07-02,2211,LU
7,2020-07-03,2201,LU
8,2020-07-06,2244,LU
9,2020-07-07,2180,LU
10,2020-07-08,2209,LU
11,2020-07-09,2218,LU
12,2020-07-13,2189,LU
13,2020-07-14,2161,LU
14,2020-07-17,2213,LU
15,2020-07-20,2183,LU
16,2020-07-21,2277,LU
17,2020-07-23,2368,LU
18,2020-07-27,2260,LU
19,2020-07-28,2278,LU
20,2020-07-29,2328,LU
21,2020-07-30,2304,LU
22,2020-08-03,2248,LU
23,2020-08-04,2223,LU
24,2020-08-05,2266,LU
25,2020-08-06,2251,LU
26,2020-08-07,2234,LU
27,2020-08-11,2262,LU
28,2020-08-12,2283,LU
29,2020-08-13,2300,LU
30,2020-08-14,2278,LU
31,2020-08-17,2285,LU
32,2020-08-18,2317,LU
33,2020-08-19,2277,LU
34,2020-08-24,2248,LU
35,2020-08-25,2291,LU
36,2020-08-26,2295,LU
37,2020-08-27,2275,LU
38,2020-08-28,2216,LU
39,2020-08-31,2288,LU
40,2020-09-01,2186,LU
41,2020-09-02,2257,LU
42,2020-09-03,2142,LU
43,2020-09-04,2145,LU
44,2020-09-07,2047,LU
45,2020-09-08,2008,LU
46,2020-09-09,1965,LU
47,2020-09-10,2005,LU
48,2020-09-14,2002,LU
49,2020-09-15,1990,LU
50,2020-09-16,2112,LU
51,2020-09-17,2098,LU
52,2020-09-18,2150,LU
53,2020-09-21,2103,LU
54,2020-09-22,2079,LU
55,2020-09-23,2108,LU
56,2020-09-24,2084,LU
57,2020-09-25,2154,LU
58,2020-09-28,2140,LU
59,2020-09-29,2157,LU
60,2020-09-30,2126,LU
61,2020-10-09,2201,LU
62,2020-10-12,2186,LU
63,2020-10-13,2195,LU
64,2020-10-14,2187,LU
65,2020-10-19,2180,LU
66,2020-10-20,2147,LU
67,2020-10-21,2136,LU
68,2020-10-22,2128,LU
69,2020-10-23,2157,LU
70,2020-10-27,2089,LU
71,2020-10-28,2057,LU
72,2020-10-29,2036,LU
73,2020-10-30,2001,LU
74,2020-11-02,1923,LU
75,2020-11-03,2092,LU
76,2020-11-04,2082,LU
77,2020-11-05,2124,LU
78,2020-11-06,2111,LU
79,2020-11-09,2128,LU
80,2020-11-10,2242,LU
81,2020-11-11,2328,LU
82,2020-11-12,2274,LU
83,2020-11-13,2219,LU
84,2020-11-16,2253,LU
85,2020-11-17,2255,LU
86,2020-11-18,2288,LU
87,2020-11-19,2283,LU
88,2020-11-20,2293,LU
89,2020-11-23,2343,LU
90,2020-11-24,2362,LU
91,2020-11-25,2421,LU
92,2020-11-26,2413,LU
93,2020-11-27,2394,LU
94,2020-11-30,2395,LU
95,2020-12-01,2403,LU
96,2020-12-02,2346,LU
97,2020-12-03,2402,LU
98,2020-12-04,2468,LU
99,2020-12-07,2399,LU
100,2020-12-08,2395,LU
101,2020-12-09,2431,LU
102,2020-12-10,2415,LU
103,2020-12-11,2475,LU
104,2020-12-14,2496,LU
105,2020-12-15,2464,LU
106,2020-12-16,2496,LU
107,2020-12-17,2539,LU
108,2020-12-18,2531,LU
109,2020-12-21,2491,LU
110,2020-12-22,2478,LU
111,2020-12-23,2440,LU
112,2020-12-24,2561,LU
113,2020-12-29,2554,LU
114,2020-12-30,2574,LU
115,2020-12-31,2578,LU
116,2021-01-04,2647,LU
117,2021-01-05,2566,LU
118,2021-01-06,2668,LU
119,2021-01-07,2699,LU
120,2021-01-08,2715,LU
121,2021-01-11,2761,LU
