,date,cashPrice,code
0,2018-11-14,9460,L
1,2018-11-16,9446,L
2,2018-11-20,9460,L
3,2018-11-23,9288,L
4,2018-11-26,9228,L
5,2018-11-27,9118,L
6,2018-11-29,9198,L
7,2018-11-30,9200,L
8,2018-12-03,9250,L
9,2018-12-04,9330,L
10,2018-12-07,9380,L
11,2018-12-10,9440,L
12,2018-12-13,9374,L
13,2018-12-17,9370,L
14,2018-12-19,9380,L
15,2018-12-25,9250,L
16,2018-12-26,9240,L
17,2018-12-27,9250,L
18,2018-12-28,9260,L
19,2019-01-03,9300,L
20,2019-01-04,9290,L
21,2019-01-08,9300,L
22,2019-01-09,9294,L
23,2019-01-10,9284,L
24,2019-01-11,9274,L
25,2019-01-14,9244,L
26,2019-01-16,9180,L
27,2019-01-17,9180,L
28,2019-01-18,9075,L
29,2019-01-21,9190,L
30,2019-01-28,9013,L
31,2019-01-29,9003,L
32,2019-01-30,9000,L
33,2019-01-31,8913,L
34,2019-02-01,8950,L
35,2019-02-12,9000,L
36,2019-02-13,8650,L
37,2019-02-14,8550,L
38,2019-02-15,8568,L
39,2019-02-19,8575,L
40,2019-02-20,8665,L
41,2019-02-21,8650,L
42,2019-02-22,8650,L
43,2019-02-25,8600,L
44,2019-02-26,8650,L
45,2019-02-27,8605,L
46,2019-02-28,8600,L
47,2019-03-01,8589,L
48,2019-03-04,8785,L
49,2019-03-05,8785,L
50,2019-03-06,8800,L
51,2019-03-07,8710,L
52,2019-03-08,8650,L
53,2019-03-11,8600,L
54,2019-03-12,8735,L
55,2019-03-13,8705,L
56,2019-03-14,8665,L
57,2019-03-15,8650,L
58,2019-03-19,8575,L
59,2019-03-20,8645,L
60,2019-03-21,8625,L
61,2019-03-22,8750,L
62,2019-03-27,8600,L
63,2019-03-28,8635,L
64,2019-03-29,8650,L
65,2019-04-01,8650,L
66,2019-04-03,8630,L
67,2019-04-09,8675,L
68,2019-04-10,8650,L
69,2019-04-15,8600,L
70,2019-04-16,8600,L
71,2019-04-17,8550,L
72,2019-04-18,8500,L
73,2019-04-19,8650,L
74,2019-04-23,8430,L
75,2019-04-24,8400,L
76,2019-04-25,8325,L
77,2019-04-26,8300,L
78,2019-04-29,8270,L
79,2019-04-30,8255,L
80,2019-05-06,8400,L
81,2019-05-07,8205,L
82,2019-05-09,8300,L
83,2019-05-13,8000,L
84,2019-05-14,8000,L
85,2019-05-15,8000,L
86,2019-05-16,7815,L
87,2019-05-17,7815,L
88,2019-05-20,7965,L
89,2019-05-21,8045,L
90,2019-05-22,7905,L
91,2019-05-23,7950,L
92,2019-05-24,7850,L
93,2019-05-28,8000,L
94,2019-05-29,8050,L
95,2019-05-31,8050,L
96,2019-06-03,8050,L
97,2019-06-04,7950,L
98,2019-06-10,7850,L
99,2019-06-11,7850,L
100,2019-06-12,7850,L
101,2019-06-13,7750,L
102,2019-06-14,7750,L
103,2019-06-17,7800,L
104,2019-06-18,7800,L
105,2019-06-19,7800,L
106,2019-06-20,7800,L
107,2019-06-21,7800,L
108,2019-06-24,7800,L
109,2019-06-25,7850,L
110,2019-06-26,7850,L
111,2019-06-27,7900,L
112,2019-06-28,7900,L
113,2019-07-01,7900,L
114,2019-07-02,7900,L
115,2019-07-03,8000,L
116,2019-07-04,8000,L
117,2019-07-05,8050,L
118,2019-07-08,8050,L
119,2019-07-09,8150,L
120,2019-07-10,8150,L
121,2019-07-11,8060,L
122,2019-07-12,8010,L
123,2019-07-15,7960,L
124,2019-07-16,7930,L
125,2019-07-17,7884,L
126,2019-07-18,7804,L
127,2019-07-19,7764,L
128,2019-07-22,7760,L
129,2019-07-23,7740,L
130,2019-07-24,7720,L
131,2019-07-25,7670,L
132,2019-07-26,7670,L
133,2019-07-29,7670,L
134,2019-07-30,7690,L
135,2019-07-31,7704,L
136,2019-08-01,7724,L
137,2019-08-02,7700,L
138,2019-08-05,7666,L
139,2019-08-06,7560,L
140,2019-08-07,7510,L
141,2019-08-08,7494,L
142,2019-08-09,7494,L
143,2019-08-12,7540,L
144,2019-08-13,7558,L
145,2019-08-14,7564,L
146,2019-08-15,7524,L
147,2019-08-16,7504,L
148,2019-08-19,7494,L
149,2019-08-20,7496,L
150,2019-08-21,7492,L
151,2019-08-22,7460,L
152,2019-08-23,7386,L
153,2019-08-26,7356,L
154,2019-08-27,7250,L
155,2019-08-28,7246,L
156,2019-08-29,7224,L
157,2019-08-30,7200,L
158,2019-09-02,7180,L
159,2019-09-03,7203,L
160,2019-09-04,7229,L
161,2019-09-05,7273,L
162,2019-09-06,7285,L
163,2019-09-09,7306,L
164,2019-09-10,7375,L
165,2019-09-11,7325,L
166,2019-09-12,7343,L
167,2019-09-16,7556,L
168,2019-09-17,7819,L
169,2019-09-18,7706,L
170,2019-09-19,7706,L
171,2019-09-20,7729,L
172,2019-09-23,7717,L
173,2019-09-24,7621,L
174,2019-09-25,7619,L
175,2019-09-26,7600,L
176,2019-09-27,7529,L
177,2019-09-30,7525,L
178,2019-10-08,7488,L
179,2019-10-09,7449,L
180,2019-10-10,7419,L
181,2019-10-11,7411,L
182,2019-10-14,7529,L
183,2019-10-15,7526,L
184,2019-10-16,7487,L
185,2019-10-17,7419,L
186,2019-10-18,7375,L
187,2019-10-21,7368,L
188,2019-10-22,7361,L
189,2019-10-23,7369,L
190,2019-10-24,7406,L
191,2019-10-25,7384,L
192,2019-10-28,7364,L
193,2019-10-29,7340,L
194,2019-10-30,7337,L
195,2019-10-31,7326,L
196,2019-11-01,7303,L
197,2019-11-04,7311,L
198,2019-11-05,7333,L
199,2019-11-06,7335,L
200,2019-11-07,7326,L
201,2019-11-08,7306,L
202,2019-11-11,7289,L
203,2019-11-12,7241,L
204,2019-11-13,7235,L
205,2019-11-14,7219,L
206,2019-11-15,7189,L
207,2019-11-18,7191,L
208,2019-11-19,7216,L
209,2019-11-20,7219,L
210,2019-11-21,7200,L
211,2019-11-22,7258,L
212,2019-11-25,7266,L
213,2019-11-26,7277,L
214,2019-11-27,7289,L
215,2019-11-28,7281,L
216,2019-11-29,7299,L
217,2019-12-02,7354,L
218,2019-12-03,7365,L
219,2019-12-04,7353,L
220,2019-12-05,7340,L
221,2019-12-06,7312,L
222,2019-12-09,7364,L
223,2019-12-10,7320,L
224,2019-12-11,7310,L
225,2019-12-12,7274,L
226,2019-12-13,7283,L
227,2019-12-16,7323,L
228,2019-12-17,7314,L
229,2019-12-18,7282,L
230,2019-12-19,7273,L
231,2019-12-20,7250,L
232,2019-12-23,7268,L
233,2019-12-24,7268,L
234,2019-12-25,7276,L
235,2019-12-26,7287,L
236,2019-12-27,7317,L
237,2019-12-30,7329,L
238,2019-12-31,7320,L
239,2020-01-02,7306,L
240,2020-01-03,7282,L
241,2020-01-06,7311,L
242,2020-01-07,7325,L
243,2020-01-08,7364,L
244,2020-01-09,7345,L
245,2020-01-10,7337,L
246,2020-01-13,7354,L
247,2020-01-14,7360,L
248,2020-01-15,7352,L
249,2020-01-16,7333,L
250,2020-01-17,7318,L
251,2020-01-20,7306,L
252,2020-01-21,7310,L
253,2020-01-22,7295,L
254,2020-01-23,7295,L
255,2020-02-03,7235,L
256,2020-02-04,7168,L
257,2020-02-05,7100,L
258,2020-02-06,7067,L
259,2020-02-07,7040,L
260,2020-02-10,6980,L
261,2020-02-11,6862,L
262,2020-02-12,6811,L
263,2020-02-13,6738,L
264,2020-02-14,6674,L
265,2020-02-17,6670,L
266,2020-02-18,6716,L
267,2020-02-19,6768,L
268,2020-02-20,6860,L
269,2020-02-21,6872,L
270,2020-02-24,6916,L
271,2020-02-25,6844,L
272,2020-02-26,6885,L
273,2020-02-27,6877,L
274,2020-02-28,6841,L
275,2020-03-02,6835,L
276,2020-03-03,6904,L
277,2020-03-04,6943,L
278,2020-03-05,6958,L
279,2020-03-06,6949,L
280,2020-03-09,6831,L
281,2020-03-10,6799,L
282,2020-03-11,6865,L
283,2020-03-12,6792,L
284,2020-03-13,6727,L
285,2020-03-16,6729,L
286,2020-03-17,6660,L
287,2020-03-18,6613,L
288,2020-03-19,6487,L
289,2020-03-20,6533,L
290,2020-03-23,6419,L
291,2020-03-24,6376,L
292,2020-03-25,6319,L
293,2020-03-26,6225,L
294,2020-03-27,6031,L
295,2020-03-30,5852,L
296,2020-03-31,5900,L
297,2020-04-01,5800,L
298,2020-04-02,5750,L
299,2020-04-03,5800,L
300,2020-04-07,6200,L
301,2020-04-08,6370,L
302,2020-04-09,6398,L
303,2020-04-10,6482,L
304,2020-04-13,6864,L
305,2020-04-14,6903,L
306,2020-04-15,6811,L
307,2020-04-16,6671,L
308,2020-04-17,6654,L
309,2020-04-20,6469,L
310,2020-04-21,6161,L
311,2020-04-22,6026,L
312,2020-04-23,6134,L
313,2020-04-24,6269,L
314,2020-04-27,6369,L
315,2020-04-28,6342,L
316,2020-04-29,6321,L
317,2020-04-30,6331,L
318,2020-05-06,6531,L
319,2020-05-07,6670,L
320,2020-05-08,6504,L
321,2020-05-11,6474,L
322,2020-05-12,6288,L
323,2020-05-13,6321,L
324,2020-05-14,6326,L
325,2020-05-15,6404,L
326,2020-05-18,6468,L
327,2020-05-19,6523,L
328,2020-05-20,6484,L
329,2020-05-21,6564,L
330,2020-05-22,6532,L
331,2020-05-25,6544,L
332,2020-05-26,6570,L
333,2020-05-27,6565,L
334,2020-05-28,6566,L
335,2020-05-29,6634,L
336,2020-06-01,6723,L
337,2020-06-02,6813,L
338,2020-06-03,6874,L
339,2020-06-04,6807,L
340,2020-06-05,6744,L
341,2020-06-08,6754,L
342,2020-06-09,6734,L
343,2020-06-10,6779,L
344,2020-06-11,6767,L
345,2020-06-12,6736,L
346,2020-06-15,6787,L
347,2020-06-16,6824,L
348,2020-06-17,6868,L
349,2020-06-18,6899,L
350,2020-06-19,6941,L
351,2020-06-22,6898,L
352,2020-06-23,6894,L
353,2020-06-24,6919,L
354,2020-06-29,6986,L
355,2020-06-30,7006,L
356,2020-07-01,7021,L
357,2020-07-02,7014,L
358,2020-07-03,7084,L
359,2020-07-06,7266,L
360,2020-07-07,7381,L
361,2020-07-08,7536,L
362,2020-07-09,7446,L
363,2020-07-10,7394,L
364,2020-07-13,7383,L
365,2020-07-14,7363,L
366,2020-07-15,7350,L
367,2020-07-16,7300,L
368,2020-07-17,7283,L
369,2020-07-20,7261,L
370,2020-07-21,7257,L
371,2020-07-22,7255,L
372,2020-07-23,7186,L
373,2020-07-24,7152,L
374,2020-07-27,7168,L
375,2020-07-28,7196,L
376,2020-07-29,7202,L
377,2020-07-30,7215,L
378,2020-07-31,7187,L
379,2020-08-03,7215,L
380,2020-08-04,7229,L
381,2020-08-05,7284,L
382,2020-08-06,7251,L
383,2020-08-07,7198,L
384,2020-08-10,7173,L
385,2020-08-11,7177,L
386,2020-08-12,7160,L
387,2020-08-13,7131,L
388,2020-08-14,7117,L
389,2020-08-17,7151,L
390,2020-08-18,7188,L
391,2020-08-19,7244,L
392,2020-08-20,7225,L
393,2020-08-21,7219,L
394,2020-08-24,7227,L
395,2020-08-25,7265,L
396,2020-08-26,7310,L
397,2020-08-27,7367,L
398,2020-08-28,7369,L
399,2020-08-31,7500,L
400,2020-09-01,7518,L
401,2020-09-02,7621,L
402,2020-09-03,7698,L
403,2020-09-04,7677,L
404,2020-09-07,7655,L
405,2020-09-08,7624,L
406,2020-09-09,7531,L
407,2020-09-10,7542,L
408,2020-09-11,7464,L
409,2020-09-14,7464,L
410,2020-09-15,7452,L
411,2020-09-16,7420,L
412,2020-09-17,7478,L
413,2020-09-18,7472,L
414,2020-09-21,7490,L
415,2020-09-22,7468,L
416,2020-09-23,7368,L
417,2020-09-24,7348,L
418,2020-09-25,7402,L
419,2020-09-28,7421,L
420,2020-09-29,7411,L
