,date,cashPrice,code
0,2023-09-15,2838,SH
1,2023-09-18,2928,SH
2,2023-09-19,3047,SH
3,2023-09-20,3075,SH
4,2023-09-21,3113,SH
5,2023-09-22,3191,SH
6,2023-09-25,3191,SH
7,2023-09-26,3191,SH
8,2023-09-27,3191,SH
9,2023-09-28,3191,SH
10,2023-10-09,3178,SH
11,2023-10-10,3178,SH
12,2023-10-11,3178,SH
13,2023-10-12,3178,SH
14,2023-10-13,3166,SH
15,2023-10-16,3166,SH
16,2023-10-17,3125,SH
17,2023-10-18,3081,SH
18,2023-10-19,3038,SH
19,2023-10-20,2988,SH
20,2023-10-23,2900,SH
21,2023-10-24,2800,SH
22,2023-10-25,2750,SH
23,2023-10-26,2706,SH
24,2023-10-27,2631,SH
25,2023-10-30,2581,SH
26,2023-10-31,2581,SH
27,2023-11-01,2569,SH
28,2023-11-02,2569,SH
29,2023-11-03,2569,SH
30,2023-11-06,2569,SH
31,2023-11-07,2575,SH
32,2023-11-08,2575,SH
33,2023-11-09,2613,SH
34,2023-11-10,2613,SH
35,2023-11-13,2613,SH
