,date,cashPrice,code
0,2019-08-09,4500,SP
1,2019-08-12,4500,SP
2,2019-08-13,4500,SP
3,2019-08-14,4500,SP
4,2019-08-15,4500,SP
5,2019-08-16,4500,SP
6,2019-08-19,4500,SP
7,2019-08-20,4500,SP
8,2019-08-21,4500,SP
9,2019-08-22,4500,SP
10,2019-08-23,4500,SP
11,2019-08-26,4500,SP
12,2019-08-27,4500,SP
13,2019-08-28,4500,SP
14,2019-08-29,4500,SP
15,2019-08-30,4500,SP
16,2019-09-02,4550,SP
17,2019-09-03,4550,SP
18,2019-09-04,4550,SP
19,2019-09-05,4550,SP
20,2019-09-06,4550,SP
21,2019-09-09,4550,SP
22,2019-09-10,4550,SP
23,2019-09-11,4550,SP
24,2019-09-12,4550,SP
25,2019-09-16,4550,SP
26,2019-09-17,4550,SP
27,2019-09-18,4550,SP
28,2019-09-19,4550,SP
29,2019-09-20,4550,SP
30,2019-09-23,4550,SP
31,2019-09-24,4550,SP
32,2019-09-25,4550,SP
33,2019-09-26,4550,SP
34,2019-09-27,4550,SP
35,2019-09-30,4550,SP
36,2019-10-08,4550,SP
37,2019-10-09,4550,SP
38,2019-10-10,4550,SP
39,2019-10-11,4550,SP
40,2019-10-14,4550,SP
41,2019-10-15,4550,SP
42,2019-10-16,4550,SP
43,2019-10-17,4550,SP
44,2019-10-18,4500,SP
45,2019-10-21,4500,SP
46,2019-10-22,4500,SP
47,2019-10-23,4500,SP
48,2019-10-24,4500,SP
49,2019-10-25,4500,SP
50,2019-10-28,4500,SP
51,2019-10-29,4500,SP
52,2019-10-30,4500,SP
53,2019-10-31,4500,SP
54,2019-11-01,4500,SP
55,2019-11-04,4500,SP
56,2019-11-05,4500,SP
57,2019-11-06,4500,SP
58,2019-11-07,4500,SP
59,2019-11-08,4500,SP
60,2019-11-11,4500,SP
61,2019-11-12,4500,SP
62,2019-11-13,4500,SP
63,2019-11-15,4500,SP
64,2019-11-18,4500,SP
65,2019-11-19,4500,SP
66,2019-11-20,4500,SP
67,2019-11-21,4500,SP
68,2019-11-22,4500,SP
69,2019-11-25,4500,SP
70,2019-11-26,4500,SP
71,2019-11-27,4500,SP
72,2019-11-28,4420,SP
73,2019-11-29,4420,SP
74,2019-12-02,4420,SP
75,2019-12-03,4380,SP
76,2019-12-04,4380,SP
77,2019-12-05,4380,SP
78,2019-12-06,4380,SP
79,2019-12-09,4350,SP
80,2019-12-10,4350,SP
81,2019-12-11,4350,SP
82,2019-12-12,4350,SP
83,2019-12-13,4350,SP
84,2019-12-16,4350,SP
85,2019-12-17,4350,SP
86,2019-12-18,4380,SP
87,2019-12-19,4380,SP
88,2019-12-20,4380,SP
89,2019-12-23,4380,SP
90,2019-12-24,4380,SP
91,2019-12-25,4380,SP
92,2019-12-26,4380,SP
93,2019-12-27,4380,SP
94,2019-12-30,4380,SP
95,2019-12-31,4450,SP
96,2020-01-02,4450,SP
97,2020-01-03,4450,SP
98,2020-01-06,4450,SP
99,2020-01-07,4450,SP
100,2020-01-08,4450,SP
101,2020-01-09,4450,SP
102,2020-01-10,4450,SP
103,2020-01-13,4450,SP
104,2020-01-14,4450,SP
105,2020-01-15,4450,SP
106,2020-01-16,4450,SP
107,2020-01-17,4450,SP
108,2020-01-20,4450,SP
109,2020-01-21,4450,SP
110,2020-01-22,4450,SP
111,2020-01-23,4450,SP
112,2020-02-10,4420,SP
113,2020-02-11,4420,SP
114,2020-02-12,4450,SP
115,2020-02-13,4450,SP
116,2020-02-14,4450,SP
117,2020-02-17,4450,SP
118,2020-02-18,4450,SP
119,2020-02-19,4450,SP
120,2020-02-20,4450,SP
121,2020-02-21,4480,SP
122,2020-02-24,4500,SP
123,2020-02-25,4500,SP
124,2020-02-26,4500,SP
125,2020-02-27,4500,SP
126,2020-03-03,4450,SP
127,2020-03-04,4450,SP
128,2020-03-05,4450,SP
129,2020-03-06,4500,SP
130,2020-03-09,4500,SP
131,2020-03-10,4500,SP
132,2020-03-11,4500,SP
133,2020-03-12,4500,SP
134,2020-03-13,4500,SP
135,2020-03-16,4480,SP
136,2020-03-17,4480,SP
137,2020-03-18,4480,SP
138,2020-03-19,4450,SP
139,2020-03-20,4430,SP
140,2020-03-23,4430,SP
141,2020-03-24,4430,SP
142,2020-03-25,4430,SP
143,2020-03-26,4480,SP
144,2020-03-27,4480,SP
145,2020-03-30,4500,SP
146,2020-03-31,4500,SP
147,2020-04-01,4500,SP
148,2020-04-02,4490,SP
149,2020-04-03,4490,SP
150,2020-04-07,4480,SP
